CE12	CNN_CF_20030303.1900.06-1-CE1
CE13	CNN_CF_20030303.1900.06-1-CE2
CE14	CNN_CF_20030303.1900.06-1-CE3
CE15	CNN_CF_20030303.1900.06-1-CE4
CE16	CNN_CF_20030303.1900.06-1-CE5
CE1	CNN_CF_20030303.1900.06-1-CE6
CE17	CNN_CF_20030303.1900.06-1-CE7
CE18	CNN_CF_20030303.1900.06-1-CE8
CE19	CNN_CF_20030303.1900.06-1-CE9
CE20	CNN_CF_20030303.1900.06-1-CE10
CE21	CNN_CF_20030303.1900.06-1-CE11
CE22	CNN_CF_20030303.1900.06-1-CE12
CE23	CNN_CF_20030303.1900.06-1-CE13
CE24	CNN_CF_20030303.1900.06-1-CE14
CE25	CNN_CF_20030303.1900.06-1-CE15
CE26	CNN_CF_20030303.1900.06-1-CE16
CE27	CNN_CF_20030303.1900.06-1-CE17
CE28	CNN_CF_20030303.1900.06-1-CE18
CE2	CNN_CF_20030303.1900.06-1-CE19
CE3	CNN_CF_20030303.1900.06-1-CE20
CE4	CNN_CF_20030303.1900.06-1-CE21
CE5	CNN_CF_20030303.1900.06-1-CE22
CE6	CNN_CF_20030303.1900.06-1-CE23
CE7	CNN_CF_20030303.1900.06-1-CE24
CE8	CNN_CF_20030303.1900.06-1-CE25
CE9	CNN_CF_20030303.1900.06-1-CE26
CE11	CNN_CF_20030303.1900.06-1-CE27
CE10	CNN_CF_20030303.1900.06-1-CE28
E12	CNN_CF_20030303.1900.06-1-E1
E13	CNN_CF_20030303.1900.06-1-E2
E14	CNN_CF_20030303.1900.06-1-E3
E16	CNN_CF_20030303.1900.06-1-E4
E18	CNN_CF_20030303.1900.06-1-E5
E19	CNN_CF_20030303.1900.06-1-E6
E22	CNN_CF_20030303.1900.06-1-E7
E24	CNN_CF_20030303.1900.06-1-E8
E25	CNN_CF_20030303.1900.06-1-E9
E26	CNN_CF_20030303.1900.06-1-E10
E27	CNN_CF_20030303.1900.06-1-E11
E28	CNN_CF_20030303.1900.06-1-E12
E29	CNN_CF_20030303.1900.06-1-E13
E30	CNN_CF_20030303.1900.06-1-E14
E31	CNN_CF_20030303.1900.06-1-E15
E33	CNN_CF_20030303.1900.06-1-E16
E1	CNN_CF_20030303.1900.06-1-E17
E34	CNN_CF_20030303.1900.06-1-E18
E35	CNN_CF_20030303.1900.06-1-E19
E36	CNN_CF_20030303.1900.06-1-E20
E47	CNN_CF_20030303.1900.06-1-E21
E39	CNN_CF_20030303.1900.06-1-E22
E41	CNN_CF_20030303.1900.06-1-E23
E48	CNN_CF_20030303.1900.06-1-E24
E44	CNN_CF_20030303.1900.06-1-E25
E2	CNN_CF_20030303.1900.06-1-E26
E3	CNN_CF_20030303.1900.06-1-E27
E4	CNN_CF_20030303.1900.06-1-E28
E5	CNN_CF_20030303.1900.06-1-E29
E6	CNN_CF_20030303.1900.06-1-E30
E8	CNN_CF_20030303.1900.06-1-E31
E9	CNN_CF_20030303.1900.06-1-E32
E10	CNN_CF_20030303.1900.06-1-E33
E11	CNN_CF_20030303.1900.06-1-E34
EM1	CNN_CF_20030303.1900.06-1-E17-1
EM18	CNN_CF_20030303.1900.06-1-E1-2
EM20	CNN_CF_20030303.1900.06-1-E34-3
EM21	CNN_CF_20030303.1900.06-1-E34-4
EM22	CNN_CF_20030303.1900.06-1-E2-5
EM23	CNN_CF_20030303.1900.06-1-E3-6
EM77	CNN_CF_20030303.1900.06-1-E30-7
EM78	CNN_CF_20030303.1900.06-1-E30-8
EM25	CNN_CF_20030303.1900.06-1-E34-9
EM26	CNN_CF_20030303.1900.06-1-E4-10
EM33	CNN_CF_20030303.1900.06-1-E34-11
EM27	CNN_CF_20030303.1900.06-1-E5-12
EM28	CNN_CF_20030303.1900.06-1-E6-13
EM29	CNN_CF_20030303.1900.06-1-E3-14
EM31	CNN_CF_20030303.1900.06-1-E7-15
EM32	CNN_CF_20030303.1900.06-1-E3-16
EM24	CNN_CF_20030303.1900.06-1-E33-17
EM35	CNN_CF_20030303.1900.06-1-E32-18
EM36	CNN_CF_20030303.1900.06-1-E31-19
EM37	CNN_CF_20030303.1900.06-1-E32-20
EM38	CNN_CF_20030303.1900.06-1-E31-21
EM39	CNN_CF_20030303.1900.06-1-E8-22
EM40	CNN_CF_20030303.1900.06-1-E9-23
EM41	CNN_CF_20030303.1900.06-1-E10-24
EM42	CNN_CF_20030303.1900.06-1-E32-25
EM43	CNN_CF_20030303.1900.06-1-E11-26
EM44	CNN_CF_20030303.1900.06-1-E9-27
EM45	CNN_CF_20030303.1900.06-1-E30-28
EM46	CNN_CF_20030303.1900.06-1-E12-29
EM47	CNN_CF_20030303.1900.06-1-E13-30
EM48	CNN_CF_20030303.1900.06-1-E14-31
EM49	CNN_CF_20030303.1900.06-1-E15-32
EM50	CNN_CF_20030303.1900.06-1-E32-33
EM67	CNN_CF_20030303.1900.06-1-E21-34
EM53	CNN_CF_20030303.1900.06-1-E13-35
EM54	CNN_CF_20030303.1900.06-1-E30-36
EM55	CNN_CF_20030303.1900.06-1-E15-37
EM56	CNN_CF_20030303.1900.06-1-E30-38
EM57	CNN_CF_20030303.1900.06-1-E16-39
EM58	CNN_CF_20030303.1900.06-1-E16-40
EM59	CNN_CF_20030303.1900.06-1-E3-41
EM60	CNN_CF_20030303.1900.06-1-E18-42
EM61	CNN_CF_20030303.1900.06-1-E19-43
EM62	CNN_CF_20030303.1900.06-1-E20-44
EM63	CNN_CF_20030303.1900.06-1-E22-45
EM64	CNN_CF_20030303.1900.06-1-E3-46
EM65	CNN_CF_20030303.1900.06-1-E3-47
EM66	CNN_CF_20030303.1900.06-1-E3-48
EM30	CNN_CF_20030303.1900.06-1-E31-49
EM68	CNN_CF_20030303.1900.06-1-E34-50
EM69	CNN_CF_20030303.1900.06-1-E3-51
EM34	CNN_CF_20030303.1900.06-1-E31-52
EM70	CNN_CF_20030303.1900.06-1-E23-53
EM51	CNN_CF_20030303.1900.06-1-E15-54
EM52	CNN_CF_20030303.1900.06-1-E24-55
EM71	CNN_CF_20030303.1900.06-1-E3-56
EM72	CNN_CF_20030303.1900.06-1-E3-57
EM73	CNN_CF_20030303.1900.06-1-E3-58
EM6	CNN_CF_20030303.1900.06-1-E28-59
EM74	CNN_CF_20030303.1900.06-1-E25-60
EM2	CNN_CF_20030303.1900.06-1-E26-61
EM3	CNN_CF_20030303.1900.06-1-E27-62
EM4	CNN_CF_20030303.1900.06-1-E28-63
EM5	CNN_CF_20030303.1900.06-1-E29-64
