CE15	CNN_CF_20030304.1900.04-CE1
CE16	CNN_CF_20030304.1900.04-CE2
CE17	CNN_CF_20030304.1900.04-CE3
CE18	CNN_CF_20030304.1900.04-CE4
CE19	CNN_CF_20030304.1900.04-CE5
CE20	CNN_CF_20030304.1900.04-CE6
CE21	CNN_CF_20030304.1900.04-CE7
CE22	CNN_CF_20030304.1900.04-CE8
CE25	CNN_CF_20030304.1900.04-CE9
CE26	CNN_CF_20030304.1900.04-CE10
CE27	CNN_CF_20030304.1900.04-CE11
CE28	CNN_CF_20030304.1900.04-CE12
CE29	CNN_CF_20030304.1900.04-CE13
CE30	CNN_CF_20030304.1900.04-CE14
CE31	CNN_CF_20030304.1900.04-CE15
CE32	CNN_CF_20030304.1900.04-CE16
CE33	CNN_CF_20030304.1900.04-CE17
CE35	CNN_CF_20030304.1900.04-CE18
CE36	CNN_CF_20030304.1900.04-CE19
CE6	CNN_CF_20030304.1900.04-CE20
CE37	CNN_CF_20030304.1900.04-CE21
CE38	CNN_CF_20030304.1900.04-CE22
CE39	CNN_CF_20030304.1900.04-CE23
CE4	CNN_CF_20030304.1900.04-CE24
CE40	CNN_CF_20030304.1900.04-CE25
CE41	CNN_CF_20030304.1900.04-CE26
CE42	CNN_CF_20030304.1900.04-CE27
CE43	CNN_CF_20030304.1900.04-CE28
CE44	CNN_CF_20030304.1900.04-CE29
CE52	CNN_CF_20030304.1900.04-CE30
CE45	CNN_CF_20030304.1900.04-CE31
CE46	CNN_CF_20030304.1900.04-CE32
CE47	CNN_CF_20030304.1900.04-CE33
CE48	CNN_CF_20030304.1900.04-CE34
CE50	CNN_CF_20030304.1900.04-CE35
CE49	CNN_CF_20030304.1900.04-CE36
CE51	CNN_CF_20030304.1900.04-CE37
CE53	CNN_CF_20030304.1900.04-CE38
CE54	CNN_CF_20030304.1900.04-CE39
CE7	CNN_CF_20030304.1900.04-CE40
CE34	CNN_CF_20030304.1900.04-CE41
CE3	CNN_CF_20030304.1900.04-CE42
CE55	CNN_CF_20030304.1900.04-CE43
CE56	CNN_CF_20030304.1900.04-CE44
CE57	CNN_CF_20030304.1900.04-CE45
CE58	CNN_CF_20030304.1900.04-CE46
CE1	CNN_CF_20030304.1900.04-CE47
CE59	CNN_CF_20030304.1900.04-CE48
CE60	CNN_CF_20030304.1900.04-CE49
CE24	CNN_CF_20030304.1900.04-CE50
CE23	CNN_CF_20030304.1900.04-CE51
CE8	CNN_CF_20030304.1900.04-CE52
CE9	CNN_CF_20030304.1900.04-CE53
CE10	CNN_CF_20030304.1900.04-CE54
CE11	CNN_CF_20030304.1900.04-CE55
CE5	CNN_CF_20030304.1900.04-CE56
CE2	CNN_CF_20030304.1900.04-CE57
CE12	CNN_CF_20030304.1900.04-CE58
CE13	CNN_CF_20030304.1900.04-CE59
CE14	CNN_CF_20030304.1900.04-CE60
E17	CNN_CF_20030304.1900.04-E1
E18	CNN_CF_20030304.1900.04-E2
E19	CNN_CF_20030304.1900.04-E3
E20	CNN_CF_20030304.1900.04-E4
E21	CNN_CF_20030304.1900.04-E5
E22	CNN_CF_20030304.1900.04-E6
E23	CNN_CF_20030304.1900.04-E7
E24	CNN_CF_20030304.1900.04-E8
E25	CNN_CF_20030304.1900.04-E9
E26	CNN_CF_20030304.1900.04-E10
E27	CNN_CF_20030304.1900.04-E11
E28	CNN_CF_20030304.1900.04-E12
E29	CNN_CF_20030304.1900.04-E13
E30	CNN_CF_20030304.1900.04-E14
E31	CNN_CF_20030304.1900.04-E15
E32	CNN_CF_20030304.1900.04-E16
E33	CNN_CF_20030304.1900.04-E17
E34	CNN_CF_20030304.1900.04-E18
E35	CNN_CF_20030304.1900.04-E19
E36	CNN_CF_20030304.1900.04-E20
E37	CNN_CF_20030304.1900.04-E21
E1	CNN_CF_20030304.1900.04-E22
E90	CNN_CF_20030304.1900.04-E23
