CE23	CNN_IP_20030404.1600.00-2-CE1
CE24	CNN_IP_20030404.1600.00-2-CE2
CE14	CNN_IP_20030404.1600.00-2-CE3
CE17	CNN_IP_20030404.1600.00-2-CE4
CE25	CNN_IP_20030404.1600.00-2-CE5
CE26	CNN_IP_20030404.1600.00-2-CE6
CE27	CNN_IP_20030404.1600.00-2-CE7
CE28	CNN_IP_20030404.1600.00-2-CE8
CE29	CNN_IP_20030404.1600.00-2-CE9
CE31	CNN_IP_20030404.1600.00-2-CE10
CE32	CNN_IP_20030404.1600.00-2-CE11
CE33	CNN_IP_20030404.1600.00-2-CE12
CE9	CNN_IP_20030404.1600.00-2-CE13
CE8	CNN_IP_20030404.1600.00-2-CE14
CE34	CNN_IP_20030404.1600.00-2-CE15
CE36	CNN_IP_20030404.1600.00-2-CE16
CE37	CNN_IP_20030404.1600.00-2-CE17
CE39	CNN_IP_20030404.1600.00-2-CE18
CE38	CNN_IP_20030404.1600.00-2-CE19
CE4	CNN_IP_20030404.1600.00-2-CE20
CE40	CNN_IP_20030404.1600.00-2-CE21
CE11	CNN_IP_20030404.1600.00-2-CE22
CE41	CNN_IP_20030404.1600.00-2-CE23
CE42	CNN_IP_20030404.1600.00-2-CE24
CE43	CNN_IP_20030404.1600.00-2-CE25
CE44	CNN_IP_20030404.1600.00-2-CE26
CE45	CNN_IP_20030404.1600.00-2-CE27
CE46	CNN_IP_20030404.1600.00-2-CE28
CE47	CNN_IP_20030404.1600.00-2-CE29
CE48	CNN_IP_20030404.1600.00-2-CE30
CE50	CNN_IP_20030404.1600.00-2-CE31
CE51	CNN_IP_20030404.1600.00-2-CE32
CE49	CNN_IP_20030404.1600.00-2-CE33
CE53	CNN_IP_20030404.1600.00-2-CE34
CE54	CNN_IP_20030404.1600.00-2-CE35
CE55	CNN_IP_20030404.1600.00-2-CE36
CE56	CNN_IP_20030404.1600.00-2-CE37
CE57	CNN_IP_20030404.1600.00-2-CE38
CE58	CNN_IP_20030404.1600.00-2-CE39
CE59	CNN_IP_20030404.1600.00-2-CE40
CE60	CNN_IP_20030404.1600.00-2-CE41
CE61	CNN_IP_20030404.1600.00-2-CE42
CE63	CNN_IP_20030404.1600.00-2-CE43
CE64	CNN_IP_20030404.1600.00-2-CE44
CE7	CNN_IP_20030404.1600.00-2-CE45
CE65	CNN_IP_20030404.1600.00-2-CE46
CE66	CNN_IP_20030404.1600.00-2-CE47
CE67	CNN_IP_20030404.1600.00-2-CE48
CE68	CNN_IP_20030404.1600.00-2-CE49
CE69	CNN_IP_20030404.1600.00-2-CE50
CE70	CNN_IP_20030404.1600.00-2-CE51
CE10	CNN_IP_20030404.1600.00-2-CE52
CE71	CNN_IP_20030404.1600.00-2-CE53
CE72	CNN_IP_20030404.1600.00-2-CE54
CE73	CNN_IP_20030404.1600.00-2-CE55
CE74	CNN_IP_20030404.1600.00-2-CE56
CE2	CNN_IP_20030404.1600.00-2-CE57
CE75	CNN_IP_20030404.1600.00-2-CE58
CE6	CNN_IP_20030404.1600.00-2-CE59
CE76	CNN_IP_20030404.1600.00-2-CE60
CE78	CNN_IP_20030404.1600.00-2-CE61
CE81	CNN_IP_20030404.1600.00-2-CE62
CE79	CNN_IP_20030404.1600.00-2-CE63
CE80	CNN_IP_20030404.1600.00-2-CE64
CE82	CNN_IP_20030404.1600.00-2-CE65
CE83	CNN_IP_20030404.1600.00-2-CE66
CE85	CNN_IP_20030404.1600.00-2-CE67
CE5	CNN_IP_20030404.1600.00-2-CE68
CE12	CNN_IP_20030404.1600.00-2-CE69
CE1	CNN_IP_20030404.1600.00-2-CE70
CE3	CNN_IP_20030404.1600.00-2-CE71
CE18	CNN_IP_20030404.1600.00-2-CE72
CE30	CNN_IP_20030404.1600.00-2-CE73
CE35	CNN_IP_20030404.1600.00-2-CE74
CE52	CNN_IP_20030404.1600.00-2-CE75
CE62	CNN_IP_20030404.1600.00-2-CE76
CE77	CNN_IP_20030404.1600.00-2-CE77
CE13	CNN_IP_20030404.1600.00-2-CE78
CE15	CNN_IP_20030404.1600.00-2-CE79
CE16	CNN_IP_20030404.1600.00-2-CE80
CE19	CNN_IP_20030404.1600.00-2-CE81
CE20	CNN_IP_20030404.1600.00-2-CE82
CE22	CNN_IP_20030404.1600.00-2-CE83
E16	CNN_IP_20030404.1600.00-2-E1
E17	CNN_IP_20030404.1600.00-2-E2
E18	CNN_IP_20030404.1600.00-2-E3
E19	CNN_IP_20030404.1600.00-2-E4
E20	CNN_IP_20030404.1600.00-2-E5
E22	CNN_IP_20030404.1600.00-2-E6
E23	CNN_IP_20030404.1600.00-2-E7
E24	CNN_IP_20030404.1600.00-2-E8
E25	CNN_IP_20030404.1600.00-2-E9
E26	CNN_IP_20030404.1600.00-2-E10
E27	CNN_IP_20030404.1600.00-2-E11
E28	CNN_IP_20030404.1600.00-2-E12
E29	CNN_IP_20030404.1600.00-2-E13
E31	CNN_IP_20030404.1600.00-2-E14
E32	CNN_IP_20030404.1600.00-2-E15
E33	CNN_IP_20030404.1600.00-2-E16
E35	CNN_IP_20030404.1600.00-2-E17
E38	CNN_IP_20030404.1600.00-2-E18
E40	CNN_IP_20030404.1600.00-2-E19
E44	CNN_IP_20030404.1600.00-2-E20
E1	CNN_IP_20030404.1600.00-2-E21
E45	CNN_IP_20030404.1600.00-2-E22
E46	CNN_IP_20030404.1600.00-2-E23
E47	CNN_IP_20030404.1600.00-2-E24
E48	CNN_IP_20030404.1600.00-2-E25
E49	CNN_IP_20030404.1600.00-2-E26
E50	CNN_IP_20030404.1600.00-2-E27
E51	CNN_IP_20030404.1600.00-2-E28
E53	CNN_IP_20030404.1600.00-2-E29
E54	CNN_IP_20030404.1600.00-2-E30
E55	CNN_IP_20030404.1600.00-2-E31
E56	CNN_IP_20030404.1600.00-2-E32
E57	CNN_IP_20030404.1600.00-2-E33
E58	CNN_IP_20030404.1600.00-2-E34
E59	CNN_IP_20030404.1600.00-2-E35
E60	CNN_IP_20030404.1600.00-2-E36
E61	CNN_IP_20030404.1600.00-2-E37
E62	CNN_IP_20030404.1600.00-2-E38
E63	CNN_IP_20030404.1600.00-2-E39
E64	CNN_IP_20030404.1600.00-2-E40
E65	CNN_IP_20030404.1600.00-2-E41
E66	CNN_IP_20030404.1600.00-2-E42
E67	CNN_IP_20030404.1600.00-2-E43
E68	CNN_IP_20030404.1600.00-2-E44
E69	CNN_IP_20030404.1600.00-2-E45
E71	CNN_IP_20030404.1600.00-2-E46
E75	CNN_IP_20030404.1600.00-2-E47
E76	CNN_IP_20030404.1600.00-2-E48
E77	CNN_IP_20030404.1600.00-2-E49
E79	CNN_IP_20030404.1600.00-2-E50
E80	CNN_IP_20030404.1600.00-2-E51
E81	CNN_IP_20030404.1600.00-2-E52
E82	CNN_IP_20030404.1600.00-2-E53
E83	CNN_IP_20030404.1600.00-2-E54
E84	CNN_IP_20030404.1600.00-2-E55
E85	CNN_IP_20030404.1600.00-2-E56
E87	CNN_IP_20030404.1600.00-2-E57
E88	CNN_IP_20030404.1600.00-2-E58
E89	CNN_IP_20030404.1600.00-2-E59
E90	CNN_IP_20030404.1600.00-2-E60
E91	CNN_IP_20030404.1600.00-2-E61
E92	CNN_IP_20030404.1600.00-2-E62
E93	CNN_IP_20030404.1600.00-2-E63
E95	CNN_IP_20030404.1600.00-2-E64
E96	CNN_IP_20030404.1600.00-2-E65
E97	CNN_IP_20030404.1600.00-2-E66
E98	CNN_IP_20030404.1600.00-2-E67
E99	CNN_IP_20030404.1600.00-2-E68
E100	CNN_IP_20030404.1600.00-2-E69
E101	CNN_IP_20030404.1600.00-2-E70
E102	CNN_IP_20030404.1600.00-2-E71
E103	CNN_IP_20030404.1600.00-2-E72
E104	CNN_IP_20030404.1600.00-2-E73
E105	CNN_IP_20030404.1600.00-2-E74
E106	CNN_IP_20030404.1600.00-2-E75
E109	CNN_IP_20030404.1600.00-2-E76
E110	CNN_IP_20030404.1600.00-2-E77
E111	CNN_IP_20030404.1600.00-2-E78
E112	CNN_IP_20030404.1600.00-2-E79
E113	CNN_IP_20030404.1600.00-2-E80
E114	CNN_IP_20030404.1600.00-2-E81
E116	CNN_IP_20030404.1600.00-2-E82
E117	CNN_IP_20030404.1600.00-2-E83
E118	CNN_IP_20030404.1600.00-2-E84
E120	CNN_IP_20030404.1600.00-2-E85
E3	CNN_IP_20030404.1600.00-2-E86
E121	CNN_IP_20030404.1600.00-2-E87
E123	CNN_IP_20030404.1600.00-2-E88
E124	CNN_IP_20030404.1600.00-2-E89
E126	CNN_IP_20030404.1600.00-2-E90
E127	CNN_IP_20030404.1600.00-2-E91
E130	CNN_IP_20030404.1600.00-2-E92
E149	CNN_IP_20030404.1600.00-2-E93
E150	CNN_IP_20030404.1600.00-2-E94
E151	CNN_IP_20030404.1600.00-2-E95
E4	CNN_IP_20030404.1600.00-2-E96
E153	CNN_IP_20030404.1600.00-2-E97
E154	CNN_IP_20030404.1600.00-2-E98
E155	CNN_IP_20030404.1600.00-2-E99
E132	CNN_IP_20030404.1600.00-2-E100
E134	CNN_IP_20030404.1600.00-2-E101
E135	CNN_IP_20030404.1600.00-2-E102
E138	CNN_IP_20030404.1600.00-2-E103
E139	CNN_IP_20030404.1600.00-2-E104
E142	CNN_IP_20030404.1600.00-2-E105
E143	CNN_IP_20030404.1600.00-2-E106
E144	CNN_IP_20030404.1600.00-2-E107
E6	CNN_IP_20030404.1600.00-2-E108
E145	CNN_IP_20030404.1600.00-2-E109
E146	CNN_IP_20030404.1600.00-2-E110
E147	CNN_IP_20030404.1600.00-2-E111
E148	CNN_IP_20030404.1600.00-2-E112
E7	CNN_IP_20030404.1600.00-2-E113
E8	CNN_IP_20030404.1600.00-2-E114
E9	CNN_IP_20030404.1600.00-2-E115
E11	CNN_IP_20030404.1600.00-2-E116
E13	CNN_IP_20030404.1600.00-2-E117
E14	CNN_IP_20030404.1600.00-2-E118
E15	CNN_IP_20030404.1600.00-2-E119
EM1	CNN_IP_20030404.1600.00-2-E21-1
EM19	CNN_IP_20030404.1600.00-2-E2-2
EM20	CNN_IP_20030404.1600.00-2-E4-3
EM21	CNN_IP_20030404.1600.00-2-E5-4
EM23	CNN_IP_20030404.1600.00-2-E116-5
EM24	CNN_IP_20030404.1600.00-2-E6-6
EM25	CNN_IP_20030404.1600.00-2-E7-7
EM26	CNN_IP_20030404.1600.00-2-E6-8
EM27	CNN_IP_20030404.1600.00-2-E8-9
EM29	CNN_IP_20030404.1600.00-2-E9-10
EM30	CNN_IP_20030404.1600.00-2-E10-11
EM32	CNN_IP_20030404.1600.00-2-E11-12
EM33	CNN_IP_20030404.1600.00-2-E12-13
EM34	CNN_IP_20030404.1600.00-2-E13-14
EM35	CNN_IP_20030404.1600.00-2-E6-15
EM36	CNN_IP_20030404.1600.00-2-E14-16
EM39	CNN_IP_20030404.1600.00-2-E114-17
EM40	CNN_IP_20030404.1600.00-2-E114-18
EM41	CNN_IP_20030404.1600.00-2-E15-19
EM42	CNN_IP_20030404.1600.00-2-E16-20
EM44	CNN_IP_20030404.1600.00-2-E116-21
EM45	CNN_IP_20030404.1600.00-2-E5-22
EM46	CNN_IP_20030404.1600.00-2-E17-23
EM50	CNN_IP_20030404.1600.00-2-E5-24
EM51	CNN_IP_20030404.1600.00-2-E5-25
EM52	CNN_IP_20030404.1600.00-2-E114-26
EM53	CNN_IP_20030404.1600.00-2-E18-27
EM54	CNN_IP_20030404.1600.00-2-E19-28
EM56	CNN_IP_20030404.1600.00-2-E20-29
EM57	CNN_IP_20030404.1600.00-2-E22-30
EM59	CNN_IP_20030404.1600.00-2-E23-31
EM60	CNN_IP_20030404.1600.00-2-E24-32
EM61	CNN_IP_20030404.1600.00-2-E5-33
EM62	CNN_IP_20030404.1600.00-2-E114-34
EM63	CNN_IP_20030404.1600.00-2-E16-35
EM64	CNN_IP_20030404.1600.00-2-E25-36
EM66	CNN_IP_20030404.1600.00-2-E26-37
EM67	CNN_IP_20030404.1600.00-2-E27-38
EM68	CNN_IP_20030404.1600.00-2-E28-39
EM70	CNN_IP_20030404.1600.00-2-E29-40
EM69	CNN_IP_20030404.1600.00-2-E30-41
EM71	CNN_IP_20030404.1600.00-2-E28-42
