CE20	CNN_IP_20030408.1600.03-CE1
CE11	CNN_IP_20030408.1600.03-CE2
CE12	CNN_IP_20030408.1600.03-CE3
CE13	CNN_IP_20030408.1600.03-CE4
CE2	CNN_IP_20030408.1600.03-CE5
CE14	CNN_IP_20030408.1600.03-CE6
CE15	CNN_IP_20030408.1600.03-CE7
CE21	CNN_IP_20030408.1600.03-CE8
CE16	CNN_IP_20030408.1600.03-CE9
CE17	CNN_IP_20030408.1600.03-CE10
CE56	CNN_IP_20030408.1600.03-CE11
CE18	CNN_IP_20030408.1600.03-CE12
CE22	CNN_IP_20030408.1600.03-CE13
CE24	CNN_IP_20030408.1600.03-CE14
CE23	CNN_IP_20030408.1600.03-CE15
CE25	CNN_IP_20030408.1600.03-CE16
CE27	CNN_IP_20030408.1600.03-CE17
CE28	CNN_IP_20030408.1600.03-CE18
CE29	CNN_IP_20030408.1600.03-CE19
CE36	CNN_IP_20030408.1600.03-CE20
CE30	CNN_IP_20030408.1600.03-CE21
CE59	CNN_IP_20030408.1600.03-CE22
CE33	CNN_IP_20030408.1600.03-CE23
CE34	CNN_IP_20030408.1600.03-CE24
CE35	CNN_IP_20030408.1600.03-CE25
CE4	CNN_IP_20030408.1600.03-CE26
CE73	CNN_IP_20030408.1600.03-CE27
CE37	CNN_IP_20030408.1600.03-CE28
CE38	CNN_IP_20030408.1600.03-CE29
CE39	CNN_IP_20030408.1600.03-CE30
CE40	CNN_IP_20030408.1600.03-CE31
CE42	CNN_IP_20030408.1600.03-CE32
CE45	CNN_IP_20030408.1600.03-CE33
CE44	CNN_IP_20030408.1600.03-CE34
CE46	CNN_IP_20030408.1600.03-CE35
CE47	CNN_IP_20030408.1600.03-CE36
CE48	CNN_IP_20030408.1600.03-CE37
CE49	CNN_IP_20030408.1600.03-CE38
CE50	CNN_IP_20030408.1600.03-CE39
CE52	CNN_IP_20030408.1600.03-CE40
CE53	CNN_IP_20030408.1600.03-CE41
CE54	CNN_IP_20030408.1600.03-CE42
CE55	CNN_IP_20030408.1600.03-CE43
CE57	CNN_IP_20030408.1600.03-CE44
CE74	CNN_IP_20030408.1600.03-CE45
CE60	CNN_IP_20030408.1600.03-CE46
CE3	CNN_IP_20030408.1600.03-CE47
CE61	CNN_IP_20030408.1600.03-CE48
CE62	CNN_IP_20030408.1600.03-CE49
CE63	CNN_IP_20030408.1600.03-CE50
CE64	CNN_IP_20030408.1600.03-CE51
CE65	CNN_IP_20030408.1600.03-CE52
CE67	CNN_IP_20030408.1600.03-CE53
CE68	CNN_IP_20030408.1600.03-CE54
CE69	CNN_IP_20030408.1600.03-CE55
CE70	CNN_IP_20030408.1600.03-CE56
CE71	CNN_IP_20030408.1600.03-CE57
CE72	CNN_IP_20030408.1600.03-CE58
CE26	CNN_IP_20030408.1600.03-CE59
CE58	CNN_IP_20030408.1600.03-CE60
CE31	CNN_IP_20030408.1600.03-CE61
CE41	CNN_IP_20030408.1600.03-CE62
CE51	CNN_IP_20030408.1600.03-CE63
CE66	CNN_IP_20030408.1600.03-CE64
CE43	CNN_IP_20030408.1600.03-CE65
CE32	CNN_IP_20030408.1600.03-CE66
CE19	CNN_IP_20030408.1600.03-CE67
CE5	CNN_IP_20030408.1600.03-CE68
CE6	CNN_IP_20030408.1600.03-CE69
CE1	CNN_IP_20030408.1600.03-CE70
CE9	CNN_IP_20030408.1600.03-CE71
CE8	CNN_IP_20030408.1600.03-CE72
CE7	CNN_IP_20030408.1600.03-CE73
CE10	CNN_IP_20030408.1600.03-CE74
E29	CNN_IP_20030408.1600.03-E1
E15	CNN_IP_20030408.1600.03-E2
E16	CNN_IP_20030408.1600.03-E3
E17	CNN_IP_20030408.1600.03-E4
E19	CNN_IP_20030408.1600.03-E5
E20	CNN_IP_20030408.1600.03-E6
E21	CNN_IP_20030408.1600.03-E7
E30	CNN_IP_20030408.1600.03-E8
E23	CNN_IP_20030408.1600.03-E9
E24	CNN_IP_20030408.1600.03-E10
E25	CNN_IP_20030408.1600.03-E11
E26	CNN_IP_20030408.1600.03-E12
E27	CNN_IP_20030408.1600.03-E13
E31	CNN_IP_20030408.1600.03-E14
E32	CNN_IP_20030408.1600.03-E15
E33	CNN_IP_20030408.1600.03-E16
E34	CNN_IP_20030408.1600.03-E17
E35	CNN_IP_20030408.1600.03-E18
E1	CNN_IP_20030408.1600.03-E19
E38	CNN_IP_20030408.1600.03-E20
E39	CNN_IP_20030408.1600.03-E21
E40	CNN_IP_20030408.1600.03-E22
E41	CNN_IP_20030408.1600.03-E23
E108	CNN_IP_20030408.1600.03-E24
E43	CNN_IP_20030408.1600.03-E25
E45	CNN_IP_20030408.1600.03-E26
E46	CNN_IP_20030408.1600.03-E27
E47	CNN_IP_20030408.1600.03-E28
E48	CNN_IP_20030408.1600.03-E29
E49	CNN_IP_20030408.1600.03-E30
E51	CNN_IP_20030408.1600.03-E31
E117	CNN_IP_20030408.1600.03-E32
E54	CNN_IP_20030408.1600.03-E33
E56	CNN_IP_20030408.1600.03-E34
E58	CNN_IP_20030408.1600.03-E35
E59	CNN_IP_20030408.1600.03-E36
E60	CNN_IP_20030408.1600.03-E37
E61	CNN_IP_20030408.1600.03-E38
E62	CNN_IP_20030408.1600.03-E39
E63	CNN_IP_20030408.1600.03-E40
E64	CNN_IP_20030408.1600.03-E41
E65	CNN_IP_20030408.1600.03-E42
E66	CNN_IP_20030408.1600.03-E43
E67	CNN_IP_20030408.1600.03-E44
E68	CNN_IP_20030408.1600.03-E45
E69	CNN_IP_20030408.1600.03-E46
E71	CNN_IP_20030408.1600.03-E47
E2	CNN_IP_20030408.1600.03-E48
E73	CNN_IP_20030408.1600.03-E49
E74	CNN_IP_20030408.1600.03-E50
E75	CNN_IP_20030408.1600.03-E51
E76	CNN_IP_20030408.1600.03-E52
E118	CNN_IP_20030408.1600.03-E53
E78	CNN_IP_20030408.1600.03-E54
E80	CNN_IP_20030408.1600.03-E55
E110	CNN_IP_20030408.1600.03-E56
E83	CNN_IP_20030408.1600.03-E57
E84	CNN_IP_20030408.1600.03-E58
E85	CNN_IP_20030408.1600.03-E59
E87	CNN_IP_20030408.1600.03-E60
E88	CNN_IP_20030408.1600.03-E61
E89	CNN_IP_20030408.1600.03-E62
E90	CNN_IP_20030408.1600.03-E63
E92	CNN_IP_20030408.1600.03-E64
E93	CNN_IP_20030408.1600.03-E65
E94	CNN_IP_20030408.1600.03-E66
E95	CNN_IP_20030408.1600.03-E67
E96	CNN_IP_20030408.1600.03-E68
E97	CNN_IP_20030408.1600.03-E69
E111	CNN_IP_20030408.1600.03-E70
E101	CNN_IP_20030408.1600.03-E71
E103	CNN_IP_20030408.1600.03-E72
E105	CNN_IP_20030408.1600.03-E73
E107	CNN_IP_20030408.1600.03-E74
E114	CNN_IP_20030408.1600.03-E75
E115	CNN_IP_20030408.1600.03-E76
E116	CNN_IP_20030408.1600.03-E77
E3	CNN_IP_20030408.1600.03-E78
E4	CNN_IP_20030408.1600.03-E79
E6	CNN_IP_20030408.1600.03-E80
E7	CNN_IP_20030408.1600.03-E81
E9	CNN_IP_20030408.1600.03-E82
E10	CNN_IP_20030408.1600.03-E83
E11	CNN_IP_20030408.1600.03-E84
E12	CNN_IP_20030408.1600.03-E85
E13	CNN_IP_20030408.1600.03-E86
EM2	CNN_IP_20030408.1600.03-E19-1
EM33	CNN_IP_20030408.1600.03-E14-2
EM14	CNN_IP_20030408.1600.03-E2-3
EM15	CNN_IP_20030408.1600.03-E3-4
EM16	CNN_IP_20030408.1600.03-E4-5
EM17	CNN_IP_20030408.1600.03-E4-6
EM18	CNN_IP_20030408.1600.03-E5-7
EM22	CNN_IP_20030408.1600.03-E6-8
EM23	CNN_IP_20030408.1600.03-E7-9
EM24	CNN_IP_20030408.1600.03-E6-10
EM25	CNN_IP_20030408.1600.03-E9-11
EM26	CNN_IP_20030408.1600.03-E10-12
EM28	CNN_IP_20030408.1600.03-E7-13
EM27	CNN_IP_20030408.1600.03-E11-14
