CE20	CNN_LE_20030504.1200.01-CE1
CE24	CNN_LE_20030504.1200.01-CE2
CE22	CNN_LE_20030504.1200.01-CE3
CE23	CNN_LE_20030504.1200.01-CE4
CE25	CNN_LE_20030504.1200.01-CE5
CE26	CNN_LE_20030504.1200.01-CE6
CE14	CNN_LE_20030504.1200.01-CE7
CE27	CNN_LE_20030504.1200.01-CE8
CE28	CNN_LE_20030504.1200.01-CE9
CE29	CNN_LE_20030504.1200.01-CE10
CE39	CNN_LE_20030504.1200.01-CE11
CE7	CNN_LE_20030504.1200.01-CE12
CE33	CNN_LE_20030504.1200.01-CE13
CE32	CNN_LE_20030504.1200.01-CE14
CE31	CNN_LE_20030504.1200.01-CE15
CE30	CNN_LE_20030504.1200.01-CE16
CE2	CNN_LE_20030504.1200.01-CE17
CE1	CNN_LE_20030504.1200.01-CE18
CE12	CNN_LE_20030504.1200.01-CE19
CE8	CNN_LE_20030504.1200.01-CE20
CE9	CNN_LE_20030504.1200.01-CE21
CE34	CNN_LE_20030504.1200.01-CE22
CE35	CNN_LE_20030504.1200.01-CE23
CE36	CNN_LE_20030504.1200.01-CE24
CE37	CNN_LE_20030504.1200.01-CE25
CE40	CNN_LE_20030504.1200.01-CE26
CE47	CNN_LE_20030504.1200.01-CE27
CE41	CNN_LE_20030504.1200.01-CE28
CE4	CNN_LE_20030504.1200.01-CE29
CE38	CNN_LE_20030504.1200.01-CE30
CE42	CNN_LE_20030504.1200.01-CE31
CE43	CNN_LE_20030504.1200.01-CE32
CE44	CNN_LE_20030504.1200.01-CE33
CE45	CNN_LE_20030504.1200.01-CE34
CE46	CNN_LE_20030504.1200.01-CE35
CE48	CNN_LE_20030504.1200.01-CE36
CE6	CNN_LE_20030504.1200.01-CE37
CE50	CNN_LE_20030504.1200.01-CE38
CE51	CNN_LE_20030504.1200.01-CE39
CE52	CNN_LE_20030504.1200.01-CE40
CE21	CNN_LE_20030504.1200.01-CE41
CE53	CNN_LE_20030504.1200.01-CE42
CE10	CNN_LE_20030504.1200.01-CE43
