CE12	CNN_LE_20030504.1200.02-2-CE1
CE13	CNN_LE_20030504.1200.02-2-CE2
CE14	CNN_LE_20030504.1200.02-2-CE3
CE15	CNN_LE_20030504.1200.02-2-CE4
CE16	CNN_LE_20030504.1200.02-2-CE5
CE5	CNN_LE_20030504.1200.02-2-CE6
CE17	CNN_LE_20030504.1200.02-2-CE7
CE18	CNN_LE_20030504.1200.02-2-CE8
CE4	CNN_LE_20030504.1200.02-2-CE9
CE20	CNN_LE_20030504.1200.02-2-CE10
CE21	CNN_LE_20030504.1200.02-2-CE11
CE23	CNN_LE_20030504.1200.02-2-CE12
CE24	CNN_LE_20030504.1200.02-2-CE13
CE25	CNN_LE_20030504.1200.02-2-CE14
CE26	CNN_LE_20030504.1200.02-2-CE15
CE1	CNN_LE_20030504.1200.02-2-CE16
CE28	CNN_LE_20030504.1200.02-2-CE17
CE29	CNN_LE_20030504.1200.02-2-CE18
CE30	CNN_LE_20030504.1200.02-2-CE19
CE31	CNN_LE_20030504.1200.02-2-CE20
CE32	CNN_LE_20030504.1200.02-2-CE21
CE33	CNN_LE_20030504.1200.02-2-CE22
CE2	CNN_LE_20030504.1200.02-2-CE23
CE34	CNN_LE_20030504.1200.02-2-CE24
CE35	CNN_LE_20030504.1200.02-2-CE25
CE36	CNN_LE_20030504.1200.02-2-CE26
CE3	CNN_LE_20030504.1200.02-2-CE27
CE6	CNN_LE_20030504.1200.02-2-CE28
CE7	CNN_LE_20030504.1200.02-2-CE29
CE8	CNN_LE_20030504.1200.02-2-CE30
CE9	CNN_LE_20030504.1200.02-2-CE31
CE10	CNN_LE_20030504.1200.02-2-CE32
CE11	CNN_LE_20030504.1200.02-2-CE33
CE22	CNN_LE_20030504.1200.02-2-CE34
CE37	CNN_LE_20030504.1200.02-2-CE35
E16	CNN_LE_20030504.1200.02-2-E1
E17	CNN_LE_20030504.1200.02-2-E2
E18	CNN_LE_20030504.1200.02-2-E3
E19	CNN_LE_20030504.1200.02-2-E4
E20	CNN_LE_20030504.1200.02-2-E5
E22	CNN_LE_20030504.1200.02-2-E6
E23	CNN_LE_20030504.1200.02-2-E7
E24	CNN_LE_20030504.1200.02-2-E8
E27	CNN_LE_20030504.1200.02-2-E9
E28	CNN_LE_20030504.1200.02-2-E10
E29	CNN_LE_20030504.1200.02-2-E11
E30	CNN_LE_20030504.1200.02-2-E12
E31	CNN_LE_20030504.1200.02-2-E13
E32	CNN_LE_20030504.1200.02-2-E14
E33	CNN_LE_20030504.1200.02-2-E15
E34	CNN_LE_20030504.1200.02-2-E16
E36	CNN_LE_20030504.1200.02-2-E17
E37	CNN_LE_20030504.1200.02-2-E18
E39	CNN_LE_20030504.1200.02-2-E19
E42	CNN_LE_20030504.1200.02-2-E20
E43	CNN_LE_20030504.1200.02-2-E21
E45	CNN_LE_20030504.1200.02-2-E22
E46	CNN_LE_20030504.1200.02-2-E23
E47	CNN_LE_20030504.1200.02-2-E24
E48	CNN_LE_20030504.1200.02-2-E25
E49	CNN_LE_20030504.1200.02-2-E26
E50	CNN_LE_20030504.1200.02-2-E27
E51	CNN_LE_20030504.1200.02-2-E28
E53	CNN_LE_20030504.1200.02-2-E29
E54	CNN_LE_20030504.1200.02-2-E30
E56	CNN_LE_20030504.1200.02-2-E31
E57	CNN_LE_20030504.1200.02-2-E32
E58	CNN_LE_20030504.1200.02-2-E33
E59	CNN_LE_20030504.1200.02-2-E34
E61	CNN_LE_20030504.1200.02-2-E35
E3	CNN_LE_20030504.1200.02-2-E36
E4	CNN_LE_20030504.1200.02-2-E37
E5	CNN_LE_20030504.1200.02-2-E38
E6	CNN_LE_20030504.1200.02-2-E39
E7	CNN_LE_20030504.1200.02-2-E40
E8	CNN_LE_20030504.1200.02-2-E41
E9	CNN_LE_20030504.1200.02-2-E42
E10	CNN_LE_20030504.1200.02-2-E43
E11	CNN_LE_20030504.1200.02-2-E44
E12	CNN_LE_20030504.1200.02-2-E45
E13	CNN_LE_20030504.1200.02-2-E46
E62	CNN_LE_20030504.1200.02-2-E47
E14	CNN_LE_20030504.1200.02-2-E48
EM61	CNN_LE_20030504.1200.02-2-E39-1
EM17	CNN_LE_20030504.1200.02-2-E40-2
EM18	CNN_LE_20030504.1200.02-2-E40-3
EM19	CNN_LE_20030504.1200.02-2-E39-4
EM22	CNN_LE_20030504.1200.02-2-E1-5
EM23	CNN_LE_20030504.1200.02-2-E2-6
EM24	CNN_LE_20030504.1200.02-2-E3-7
EM108	CNN_LE_20030504.1200.02-2-E40-8
EM26	CNN_LE_20030504.1200.02-2-E4-9
EM109	CNN_LE_20030504.1200.02-2-E40-10
EM28	CNN_LE_20030504.1200.02-2-E5-11
EM29	CNN_LE_20030504.1200.02-2-E6-12
EM30	CNN_LE_20030504.1200.02-2-E7-13
EM31	CNN_LE_20030504.1200.02-2-E8-14
EM110	CNN_LE_20030504.1200.02-2-E13-15
EM111	CNN_LE_20030504.1200.02-2-E46-16
EM33	CNN_LE_20030504.1200.02-2-E9-17
EM112	CNN_LE_20030504.1200.02-2-E46-18
EM113	CNN_LE_20030504.1200.02-2-E46-19
EM114	CNN_LE_20030504.1200.02-2-E46-20
EM37	CNN_LE_20030504.1200.02-2-E40-21
EM38	CNN_LE_20030504.1200.02-2-E10-22
EM39	CNN_LE_20030504.1200.02-2-E11-23
EM40	CNN_LE_20030504.1200.02-2-E40-24
EM41	CNN_LE_20030504.1200.02-2-E44-25
EM42	CNN_LE_20030504.1200.02-2-E12-26
EM43	CNN_LE_20030504.1200.02-2-E48-27
EM44	CNN_LE_20030504.1200.02-2-E13-28
EM45	CNN_LE_20030504.1200.02-2-E13-29
EM46	CNN_LE_20030504.1200.02-2-E14-30
EM47	CNN_LE_20030504.1200.02-2-E15-31
EM48	CNN_LE_20030504.1200.02-2-E16-32
EM49	CNN_LE_20030504.1200.02-2-E13-33
EM50	CNN_LE_20030504.1200.02-2-E37-34
EM53	CNN_LE_20030504.1200.02-2-E37-35
EM54	CNN_LE_20030504.1200.02-2-E13-36
EM55	CNN_LE_20030504.1200.02-2-E17-37
EM56	CNN_LE_20030504.1200.02-2-E18-38
EM107	CNN_LE_20030504.1200.02-2-E47-39
EM57	CNN_LE_20030504.1200.02-2-E19-40
EM58	CNN_LE_20030504.1200.02-2-E39-41
EM66	CNN_LE_20030504.1200.02-2-E39-42
EM68	CNN_LE_20030504.1200.02-2-E40-43
EM69	CNN_LE_20030504.1200.02-2-E20-44
EM70	CNN_LE_20030504.1200.02-2-E21-45
EM71	CNN_LE_20030504.1200.02-2-E21-46
EM73	CNN_LE_20030504.1200.02-2-E40-47
EM74	CNN_LE_20030504.1200.02-2-E22-48
EM75	CNN_LE_20030504.1200.02-2-E40-49
EM76	CNN_LE_20030504.1200.02-2-E23-50
EM77	CNN_LE_20030504.1200.02-2-E40-51
EM78	CNN_LE_20030504.1200.02-2-E7-52
EM79	CNN_LE_20030504.1200.02-2-E24-53
EM80	CNN_LE_20030504.1200.02-2-E25-54
EM81	CNN_LE_20030504.1200.02-2-E26-55
EM1	CNN_LE_20030504.1200.02-2-E36-56
EM82	CNN_LE_20030504.1200.02-2-E27-57
EM83	CNN_LE_20030504.1200.02-2-E24-58
EM84	CNN_LE_20030504.1200.02-2-E28-59
EM85	CNN_LE_20030504.1200.02-2-E29-60
EM86	CNN_LE_20030504.1200.02-2-E40-61
EM87	CNN_LE_20030504.1200.02-2-E24-62
EM88	CNN_LE_20030504.1200.02-2-E40-63
EM89	CNN_LE_20030504.1200.02-2-E30-64
EM90	CNN_LE_20030504.1200.02-2-E40-65
EM91	CNN_LE_20030504.1200.02-2-E7-66
EM92	CNN_LE_20030504.1200.02-2-E39-67
EM93	CNN_LE_20030504.1200.02-2-E40-68
EM94	CNN_LE_20030504.1200.02-2-E40-69
EM96	CNN_LE_20030504.1200.02-2-E13-70
EM97	CNN_LE_20030504.1200.02-2-E31-71
EM98	CNN_LE_20030504.1200.02-2-E21-72
EM99	CNN_LE_20030504.1200.02-2-E32-73
EM100	CNN_LE_20030504.1200.02-2-E21-74
EM101	CNN_LE_20030504.1200.02-2-E40-75
EM102	CNN_LE_20030504.1200.02-2-E13-76
EM103	CNN_LE_20030504.1200.02-2-E33-77
EM104	CNN_LE_20030504.1200.02-2-E21-78
EM105	CNN_LE_20030504.1200.02-2-E32-79
EM106	CNN_LE_20030504.1200.02-2-E34-80
EM95	CNN_LE_20030504.1200.02-2-E17-81
EM59	CNN_LE_20030504.1200.02-2-E18-82
EM14	CNN_LE_20030504.1200.02-2-E37-83
EM67	CNN_LE_20030504.1200.02-2-E37-84
EM62	CNN_LE_20030504.1200.02-2-E37-85
EM36	CNN_LE_20030504.1200.02-2-E37-86
EM51	CNN_LE_20030504.1200.02-2-E48-87
EM52	CNN_LE_20030504.1200.02-2-E37-88
EM64	CNN_LE_20030504.1200.02-2-E37-89
EM72	CNN_LE_20030504.1200.02-2-E46-90
EM20	CNN_LE_20030504.1200.02-2-E37-91
EM21	CNN_LE_20030504.1200.02-2-E37-92
EM25	CNN_LE_20030504.1200.02-2-E37-93
EM27	CNN_LE_20030504.1200.02-2-E37-94
EM34	CNN_LE_20030504.1200.02-2-E37-95
EM35	CNN_LE_20030504.1200.02-2-E37-96
EM65	CNN_LE_20030504.1200.02-2-E35-97
EM2	CNN_LE_20030504.1200.02-2-E38-98
EM3	CNN_LE_20030504.1200.02-2-E39-99
EM4	CNN_LE_20030504.1200.02-2-E40-100
EM5	CNN_LE_20030504.1200.02-2-E41-101
EM6	CNN_LE_20030504.1200.02-2-E40-102
EM7	CNN_LE_20030504.1200.02-2-E42-103
EM8	CNN_LE_20030504.1200.02-2-E43-104
EM9	CNN_LE_20030504.1200.02-2-E39-105
EM10	CNN_LE_20030504.1200.02-2-E40-106
EM11	CNN_LE_20030504.1200.02-2-E44-107
EM12	CNN_LE_20030504.1200.02-2-E45-108
EM13	CNN_LE_20030504.1200.02-2-E46-109
EM63	CNN_LE_20030504.1200.02-2-E13-110
EM15	CNN_LE_20030504.1200.02-2-E42-111
EM16	CNN_LE_20030504.1200.02-2-E39-112
R1	CNN_LE_20030504.1200.02-2-R1
R3	CNN_LE_20030504.1200.02-2-R2
R2	CNN_LE_20030504.1200.02-2-R3
R4	CNN_LE_20030504.1200.02-2-R4
R5	CNN_LE_20030504.1200.02-2-R5
R6	CNN_LE_20030504.1200.02-2-R6
R8	CNN_LE_20030504.1200.02-2-R7
R10	CNN_LE_20030504.1200.02-2-R8
R9	CNN_LE_20030504.1200.02-2-R9
R11	CNN_LE_20030504.1200.02-2-R10
RM1	CNN_LE_20030504.1200.02-2-R1-1
RM3	CNN_LE_20030504.1200.02-2-R2-1
RM2	CNN_LE_20030504.1200.02-2-R3-1
