CE1	CNNHL_ENG_20030402_193443.5-CE1
CE4	CNNHL_ENG_20030402_193443.5-CE2
CE3	CNNHL_ENG_20030402_193443.5-CE3
CE9	CNNHL_ENG_20030402_193443.5-CE4
CE5	CNNHL_ENG_20030402_193443.5-CE5
CE2	CNNHL_ENG_20030402_193443.5-CE6
CE6	CNNHL_ENG_20030402_193443.5-CE7
CE7	CNNHL_ENG_20030402_193443.5-CE8
CE8	CNNHL_ENG_20030402_193443.5-CE9
CE10	CNNHL_ENG_20030402_193443.5-CE10
E17	CNNHL_ENG_20030402_193443.5-E1
E1	CNNHL_ENG_20030402_193443.5-E2
E3	CNNHL_ENG_20030402_193443.5-E3
E18	CNNHL_ENG_20030402_193443.5-E4
E6	CNNHL_ENG_20030402_193443.5-E5
E8	CNNHL_ENG_20030402_193443.5-E6
E15	CNNHL_ENG_20030402_193443.5-E7
E11	CNNHL_ENG_20030402_193443.5-E8
E20	CNNHL_ENG_20030402_193443.5-E9
E14	CNNHL_ENG_20030402_193443.5-E10
EM1	CNNHL_ENG_20030402_193443.5-E2-1
EM4	CNNHL_ENG_20030402_193443.5-E1-2
EM2	CNNHL_ENG_20030402_193443.5-E2-3
EM3	CNNHL_ENG_20030402_193443.5-E3-4
EM11	CNNHL_ENG_20030402_193443.5-E4-5
EM6	CNNHL_ENG_20030402_193443.5-E9-6
EM5	CNNHL_ENG_20030402_193443.5-E5-7
EM7	CNNHL_ENG_20030402_193443.5-E6-8
EM9	CNNHL_ENG_20030402_193443.5-E7-9
EM8	CNNHL_ENG_20030402_193443.5-E6-10
EM13	CNNHL_ENG_20030402_193443.5-E6-11
EM10	CNNHL_ENG_20030402_193443.5-E8-12
EM12	CNNHL_ENG_20030402_193443.5-E10-13
EM14	CNNHL_ENG_20030402_193443.5-E8-14
R2	CNNHL_ENG_20030402_193443.5-R1
R3	CNNHL_ENG_20030402_193443.5-R2
R4	CNNHL_ENG_20030402_193443.5-R3
R5	CNNHL_ENG_20030402_193443.5-R4
R1	CNNHL_ENG_20030402_193443.5-R5
RM2	CNNHL_ENG_20030402_193443.5-R1-1
RM4	CNNHL_ENG_20030402_193443.5-R2-1
RM3	CNNHL_ENG_20030402_193443.5-R3-1
RM5	CNNHL_ENG_20030402_193443.5-R4-1
RM1	CNNHL_ENG_20030402_193443.5-R5-1
V1	CNNHL_ENG_20030402_193443.5-EV1
V2	CNNHL_ENG_20030402_193443.5-EV2
VM1	CNNHL_ENG_20030402_193443.5-EV1-1
VM2	CNNHL_ENG_20030402_193443.5-EV2-1
Q1	CNNHL_ENG_20030402_193443.5-T1
