CE9	CNN_ENG_20030313_083739.0-CE1
CE10	CNN_ENG_20030313_083739.0-CE2
CE1	CNN_ENG_20030313_083739.0-CE3
CE11	CNN_ENG_20030313_083739.0-CE4
CE12	CNN_ENG_20030313_083739.0-CE5
CE13	CNN_ENG_20030313_083739.0-CE6
CE14	CNN_ENG_20030313_083739.0-CE7
CE15	CNN_ENG_20030313_083739.0-CE8
CE16	CNN_ENG_20030313_083739.0-CE9
CE17	CNN_ENG_20030313_083739.0-CE10
CE2	CNN_ENG_20030313_083739.0-CE11
CE3	CNN_ENG_20030313_083739.0-CE12
CE4	CNN_ENG_20030313_083739.0-CE13
CE5	CNN_ENG_20030313_083739.0-CE14
CE6	CNN_ENG_20030313_083739.0-CE15
CE7	CNN_ENG_20030313_083739.0-CE16
CE8	CNN_ENG_20030313_083739.0-CE17
E12	CNN_ENG_20030313_083739.0-E1
E13	CNN_ENG_20030313_083739.0-E2
E15	CNN_ENG_20030313_083739.0-E3
E16	CNN_ENG_20030313_083739.0-E4
E17	CNN_ENG_20030313_083739.0-E5
E18	CNN_ENG_20030313_083739.0-E6
E19	CNN_ENG_20030313_083739.0-E7
E20	CNN_ENG_20030313_083739.0-E8
E21	CNN_ENG_20030313_083739.0-E9
E22	CNN_ENG_20030313_083739.0-E10
E23	CNN_ENG_20030313_083739.0-E11
E1	CNN_ENG_20030313_083739.0-E12
E2	CNN_ENG_20030313_083739.0-E13
E3	CNN_ENG_20030313_083739.0-E14
E4	CNN_ENG_20030313_083739.0-E15
E5	CNN_ENG_20030313_083739.0-E16
E6	CNN_ENG_20030313_083739.0-E17
E7	CNN_ENG_20030313_083739.0-E18
E8	CNN_ENG_20030313_083739.0-E19
E9	CNN_ENG_20030313_083739.0-E20
E10	CNN_ENG_20030313_083739.0-E21
E11	CNN_ENG_20030313_083739.0-E22
EM1	CNN_ENG_20030313_083739.0-E12-1
EM21	CNN_ENG_20030313_083739.0-E12-2
EM23	CNN_ENG_20030313_083739.0-E2-3
EM24	CNN_ENG_20030313_083739.0-E12-4
EM25	CNN_ENG_20030313_083739.0-E3-5
EM26	CNN_ENG_20030313_083739.0-E4-6
EM27	CNN_ENG_20030313_083739.0-E5-7
EM28	CNN_ENG_20030313_083739.0-E6-8
EM29	CNN_ENG_20030313_083739.0-E20-9
EM30	CNN_ENG_20030313_083739.0-E20-10
EM31	CNN_ENG_20030313_083739.0-E21-11
EM32	CNN_ENG_20030313_083739.0-E12-12
EM34	CNN_ENG_20030313_083739.0-E7-13
EM33	CNN_ENG_20030313_083739.0-E19-14
EM35	CNN_ENG_20030313_083739.0-E6-15
EM36	CNN_ENG_20030313_083739.0-E8-16
EM37	CNN_ENG_20030313_083739.0-E9-17
EM38	CNN_ENG_20030313_083739.0-E10-18
EM39	CNN_ENG_20030313_083739.0-E11-19
EM40	CNN_ENG_20030313_083739.0-E12-20
EM41	CNN_ENG_20030313_083739.0-E12-21
EM42	CNN_ENG_20030313_083739.0-E1-22
EM43	CNN_ENG_20030313_083739.0-E2-23
EM44	CNN_ENG_20030313_083739.0-E4-24
EM2	CNN_ENG_20030313_083739.0-E13-25
EM3	CNN_ENG_20030313_083739.0-E13-26
EM4	CNN_ENG_20030313_083739.0-E14-27
EM5	CNN_ENG_20030313_083739.0-E15-28
EM6	CNN_ENG_20030313_083739.0-E16-29
EM7	CNN_ENG_20030313_083739.0-E13-30
EM8	CNN_ENG_20030313_083739.0-E17-31
EM9	CNN_ENG_20030313_083739.0-E17-32
EM10	CNN_ENG_20030313_083739.0-E13-33
EM11	CNN_ENG_20030313_083739.0-E13-34
EM12	CNN_ENG_20030313_083739.0-E18-35
EM13	CNN_ENG_20030313_083739.0-E19-36
EM14	CNN_ENG_20030313_083739.0-E20-37
EM15	CNN_ENG_20030313_083739.0-E21-38
EM16	CNN_ENG_20030313_083739.0-E20-39
EM17	CNN_ENG_20030313_083739.0-E21-40
EM18	CNN_ENG_20030313_083739.0-E22-41
EM19	CNN_ENG_20030313_083739.0-E12-42
EM22	CNN_ENG_20030313_083739.0-E1-43
EM20	CNN_ENG_20030313_083739.0-E12-44
R1	CNN_ENG_20030313_083739.0-R1
R2	CNN_ENG_20030313_083739.0-R2
R3	CNN_ENG_20030313_083739.0-R3
R5	CNN_ENG_20030313_083739.0-R4
R4	CNN_ENG_20030313_083739.0-R5
R3	CNN_ENG_20030313_083739.0-R6
RM1	CNN_ENG_20030313_083739.0-R1-1
RM2	CNN_ENG_20030313_083739.0-R2-1
RM3	CNN_ENG_20030313_083739.0-R3-1
RM6	CNN_ENG_20030313_083739.0-R4-1
RM5	CNN_ENG_20030313_083739.0-R5-1
RM4	CNN_ENG_20030313_083739.0-R3-2
Q1	CNN_ENG_20030313_083739.0-T1
Q2	CNN_ENG_20030313_083739.0-T2
Q3	CNN_ENG_20030313_083739.0-T3
Q5	CNN_ENG_20030313_083739.0-T4
Q4	CNN_ENG_20030313_083739.0-T5
