CE12	CNNHL_ENG_20030425_183518.12-CE1
CE13	CNNHL_ENG_20030425_183518.12-CE2
CE14	CNNHL_ENG_20030425_183518.12-CE3
CE15	CNNHL_ENG_20030425_183518.12-CE4
CE16	CNNHL_ENG_20030425_183518.12-CE5
CE17	CNNHL_ENG_20030425_183518.12-CE6
CE18	CNNHL_ENG_20030425_183518.12-CE7
CE1	CNNHL_ENG_20030425_183518.12-CE8
CE3	CNNHL_ENG_20030425_183518.12-CE9
CE4	CNNHL_ENG_20030425_183518.12-CE10
CE5	CNNHL_ENG_20030425_183518.12-CE11
CE6	CNNHL_ENG_20030425_183518.12-CE12
CE7	CNNHL_ENG_20030425_183518.12-CE13
CE8	CNNHL_ENG_20030425_183518.12-CE14
CE9	CNNHL_ENG_20030425_183518.12-CE15
CE10	CNNHL_ENG_20030425_183518.12-CE16
CE11	CNNHL_ENG_20030425_183518.12-CE17
E16	CNNHL_ENG_20030425_183518.12-E1
E17	CNNHL_ENG_20030425_183518.12-E2
E18	CNNHL_ENG_20030425_183518.12-E3
E19	CNNHL_ENG_20030425_183518.12-E4
E20	CNNHL_ENG_20030425_183518.12-E5
E21	CNNHL_ENG_20030425_183518.12-E6
E22	CNNHL_ENG_20030425_183518.12-E7
E23	CNNHL_ENG_20030425_183518.12-E8
E1	CNNHL_ENG_20030425_183518.12-E9
E3	CNNHL_ENG_20030425_183518.12-E10
E5	CNNHL_ENG_20030425_183518.12-E11
E7	CNNHL_ENG_20030425_183518.12-E12
E8	CNNHL_ENG_20030425_183518.12-E13
E9	CNNHL_ENG_20030425_183518.12-E14
E10	CNNHL_ENG_20030425_183518.12-E15
E12	CNNHL_ENG_20030425_183518.12-E16
E13	CNNHL_ENG_20030425_183518.12-E17
E15	CNNHL_ENG_20030425_183518.12-E18
EM1	CNNHL_ENG_20030425_183518.12-E9-1
EM17	CNNHL_ENG_20030425_183518.12-E10-2
EM18	CNNHL_ENG_20030425_183518.12-E2-3
EM19	CNNHL_ENG_20030425_183518.12-E3-4
EM20	CNNHL_ENG_20030425_183518.12-E3-5
EM21	CNNHL_ENG_20030425_183518.12-E4-6
EM22	CNNHL_ENG_20030425_183518.12-E5-7
EM23	CNNHL_ENG_20030425_183518.12-E6-8
EM24	CNNHL_ENG_20030425_183518.12-E10-9
EM25	CNNHL_ENG_20030425_183518.12-E7-10
EM15	CNNHL_ENG_20030425_183518.12-E8-11
EM3	CNNHL_ENG_20030425_183518.12-E10-12
EM4	CNNHL_ENG_20030425_183518.12-E11-13
EM2	CNNHL_ENG_20030425_183518.12-E12-14
EM5	CNNHL_ENG_20030425_183518.12-E10-15
EM6	CNNHL_ENG_20030425_183518.12-E13-16
EM7	CNNHL_ENG_20030425_183518.12-E14-17
EM8	CNNHL_ENG_20030425_183518.12-E10-18
EM9	CNNHL_ENG_20030425_183518.12-E13-19
EM10	CNNHL_ENG_20030425_183518.12-E15-20
EM11	CNNHL_ENG_20030425_183518.12-E16-21
EM12	CNNHL_ENG_20030425_183518.12-E15-22
EM13	CNNHL_ENG_20030425_183518.12-E17-23
EM14	CNNHL_ENG_20030425_183518.12-E18-24
EM16	CNNHL_ENG_20030425_183518.12-E1-25
R1	CNNHL_ENG_20030425_183518.12-R1
R2	CNNHL_ENG_20030425_183518.12-R2
R3	CNNHL_ENG_20030425_183518.12-R3
R4	CNNHL_ENG_20030425_183518.12-R4
R5	CNNHL_ENG_20030425_183518.12-R5
R6	CNNHL_ENG_20030425_183518.12-R6
RM1	CNNHL_ENG_20030425_183518.12-R1-1
RM2	CNNHL_ENG_20030425_183518.12-R2-1
RM3	CNNHL_ENG_20030425_183518.12-R3-1
RM4	CNNHL_ENG_20030425_183518.12-R4-1
RM5	CNNHL_ENG_20030425_183518.12-R5-1
RM6	CNNHL_ENG_20030425_183518.12-R6-1
V1	CNNHL_ENG_20030425_183518.12-EV1
V2	CNNHL_ENG_20030425_183518.12-EV2
V3	CNNHL_ENG_20030425_183518.12-EV3
V4	CNNHL_ENG_20030425_183518.12-EV4
V5	CNNHL_ENG_20030425_183518.12-EV5
VM1	CNNHL_ENG_20030425_183518.12-EV1-1
VM2	CNNHL_ENG_20030425_183518.12-EV2-1
VM3	CNNHL_ENG_20030425_183518.12-EV3-1
VM4	CNNHL_ENG_20030425_183518.12-EV4-1
VM5	CNNHL_ENG_20030425_183518.12-EV5-1
Q1	CNNHL_ENG_20030425_183518.12-T1
Q2	CNNHL_ENG_20030425_183518.12-T2
Q3	CNNHL_ENG_20030425_183518.12-T3
Q4	CNNHL_ENG_20030425_183518.12-V1
Q5	CNNHL_ENG_20030425_183518.12-T4
Q6	CNNHL_ENG_20030425_183518.12-T5
Q8	CNNHL_ENG_20030425_183518.12-T6
QM4	CNNHL_ENG_20030425_183518.12-V1-1
