CE13	CNN_ENG_20030408_123613.0-CE1
CE14	CNN_ENG_20030408_123613.0-CE2
CE15	CNN_ENG_20030408_123613.0-CE3
CE16	CNN_ENG_20030408_123613.0-CE4
CE17	CNN_ENG_20030408_123613.0-CE5
CE18	CNN_ENG_20030408_123613.0-CE6
CE19	CNN_ENG_20030408_123613.0-CE7
CE23	CNN_ENG_20030408_123613.0-CE8
CE24	CNN_ENG_20030408_123613.0-CE9
CE25	CNN_ENG_20030408_123613.0-CE10
CE26	CNN_ENG_20030408_123613.0-CE11
CE1	CNN_ENG_20030408_123613.0-CE12
CE2	CNN_ENG_20030408_123613.0-CE13
CE3	CNN_ENG_20030408_123613.0-CE14
CE4	CNN_ENG_20030408_123613.0-CE15
CE5	CNN_ENG_20030408_123613.0-CE16
CE6	CNN_ENG_20030408_123613.0-CE17
CE7	CNN_ENG_20030408_123613.0-CE18
CE8	CNN_ENG_20030408_123613.0-CE19
CE10	CNN_ENG_20030408_123613.0-CE20
CE11	CNN_ENG_20030408_123613.0-CE21
CE12	CNN_ENG_20030408_123613.0-CE22
E16	CNN_ENG_20030408_123613.0-E1
E17	CNN_ENG_20030408_123613.0-E2
E18	CNN_ENG_20030408_123613.0-E3
E19	CNN_ENG_20030408_123613.0-E4
E20	CNN_ENG_20030408_123613.0-E5
E21	CNN_ENG_20030408_123613.0-E6
E22	CNN_ENG_20030408_123613.0-E7
E23	CNN_ENG_20030408_123613.0-E8
E24	CNN_ENG_20030408_123613.0-E9
E28	CNN_ENG_20030408_123613.0-E10
E29	CNN_ENG_20030408_123613.0-E11
E30	CNN_ENG_20030408_123613.0-E12
E32	CNN_ENG_20030408_123613.0-E13
E33	CNN_ENG_20030408_123613.0-E14
E1	CNN_ENG_20030408_123613.0-E15
E2	CNN_ENG_20030408_123613.0-E16
E3	CNN_ENG_20030408_123613.0-E17
E4	CNN_ENG_20030408_123613.0-E18
E5	CNN_ENG_20030408_123613.0-E19
E6	CNN_ENG_20030408_123613.0-E20
E7	CNN_ENG_20030408_123613.0-E21
E8	CNN_ENG_20030408_123613.0-E22
E12	CNN_ENG_20030408_123613.0-E23
E13	CNN_ENG_20030408_123613.0-E24
E14	CNN_ENG_20030408_123613.0-E25
EM1	CNN_ENG_20030408_123613.0-E15-1
EM18	CNN_ENG_20030408_123613.0-E2-2
EM19	CNN_ENG_20030408_123613.0-E3-3
EM20	CNN_ENG_20030408_123613.0-E4-4
EM21	CNN_ENG_20030408_123613.0-E6-5
EM22	CNN_ENG_20030408_123613.0-E7-6
EM23	CNN_ENG_20030408_123613.0-E8-7
EM24	CNN_ENG_20030408_123613.0-E9-8
EM28	CNN_ENG_20030408_123613.0-E10-9
EM29	CNN_ENG_20030408_123613.0-E11-10
EM30	CNN_ENG_20030408_123613.0-E4-11
EM31	CNN_ENG_20030408_123613.0-E12-12
EM32	CNN_ENG_20030408_123613.0-E13-13
EM33	CNN_ENG_20030408_123613.0-E14-14
EM34	CNN_ENG_20030408_123613.0-E8-15
EM35	CNN_ENG_20030408_123613.0-E5-16
EM2	CNN_ENG_20030408_123613.0-E16-17
EM3	CNN_ENG_20030408_123613.0-E17-18
EM4	CNN_ENG_20030408_123613.0-E18-19
EM5	CNN_ENG_20030408_123613.0-E19-20
EM6	CNN_ENG_20030408_123613.0-E20-21
EM7	CNN_ENG_20030408_123613.0-E19-22
EM8	CNN_ENG_20030408_123613.0-E21-23
EM9	CNN_ENG_20030408_123613.0-E22-24
EM10	CNN_ENG_20030408_123613.0-E22-25
EM12	CNN_ENG_20030408_123613.0-E23-26
EM13	CNN_ENG_20030408_123613.0-E24-27
EM14	CNN_ENG_20030408_123613.0-E24-28
EM15	CNN_ENG_20030408_123613.0-E25-29
EM17	CNN_ENG_20030408_123613.0-E1-30
R3	CNN_ENG_20030408_123613.0-R1
R4	CNN_ENG_20030408_123613.0-R2
RM3	CNN_ENG_20030408_123613.0-R1-1
RM4	CNN_ENG_20030408_123613.0-R2-1
V1	CNN_ENG_20030408_123613.0-EV1
V2	CNN_ENG_20030408_123613.0-EV2
V3	CNN_ENG_20030408_123613.0-EV3
V4	CNN_ENG_20030408_123613.0-EV4
VM1	CNN_ENG_20030408_123613.0-EV1-1
VM2	CNN_ENG_20030408_123613.0-EV2-1
VM3	CNN_ENG_20030408_123613.0-EV3-1
VM4	CNN_ENG_20030408_123613.0-EV4-1
Q1	CNN_ENG_20030408_123613.0-T1
Q2	CNN_ENG_20030408_123613.0-T2
Q3	CNN_ENG_20030408_123613.0-T3
