CE3	CNNHL_ENG_20030416_193742.26-CE1
CE4	CNNHL_ENG_20030416_193742.26-CE2
CE5	CNNHL_ENG_20030416_193742.26-CE3
CE2	CNNHL_ENG_20030416_193742.26-CE4
CE6	CNNHL_ENG_20030416_193742.26-CE5
CE1	CNNHL_ENG_20030416_193742.26-CE6
CE7	CNNHL_ENG_20030416_193742.26-CE7
E1	CNNHL_ENG_20030416_193742.26-E1
E2	CNNHL_ENG_20030416_193742.26-E2
E3	CNNHL_ENG_20030416_193742.26-E3
E5	CNNHL_ENG_20030416_193742.26-E4
E6	CNNHL_ENG_20030416_193742.26-E5
E8	CNNHL_ENG_20030416_193742.26-E6
E9	CNNHL_ENG_20030416_193742.26-E7
EM1	CNNHL_ENG_20030416_193742.26-E1-1
EM2	CNNHL_ENG_20030416_193742.26-E2-2
EM3	CNNHL_ENG_20030416_193742.26-E1-3
EM4	CNNHL_ENG_20030416_193742.26-E3-4
EM5	CNNHL_ENG_20030416_193742.26-E4-5
EM6	CNNHL_ENG_20030416_193742.26-E1-6
EM7	CNNHL_ENG_20030416_193742.26-E5-7
EM8	CNNHL_ENG_20030416_193742.26-E6-8
EM9	CNNHL_ENG_20030416_193742.26-E7-9
EM10	CNNHL_ENG_20030416_193742.26-E7-10
R2	CNNHL_ENG_20030416_193742.26-R1
R1	CNNHL_ENG_20030416_193742.26-R2
RM2	CNNHL_ENG_20030416_193742.26-R1-1
RM1	CNNHL_ENG_20030416_193742.26-R2-1
V1	CNNHL_ENG_20030416_193742.26-EV1
VM1	CNNHL_ENG_20030416_193742.26-EV1-1
Q1	CNNHL_ENG_20030416_193742.26-T1
Q2	CNNHL_ENG_20030416_193742.26-T2
Q3	CNNHL_ENG_20030416_193742.26-T3
