CE9	CNN_ENG_20030603_095830.17-CE1
CE10	CNN_ENG_20030603_095830.17-CE2
CE11	CNN_ENG_20030603_095830.17-CE3
CE5	CNN_ENG_20030603_095830.17-CE4
CE6	CNN_ENG_20030603_095830.17-CE5
CE3	CNN_ENG_20030603_095830.17-CE6
CE2	CNN_ENG_20030603_095830.17-CE7
CE1	CNN_ENG_20030603_095830.17-CE8
CE4	CNN_ENG_20030603_095830.17-CE9
CE7	CNN_ENG_20030603_095830.17-CE10
CE8	CNN_ENG_20030603_095830.17-CE11
E17	CNN_ENG_20030603_095830.17-E1
E18	CNN_ENG_20030603_095830.17-E2
E19	CNN_ENG_20030603_095830.17-E3
E20	CNN_ENG_20030603_095830.17-E4
E21	CNN_ENG_20030603_095830.17-E5
E23	CNN_ENG_20030603_095830.17-E6
E1	CNN_ENG_20030603_095830.17-E7
E2	CNN_ENG_20030603_095830.17-E8
E3	CNN_ENG_20030603_095830.17-E9
E5	CNN_ENG_20030603_095830.17-E10
E7	CNN_ENG_20030603_095830.17-E11
E9	CNN_ENG_20030603_095830.17-E12
E10	CNN_ENG_20030603_095830.17-E13
E12	CNN_ENG_20030603_095830.17-E14
E13	CNN_ENG_20030603_095830.17-E15
E16	CNN_ENG_20030603_095830.17-E16
EM1	CNN_ENG_20030603_095830.17-E7-1
EM16	CNN_ENG_20030603_095830.17-E1-2
EM18	CNN_ENG_20030603_095830.17-E2-3
EM19	CNN_ENG_20030603_095830.17-E3-4
EM20	CNN_ENG_20030603_095830.17-E1-5
EM21	CNN_ENG_20030603_095830.17-E1-6
EM22	CNN_ENG_20030603_095830.17-E1-7
EM23	CNN_ENG_20030603_095830.17-E7-8
EM24	CNN_ENG_20030603_095830.17-E4-9
EM25	CNN_ENG_20030603_095830.17-E5-10
EM13	CNN_ENG_20030603_095830.17-E15-11
EM14	CNN_ENG_20030603_095830.17-E15-12
EM2	CNN_ENG_20030603_095830.17-E8-13
EM3	CNN_ENG_20030603_095830.17-E9-14
EM4	CNN_ENG_20030603_095830.17-E10-15
EM5	CNN_ENG_20030603_095830.17-E11-16
EM6	CNN_ENG_20030603_095830.17-E12-17
EM26	CNN_ENG_20030603_095830.17-E6-18
EM7	CNN_ENG_20030603_095830.17-E7-19
EM8	CNN_ENG_20030603_095830.17-E13-20
EM9	CNN_ENG_20030603_095830.17-E7-21
EM10	CNN_ENG_20030603_095830.17-E14-22
EM11	CNN_ENG_20030603_095830.17-E7-23
EM12	CNN_ENG_20030603_095830.17-E15-24
EM15	CNN_ENG_20030603_095830.17-E16-25
EM17	CNN_ENG_20030603_095830.17-E1-26
R1	CNN_ENG_20030603_095830.17-R1
R2	CNN_ENG_20030603_095830.17-R2
R3	CNN_ENG_20030603_095830.17-R3
RM1	CNN_ENG_20030603_095830.17-R1-1
RM2	CNN_ENG_20030603_095830.17-R2-1
RM3	CNN_ENG_20030603_095830.17-R3-1
V3	CNN_ENG_20030603_095830.17-EV1
V1	CNN_ENG_20030603_095830.17-EV2
VM2	CNN_ENG_20030603_095830.17-EV2-1
VM4	CNN_ENG_20030603_095830.17-EV2-2
VM1	CNN_ENG_20030603_095830.17-EV1-1
Q1	CNN_ENG_20030603_095830.17-T1
Q2	CNN_ENG_20030603_095830.17-T2
Q3	CNN_ENG_20030603_095830.17-T3
Q4	CNN_ENG_20030603_095830.17-T4
Q5	CNN_ENG_20030603_095830.17-T5
Q6	CNN_ENG_20030603_095830.17-T6
Q7	CNN_ENG_20030603_095830.17-T7
