CE4	fsh_29521-CE1
CE7	fsh_29521-CE2
CE16	fsh_29521-CE3
CE17	fsh_29521-CE4
CE3	fsh_29521-CE5
CE20	fsh_29521-CE6
CE41	fsh_29521-CE7
CE40	fsh_29521-CE8
CE42	fsh_29521-CE9
CE26	fsh_29521-CE10
CE12	fsh_29521-CE11
CE14	fsh_29521-CE12
CE15	fsh_29521-CE13
CE43	fsh_29521-CE14
CE1	fsh_29521-CE15
CE18	fsh_29521-CE16
CE19	fsh_29521-CE17
CE21	fsh_29521-CE18
CE22	fsh_29521-CE19
CE23	fsh_29521-CE20
CE24	fsh_29521-CE21
CE25	fsh_29521-CE22
CE2	fsh_29521-CE23
CE27	fsh_29521-CE24
CE28	fsh_29521-CE25
CE29	fsh_29521-CE26
CE30	fsh_29521-CE27
CE32	fsh_29521-CE28
CE33	fsh_29521-CE29
CE31	fsh_29521-CE30
CE34	fsh_29521-CE31
CE35	fsh_29521-CE32
CE36	fsh_29521-CE33
CE37	fsh_29521-CE34
CE38	fsh_29521-CE35
CE39	fsh_29521-CE36
CE44	fsh_29521-CE37
CE46	fsh_29521-CE38
CE5	fsh_29521-CE39
CE6	fsh_29521-CE40
CE45	fsh_29521-CE41
CE8	fsh_29521-CE42
CE9	fsh_29521-CE43
CE10	fsh_29521-CE44
CE11	fsh_29521-CE45
CE13	fsh_29521-CE46
E68	fsh_29521-E1
E86	fsh_29521-E2
E87	fsh_29521-E3
E1	fsh_29521-E4
E70	fsh_29521-E5
E71	fsh_29521-E6
E72	fsh_29521-E7
E73	fsh_29521-E8
E88	fsh_29521-E9
E89	fsh_29521-E10
E90	fsh_29521-E11
E56	fsh_29521-E12
E79	fsh_29521-E13
E80	fsh_29521-E14
E83	fsh_29521-E15
E84	fsh_29521-E16
E15	fsh_29521-E17
E16	fsh_29521-E18
E18	fsh_29521-E19
E57	fsh_29521-E20
E22	fsh_29521-E21
E26	fsh_29521-E22
E27	fsh_29521-E23
E28	fsh_29521-E24
E29	fsh_29521-E25
E30	fsh_29521-E26
E31	fsh_29521-E27
E33	fsh_29521-E28
E35	fsh_29521-E29
E36	fsh_29521-E30
E58	fsh_29521-E31
E37	fsh_29521-E32
E38	fsh_29521-E33
E39	fsh_29521-E34
E40	fsh_29521-E35
E42	fsh_29521-E36
E43	fsh_29521-E37
E44	fsh_29521-E38
E45	fsh_29521-E39
E3	fsh_29521-E40
E47	fsh_29521-E41
E48	fsh_29521-E42
E49	fsh_29521-E43
