CE12	fsh_29782_2-CE1
CE13	fsh_29782_2-CE2
CE14	fsh_29782_2-CE3
CE15	fsh_29782_2-CE4
CE16	fsh_29782_2-CE5
CE17	fsh_29782_2-CE6
CE18	fsh_29782_2-CE7
CE19	fsh_29782_2-CE8
CE20	fsh_29782_2-CE9
CE21	fsh_29782_2-CE10
CE22	fsh_29782_2-CE11
CE23	fsh_29782_2-CE12
CE24	fsh_29782_2-CE13
CE25	fsh_29782_2-CE14
CE26	fsh_29782_2-CE15
CE7	fsh_29782_2-CE16
CE28	fsh_29782_2-CE17
CE29	fsh_29782_2-CE18
CE30	fsh_29782_2-CE19
CE31	fsh_29782_2-CE20
CE32	fsh_29782_2-CE21
CE33	fsh_29782_2-CE22
CE34	fsh_29782_2-CE23
CE35	fsh_29782_2-CE24
CE36	fsh_29782_2-CE25
CE37	fsh_29782_2-CE26
CE38	fsh_29782_2-CE27
CE39	fsh_29782_2-CE28
CE40	fsh_29782_2-CE29
CE41	fsh_29782_2-CE30
CE42	fsh_29782_2-CE31
CE43	fsh_29782_2-CE32
CE44	fsh_29782_2-CE33
CE45	fsh_29782_2-CE34
CE3	fsh_29782_2-CE35
CE4	fsh_29782_2-CE36
CE5	fsh_29782_2-CE37
CE8	fsh_29782_2-CE38
CE9	fsh_29782_2-CE39
CE10	fsh_29782_2-CE40
CE11	fsh_29782_2-CE41
E12	fsh_29782_2-E1
E13	fsh_29782_2-E2
E14	fsh_29782_2-E3
E15	fsh_29782_2-E4
E16	fsh_29782_2-E5
E17	fsh_29782_2-E6
E19	fsh_29782_2-E7
E20	fsh_29782_2-E8
E21	fsh_29782_2-E9
E22	fsh_29782_2-E10
E23	fsh_29782_2-E11
E24	fsh_29782_2-E12
E25	fsh_29782_2-E13
E7	fsh_29782_2-E14
E26	fsh_29782_2-E15
E27	fsh_29782_2-E16
E29	fsh_29782_2-E17
E31	fsh_29782_2-E18
E32	fsh_29782_2-E19
E33	fsh_29782_2-E20
E34	fsh_29782_2-E21
E35	fsh_29782_2-E22
E36	fsh_29782_2-E23
E37	fsh_29782_2-E24
E38	fsh_29782_2-E25
E39	fsh_29782_2-E26
E40	fsh_29782_2-E27
E5	fsh_29782_2-E28
E41	fsh_29782_2-E29
E42	fsh_29782_2-E30
E43	fsh_29782_2-E31
E44	fsh_29782_2-E32
E45	fsh_29782_2-E33
E46	fsh_29782_2-E34
E47	fsh_29782_2-E35
E48	fsh_29782_2-E36
E49	fsh_29782_2-E37
E50	fsh_29782_2-E38
E51	fsh_29782_2-E39
E3	fsh_29782_2-E40
E52	fsh_29782_2-E41
E53	fsh_29782_2-E42
E54	fsh_29782_2-E43
E55	fsh_29782_2-E44
E4	fsh_29782_2-E45
E8	fsh_29782_2-E46
