CE1	AFP_ENG_20030330.0211-CE1
CE16	AFP_ENG_20030330.0211-CE2
CE5	AFP_ENG_20030330.0211-CE3
CE17	AFP_ENG_20030330.0211-CE4
CE18	AFP_ENG_20030330.0211-CE5
CE19	AFP_ENG_20030330.0211-CE6
CE20	AFP_ENG_20030330.0211-CE7
CE21	AFP_ENG_20030330.0211-CE8
CE25	AFP_ENG_20030330.0211-CE9
CE27	AFP_ENG_20030330.0211-CE10
CE28	AFP_ENG_20030330.0211-CE11
CE14	AFP_ENG_20030330.0211-CE12
CE8	AFP_ENG_20030330.0211-CE13
CE15	AFP_ENG_20030330.0211-CE14
CE22	AFP_ENG_20030330.0211-CE15
CE23	AFP_ENG_20030330.0211-CE16
CE24	AFP_ENG_20030330.0211-CE17
CE26	AFP_ENG_20030330.0211-CE18
CE4	AFP_ENG_20030330.0211-CE19
CE3	AFP_ENG_20030330.0211-CE20
CE9	AFP_ENG_20030330.0211-CE21
CE10	AFP_ENG_20030330.0211-CE22
CE11	AFP_ENG_20030330.0211-CE23
CE2	AFP_ENG_20030330.0211-CE24
CE12	AFP_ENG_20030330.0211-CE25
CE6	AFP_ENG_20030330.0211-CE26
CE7	AFP_ENG_20030330.0211-CE27
CE13	AFP_ENG_20030330.0211-CE28
E21	AFP_ENG_20030330.0211-E1
E54	AFP_ENG_20030330.0211-E2
E23	AFP_ENG_20030330.0211-E3
E57	AFP_ENG_20030330.0211-E4
E26	AFP_ENG_20030330.0211-E5
E27	AFP_ENG_20030330.0211-E6
E28	AFP_ENG_20030330.0211-E7
E29	AFP_ENG_20030330.0211-E8
E30	AFP_ENG_20030330.0211-E9
E58	AFP_ENG_20030330.0211-E10
E32	AFP_ENG_20030330.0211-E11
E59	AFP_ENG_20030330.0211-E12
E36	AFP_ENG_20030330.0211-E13
E38	AFP_ENG_20030330.0211-E14
E39	AFP_ENG_20030330.0211-E15
E1	AFP_ENG_20030330.0211-E16
E61	AFP_ENG_20030330.0211-E17
E41	AFP_ENG_20030330.0211-E18
E43	AFP_ENG_20030330.0211-E19
E48	AFP_ENG_20030330.0211-E20
E49	AFP_ENG_20030330.0211-E21
E50	AFP_ENG_20030330.0211-E22
E51	AFP_ENG_20030330.0211-E23
E3	AFP_ENG_20030330.0211-E24
E5	AFP_ENG_20030330.0211-E25
E6	AFP_ENG_20030330.0211-E26
E7	AFP_ENG_20030330.0211-E27
E8	AFP_ENG_20030330.0211-E28
E9	AFP_ENG_20030330.0211-E29
E10	AFP_ENG_20030330.0211-E30
E12	AFP_ENG_20030330.0211-E31
E13	AFP_ENG_20030330.0211-E32
E14	AFP_ENG_20030330.0211-E33
E15	AFP_ENG_20030330.0211-E34
E17	AFP_ENG_20030330.0211-E35
E18	AFP_ENG_20030330.0211-E36
EM3	AFP_ENG_20030330.0211-E16-1
EM22	AFP_ENG_20030330.0211-E16-2
EM16	AFP_ENG_20030330.0211-E2-3
EM18	AFP_ENG_20030330.0211-E35-4
EM19	AFP_ENG_20030330.0211-E1-5
EM20	AFP_ENG_20030330.0211-E16-6
EM21	AFP_ENG_20030330.0211-E3-7
EM30	AFP_ENG_20030330.0211-E4-8
EM24	AFP_ENG_20030330.0211-E16-9
EM25	AFP_ENG_20030330.0211-E5-10
EM26	AFP_ENG_20030330.0211-E6-11
EM27	AFP_ENG_20030330.0211-E7-12
EM28	AFP_ENG_20030330.0211-E8-13
EM35	AFP_ENG_20030330.0211-E10-14
EM31	AFP_ENG_20030330.0211-E9-15
EM32	AFP_ENG_20030330.0211-E19-16
EM43	AFP_ENG_20030330.0211-E12-17
EM33	AFP_ENG_20030330.0211-E11-18
EM34	AFP_ENG_20030330.0211-E26-19
EM40	AFP_ENG_20030330.0211-E32-20
EM41	AFP_ENG_20030330.0211-E13-21
EM44	AFP_ENG_20030330.0211-E14-22
EM45	AFP_ENG_20030330.0211-E26-23
EM46	AFP_ENG_20030330.0211-E29-24
EM47	AFP_ENG_20030330.0211-E15-25
EM48	AFP_ENG_20030330.0211-E26-26
EM15	AFP_ENG_20030330.0211-E18-27
EM17	AFP_ENG_20030330.0211-E19-28
EM23	AFP_ENG_20030330.0211-E16-29
EM36	AFP_ENG_20030330.0211-E20-30
EM37	AFP_ENG_20030330.0211-E21-31
EM38	AFP_ENG_20030330.0211-E22-32
EM42	AFP_ENG_20030330.0211-E23-33
EM29	AFP_ENG_20030330.0211-E28-34
EM4	AFP_ENG_20030330.0211-E24-35
EM5	AFP_ENG_20030330.0211-E25-36
EM6	AFP_ENG_20030330.0211-E27-37
EM7	AFP_ENG_20030330.0211-E28-38
