CE11	APW_ENG_20030602.0037-CE1
CE12	APW_ENG_20030602.0037-CE2
CE13	APW_ENG_20030602.0037-CE3
CE14	APW_ENG_20030602.0037-CE4
CE15	APW_ENG_20030602.0037-CE5
CE16	APW_ENG_20030602.0037-CE6
CE17	APW_ENG_20030602.0037-CE7
CE18	APW_ENG_20030602.0037-CE8
CE19	APW_ENG_20030602.0037-CE9
CE20	APW_ENG_20030602.0037-CE10
CE21	APW_ENG_20030602.0037-CE11
CE22	APW_ENG_20030602.0037-CE12
CE4	APW_ENG_20030602.0037-CE13
CE38	APW_ENG_20030602.0037-CE14
CE23	APW_ENG_20030602.0037-CE15
CE1	APW_ENG_20030602.0037-CE16
CE24	APW_ENG_20030602.0037-CE17
CE25	APW_ENG_20030602.0037-CE18
CE26	APW_ENG_20030602.0037-CE19
CE27	APW_ENG_20030602.0037-CE20
CE28	APW_ENG_20030602.0037-CE21
CE29	APW_ENG_20030602.0037-CE22
CE2	APW_ENG_20030602.0037-CE23
CE30	APW_ENG_20030602.0037-CE24
CE31	APW_ENG_20030602.0037-CE25
CE33	APW_ENG_20030602.0037-CE26
CE34	APW_ENG_20030602.0037-CE27
CE39	APW_ENG_20030602.0037-CE28
CE35	APW_ENG_20030602.0037-CE29
CE36	APW_ENG_20030602.0037-CE30
CE3	APW_ENG_20030602.0037-CE31
CE5	APW_ENG_20030602.0037-CE32
CE40	APW_ENG_20030602.0037-CE33
CE41	APW_ENG_20030602.0037-CE34
CE42	APW_ENG_20030602.0037-CE35
CE43	APW_ENG_20030602.0037-CE36
CE44	APW_ENG_20030602.0037-CE37
CE45	APW_ENG_20030602.0037-CE38
CE32	APW_ENG_20030602.0037-CE39
CE6	APW_ENG_20030602.0037-CE40
CE37	APW_ENG_20030602.0037-CE41
CE7	APW_ENG_20030602.0037-CE42
CE8	APW_ENG_20030602.0037-CE43
CE9	APW_ENG_20030602.0037-CE44
CE10	APW_ENG_20030602.0037-CE45
E18	APW_ENG_20030602.0037-E1
E19	APW_ENG_20030602.0037-E2
E20	APW_ENG_20030602.0037-E3
E21	APW_ENG_20030602.0037-E4
E22	APW_ENG_20030602.0037-E5
E23	APW_ENG_20030602.0037-E6
E24	APW_ENG_20030602.0037-E7
E25	APW_ENG_20030602.0037-E8
E26	APW_ENG_20030602.0037-E9
E27	APW_ENG_20030602.0037-E10
E28	APW_ENG_20030602.0037-E11
E29	APW_ENG_20030602.0037-E12
E30	APW_ENG_20030602.0037-E13
E32	APW_ENG_20030602.0037-E14
E33	APW_ENG_20030602.0037-E15
E34	APW_ENG_20030602.0037-E16
E35	APW_ENG_20030602.0037-E17
E36	APW_ENG_20030602.0037-E18
E104	APW_ENG_20030602.0037-E19
E37	APW_ENG_20030602.0037-E20
E1	APW_ENG_20030602.0037-E21
E39	APW_ENG_20030602.0037-E22
E40	APW_ENG_20030602.0037-E23
E41	APW_ENG_20030602.0037-E24
E42	APW_ENG_20030602.0037-E25
E43	APW_ENG_20030602.0037-E26
E44	APW_ENG_20030602.0037-E27
E45	APW_ENG_20030602.0037-E28
E46	APW_ENG_20030602.0037-E29
E47	APW_ENG_20030602.0037-E30
E48	APW_ENG_20030602.0037-E31
E49	APW_ENG_20030602.0037-E32
E50	APW_ENG_20030602.0037-E33
E51	APW_ENG_20030602.0037-E34
E53	APW_ENG_20030602.0037-E35
E54	APW_ENG_20030602.0037-E36
E56	APW_ENG_20030602.0037-E37
E57	APW_ENG_20030602.0037-E38
E58	APW_ENG_20030602.0037-E39
E59	APW_ENG_20030602.0037-E40
E60	APW_ENG_20030602.0037-E41
E61	APW_ENG_20030602.0037-E42
E62	APW_ENG_20030602.0037-E43
E63	APW_ENG_20030602.0037-E44
E65	APW_ENG_20030602.0037-E45
E68	APW_ENG_20030602.0037-E46
E71	APW_ENG_20030602.0037-E47
E72	APW_ENG_20030602.0037-E48
E107	APW_ENG_20030602.0037-E49
E74	APW_ENG_20030602.0037-E50
E75	APW_ENG_20030602.0037-E51
E76	APW_ENG_20030602.0037-E52
E78	APW_ENG_20030602.0037-E53
E79	APW_ENG_20030602.0037-E54
E80	APW_ENG_20030602.0037-E55
E2	APW_ENG_20030602.0037-E56
E81	APW_ENG_20030602.0037-E57
E1	APW_ENG_20030602.0037-E58
E126	APW_ENG_20030602.0037-E59
E127	APW_ENG_20030602.0037-E60
E129	APW_ENG_20030602.0037-E61
E103	APW_ENG_20030602.0037-E62
E3	APW_ENG_20030602.0037-E63
E111	APW_ENG_20030602.0037-E64
E112	APW_ENG_20030602.0037-E65
E113	APW_ENG_20030602.0037-E66
E114	APW_ENG_20030602.0037-E67
E116	APW_ENG_20030602.0037-E68
E117	APW_ENG_20030602.0037-E69
E118	APW_ENG_20030602.0037-E70
E4	APW_ENG_20030602.0037-E71
E120	APW_ENG_20030602.0037-E72
E122	APW_ENG_20030602.0037-E73
E5	APW_ENG_20030602.0037-E74
E6	APW_ENG_20030602.0037-E75
E7	APW_ENG_20030602.0037-E76
E8	APW_ENG_20030602.0037-E77
E16	APW_ENG_20030602.0037-E78
E17	APW_ENG_20030602.0037-E79
E14	APW_ENG_20030602.0037-E80
EM1	APW_ENG_20030602.0037-E21-1
EM23	APW_ENG_20030602.0037-E1-2
EM24	APW_ENG_20030602.0037-E2-3
EM25	APW_ENG_20030602.0037-E3-4
EM26	APW_ENG_20030602.0037-E1-5
EM27	APW_ENG_20030602.0037-E21-6
EM28	APW_ENG_20030602.0037-E21-7
EM29	APW_ENG_20030602.0037-E74-8
EM30	APW_ENG_20030602.0037-E76-9
EM31	APW_ENG_20030602.0037-E4-10
EM32	APW_ENG_20030602.0037-E5-11
EM33	APW_ENG_20030602.0037-E6-12
EM34	APW_ENG_20030602.0037-E7-13
EM35	APW_ENG_20030602.0037-E6-14
EM36	APW_ENG_20030602.0037-E8-15
EM37	APW_ENG_20030602.0037-E9-16
EM38	APW_ENG_20030602.0037-E76-17
EM39	APW_ENG_20030602.0037-E21-18
EM40	APW_ENG_20030602.0037-E75-19
EM41	APW_ENG_20030602.0037-E56-20
EM42	APW_ENG_20030602.0037-E56-21
EM43	APW_ENG_20030602.0037-E10-22
EM44	APW_ENG_20030602.0037-E21-23
EM45	APW_ENG_20030602.0037-E76-24
EM46	APW_ENG_20030602.0037-E76-25
EM48	APW_ENG_20030602.0037-E76-26
EM47	APW_ENG_20030602.0037-E11-27
EM49	APW_ENG_20030602.0037-E12-28
EM50	APW_ENG_20030602.0037-E13-29
EM51	APW_ENG_20030602.0037-E14-30
EM53	APW_ENG_20030602.0037-E13-31
EM54	APW_ENG_20030602.0037-E15-32
EM55	APW_ENG_20030602.0037-E16-33
EM56	APW_ENG_20030602.0037-E17-34
EM57	APW_ENG_20030602.0037-E21-35
EM58	APW_ENG_20030602.0037-E18-36
EM59	APW_ENG_20030602.0037-E71-37
EM61	APW_ENG_20030602.0037-E71-38
EM62	APW_ENG_20030602.0037-E76-39
EM60	APW_ENG_20030602.0037-E79-40
EM63	APW_ENG_20030602.0037-E20-41
EM64	APW_ENG_20030602.0037-E20-42
EM66	APW_ENG_20030602.0037-E22-43
EM67	APW_ENG_20030602.0037-E22-44
EM69	APW_ENG_20030602.0037-E23-45
EM68	APW_ENG_20030602.0037-E21-46
EM77	APW_ENG_20030602.0037-E24-47
EM72	APW_ENG_20030602.0037-E25-48
EM90	APW_ENG_20030602.0037-E56-49
EM102	APW_ENG_20030602.0037-E56-50
EM103	APW_ENG_20030602.0037-E21-51
EM94	APW_ENG_20030602.0037-E26-52
EM84	APW_ENG_20030602.0037-E21-53
EM85	APW_ENG_20030602.0037-E21-54
EM86	APW_ENG_20030602.0037-E21-55
EM88	APW_ENG_20030602.0037-E21-56
EM83	APW_ENG_20030602.0037-E27-57
EM107	APW_ENG_20030602.0037-E21-58
EM108	APW_ENG_20030602.0037-E56-59
EM117	APW_ENG_20030602.0037-E21-60
EM119	APW_ENG_20030602.0037-E21-61
EM124	APW_ENG_20030602.0037-E21-62
EM129	APW_ENG_20030602.0037-E21-63
EM134	APW_ENG_20030602.0037-E21-64
EM135	APW_ENG_20030602.0037-E21-65
EM137	APW_ENG_20030602.0037-E28-66
EM143	APW_ENG_20030602.0037-E29-67
EM150	APW_ENG_20030602.0037-E21-68
EM151	APW_ENG_20030602.0037-E21-69
EM152	APW_ENG_20030602.0037-E21-70
EM155	APW_ENG_20030602.0037-E56-71
EM156	APW_ENG_20030602.0037-E21-72
EM131	APW_ENG_20030602.0037-E30-73
EM161	APW_ENG_20030602.0037-E31-74
EM165	APW_ENG_20030602.0037-E21-75
EM168	APW_ENG_20030602.0037-E56-76
EM169	APW_ENG_20030602.0037-E21-77
EM175	APW_ENG_20030602.0037-E32-78
EM188	APW_ENG_20030602.0037-E21-79
EM192	APW_ENG_20030602.0037-E21-80
EM190	APW_ENG_20030602.0037-E33-81
EM194	APW_ENG_20030602.0037-E56-82
EM70	APW_ENG_20030602.0037-E71-83
EM75	APW_ENG_20030602.0037-E71-84
EM76	APW_ENG_20030602.0037-E34-85
EM73	APW_ENG_20030602.0037-E35-86
EM74	APW_ENG_20030602.0037-E36-87
EM71	APW_ENG_20030602.0037-E37-88
EM78	APW_ENG_20030602.0037-E71-89
EM2	APW_ENG_20030602.0037-E63-90
EM82	APW_ENG_20030602.0037-E71-91
EM79	APW_ENG_20030602.0037-E4-92
EM80	APW_ENG_20030602.0037-E39-93
EM81	APW_ENG_20030602.0037-E40-94
EM87	APW_ENG_20030602.0037-E41-95
EM89	APW_ENG_20030602.0037-E42-96
EM91	APW_ENG_20030602.0037-E43-97
EM92	APW_ENG_20030602.0037-E76-98
EM93	APW_ENG_20030602.0037-E44-99
EM95	APW_ENG_20030602.0037-E45-100
EM98	APW_ENG_20030602.0037-E46-101
EM171	APW_ENG_20030602.0037-E49-102
EM104	APW_ENG_20030602.0037-E47-103
EM105	APW_ENG_20030602.0037-E47-104
EM106	APW_ENG_20030602.0037-E44-105
EM109	APW_ENG_20030602.0037-E35-106
EM110	APW_ENG_20030602.0037-E35-107
EM111	APW_ENG_20030602.0037-E4-108
EM112	APW_ENG_20030602.0037-E48-109
EM113	APW_ENG_20030602.0037-E50-110
EM114	APW_ENG_20030602.0037-E51-111
EM115	APW_ENG_20030602.0037-E50-112
EM118	APW_ENG_20030602.0037-E74-113
EM123	APW_ENG_20030602.0037-E74-114
EM121	APW_ENG_20030602.0037-E56-115
EM122	APW_ENG_20030602.0037-E21-116
EM125	APW_ENG_20030602.0037-E52-117
EM126	APW_ENG_20030602.0037-E50-118
EM174	APW_ENG_20030602.0037-E49-119
EM127	APW_ENG_20030602.0037-E38-120
EM128	APW_ENG_20030602.0037-E38-121
EM130	APW_ENG_20030602.0037-E74-122
EM133	APW_ENG_20030602.0037-E53-123
EM132	APW_ENG_20030602.0037-E54-124
EM136	APW_ENG_20030602.0037-E56-125
EM138	APW_ENG_20030602.0037-E55-126
EM139	APW_ENG_20030602.0037-E57-127
EM140	APW_ENG_20030602.0037-E56-128
EM141	APW_ENG_20030602.0037-E56-129
EM145	APW_ENG_20030602.0037-E55-130
EM146	APW_ENG_20030602.0037-E4-131
EM147	APW_ENG_20030602.0037-E76-132
EM148	APW_ENG_20030602.0037-E76-133
EM116	APW_ENG_20030602.0037-E38-134
EM176	APW_ENG_20030602.0037-E15-135
EM96	APW_ENG_20030602.0037-E58-136
EM97	APW_ENG_20030602.0037-E59-137
EM120	APW_ENG_20030602.0037-E71-138
EM158	APW_ENG_20030602.0037-E50-139
EM157	APW_ENG_20030602.0037-E74-140
EM193	APW_ENG_20030602.0037-E60-141
EM52	APW_ENG_20030602.0037-E61-142
EM149	APW_ENG_20030602.0037-E71-143
EM153	APW_ENG_20030602.0037-E50-144
EM154	APW_ENG_20030602.0037-E38-145
EM159	APW_ENG_20030602.0037-E50-146
EM160	APW_ENG_20030602.0037-E71-147
EM10	APW_ENG_20030602.0037-E21-148
EM162	APW_ENG_20030602.0037-E55-149
EM163	APW_ENG_20030602.0037-E55-150
EM164	APW_ENG_20030602.0037-E4-151
EM166	APW_ENG_20030602.0037-E55-152
EM170	APW_ENG_20030602.0037-E55-153
EM173	APW_ENG_20030602.0037-E55-154
EM185	APW_ENG_20030602.0037-E55-155
EM186	APW_ENG_20030602.0037-E55-156
EM172	APW_ENG_20030602.0037-E62-157
EM177	APW_ENG_20030602.0037-E38-158
EM178	APW_ENG_20030602.0037-E38-159
EM179	APW_ENG_20030602.0037-E64-160
EM180	APW_ENG_20030602.0037-E64-161
EM181	APW_ENG_20030602.0037-E56-162
EM182	APW_ENG_20030602.0037-E65-163
EM183	APW_ENG_20030602.0037-E65-164
EM184	APW_ENG_20030602.0037-E66-165
EM187	APW_ENG_20030602.0037-E67-166
EM189	APW_ENG_20030602.0037-E68-167
EM191	APW_ENG_20030602.0037-E69-168
EM3	APW_ENG_20030602.0037-E71-169
EM99	APW_ENG_20030602.0037-E47-170
EM100	APW_ENG_20030602.0037-E70-171
EM101	APW_ENG_20030602.0037-E47-172
EM65	APW_ENG_20030602.0037-E72-173
EM142	APW_ENG_20030602.0037-E73-174
EM144	APW_ENG_20030602.0037-E73-175
EM5	APW_ENG_20030602.0037-E74-176
EM18	APW_ENG_20030602.0037-E71-177
EM6	APW_ENG_20030602.0037-E75-178
EM7	APW_ENG_20030602.0037-E76-179
EM8	APW_ENG_20030602.0037-E77-180
EM9	APW_ENG_20030602.0037-E21-181
EM4	APW_ENG_20030602.0037-E21-182
EM15	APW_ENG_20030602.0037-E71-183
EM167	APW_ENG_20030602.0037-E19-184
EM16	APW_ENG_20030602.0037-E71-185
EM17	APW_ENG_20030602.0037-E78-186
EM19	APW_ENG_20030602.0037-E79-187
EM11	APW_ENG_20030602.0037-E74-188
EM12	APW_ENG_20030602.0037-E76-189
EM13	APW_ENG_20030602.0037-E80-190
EM14	APW_ENG_20030602.0037-E76-191
EM20	APW_ENG_20030602.0037-E21-192
EM21	APW_ENG_20030602.0037-E21-193
EM22	APW_ENG_20030602.0037-E76-194
R5	APW_ENG_20030602.0037-R1
R10	APW_ENG_20030602.0037-R2
R34	APW_ENG_20030602.0037-R3
R41	APW_ENG_20030602.0037-R4
R13	APW_ENG_20030602.0037-R5
R7	APW_ENG_20030602.0037-R6
R22	APW_ENG_20030602.0037-R7
R42	APW_ENG_20030602.0037-R8
R26	APW_ENG_20030602.0037-R9
R29	APW_ENG_20030602.0037-R10
R35	APW_ENG_20030602.0037-R11
R33	APW_ENG_20030602.0037-R12
R4	APW_ENG_20030602.0037-R13
R1	APW_ENG_20030602.0037-R14
R2	APW_ENG_20030602.0037-R15
R3	APW_ENG_20030602.0037-R16
