CE21	NYT_ENG_20030602.0074-CE1
CE12	NYT_ENG_20030602.0074-CE2
CE13	NYT_ENG_20030602.0074-CE3
CE2	NYT_ENG_20030602.0074-CE4
CE15	NYT_ENG_20030602.0074-CE5
CE16	NYT_ENG_20030602.0074-CE6
CE17	NYT_ENG_20030602.0074-CE7
CE18	NYT_ENG_20030602.0074-CE8
CE19	NYT_ENG_20030602.0074-CE9
CE5	NYT_ENG_20030602.0074-CE10
CE4	NYT_ENG_20030602.0074-CE11
CE6	NYT_ENG_20030602.0074-CE12
CE7	NYT_ENG_20030602.0074-CE13
CE3	NYT_ENG_20030602.0074-CE14
CE1	NYT_ENG_20030602.0074-CE15
CE8	NYT_ENG_20030602.0074-CE16
CE9	NYT_ENG_20030602.0074-CE17
CE10	NYT_ENG_20030602.0074-CE18
E18	NYT_ENG_20030602.0074-E1
E38	NYT_ENG_20030602.0074-E2
E20	NYT_ENG_20030602.0074-E3
E21	NYT_ENG_20030602.0074-E4
E22	NYT_ENG_20030602.0074-E5
E25	NYT_ENG_20030602.0074-E6
E26	NYT_ENG_20030602.0074-E7
E29	NYT_ENG_20030602.0074-E8
E30	NYT_ENG_20030602.0074-E9
E31	NYT_ENG_20030602.0074-E10
E32	NYT_ENG_20030602.0074-E11
E33	NYT_ENG_20030602.0074-E12
E39	NYT_ENG_20030602.0074-E13
E37	NYT_ENG_20030602.0074-E14
E40	NYT_ENG_20030602.0074-E15
E1	NYT_ENG_20030602.0074-E16
E50	NYT_ENG_20030602.0074-E17
E51	NYT_ENG_20030602.0074-E18
E52	NYT_ENG_20030602.0074-E19
E53	NYT_ENG_20030602.0074-E20
E54	NYT_ENG_20030602.0074-E21
E2	NYT_ENG_20030602.0074-E22
E4	NYT_ENG_20030602.0074-E23
E1	NYT_ENG_20030602.0074-E24
E10	NYT_ENG_20030602.0074-E25
E55	NYT_ENG_20030602.0074-E26
E56	NYT_ENG_20030602.0074-E27
E13	NYT_ENG_20030602.0074-E28
E14	NYT_ENG_20030602.0074-E29
E15	NYT_ENG_20030602.0074-E30
E16	NYT_ENG_20030602.0074-E31
E17	NYT_ENG_20030602.0074-E32
EM3	NYT_ENG_20030602.0074-E16-1
EM24	NYT_ENG_20030602.0074-E16-2
EM25	NYT_ENG_20030602.0074-E25-3
EM18	NYT_ENG_20030602.0074-E3-4
EM19	NYT_ENG_20030602.0074-E3-5
EM21	NYT_ENG_20030602.0074-E4-6
EM22	NYT_ENG_20030602.0074-E5-7
EM47	NYT_ENG_20030602.0074-E5-8
EM26	NYT_ENG_20030602.0074-E6-9
EM28	NYT_ENG_20030602.0074-E7-10
EM29	NYT_ENG_20030602.0074-E8-11
EM30	NYT_ENG_20030602.0074-E9-12
EM31	NYT_ENG_20030602.0074-E7-13
EM32	NYT_ENG_20030602.0074-E28-14
EM33	NYT_ENG_20030602.0074-E25-15
EM35	NYT_ENG_20030602.0074-E28-16
EM36	NYT_ENG_20030602.0074-E28-17
EM37	NYT_ENG_20030602.0074-E11-18
EM38	NYT_ENG_20030602.0074-E12-19
EM40	NYT_ENG_20030602.0074-E28-20
EM41	NYT_ENG_20030602.0074-E3-21
EM42	NYT_ENG_20030602.0074-E5-22
EM43	NYT_ENG_20030602.0074-E5-23
EM46	NYT_ENG_20030602.0074-E30-24
EM23	NYT_ENG_20030602.0074-E24-25
EM1	NYT_ENG_20030602.0074-E13-26
EM16	NYT_ENG_20030602.0074-E25-27
EM39	NYT_ENG_20030602.0074-E25-28
EM2	NYT_ENG_20030602.0074-E15-29
EM48	NYT_ENG_20030602.0074-E14-30
EM49	NYT_ENG_20030602.0074-E8-31
EM50	NYT_ENG_20030602.0074-E7-32
EM51	NYT_ENG_20030602.0074-E7-33
EM52	NYT_ENG_20030602.0074-E7-34
EM55	NYT_ENG_20030602.0074-E17-35
EM53	NYT_ENG_20030602.0074-E18-36
EM27	NYT_ENG_20030602.0074-E19-37
EM17	NYT_ENG_20030602.0074-E20-38
EM20	NYT_ENG_20030602.0074-E21-39
EM4	NYT_ENG_20030602.0074-E22-40
EM5	NYT_ENG_20030602.0074-E23-41
EM45	NYT_ENG_20030602.0074-E26-42
EM12	NYT_ENG_20030602.0074-E16-43
EM34	NYT_ENG_20030602.0074-E10-44
EM54	NYT_ENG_20030602.0074-E2-45
EM6	NYT_ENG_20030602.0074-E25-46
EM44	NYT_ENG_20030602.0074-E27-47
EM11	NYT_ENG_20030602.0074-E28-48
EM7	NYT_ENG_20030602.0074-E28-49
EM9	NYT_ENG_20030602.0074-E29-50
EM10	NYT_ENG_20030602.0074-E31-51
EM8	NYT_ENG_20030602.0074-E28-52
EM13	NYT_ENG_20030602.0074-E16-53
EM14	NYT_ENG_20030602.0074-E32-54
EM15	NYT_ENG_20030602.0074-E1-55
R8	NYT_ENG_20030602.0074-R1
R10	NYT_ENG_20030602.0074-R2
R9	NYT_ENG_20030602.0074-R3
R4	NYT_ENG_20030602.0074-R4
R5	NYT_ENG_20030602.0074-R5
R6	NYT_ENG_20030602.0074-R6
R7	NYT_ENG_20030602.0074-R7
R8	NYT_ENG_20030602.0074-R8
R11	NYT_ENG_20030602.0074-R9
R10	NYT_ENG_20030602.0074-R10
RM6	NYT_ENG_20030602.0074-R3-1
RM8	NYT_ENG_20030602.0074-R8-1
RM1	NYT_ENG_20030602.0074-R4-1
RM2	NYT_ENG_20030602.0074-R5-1
RM9	NYT_ENG_20030602.0074-R10-1
RM10	NYT_ENG_20030602.0074-R9-1
RM3	NYT_ENG_20030602.0074-R6-1
RM4	NYT_ENG_20030602.0074-R7-1
RM5	NYT_ENG_20030602.0074-R1-1
RM7	NYT_ENG_20030602.0074-R2-1
V1	NYT_ENG_20030602.0074-EV1
V2	NYT_ENG_20030602.0074-EV2
V3	NYT_ENG_20030602.0074-EV3
V4	NYT_ENG_20030602.0074-EV4
VM1	NYT_ENG_20030602.0074-EV1-1
VM2	NYT_ENG_20030602.0074-EV2-1
VM3	NYT_ENG_20030602.0074-EV3-1
VM4	NYT_ENG_20030602.0074-EV4-1
VM5	NYT_ENG_20030602.0074-EV2-2
VM6	NYT_ENG_20030602.0074-EV3-2
Q2	NYT_ENG_20030602.0074-T1
Q11	NYT_ENG_20030602.0074-T2
Q1	NYT_ENG_20030602.0074-T3
Q3	NYT_ENG_20030602.0074-T4
Q5	NYT_ENG_20030602.0074-V1
Q7	NYT_ENG_20030602.0074-V2
Q4	NYT_ENG_20030602.0074-T5
Q6	NYT_ENG_20030602.0074-T6
Q9	NYT_ENG_20030602.0074-T7
Q8	NYT_ENG_20030602.0074-V3
Q10	NYT_ENG_20030602.0074-T8
QM5	NYT_ENG_20030602.0074-V1-1
QM7	NYT_ENG_20030602.0074-V2-1
QM8	NYT_ENG_20030602.0074-V3-1
