CE16	XIN_ENG_20030324.0191-CE1
CE14	XIN_ENG_20030324.0191-CE2
CE17	XIN_ENG_20030324.0191-CE3
CE18	XIN_ENG_20030324.0191-CE4
CE19	XIN_ENG_20030324.0191-CE5
CE20	XIN_ENG_20030324.0191-CE6
CE21	XIN_ENG_20030324.0191-CE7
CE3	XIN_ENG_20030324.0191-CE8
CE22	XIN_ENG_20030324.0191-CE9
CE2	XIN_ENG_20030324.0191-CE10
CE23	XIN_ENG_20030324.0191-CE11
CE24	XIN_ENG_20030324.0191-CE12
CE25	XIN_ENG_20030324.0191-CE13
CE1	XIN_ENG_20030324.0191-CE14
CE26	XIN_ENG_20030324.0191-CE15
CE27	XIN_ENG_20030324.0191-CE16
CE29	XIN_ENG_20030324.0191-CE17
CE30	XIN_ENG_20030324.0191-CE18
CE28	XIN_ENG_20030324.0191-CE19
CE6	XIN_ENG_20030324.0191-CE20
CE7	XIN_ENG_20030324.0191-CE21
CE8	XIN_ENG_20030324.0191-CE22
CE9	XIN_ENG_20030324.0191-CE23
CE10	XIN_ENG_20030324.0191-CE24
CE11	XIN_ENG_20030324.0191-CE25
CE12	XIN_ENG_20030324.0191-CE26
CE13	XIN_ENG_20030324.0191-CE27
CE5	XIN_ENG_20030324.0191-CE28
CE4	XIN_ENG_20030324.0191-CE29
CE15	XIN_ENG_20030324.0191-CE30
E16	XIN_ENG_20030324.0191-E1
E18	XIN_ENG_20030324.0191-E2
E20	XIN_ENG_20030324.0191-E3
E21	XIN_ENG_20030324.0191-E4
E22	XIN_ENG_20030324.0191-E5
E23	XIN_ENG_20030324.0191-E6
E24	XIN_ENG_20030324.0191-E7
E25	XIN_ENG_20030324.0191-E8
E26	XIN_ENG_20030324.0191-E9
E54	XIN_ENG_20030324.0191-E10
E28	XIN_ENG_20030324.0191-E11
E30	XIN_ENG_20030324.0191-E12
E31	XIN_ENG_20030324.0191-E13
E32	XIN_ENG_20030324.0191-E14
E33	XIN_ENG_20030324.0191-E15
E35	XIN_ENG_20030324.0191-E16
E36	XIN_ENG_20030324.0191-E17
E37	XIN_ENG_20030324.0191-E18
E38	XIN_ENG_20030324.0191-E19
E39	XIN_ENG_20030324.0191-E20
E40	XIN_ENG_20030324.0191-E21
E41	XIN_ENG_20030324.0191-E22
E43	XIN_ENG_20030324.0191-E23
E44	XIN_ENG_20030324.0191-E24
E45	XIN_ENG_20030324.0191-E25
E46	XIN_ENG_20030324.0191-E26
E1	XIN_ENG_20030324.0191-E27
E52	XIN_ENG_20030324.0191-E28
E47	XIN_ENG_20030324.0191-E29
E48	XIN_ENG_20030324.0191-E30
E49	XIN_ENG_20030324.0191-E31
E2	XIN_ENG_20030324.0191-E32
E4	XIN_ENG_20030324.0191-E33
E5	XIN_ENG_20030324.0191-E34
E6	XIN_ENG_20030324.0191-E35
E7	XIN_ENG_20030324.0191-E36
E8	XIN_ENG_20030324.0191-E37
E9	XIN_ENG_20030324.0191-E38
E10	XIN_ENG_20030324.0191-E39
E12	XIN_ENG_20030324.0191-E40
E14	XIN_ENG_20030324.0191-E41
E15	XIN_ENG_20030324.0191-E42
EM1	XIN_ENG_20030324.0191-E27-1
EM20	XIN_ENG_20030324.0191-E2-2
EM12	XIN_ENG_20030324.0191-E3-3
EM22	XIN_ENG_20030324.0191-E3-4
EM23	XIN_ENG_20030324.0191-E4-5
EM24	XIN_ENG_20030324.0191-E5-6
EM56	XIN_ENG_20030324.0191-E10-7
EM26	XIN_ENG_20030324.0191-E6-8
EM27	XIN_ENG_20030324.0191-E7-9
EM28	XIN_ENG_20030324.0191-E8-10
EM29	XIN_ENG_20030324.0191-E27-11
EM30	XIN_ENG_20030324.0191-E9-12
EM31	XIN_ENG_20030324.0191-E27-13
EM32	XIN_ENG_20030324.0191-E27-14
EM57	XIN_ENG_20030324.0191-E1-15
EM33	XIN_ENG_20030324.0191-E3-16
EM34	XIN_ENG_20030324.0191-E11-17
EM36	XIN_ENG_20030324.0191-E12-18
EM35	XIN_ENG_20030324.0191-E13-19
EM37	XIN_ENG_20030324.0191-E14-20
EM38	XIN_ENG_20030324.0191-E15-21
EM39	XIN_ENG_20030324.0191-E16-22
EM40	XIN_ENG_20030324.0191-E17-23
EM41	XIN_ENG_20030324.0191-E18-24
EM42	XIN_ENG_20030324.0191-E19-25
EM43	XIN_ENG_20030324.0191-E20-26
EM45	XIN_ENG_20030324.0191-E22-27
EM44	XIN_ENG_20030324.0191-E23-28
EM46	XIN_ENG_20030324.0191-E24-29
EM47	XIN_ENG_20030324.0191-E25-30
EM48	XIN_ENG_20030324.0191-E26-31
EM49	XIN_ENG_20030324.0191-E21-32
EM51	XIN_ENG_20030324.0191-E29-33
EM52	XIN_ENG_20030324.0191-E30-34
EM53	XIN_ENG_20030324.0191-E21-35
EM54	XIN_ENG_20030324.0191-E31-36
EM55	XIN_ENG_20030324.0191-E34-37
EM58	XIN_ENG_20030324.0191-E27-38
