CE13	APW_ENG_20030519.0367-CE1
CE14	APW_ENG_20030519.0367-CE2
CE15	APW_ENG_20030519.0367-CE3
CE47	APW_ENG_20030519.0367-CE4
CE16	APW_ENG_20030519.0367-CE5
CE17	APW_ENG_20030519.0367-CE6
CE18	APW_ENG_20030519.0367-CE7
CE19	APW_ENG_20030519.0367-CE8
CE48	APW_ENG_20030519.0367-CE9
CE21	APW_ENG_20030519.0367-CE10
CE22	APW_ENG_20030519.0367-CE11
CE24	APW_ENG_20030519.0367-CE12
CE25	APW_ENG_20030519.0367-CE13
CE26	APW_ENG_20030519.0367-CE14
CE27	APW_ENG_20030519.0367-CE15
CE28	APW_ENG_20030519.0367-CE16
CE29	APW_ENG_20030519.0367-CE17
CE30	APW_ENG_20030519.0367-CE18
CE32	APW_ENG_20030519.0367-CE19
CE33	APW_ENG_20030519.0367-CE20
CE34	APW_ENG_20030519.0367-CE21
CE35	APW_ENG_20030519.0367-CE22
CE36	APW_ENG_20030519.0367-CE23
CE37	APW_ENG_20030519.0367-CE24
CE38	APW_ENG_20030519.0367-CE25
CE1	APW_ENG_20030519.0367-CE26
CE39	APW_ENG_20030519.0367-CE27
CE40	APW_ENG_20030519.0367-CE28
CE42	APW_ENG_20030519.0367-CE29
CE43	APW_ENG_20030519.0367-CE30
CE44	APW_ENG_20030519.0367-CE31
CE45	APW_ENG_20030519.0367-CE32
CE46	APW_ENG_20030519.0367-CE33
CE111	APW_ENG_20030519.0367-CE34
CE50	APW_ENG_20030519.0367-CE35
CE51	APW_ENG_20030519.0367-CE36
CE53	APW_ENG_20030519.0367-CE37
CE54	APW_ENG_20030519.0367-CE38
CE55	APW_ENG_20030519.0367-CE39
CE56	APW_ENG_20030519.0367-CE40
CE58	APW_ENG_20030519.0367-CE41
CE59	APW_ENG_20030519.0367-CE42
CE60	APW_ENG_20030519.0367-CE43
CE61	APW_ENG_20030519.0367-CE44
CE63	APW_ENG_20030519.0367-CE45
CE64	APW_ENG_20030519.0367-CE46
CE65	APW_ENG_20030519.0367-CE47
CE66	APW_ENG_20030519.0367-CE48
CE67	APW_ENG_20030519.0367-CE49
CE2	APW_ENG_20030519.0367-CE50
CE68	APW_ENG_20030519.0367-CE51
CE69	APW_ENG_20030519.0367-CE52
CE70	APW_ENG_20030519.0367-CE53
