CE12	XIN_ENG_20030423.0011-CE1
CE13	XIN_ENG_20030423.0011-CE2
CE14	XIN_ENG_20030423.0011-CE3
CE15	XIN_ENG_20030423.0011-CE4
CE16	XIN_ENG_20030423.0011-CE5
CE17	XIN_ENG_20030423.0011-CE6
CE18	XIN_ENG_20030423.0011-CE7
CE20	XIN_ENG_20030423.0011-CE8
CE21	XIN_ENG_20030423.0011-CE9
CE23	XIN_ENG_20030423.0011-CE10
CE24	XIN_ENG_20030423.0011-CE11
CE26	XIN_ENG_20030423.0011-CE12
CE1	XIN_ENG_20030423.0011-CE13
CE28	XIN_ENG_20030423.0011-CE14
CE2	XIN_ENG_20030423.0011-CE15
CE3	XIN_ENG_20030423.0011-CE16
CE4	XIN_ENG_20030423.0011-CE17
CE7	XIN_ENG_20030423.0011-CE18
CE9	XIN_ENG_20030423.0011-CE19
CE10	XIN_ENG_20030423.0011-CE20
E15	XIN_ENG_20030423.0011-E1
E16	XIN_ENG_20030423.0011-E2
E17	XIN_ENG_20030423.0011-E3
E18	XIN_ENG_20030423.0011-E4
E21	XIN_ENG_20030423.0011-E5
E24	XIN_ENG_20030423.0011-E6
E28	XIN_ENG_20030423.0011-E7
E29	XIN_ENG_20030423.0011-E8
E30	XIN_ENG_20030423.0011-E9
E31	XIN_ENG_20030423.0011-E10
E33	XIN_ENG_20030423.0011-E11
E34	XIN_ENG_20030423.0011-E12
E35	XIN_ENG_20030423.0011-E13
E37	XIN_ENG_20030423.0011-E14
E38	XIN_ENG_20030423.0011-E15
E1	XIN_ENG_20030423.0011-E16
E40	XIN_ENG_20030423.0011-E17
E43	XIN_ENG_20030423.0011-E18
E39	XIN_ENG_20030423.0011-E19
E45	XIN_ENG_20030423.0011-E20
E2	XIN_ENG_20030423.0011-E21
E3	XIN_ENG_20030423.0011-E22
E4	XIN_ENG_20030423.0011-E23
E5	XIN_ENG_20030423.0011-E24
E9	XIN_ENG_20030423.0011-E25
E10	XIN_ENG_20030423.0011-E26
E12	XIN_ENG_20030423.0011-E27
E13	XIN_ENG_20030423.0011-E28
EM1	XIN_ENG_20030423.0011-E16-1
EM20	XIN_ENG_20030423.0011-E1-2
EM22	XIN_ENG_20030423.0011-E2-3
EM24	XIN_ENG_20030423.0011-E3-4
EM25	XIN_ENG_20030423.0011-E4-5
EM27	XIN_ENG_20030423.0011-E23-6
EM28	XIN_ENG_20030423.0011-E5-7
EM15	XIN_ENG_20030423.0011-E6-8
EM10	XIN_ENG_20030423.0011-E7-9
EM30	XIN_ENG_20030423.0011-E8-10
EM31	XIN_ENG_20030423.0011-E23-11
EM32	XIN_ENG_20030423.0011-E23-12
EM33	XIN_ENG_20030423.0011-E9-13
EM34	XIN_ENG_20030423.0011-E8-14
EM35	XIN_ENG_20030423.0011-E23-15
EM36	XIN_ENG_20030423.0011-E10-16
EM38	XIN_ENG_20030423.0011-E11-17
EM39	XIN_ENG_20030423.0011-E12-18
EM40	XIN_ENG_20030423.0011-E11-19
EM41	XIN_ENG_20030423.0011-E11-20
EM42	XIN_ENG_20030423.0011-E13-21
EM44	XIN_ENG_20030423.0011-E14-22
EM45	XIN_ENG_20030423.0011-E23-23
EM46	XIN_ENG_20030423.0011-E15-24
EM50	XIN_ENG_20030423.0011-E18-25
EM47	XIN_ENG_20030423.0011-E19-26
EM51	XIN_ENG_20030423.0011-E20-27
EM2	XIN_ENG_20030423.0011-E21-28
EM3	XIN_ENG_20030423.0011-E22-29
EM4	XIN_ENG_20030423.0011-E23-30
EM5	XIN_ENG_20030423.0011-E24-31
EM7	XIN_ENG_20030423.0011-E23-32
EM48	XIN_ENG_20030423.0011-E17-33
EM9	XIN_ENG_20030423.0011-E23-34
EM11	XIN_ENG_20030423.0011-E25-35
EM12	XIN_ENG_20030423.0011-E25-36
EM13	XIN_ENG_20030423.0011-E26-37
EM14	XIN_ENG_20030423.0011-E23-38
EM16	XIN_ENG_20030423.0011-E27-39
EM17	XIN_ENG_20030423.0011-E23-40
EM18	XIN_ENG_20030423.0011-E28-41
R14	XIN_ENG_20030423.0011-R1
R5	XIN_ENG_20030423.0011-R2
R15	XIN_ENG_20030423.0011-R3
R9	XIN_ENG_20030423.0011-R4
R16	XIN_ENG_20030423.0011-R5
R10	XIN_ENG_20030423.0011-R6
R11	XIN_ENG_20030423.0011-R7
R12	XIN_ENG_20030423.0011-R8
RM14	XIN_ENG_20030423.0011-R1-1
RM5	XIN_ENG_20030423.0011-R2-1
RM15	XIN_ENG_20030423.0011-R3-1
RM16	XIN_ENG_20030423.0011-R5-1
RM9	XIN_ENG_20030423.0011-R4-1
RM10	XIN_ENG_20030423.0011-R6-1
RM11	XIN_ENG_20030423.0011-R7-1
RM12	XIN_ENG_20030423.0011-R8-1
V9	XIN_ENG_20030423.0011-EV1
V10	XIN_ENG_20030423.0011-EV2
V11	XIN_ENG_20030423.0011-EV3
