CE12	AFP_ENG_20030617.0720-CE1
CE13	AFP_ENG_20030617.0720-CE2
CE14	AFP_ENG_20030617.0720-CE3
CE15	AFP_ENG_20030617.0720-CE4
CE16	AFP_ENG_20030617.0720-CE5
CE17	AFP_ENG_20030617.0720-CE6
CE18	AFP_ENG_20030617.0720-CE7
CE19	AFP_ENG_20030617.0720-CE8
CE20	AFP_ENG_20030617.0720-CE9
CE21	AFP_ENG_20030617.0720-CE10
CE22	AFP_ENG_20030617.0720-CE11
CE23	AFP_ENG_20030617.0720-CE12
CE24	AFP_ENG_20030617.0720-CE13
CE25	AFP_ENG_20030617.0720-CE14
CE26	AFP_ENG_20030617.0720-CE15
CE27	AFP_ENG_20030617.0720-CE16
CE28	AFP_ENG_20030617.0720-CE17
CE29	AFP_ENG_20030617.0720-CE18
CE30	AFP_ENG_20030617.0720-CE19
CE32	AFP_ENG_20030617.0720-CE20
CE73	AFP_ENG_20030617.0720-CE21
CE34	AFP_ENG_20030617.0720-CE22
CE35	AFP_ENG_20030617.0720-CE23
CE36	AFP_ENG_20030617.0720-CE24
CE37	AFP_ENG_20030617.0720-CE25
CE38	AFP_ENG_20030617.0720-CE26
CE1	AFP_ENG_20030617.0720-CE27
CE39	AFP_ENG_20030617.0720-CE28
CE40	AFP_ENG_20030617.0720-CE29
CE41	AFP_ENG_20030617.0720-CE30
CE42	AFP_ENG_20030617.0720-CE31
CE43	AFP_ENG_20030617.0720-CE32
CE44	AFP_ENG_20030617.0720-CE33
CE45	AFP_ENG_20030617.0720-CE34
CE46	AFP_ENG_20030617.0720-CE35
CE47	AFP_ENG_20030617.0720-CE36
CE48	AFP_ENG_20030617.0720-CE37
CE49	AFP_ENG_20030617.0720-CE38
CE50	AFP_ENG_20030617.0720-CE39
CE51	AFP_ENG_20030617.0720-CE40
CE52	AFP_ENG_20030617.0720-CE41
CE53	AFP_ENG_20030617.0720-CE42
CE54	AFP_ENG_20030617.0720-CE43
CE55	AFP_ENG_20030617.0720-CE44
CE56	AFP_ENG_20030617.0720-CE45
CE57	AFP_ENG_20030617.0720-CE46
CE58	AFP_ENG_20030617.0720-CE47
CE59	AFP_ENG_20030617.0720-CE48
CE60	AFP_ENG_20030617.0720-CE49
CE61	AFP_ENG_20030617.0720-CE50
CE62	AFP_ENG_20030617.0720-CE51
CE63	AFP_ENG_20030617.0720-CE52
CE64	AFP_ENG_20030617.0720-CE53
CE65	AFP_ENG_20030617.0720-CE54
CE66	AFP_ENG_20030617.0720-CE55
CE67	AFP_ENG_20030617.0720-CE56
CE68	AFP_ENG_20030617.0720-CE57
CE2	AFP_ENG_20030617.0720-CE58
CE69	AFP_ENG_20030617.0720-CE59
CE70	AFP_ENG_20030617.0720-CE60
CE71	AFP_ENG_20030617.0720-CE61
CE72	AFP_ENG_20030617.0720-CE62
CE74	AFP_ENG_20030617.0720-CE63
CE75	AFP_ENG_20030617.0720-CE64
CE76	AFP_ENG_20030617.0720-CE65
CE77	AFP_ENG_20030617.0720-CE66
