CE13	NYT_ENG_20030630.0075-CE1
CE14	NYT_ENG_20030630.0075-CE2
CE15	NYT_ENG_20030630.0075-CE3
CE16	NYT_ENG_20030630.0075-CE4
CE17	NYT_ENG_20030630.0075-CE5
CE42	NYT_ENG_20030630.0075-CE6
CE19	NYT_ENG_20030630.0075-CE7
CE20	NYT_ENG_20030630.0075-CE8
CE22	NYT_ENG_20030630.0075-CE9
CE23	NYT_ENG_20030630.0075-CE10
CE25	NYT_ENG_20030630.0075-CE11
CE26	NYT_ENG_20030630.0075-CE12
CE27	NYT_ENG_20030630.0075-CE13
CE28	NYT_ENG_20030630.0075-CE14
CE29	NYT_ENG_20030630.0075-CE15
CE30	NYT_ENG_20030630.0075-CE16
CE31	NYT_ENG_20030630.0075-CE17
CE32	NYT_ENG_20030630.0075-CE18
CE33	NYT_ENG_20030630.0075-CE19
CE43	NYT_ENG_20030630.0075-CE20
CE35	NYT_ENG_20030630.0075-CE21
CE36	NYT_ENG_20030630.0075-CE22
CE37	NYT_ENG_20030630.0075-CE23
CE38	NYT_ENG_20030630.0075-CE24
CE39	NYT_ENG_20030630.0075-CE25
CE40	NYT_ENG_20030630.0075-CE26
CE41	NYT_ENG_20030630.0075-CE27
CE44	NYT_ENG_20030630.0075-CE28
CE45	NYT_ENG_20030630.0075-CE29
CE46	NYT_ENG_20030630.0075-CE30
CE47	NYT_ENG_20030630.0075-CE31
CE48	NYT_ENG_20030630.0075-CE32
CE49	NYT_ENG_20030630.0075-CE33
CE50	NYT_ENG_20030630.0075-CE34
CE51	NYT_ENG_20030630.0075-CE35
CE52	NYT_ENG_20030630.0075-CE36
CE53	NYT_ENG_20030630.0075-CE37
CE54	NYT_ENG_20030630.0075-CE38
CE55	NYT_ENG_20030630.0075-CE39
CE56	NYT_ENG_20030630.0075-CE40
CE57	NYT_ENG_20030630.0075-CE41
CE58	NYT_ENG_20030630.0075-CE42
CE2	NYT_ENG_20030630.0075-CE43
CE59	NYT_ENG_20030630.0075-CE44
CE3	NYT_ENG_20030630.0075-CE45
CE4	NYT_ENG_20030630.0075-CE46
CE5	NYT_ENG_20030630.0075-CE47
CE6	NYT_ENG_20030630.0075-CE48
CE7	NYT_ENG_20030630.0075-CE49
CE8	NYT_ENG_20030630.0075-CE50
CE9	NYT_ENG_20030630.0075-CE51
CE10	NYT_ENG_20030630.0075-CE52
CE11	NYT_ENG_20030630.0075-CE53
CE12	NYT_ENG_20030630.0075-CE54
E16	NYT_ENG_20030630.0075-E1
E17	NYT_ENG_20030630.0075-E2
E18	NYT_ENG_20030630.0075-E3
E19	NYT_ENG_20030630.0075-E4
E20	NYT_ENG_20030630.0075-E5
E21	NYT_ENG_20030630.0075-E6
E22	NYT_ENG_20030630.0075-E7
E62	NYT_ENG_20030630.0075-E8
E25	NYT_ENG_20030630.0075-E9
E26	NYT_ENG_20030630.0075-E10
E27	NYT_ENG_20030630.0075-E11
E29	NYT_ENG_20030630.0075-E12
E30	NYT_ENG_20030630.0075-E13
E31	NYT_ENG_20030630.0075-E14
E32	NYT_ENG_20030630.0075-E15
E33	NYT_ENG_20030630.0075-E16
E34	NYT_ENG_20030630.0075-E17
E63	NYT_ENG_20030630.0075-E18
E36	NYT_ENG_20030630.0075-E19
E37	NYT_ENG_20030630.0075-E20
E38	NYT_ENG_20030630.0075-E21
E39	NYT_ENG_20030630.0075-E22
E40	NYT_ENG_20030630.0075-E23
E41	NYT_ENG_20030630.0075-E24
E42	NYT_ENG_20030630.0075-E25
E43	NYT_ENG_20030630.0075-E26
E44	NYT_ENG_20030630.0075-E27
E45	NYT_ENG_20030630.0075-E28
E46	NYT_ENG_20030630.0075-E29
E47	NYT_ENG_20030630.0075-E30
E48	NYT_ENG_20030630.0075-E31
E49	NYT_ENG_20030630.0075-E32
E51	NYT_ENG_20030630.0075-E33
E52	NYT_ENG_20030630.0075-E34
E53	NYT_ENG_20030630.0075-E35
E54	NYT_ENG_20030630.0075-E36
E55	NYT_ENG_20030630.0075-E37
E56	NYT_ENG_20030630.0075-E38
E57	NYT_ENG_20030630.0075-E39
E58	NYT_ENG_20030630.0075-E40
E59	NYT_ENG_20030630.0075-E41
E60	NYT_ENG_20030630.0075-E42
E61	NYT_ENG_20030630.0075-E43
E64	NYT_ENG_20030630.0075-E44
E65	NYT_ENG_20030630.0075-E45
E67	NYT_ENG_20030630.0075-E46
E69	NYT_ENG_20030630.0075-E47
E70	NYT_ENG_20030630.0075-E48
E71	NYT_ENG_20030630.0075-E49
E72	NYT_ENG_20030630.0075-E50
E73	NYT_ENG_20030630.0075-E51
E74	NYT_ENG_20030630.0075-E52
E76	NYT_ENG_20030630.0075-E53
E77	NYT_ENG_20030630.0075-E54
E78	NYT_ENG_20030630.0075-E55
E79	NYT_ENG_20030630.0075-E56
E80	NYT_ENG_20030630.0075-E57
E81	NYT_ENG_20030630.0075-E58
E82	NYT_ENG_20030630.0075-E59
E83	NYT_ENG_20030630.0075-E60
E84	NYT_ENG_20030630.0075-E61
E85	NYT_ENG_20030630.0075-E62
E86	NYT_ENG_20030630.0075-E63
E2	NYT_ENG_20030630.0075-E64
E87	NYT_ENG_20030630.0075-E65
E88	NYT_ENG_20030630.0075-E66
E89	NYT_ENG_20030630.0075-E67
E90	NYT_ENG_20030630.0075-E68
E91	NYT_ENG_20030630.0075-E69
E92	NYT_ENG_20030630.0075-E70
E93	NYT_ENG_20030630.0075-E71
E94	NYT_ENG_20030630.0075-E72
E95	NYT_ENG_20030630.0075-E73
E96	NYT_ENG_20030630.0075-E74
E97	NYT_ENG_20030630.0075-E75
E98	NYT_ENG_20030630.0075-E76
E99	NYT_ENG_20030630.0075-E77
E4	NYT_ENG_20030630.0075-E78
E5	NYT_ENG_20030630.0075-E79
E6	NYT_ENG_20030630.0075-E80
E7	NYT_ENG_20030630.0075-E81
E10	NYT_ENG_20030630.0075-E82
E11	NYT_ENG_20030630.0075-E83
E12	NYT_ENG_20030630.0075-E84
E13	NYT_ENG_20030630.0075-E85
E14	NYT_ENG_20030630.0075-E86
E15	NYT_ENG_20030630.0075-E87
EM82	NYT_ENG_20030630.0075-E24-1
EM18	NYT_ENG_20030630.0075-E1-2
EM19	NYT_ENG_20030630.0075-E2-3
EM20	NYT_ENG_20030630.0075-E3-4
EM21	NYT_ENG_20030630.0075-E64-5
EM22	NYT_ENG_20030630.0075-E64-6
EM23	NYT_ENG_20030630.0075-E81-7
EM24	NYT_ENG_20030630.0075-E5-8
EM25	NYT_ENG_20030630.0075-E6-9
EM26	NYT_ENG_20030630.0075-E7-10
EM27	NYT_ENG_20030630.0075-E81-11
EM85	NYT_ENG_20030630.0075-E8-12
EM29	NYT_ENG_20030630.0075-E81-13
EM30	NYT_ENG_20030630.0075-E9-14
EM31	NYT_ENG_20030630.0075-E10-15
EM32	NYT_ENG_20030630.0075-E64-16
EM33	NYT_ENG_20030630.0075-E11-17
EM34	NYT_ENG_20030630.0075-E64-18
EM86	NYT_ENG_20030630.0075-E81-19
EM87	NYT_ENG_20030630.0075-E81-20
EM36	NYT_ENG_20030630.0075-E12-21
EM37	NYT_ENG_20030630.0075-E9-22
EM38	NYT_ENG_20030630.0075-E13-23
EM39	NYT_ENG_20030630.0075-E14-24
EM40	NYT_ENG_20030630.0075-E15-25
EM41	NYT_ENG_20030630.0075-E15-26
EM42	NYT_ENG_20030630.0075-E16-27
EM43	NYT_ENG_20030630.0075-E17-28
EM88	NYT_ENG_20030630.0075-E18-29
EM45	NYT_ENG_20030630.0075-E19-30
EM46	NYT_ENG_20030630.0075-E19-31
EM47	NYT_ENG_20030630.0075-E20-32
EM48	NYT_ENG_20030630.0075-E21-33
EM49	NYT_ENG_20030630.0075-E22-34
EM50	NYT_ENG_20030630.0075-E80-35
EM51	NYT_ENG_20030630.0075-E23-36
EM52	NYT_ENG_20030630.0075-E25-37
EM53	NYT_ENG_20030630.0075-E26-38
EM54	NYT_ENG_20030630.0075-E27-39
EM83	NYT_ENG_20030630.0075-E64-40
EM55	NYT_ENG_20030630.0075-E28-41
EM56	NYT_ENG_20030630.0075-E29-42
EM57	NYT_ENG_20030630.0075-E30-43
EM58	NYT_ENG_20030630.0075-E31-44
EM59	NYT_ENG_20030630.0075-E32-45
