CE9	APW_ENG_20030406.0191-CE1
CE2	APW_ENG_20030406.0191-CE2
CE13	APW_ENG_20030406.0191-CE3
CE1	APW_ENG_20030406.0191-CE4
CE14	APW_ENG_20030406.0191-CE5
CE15	APW_ENG_20030406.0191-CE6
CE16	APW_ENG_20030406.0191-CE7
CE22	APW_ENG_20030406.0191-CE8
CE25	APW_ENG_20030406.0191-CE9
CE23	APW_ENG_20030406.0191-CE10
CE24	APW_ENG_20030406.0191-CE11
CE17	APW_ENG_20030406.0191-CE12
CE4	APW_ENG_20030406.0191-CE13
CE18	APW_ENG_20030406.0191-CE14
CE19	APW_ENG_20030406.0191-CE15
CE20	APW_ENG_20030406.0191-CE16
CE21	APW_ENG_20030406.0191-CE17
CE3	APW_ENG_20030406.0191-CE18
CE10	APW_ENG_20030406.0191-CE19
CE11	APW_ENG_20030406.0191-CE20
CE5	APW_ENG_20030406.0191-CE21
CE6	APW_ENG_20030406.0191-CE22
CE7	APW_ENG_20030406.0191-CE23
CE8	APW_ENG_20030406.0191-CE24
CE12	APW_ENG_20030406.0191-CE25
E30	APW_ENG_20030406.0191-E1
E52	APW_ENG_20030406.0191-E2
E20	APW_ENG_20030406.0191-E3
E24	APW_ENG_20030406.0191-E4
E25	APW_ENG_20030406.0191-E5
E26	APW_ENG_20030406.0191-E6
E27	APW_ENG_20030406.0191-E7
E28	APW_ENG_20030406.0191-E8
E29	APW_ENG_20030406.0191-E9
E31	APW_ENG_20030406.0191-E10
E32	APW_ENG_20030406.0191-E11
E33	APW_ENG_20030406.0191-E12
E1	APW_ENG_20030406.0191-E13
E34	APW_ENG_20030406.0191-E14
E35	APW_ENG_20030406.0191-E15
E36	APW_ENG_20030406.0191-E16
E37	APW_ENG_20030406.0191-E17
E38	APW_ENG_20030406.0191-E18
E39	APW_ENG_20030406.0191-E19
E40	APW_ENG_20030406.0191-E20
E41	APW_ENG_20030406.0191-E21
E42	APW_ENG_20030406.0191-E22
E43	APW_ENG_20030406.0191-E23
E44	APW_ENG_20030406.0191-E24
E46	APW_ENG_20030406.0191-E25
E47	APW_ENG_20030406.0191-E26
E48	APW_ENG_20030406.0191-E27
E50	APW_ENG_20030406.0191-E28
E55	APW_ENG_20030406.0191-E29
E56	APW_ENG_20030406.0191-E30
E2	APW_ENG_20030406.0191-E31
E70	APW_ENG_20030406.0191-E32
E71	APW_ENG_20030406.0191-E33
E72	APW_ENG_20030406.0191-E34
E73	APW_ENG_20030406.0191-E35
E74	APW_ENG_20030406.0191-E36
E75	APW_ENG_20030406.0191-E37
E76	APW_ENG_20030406.0191-E38
E77	APW_ENG_20030406.0191-E39
E78	APW_ENG_20030406.0191-E40
E79	APW_ENG_20030406.0191-E41
E80	APW_ENG_20030406.0191-E42
E81	APW_ENG_20030406.0191-E43
E82	APW_ENG_20030406.0191-E44
E83	APW_ENG_20030406.0191-E45
E3	APW_ENG_20030406.0191-E46
E4	APW_ENG_20030406.0191-E47
E6	APW_ENG_20030406.0191-E48
E15	APW_ENG_20030406.0191-E49
EM1	APW_ENG_20030406.0191-E13-1
EM18	APW_ENG_20030406.0191-E47-2
EM44	APW_ENG_20030406.0191-E47-3
EM51	APW_ENG_20030406.0191-E47-4
EM22	APW_ENG_20030406.0191-E2-5
EM23	APW_ENG_20030406.0191-E47-6
EM46	APW_ENG_20030406.0191-E4-7
EM24	APW_ENG_20030406.0191-E49-8
EM28	APW_ENG_20030406.0191-E4-9
EM29	APW_ENG_20030406.0191-E4-10
EM31	APW_ENG_20030406.0191-E5-11
EM30	APW_ENG_20030406.0191-E6-12
EM32	APW_ENG_20030406.0191-E48-13
EM34	APW_ENG_20030406.0191-E49-14
EM35	APW_ENG_20030406.0191-E49-15
EM36	APW_ENG_20030406.0191-E3-16
EM37	APW_ENG_20030406.0191-E47-17
EM38	APW_ENG_20030406.0191-E7-18
EM39	APW_ENG_20030406.0191-E7-19
EM40	APW_ENG_20030406.0191-E8-20
EM41	APW_ENG_20030406.0191-E9-21
EM42	APW_ENG_20030406.0191-E48-22
EM53	APW_ENG_20030406.0191-E47-23
EM55	APW_ENG_20030406.0191-E47-24
EM58	APW_ENG_20030406.0191-E47-25
EM60	APW_ENG_20030406.0191-E47-26
EM61	APW_ENG_20030406.0191-E47-27
EM66	APW_ENG_20030406.0191-E47-28
EM67	APW_ENG_20030406.0191-E47-29
EM68	APW_ENG_20030406.0191-E4-30
EM71	APW_ENG_20030406.0191-E47-31
EM73	APW_ENG_20030406.0191-E47-32
EM80	APW_ENG_20030406.0191-E47-33
EM83	APW_ENG_20030406.0191-E47-34
EM87	APW_ENG_20030406.0191-E47-35
EM90	APW_ENG_20030406.0191-E47-36
EM92	APW_ENG_20030406.0191-E10-37
EM94	APW_ENG_20030406.0191-E47-38
EM96	APW_ENG_20030406.0191-E47-39
EM98	APW_ENG_20030406.0191-E47-40
EM104	APW_ENG_20030406.0191-E47-41
EM109	APW_ENG_20030406.0191-E47-42
EM107	APW_ENG_20030406.0191-E11-43
EM108	APW_ENG_20030406.0191-E12-44
EM100	APW_ENG_20030406.0191-E14-45
EM102	APW_ENG_20030406.0191-E14-46
EM103	APW_ENG_20030406.0191-E15-47
EM99	APW_ENG_20030406.0191-E31-48
EM101	APW_ENG_20030406.0191-E16-49
EM93	APW_ENG_20030406.0191-E31-50
EM95	APW_ENG_20030406.0191-E31-51
EM85	APW_ENG_20030406.0191-E31-52
EM86	APW_ENG_20030406.0191-E7-53
EM77	APW_ENG_20030406.0191-E17-54
EM75	APW_ENG_20030406.0191-E7-55
EM72	APW_ENG_20030406.0191-E7-56
EM76	APW_ENG_20030406.0191-E7-57
EM59	APW_ENG_20030406.0191-E18-58
EM48	APW_ENG_20030406.0191-E19-59
EM47	APW_ENG_20030406.0191-E3-60
EM49	APW_ENG_20030406.0191-E20-61
EM50	APW_ENG_20030406.0191-E7-62
EM52	APW_ENG_20030406.0191-E3-63
EM54	APW_ENG_20030406.0191-E47-64
EM56	APW_ENG_20030406.0191-E7-65
EM57	APW_ENG_20030406.0191-E7-66
EM62	APW_ENG_20030406.0191-E21-67
EM64	APW_ENG_20030406.0191-E48-68
EM69	APW_ENG_20030406.0191-E3-69
EM70	APW_ENG_20030406.0191-E22-70
EM74	APW_ENG_20030406.0191-E20-71
EM78	APW_ENG_20030406.0191-E23-72
EM79	APW_ENG_20030406.0191-E24-73
EM82	APW_ENG_20030406.0191-E25-74
EM81	APW_ENG_20030406.0191-E20-75
EM84	APW_ENG_20030406.0191-E26-76
EM88	APW_ENG_20030406.0191-E27-77
EM89	APW_ENG_20030406.0191-E13-78
EM91	APW_ENG_20030406.0191-E28-79
EM2	APW_ENG_20030406.0191-E31-80
EM8	APW_ENG_20030406.0191-E29-81
EM11	APW_ENG_20030406.0191-E30-82
EM65	APW_ENG_20030406.0191-E32-83
EM33	APW_ENG_20030406.0191-E33-84
EM19	APW_ENG_20030406.0191-E34-85
EM16	APW_ENG_20030406.0191-E35-86
EM7	APW_ENG_20030406.0191-E36-87
EM63	APW_ENG_20030406.0191-E37-88
EM97	APW_ENG_20030406.0191-E38-89
EM105	APW_ENG_20030406.0191-E39-90
EM106	APW_ENG_20030406.0191-E40-91
EM110	APW_ENG_20030406.0191-E41-92
EM12	APW_ENG_20030406.0191-E31-93
EM13	APW_ENG_20030406.0191-E31-94
EM9	APW_ENG_20030406.0191-E42-95
EM10	APW_ENG_20030406.0191-E43-96
EM26	APW_ENG_20030406.0191-E44-97
EM27	APW_ENG_20030406.0191-E45-98
EM25	APW_ENG_20030406.0191-E3-99
EM3	APW_ENG_20030406.0191-E46-100
EM4	APW_ENG_20030406.0191-E47-101
EM43	APW_ENG_20030406.0191-E47-102
EM20	APW_ENG_20030406.0191-E47-103
EM5	APW_ENG_20030406.0191-E48-104
EM6	APW_ENG_20030406.0191-E47-105
EM21	APW_ENG_20030406.0191-E47-106
EM45	APW_ENG_20030406.0191-E1-107
EM14	APW_ENG_20030406.0191-E47-108
EM15	APW_ENG_20030406.0191-E47-109
EM17	APW_ENG_20030406.0191-E48-110
R1	APW_ENG_20030406.0191-R1
R2	APW_ENG_20030406.0191-R2
R3	APW_ENG_20030406.0191-R3
R4	APW_ENG_20030406.0191-R4
R5	APW_ENG_20030406.0191-R5
