CE15	NYT_ENG_20030630.0079-CE1
CE4	NYT_ENG_20030630.0079-CE2
CE17	NYT_ENG_20030630.0079-CE3
CE18	NYT_ENG_20030630.0079-CE4
CE19	NYT_ENG_20030630.0079-CE5
CE26	NYT_ENG_20030630.0079-CE6
CE24	NYT_ENG_20030630.0079-CE7
CE25	NYT_ENG_20030630.0079-CE8
CE16	NYT_ENG_20030630.0079-CE9
CE27	NYT_ENG_20030630.0079-CE10
CE22	NYT_ENG_20030630.0079-CE11
CE28	NYT_ENG_20030630.0079-CE12
CE21	NYT_ENG_20030630.0079-CE13
CE29	NYT_ENG_20030630.0079-CE14
CE30	NYT_ENG_20030630.0079-CE15
CE3	NYT_ENG_20030630.0079-CE16
CE31	NYT_ENG_20030630.0079-CE17
CE9	NYT_ENG_20030630.0079-CE18
CE23	NYT_ENG_20030630.0079-CE19
CE32	NYT_ENG_20030630.0079-CE20
CE33	NYT_ENG_20030630.0079-CE21
CE34	NYT_ENG_20030630.0079-CE22
CE35	NYT_ENG_20030630.0079-CE23
CE1	NYT_ENG_20030630.0079-CE24
CE36	NYT_ENG_20030630.0079-CE25
CE37	NYT_ENG_20030630.0079-CE26
CE38	NYT_ENG_20030630.0079-CE27
CE39	NYT_ENG_20030630.0079-CE28
CE40	NYT_ENG_20030630.0079-CE29
CE41	NYT_ENG_20030630.0079-CE30
CE42	NYT_ENG_20030630.0079-CE31
CE43	NYT_ENG_20030630.0079-CE32
CE44	NYT_ENG_20030630.0079-CE33
CE45	NYT_ENG_20030630.0079-CE34
CE46	NYT_ENG_20030630.0079-CE35
CE47	NYT_ENG_20030630.0079-CE36
CE48	NYT_ENG_20030630.0079-CE37
CE49	NYT_ENG_20030630.0079-CE38
CE50	NYT_ENG_20030630.0079-CE39
CE51	NYT_ENG_20030630.0079-CE40
CE52	NYT_ENG_20030630.0079-CE41
CE53	NYT_ENG_20030630.0079-CE42
CE54	NYT_ENG_20030630.0079-CE43
CE55	NYT_ENG_20030630.0079-CE44
CE5	NYT_ENG_20030630.0079-CE45
CE56	NYT_ENG_20030630.0079-CE46
CE57	NYT_ENG_20030630.0079-CE47
CE2	NYT_ENG_20030630.0079-CE48
CE58	NYT_ENG_20030630.0079-CE49
CE6	NYT_ENG_20030630.0079-CE50
CE20	NYT_ENG_20030630.0079-CE51
CE11	NYT_ENG_20030630.0079-CE52
CE7	NYT_ENG_20030630.0079-CE53
CE8	NYT_ENG_20030630.0079-CE54
CE10	NYT_ENG_20030630.0079-CE55
CE12	NYT_ENG_20030630.0079-CE56
CE13	NYT_ENG_20030630.0079-CE57
CE14	NYT_ENG_20030630.0079-CE58
E15	NYT_ENG_20030630.0079-E1
E16	NYT_ENG_20030630.0079-E2
E17	NYT_ENG_20030630.0079-E3
E18	NYT_ENG_20030630.0079-E4
E19	NYT_ENG_20030630.0079-E5
E20	NYT_ENG_20030630.0079-E6
E21	NYT_ENG_20030630.0079-E7
E40	NYT_ENG_20030630.0079-E8
E26	NYT_ENG_20030630.0079-E9
E27	NYT_ENG_20030630.0079-E10
E31	NYT_ENG_20030630.0079-E11
E112	NYT_ENG_20030630.0079-E12
E1	NYT_ENG_20030630.0079-E13
E113	NYT_ENG_20030630.0079-E14
E43	NYT_ENG_20030630.0079-E15
E38	NYT_ENG_20030630.0079-E16
E39	NYT_ENG_20030630.0079-E17
E44	NYT_ENG_20030630.0079-E18
E45	NYT_ENG_20030630.0079-E19
E46	NYT_ENG_20030630.0079-E20
E47	NYT_ENG_20030630.0079-E21
E48	NYT_ENG_20030630.0079-E22
E49	NYT_ENG_20030630.0079-E23
E51	NYT_ENG_20030630.0079-E24
E52	NYT_ENG_20030630.0079-E25
E53	NYT_ENG_20030630.0079-E26
E54	NYT_ENG_20030630.0079-E27
E55	NYT_ENG_20030630.0079-E28
E57	NYT_ENG_20030630.0079-E29
E58	NYT_ENG_20030630.0079-E30
E59	NYT_ENG_20030630.0079-E31
E63	NYT_ENG_20030630.0079-E32
E65	NYT_ENG_20030630.0079-E33
E66	NYT_ENG_20030630.0079-E34
E68	NYT_ENG_20030630.0079-E35
E69	NYT_ENG_20030630.0079-E36
E70	NYT_ENG_20030630.0079-E37
E72	NYT_ENG_20030630.0079-E38
E73	NYT_ENG_20030630.0079-E39
E74	NYT_ENG_20030630.0079-E40
E75	NYT_ENG_20030630.0079-E41
E76	NYT_ENG_20030630.0079-E42
E78	NYT_ENG_20030630.0079-E43
E79	NYT_ENG_20030630.0079-E44
E80	NYT_ENG_20030630.0079-E45
E81	NYT_ENG_20030630.0079-E46
E82	NYT_ENG_20030630.0079-E47
E83	NYT_ENG_20030630.0079-E48
E85	NYT_ENG_20030630.0079-E49
E87	NYT_ENG_20030630.0079-E50
E89	NYT_ENG_20030630.0079-E51
E2	NYT_ENG_20030630.0079-E52
E90	NYT_ENG_20030630.0079-E53
E91	NYT_ENG_20030630.0079-E54
E94	NYT_ENG_20030630.0079-E55
E96	NYT_ENG_20030630.0079-E56
E97	NYT_ENG_20030630.0079-E57
E98	NYT_ENG_20030630.0079-E58
E99	NYT_ENG_20030630.0079-E59
E100	NYT_ENG_20030630.0079-E60
E101	NYT_ENG_20030630.0079-E61
E102	NYT_ENG_20030630.0079-E62
E103	NYT_ENG_20030630.0079-E63
E105	NYT_ENG_20030630.0079-E64
E106	NYT_ENG_20030630.0079-E65
E107	NYT_ENG_20030630.0079-E66
E116	NYT_ENG_20030630.0079-E67
E109	NYT_ENG_20030630.0079-E68
E110	NYT_ENG_20030630.0079-E69
E117	NYT_ENG_20030630.0079-E70
E1	NYT_ENG_20030630.0079-E71
E3	NYT_ENG_20030630.0079-E72
E118	NYT_ENG_20030630.0079-E73
E119	NYT_ENG_20030630.0079-E74
E120	NYT_ENG_20030630.0079-E75
E4	NYT_ENG_20030630.0079-E76
E5	NYT_ENG_20030630.0079-E77
E6	NYT_ENG_20030630.0079-E78
E8	NYT_ENG_20030630.0079-E79
E9	NYT_ENG_20030630.0079-E80
E12	NYT_ENG_20030630.0079-E81
E13	NYT_ENG_20030630.0079-E82
E14	NYT_ENG_20030630.0079-E83
EM1	NYT_ENG_20030630.0079-E13-1
EM20	NYT_ENG_20030630.0079-E52-2
EM21	NYT_ENG_20030630.0079-E2-3
EM22	NYT_ENG_20030630.0079-E3-4
EM24	NYT_ENG_20030630.0079-E4-5
EM25	NYT_ENG_20030630.0079-E5-6
EM27	NYT_ENG_20030630.0079-E4-7
EM28	NYT_ENG_20030630.0079-E6-8
EM29	NYT_ENG_20030630.0079-E6-9
EM32	NYT_ENG_20030630.0079-E4-10
EM33	NYT_ENG_20030630.0079-E77-11
EM34	NYT_ENG_20030630.0079-E78-12
EM35	NYT_ENG_20030630.0079-E78-13
EM36	NYT_ENG_20030630.0079-E77-14
EM38	NYT_ENG_20030630.0079-E79-15
EM65	NYT_ENG_20030630.0079-E77-16
EM39	NYT_ENG_20030630.0079-E7-17
EM66	NYT_ENG_20030630.0079-E8-18
EM42	NYT_ENG_20030630.0079-E77-19
EM43	NYT_ENG_20030630.0079-E78-20
EM44	NYT_ENG_20030630.0079-E77-21
EM45	NYT_ENG_20030630.0079-E52-22
EM46	NYT_ENG_20030630.0079-E77-23
EM47	NYT_ENG_20030630.0079-E52-24
EM48	NYT_ENG_20030630.0079-E77-25
EM49	NYT_ENG_20030630.0079-E77-26
EM67	NYT_ENG_20030630.0079-E77-27
EM23	NYT_ENG_20030630.0079-E12-28
EM57	NYT_ENG_20030630.0079-E77-29
EM58	NYT_ENG_20030630.0079-E9-30
EM50	NYT_ENG_20030630.0079-E78-31
EM60	NYT_ENG_20030630.0079-E10-32
EM61	NYT_ENG_20030630.0079-E10-33
EM68	NYT_ENG_20030630.0079-E78-34
EM14	NYT_ENG_20030630.0079-E52-35
EM70	NYT_ENG_20030630.0079-E77-36
EM62	NYT_ENG_20030630.0079-E11-37
EM71	NYT_ENG_20030630.0079-E15-38
EM15	NYT_ENG_20030630.0079-E52-39
EM37	NYT_ENG_20030630.0079-E14-40
EM72	NYT_ENG_20030630.0079-E77-41
EM73	NYT_ENG_20030630.0079-E18-42
EM40	NYT_ENG_20030630.0079-E52-43
EM41	NYT_ENG_20030630.0079-E52-44
EM59	NYT_ENG_20030630.0079-E16-45
EM52	NYT_ENG_20030630.0079-E17-46
EM74	NYT_ENG_20030630.0079-E77-47
EM75	NYT_ENG_20030630.0079-E78-48
EM76	NYT_ENG_20030630.0079-E19-49
EM77	NYT_ENG_20030630.0079-E20-50
EM78	NYT_ENG_20030630.0079-E20-51
EM79	NYT_ENG_20030630.0079-E77-52
EM80	NYT_ENG_20030630.0079-E21-53
EM81	NYT_ENG_20030630.0079-E22-54
EM82	NYT_ENG_20030630.0079-E21-55
EM83	NYT_ENG_20030630.0079-E77-56
EM84	NYT_ENG_20030630.0079-E77-57
EM85	NYT_ENG_20030630.0079-E77-58
EM86	NYT_ENG_20030630.0079-E83-59
EM87	NYT_ENG_20030630.0079-E23-60
EM89	NYT_ENG_20030630.0079-E24-61
EM90	NYT_ENG_20030630.0079-E25-62
EM91	NYT_ENG_20030630.0079-E82-63
EM88	NYT_ENG_20030630.0079-E26-64
EM92	NYT_ENG_20030630.0079-E27-65
EM93	NYT_ENG_20030630.0079-E28-66
EM94	NYT_ENG_20030630.0079-E77-67
EM95	NYT_ENG_20030630.0079-E78-68
EM97	NYT_ENG_20030630.0079-E77-69
EM98	NYT_ENG_20030630.0079-E29-70
EM100	NYT_ENG_20030630.0079-E30-71
EM101	NYT_ENG_20030630.0079-E77-72
EM102	NYT_ENG_20030630.0079-E31-73
EM103	NYT_ENG_20030630.0079-E31-74
EM105	NYT_ENG_20030630.0079-E77-75
EM106	NYT_ENG_20030630.0079-E77-76
EM2	NYT_ENG_20030630.0079-E52-77
EM107	NYT_ENG_20030630.0079-E32-78
EM108	NYT_ENG_20030630.0079-E33-79
EM109	NYT_ENG_20030630.0079-E34-80
EM111	NYT_ENG_20030630.0079-E35-81
EM112	NYT_ENG_20030630.0079-E36-82
EM113	NYT_ENG_20030630.0079-E37-83
EM99	NYT_ENG_20030630.0079-E12-84
EM69	NYT_ENG_20030630.0079-E2-85
EM114	NYT_ENG_20030630.0079-E52-86
EM3	NYT_ENG_20030630.0079-E38-87
EM31	NYT_ENG_20030630.0079-E39-88
EM115	NYT_ENG_20030630.0079-E40-89
EM116	NYT_ENG_20030630.0079-E52-90
EM117	NYT_ENG_20030630.0079-E41-91
EM118	NYT_ENG_20030630.0079-E78-92
EM119	NYT_ENG_20030630.0079-E42-93
EM123	NYT_ENG_20030630.0079-E43-94
EM124	NYT_ENG_20030630.0079-E79-95
EM125	NYT_ENG_20030630.0079-E44-96
EM126	NYT_ENG_20030630.0079-E44-97
EM127	NYT_ENG_20030630.0079-E18-98
EM128	NYT_ENG_20030630.0079-E45-99
EM129	NYT_ENG_20030630.0079-E46-100
EM130	NYT_ENG_20030630.0079-E18-101
EM131	NYT_ENG_20030630.0079-E46-102
EM132	NYT_ENG_20030630.0079-E47-103
EM133	NYT_ENG_20030630.0079-E77-104
EM134	NYT_ENG_20030630.0079-E18-105
EM135	NYT_ENG_20030630.0079-E48-106
EM139	NYT_ENG_20030630.0079-E77-107
