CE13	XIN_ENG_20030425.0184-CE1
CE14	XIN_ENG_20030425.0184-CE2
CE15	XIN_ENG_20030425.0184-CE3
CE16	XIN_ENG_20030425.0184-CE4
CE17	XIN_ENG_20030425.0184-CE5
CE1	XIN_ENG_20030425.0184-CE6
CE19	XIN_ENG_20030425.0184-CE7
CE4	XIN_ENG_20030425.0184-CE8
CE5	XIN_ENG_20030425.0184-CE9
CE3	XIN_ENG_20030425.0184-CE10
CE2	XIN_ENG_20030425.0184-CE11
CE18	XIN_ENG_20030425.0184-CE12
CE6	XIN_ENG_20030425.0184-CE13
CE7	XIN_ENG_20030425.0184-CE14
CE8	XIN_ENG_20030425.0184-CE15
CE9	XIN_ENG_20030425.0184-CE16
CE11	XIN_ENG_20030425.0184-CE17
CE10	XIN_ENG_20030425.0184-CE18
CE12	XIN_ENG_20030425.0184-CE19
E12	XIN_ENG_20030425.0184-E1
E14	XIN_ENG_20030425.0184-E2
E15	XIN_ENG_20030425.0184-E3
E16	XIN_ENG_20030425.0184-E4
E17	XIN_ENG_20030425.0184-E5
E18	XIN_ENG_20030425.0184-E6
E21	XIN_ENG_20030425.0184-E7
E22	XIN_ENG_20030425.0184-E8
E26	XIN_ENG_20030425.0184-E9
E27	XIN_ENG_20030425.0184-E10
E36	XIN_ENG_20030425.0184-E11
E37	XIN_ENG_20030425.0184-E12
E39	XIN_ENG_20030425.0184-E13
E40	XIN_ENG_20030425.0184-E14
E2	XIN_ENG_20030425.0184-E15
E3	XIN_ENG_20030425.0184-E16
E4	XIN_ENG_20030425.0184-E17
E5	XIN_ENG_20030425.0184-E18
E6	XIN_ENG_20030425.0184-E19
E7	XIN_ENG_20030425.0184-E20
E8	XIN_ENG_20030425.0184-E21
E9	XIN_ENG_20030425.0184-E22
E11	XIN_ENG_20030425.0184-E23
EM25	XIN_ENG_20030425.0184-E2-1
EM26	XIN_ENG_20030425.0184-E3-2
EM27	XIN_ENG_20030425.0184-E23-3
EM28	XIN_ENG_20030425.0184-E4-4
EM29	XIN_ENG_20030425.0184-E5-5
EM30	XIN_ENG_20030425.0184-E16-6
EM31	XIN_ENG_20030425.0184-E22-7
EM32	XIN_ENG_20030425.0184-E16-8
EM33	XIN_ENG_20030425.0184-E16-9
EM34	XIN_ENG_20030425.0184-E4-10
EM35	XIN_ENG_20030425.0184-E22-11
EM36	XIN_ENG_20030425.0184-E16-12
EM37	XIN_ENG_20030425.0184-E6-13
EM38	XIN_ENG_20030425.0184-E7-14
EM39	XIN_ENG_20030425.0184-E22-15
EM41	XIN_ENG_20030425.0184-E4-16
EM43	XIN_ENG_20030425.0184-E16-17
EM5	XIN_ENG_20030425.0184-E16-18
EM10	XIN_ENG_20030425.0184-E11-19
EM45	XIN_ENG_20030425.0184-E8-20
EM46	XIN_ENG_20030425.0184-E16-21
EM47	XIN_ENG_20030425.0184-E8-22
EM48	XIN_ENG_20030425.0184-E8-23
EM49	XIN_ENG_20030425.0184-E8-24
EM50	XIN_ENG_20030425.0184-E16-25
EM1	XIN_ENG_20030425.0184-E9-26
EM2	XIN_ENG_20030425.0184-E10-27
EM44	XIN_ENG_20030425.0184-E16-28
EM13	XIN_ENG_20030425.0184-E12-29
EM21	XIN_ENG_20030425.0184-E13-30
EM40	XIN_ENG_20030425.0184-E14-31
EM42	XIN_ENG_20030425.0184-E8-32
EM20	XIN_ENG_20030425.0184-E22-33
EM3	XIN_ENG_20030425.0184-E15-34
EM4	XIN_ENG_20030425.0184-E16-35
EM6	XIN_ENG_20030425.0184-E16-36
EM7	XIN_ENG_20030425.0184-E15-37
EM8	XIN_ENG_20030425.0184-E17-38
EM9	XIN_ENG_20030425.0184-E18-39
EM11	XIN_ENG_20030425.0184-E17-40
EM12	XIN_ENG_20030425.0184-E17-41
EM14	XIN_ENG_20030425.0184-E19-42
EM15	XIN_ENG_20030425.0184-E20-43
EM16	XIN_ENG_20030425.0184-E21-44
EM17	XIN_ENG_20030425.0184-E17-45
EM18	XIN_ENG_20030425.0184-E16-46
EM19	XIN_ENG_20030425.0184-E22-47
EM22	XIN_ENG_20030425.0184-E17-48
EM23	XIN_ENG_20030425.0184-E23-49
EM24	XIN_ENG_20030425.0184-E1-50
R1	XIN_ENG_20030425.0184-R1
R3	XIN_ENG_20030425.0184-R2
R2	XIN_ENG_20030425.0184-R3
R1	XIN_ENG_20030425.0184-R4
RM1	XIN_ENG_20030425.0184-R1-1
RM3	XIN_ENG_20030425.0184-R2-1
RM2	XIN_ENG_20030425.0184-R3-1
RM4	XIN_ENG_20030425.0184-R4-1
V1	XIN_ENG_20030425.0184-EV1
VM1	XIN_ENG_20030425.0184-EV1-1
Q1	XIN_ENG_20030425.0184-T1
Q2	XIN_ENG_20030425.0184-T2
Q3	XIN_ENG_20030425.0184-T3
Q5	XIN_ENG_20030425.0184-T4
Q4	XIN_ENG_20030425.0184-T5
