CE12	alt.corel_20041228.0503-CE1
CE13	alt.corel_20041228.0503-CE2
CE14	alt.corel_20041228.0503-CE3
CE15	alt.corel_20041228.0503-CE4
CE16	alt.corel_20041228.0503-CE5
CE17	alt.corel_20041228.0503-CE6
CE18	alt.corel_20041228.0503-CE7
CE19	alt.corel_20041228.0503-CE8
CE20	alt.corel_20041228.0503-CE9
CE21	alt.corel_20041228.0503-CE10
CE23	alt.corel_20041228.0503-CE11
CE22	alt.corel_20041228.0503-CE12
CE2	alt.corel_20041228.0503-CE13
CE24	alt.corel_20041228.0503-CE14
CE26	alt.corel_20041228.0503-CE15
CE27	alt.corel_20041228.0503-CE16
CE28	alt.corel_20041228.0503-CE17
CE25	alt.corel_20041228.0503-CE18
CE31	alt.corel_20041228.0503-CE19
CE32	alt.corel_20041228.0503-CE20
CE33	alt.corel_20041228.0503-CE21
CE5	alt.corel_20041228.0503-CE22
CE34	alt.corel_20041228.0503-CE23
CE35	alt.corel_20041228.0503-CE24
CE36	alt.corel_20041228.0503-CE25
CE37	alt.corel_20041228.0503-CE26
CE29	alt.corel_20041228.0503-CE27
CE38	alt.corel_20041228.0503-CE28
CE39	alt.corel_20041228.0503-CE29
CE4	alt.corel_20041228.0503-CE30
CE40	alt.corel_20041228.0503-CE31
CE41	alt.corel_20041228.0503-CE32
CE3	alt.corel_20041228.0503-CE33
CE42	alt.corel_20041228.0503-CE34
CE43	alt.corel_20041228.0503-CE35
CE44	alt.corel_20041228.0503-CE36
CE45	alt.corel_20041228.0503-CE37
CE46	alt.corel_20041228.0503-CE38
CE47	alt.corel_20041228.0503-CE39
CE48	alt.corel_20041228.0503-CE40
CE49	alt.corel_20041228.0503-CE41
CE50	alt.corel_20041228.0503-CE42
CE30	alt.corel_20041228.0503-CE43
CE6	alt.corel_20041228.0503-CE44
CE1	alt.corel_20041228.0503-CE45
CE7	alt.corel_20041228.0503-CE46
CE8	alt.corel_20041228.0503-CE47
CE9	alt.corel_20041228.0503-CE48
CE10	alt.corel_20041228.0503-CE49
CE11	alt.corel_20041228.0503-CE50
E13	alt.corel_20041228.0503-E1
E14	alt.corel_20041228.0503-E2
E16	alt.corel_20041228.0503-E3
E17	alt.corel_20041228.0503-E4
E18	alt.corel_20041228.0503-E5
E19	alt.corel_20041228.0503-E6
E20	alt.corel_20041228.0503-E7
E21	alt.corel_20041228.0503-E8
E22	alt.corel_20041228.0503-E9
E23	alt.corel_20041228.0503-E10
E24	alt.corel_20041228.0503-E11
E25	alt.corel_20041228.0503-E12
E26	alt.corel_20041228.0503-E13
E27	alt.corel_20041228.0503-E14
E28	alt.corel_20041228.0503-E15
E29	alt.corel_20041228.0503-E16
E31	alt.corel_20041228.0503-E17
E32	alt.corel_20041228.0503-E18
E34	alt.corel_20041228.0503-E19
E35	alt.corel_20041228.0503-E20
E36	alt.corel_20041228.0503-E21
E1	alt.corel_20041228.0503-E22
E38	alt.corel_20041228.0503-E23
E76	alt.corel_20041228.0503-E24
E40	alt.corel_20041228.0503-E25
E42	alt.corel_20041228.0503-E26
E43	alt.corel_20041228.0503-E27
E44	alt.corel_20041228.0503-E28
E45	alt.corel_20041228.0503-E29
E46	alt.corel_20041228.0503-E30
E47	alt.corel_20041228.0503-E31
E48	alt.corel_20041228.0503-E32
E49	alt.corel_20041228.0503-E33
E50	alt.corel_20041228.0503-E34
E51	alt.corel_20041228.0503-E35
E77	alt.corel_20041228.0503-E36
E52	alt.corel_20041228.0503-E37
E53	alt.corel_20041228.0503-E38
E54	alt.corel_20041228.0503-E39
E56	alt.corel_20041228.0503-E40
E58	alt.corel_20041228.0503-E41
E59	alt.corel_20041228.0503-E42
E60	alt.corel_20041228.0503-E43
E62	alt.corel_20041228.0503-E44
E63	alt.corel_20041228.0503-E45
E64	alt.corel_20041228.0503-E46
E65	alt.corel_20041228.0503-E47
E66	alt.corel_20041228.0503-E48
E78	alt.corel_20041228.0503-E49
E69	alt.corel_20041228.0503-E50
E70	alt.corel_20041228.0503-E51
E71	alt.corel_20041228.0503-E52
E72	alt.corel_20041228.0503-E53
E73	alt.corel_20041228.0503-E54
E2	alt.corel_20041228.0503-E55
E1	alt.corel_20041228.0503-E56
E81	alt.corel_20041228.0503-E57
E82	alt.corel_20041228.0503-E58
E5	alt.corel_20041228.0503-E59
E6	alt.corel_20041228.0503-E60
E7	alt.corel_20041228.0503-E61
E8	alt.corel_20041228.0503-E62
E9	alt.corel_20041228.0503-E63
E10	alt.corel_20041228.0503-E64
E11	alt.corel_20041228.0503-E65
E12	alt.corel_20041228.0503-E66
EM1	alt.corel_20041228.0503-E22-1
EM22	alt.corel_20041228.0503-E55-2
EM23	alt.corel_20041228.0503-E55-3
EM24	alt.corel_20041228.0503-E55-4
EM21	alt.corel_20041228.0503-E2-5
EM26	alt.corel_20041228.0503-E3-6
EM27	alt.corel_20041228.0503-E4-7
