CE8	alt.gossip.celebrities_20041118.2331-CE1
CE9	alt.gossip.celebrities_20041118.2331-CE2
CE14	alt.gossip.celebrities_20041118.2331-CE3
CE12	alt.gossip.celebrities_20041118.2331-CE4
CE13	alt.gossip.celebrities_20041118.2331-CE5
CE15	alt.gossip.celebrities_20041118.2331-CE6
CE16	alt.gossip.celebrities_20041118.2331-CE7
CE17	alt.gossip.celebrities_20041118.2331-CE8
CE18	alt.gossip.celebrities_20041118.2331-CE9
CE19	alt.gossip.celebrities_20041118.2331-CE10
CE21	alt.gossip.celebrities_20041118.2331-CE11
CE24	alt.gossip.celebrities_20041118.2331-CE12
CE25	alt.gossip.celebrities_20041118.2331-CE13
CE3	alt.gossip.celebrities_20041118.2331-CE14
CE27	alt.gossip.celebrities_20041118.2331-CE15
CE28	alt.gossip.celebrities_20041118.2331-CE16
CE29	alt.gossip.celebrities_20041118.2331-CE17
CE7	alt.gossip.celebrities_20041118.2331-CE18
CE2	alt.gossip.celebrities_20041118.2331-CE19
CE10	alt.gossip.celebrities_20041118.2331-CE20
CE20	alt.gossip.celebrities_20041118.2331-CE21
CE22	alt.gossip.celebrities_20041118.2331-CE22
CE23	alt.gossip.celebrities_20041118.2331-CE23
CE26	alt.gossip.celebrities_20041118.2331-CE24
CE4	alt.gossip.celebrities_20041118.2331-CE25
CE5	alt.gossip.celebrities_20041118.2331-CE26
CE1	alt.gossip.celebrities_20041118.2331-CE27
CE6	alt.gossip.celebrities_20041118.2331-CE28
E11	alt.gossip.celebrities_20041118.2331-E1
E12	alt.gossip.celebrities_20041118.2331-E2
E13	alt.gossip.celebrities_20041118.2331-E3
E14	alt.gossip.celebrities_20041118.2331-E4
E16	alt.gossip.celebrities_20041118.2331-E5
E18	alt.gossip.celebrities_20041118.2331-E6
E20	alt.gossip.celebrities_20041118.2331-E7
E21	alt.gossip.celebrities_20041118.2331-E8
E23	alt.gossip.celebrities_20041118.2331-E9
E24	alt.gossip.celebrities_20041118.2331-E10
E25	alt.gossip.celebrities_20041118.2331-E11
E26	alt.gossip.celebrities_20041118.2331-E12
E28	alt.gossip.celebrities_20041118.2331-E13
E1	alt.gossip.celebrities_20041118.2331-E14
E38	alt.gossip.celebrities_20041118.2331-E15
E39	alt.gossip.celebrities_20041118.2331-E16
E41	alt.gossip.celebrities_20041118.2331-E17
E42	alt.gossip.celebrities_20041118.2331-E18
E44	alt.gossip.celebrities_20041118.2331-E19
E45	alt.gossip.celebrities_20041118.2331-E20
E46	alt.gossip.celebrities_20041118.2331-E21
E47	alt.gossip.celebrities_20041118.2331-E22
E48	alt.gossip.celebrities_20041118.2331-E23
E49	alt.gossip.celebrities_20041118.2331-E24
E57	alt.gossip.celebrities_20041118.2331-E25
E52	alt.gossip.celebrities_20041118.2331-E26
E58	alt.gossip.celebrities_20041118.2331-E27
E65	alt.gossip.celebrities_20041118.2331-E28
E66	alt.gossip.celebrities_20041118.2331-E29
E67	alt.gossip.celebrities_20041118.2331-E30
E69	alt.gossip.celebrities_20041118.2331-E31
E70	alt.gossip.celebrities_20041118.2331-E32
E71	alt.gossip.celebrities_20041118.2331-E33
E72	alt.gossip.celebrities_20041118.2331-E34
E73	alt.gossip.celebrities_20041118.2331-E35
E74	alt.gossip.celebrities_20041118.2331-E36
E3	alt.gossip.celebrities_20041118.2331-E37
E4	alt.gossip.celebrities_20041118.2331-E38
E10	alt.gossip.celebrities_20041118.2331-E39
E62	alt.gossip.celebrities_20041118.2331-E40
EM3	alt.gossip.celebrities_20041118.2331-E14-1
EM23	alt.gossip.celebrities_20041118.2331-E1-2
EM20	alt.gossip.celebrities_20041118.2331-E14-3
EM24	alt.gossip.celebrities_20041118.2331-E14-4
EM26	alt.gossip.celebrities_20041118.2331-E39-5
EM27	alt.gossip.celebrities_20041118.2331-E2-6
EM28	alt.gossip.celebrities_20041118.2331-E3-7
EM29	alt.gossip.celebrities_20041118.2331-E4-8
EM35	alt.gossip.celebrities_20041118.2331-E38-9
EM38	alt.gossip.celebrities_20041118.2331-E5-10
EM39	alt.gossip.celebrities_20041118.2331-E38-11
EM42	alt.gossip.celebrities_20041118.2331-E6-12
EM46	alt.gossip.celebrities_20041118.2331-E7-13
EM52	alt.gossip.celebrities_20041118.2331-E39-14
EM53	alt.gossip.celebrities_20041118.2331-E8-15
EM54	alt.gossip.celebrities_20041118.2331-E8-16
EM55	alt.gossip.celebrities_20041118.2331-E9-17
EM56	alt.gossip.celebrities_20041118.2331-E39-18
EM57	alt.gossip.celebrities_20041118.2331-E10-19
EM58	alt.gossip.celebrities_20041118.2331-E11-20
EM59	alt.gossip.celebrities_20041118.2331-E11-21
EM61	alt.gossip.celebrities_20041118.2331-E12-22
EM63	alt.gossip.celebrities_20041118.2331-E13-23
EM65	alt.gossip.celebrities_20041118.2331-E13-24
EM67	alt.gossip.celebrities_20041118.2331-E30-25
EM68	alt.gossip.celebrities_20041118.2331-E39-26
EM74	alt.gossip.celebrities_20041118.2331-E38-27
EM75	alt.gossip.celebrities_20041118.2331-E15-28
EM76	alt.gossip.celebrities_20041118.2331-E16-29
EM78	alt.gossip.celebrities_20041118.2331-E17-30
EM80	alt.gossip.celebrities_20041118.2331-E16-31
EM81	alt.gossip.celebrities_20041118.2331-E14-32
EM82	alt.gossip.celebrities_20041118.2331-E38-33
EM83	alt.gossip.celebrities_20041118.2331-E38-34
EM84	alt.gossip.celebrities_20041118.2331-E18-35
EM85	alt.gossip.celebrities_20041118.2331-E19-36
EM86	alt.gossip.celebrities_20041118.2331-E14-37
EM87	alt.gossip.celebrities_20041118.2331-E38-38
EM88	alt.gossip.celebrities_20041118.2331-E20-39
EM89	alt.gossip.celebrities_20041118.2331-E21-40
EM90	alt.gossip.celebrities_20041118.2331-E22-41
EM91	alt.gossip.celebrities_20041118.2331-E23-42
EM92	alt.gossip.celebrities_20041118.2331-E24-43
EM25	alt.gossip.celebrities_20041118.2331-E25-44
EM47	alt.gossip.celebrities_20041118.2331-E39-45
EM48	alt.gossip.celebrities_20041118.2331-E26-46
EM33	alt.gossip.celebrities_20041118.2331-E27-47
EM62	alt.gossip.celebrities_20041118.2331-E28-48
EM64	alt.gossip.celebrities_20041118.2331-E29-49
EM66	alt.gossip.celebrities_20041118.2331-E30-50
EM71	alt.gossip.celebrities_20041118.2331-E30-51
EM79	alt.gossip.celebrities_20041118.2331-E31-52
EM60	alt.gossip.celebrities_20041118.2331-E11-53
EM1	alt.gossip.celebrities_20041118.2331-E14-54
EM2	alt.gossip.celebrities_20041118.2331-E14-55
EM70	alt.gossip.celebrities_20041118.2331-E32-56
EM16	alt.gossip.celebrities_20041118.2331-E38-57
EM18	alt.gossip.celebrities_20041118.2331-E38-58
EM31	alt.gossip.celebrities_20041118.2331-E14-59
EM36	alt.gossip.celebrities_20041118.2331-E38-60
EM69	alt.gossip.celebrities_20041118.2331-E39-61
EM72	alt.gossip.celebrities_20041118.2331-E33-62
EM73	alt.gossip.celebrities_20041118.2331-E34-63
EM44	alt.gossip.celebrities_20041118.2331-E35-64
EM45	alt.gossip.celebrities_20041118.2331-E40-65
EM49	alt.gossip.celebrities_20041118.2331-E27-66
EM34	alt.gossip.celebrities_20041118.2331-E27-67
EM41	alt.gossip.celebrities_20041118.2331-E27-68
EM4	alt.gossip.celebrities_20041118.2331-E14-69
EM8	alt.gossip.celebrities_20041118.2331-E14-70
EM51	alt.gossip.celebrities_20041118.2331-E36-71
EM30	alt.gossip.celebrities_20041118.2331-E38-72
EM32	alt.gossip.celebrities_20041118.2331-E38-73
EM40	alt.gossip.celebrities_20041118.2331-E38-74
EM50	alt.gossip.celebrities_20041118.2331-E38-75
EM17	alt.gossip.celebrities_20041118.2331-E38-76
EM77	alt.gossip.celebrities_20041118.2331-E16-77
EM5	alt.gossip.celebrities_20041118.2331-E37-78
EM6	alt.gossip.celebrities_20041118.2331-E38-79
EM7	alt.gossip.celebrities_20041118.2331-E14-80
EM9	alt.gossip.celebrities_20041118.2331-E37-81
EM10	alt.gossip.celebrities_20041118.2331-E38-82
EM11	alt.gossip.celebrities_20041118.2331-E38-83
EM12	alt.gossip.celebrities_20041118.2331-E37-84
EM13	alt.gossip.celebrities_20041118.2331-E39-85
EM14	alt.gossip.celebrities_20041118.2331-E38-86
EM15	alt.gossip.celebrities_20041118.2331-E37-87
EM43	alt.gossip.celebrities_20041118.2331-E40-88
EM19	alt.gossip.celebrities_20041118.2331-E38-89
EM21	alt.gossip.celebrities_20041118.2331-E38-90
EM22	alt.gossip.celebrities_20041118.2331-E14-91
R3	alt.gossip.celebrities_20041118.2331-R1
R4	alt.gossip.celebrities_20041118.2331-R2
R2	alt.gossip.celebrities_20041118.2331-R3
R5	alt.gossip.celebrities_20041118.2331-R4
R6	alt.gossip.celebrities_20041118.2331-R5
RM3	alt.gossip.celebrities_20041118.2331-R1-1
RM4	alt.gossip.celebrities_20041118.2331-R2-1
RM2	alt.gossip.celebrities_20041118.2331-R3-1
RM5	alt.gossip.celebrities_20041118.2331-R4-1
