CE10	alt.religion.mormon_20050103.0854-CE1
CE18	alt.religion.mormon_20050103.0854-CE2
CE11	alt.religion.mormon_20050103.0854-CE3
CE12	alt.religion.mormon_20050103.0854-CE4
CE13	alt.religion.mormon_20050103.0854-CE5
CE7	alt.religion.mormon_20050103.0854-CE6
CE15	alt.religion.mormon_20050103.0854-CE7
CE16	alt.religion.mormon_20050103.0854-CE8
CE17	alt.religion.mormon_20050103.0854-CE9
CE19	alt.religion.mormon_20050103.0854-CE10
CE20	alt.religion.mormon_20050103.0854-CE11
CE21	alt.religion.mormon_20050103.0854-CE12
CE23	alt.religion.mormon_20050103.0854-CE13
CE24	alt.religion.mormon_20050103.0854-CE14
CE25	alt.religion.mormon_20050103.0854-CE15
CE26	alt.religion.mormon_20050103.0854-CE16
CE2	alt.religion.mormon_20050103.0854-CE17
CE27	alt.religion.mormon_20050103.0854-CE18
CE29	alt.religion.mormon_20050103.0854-CE19
CE30	alt.religion.mormon_20050103.0854-CE20
CE31	alt.religion.mormon_20050103.0854-CE21
CE32	alt.religion.mormon_20050103.0854-CE22
CE33	alt.religion.mormon_20050103.0854-CE23
CE1	alt.religion.mormon_20050103.0854-CE24
CE34	alt.religion.mormon_20050103.0854-CE25
CE35	alt.religion.mormon_20050103.0854-CE26
CE36	alt.religion.mormon_20050103.0854-CE27
CE37	alt.religion.mormon_20050103.0854-CE28
CE38	alt.religion.mormon_20050103.0854-CE29
CE39	alt.religion.mormon_20050103.0854-CE30
CE3	alt.religion.mormon_20050103.0854-CE31
CE22	alt.religion.mormon_20050103.0854-CE32
CE28	alt.religion.mormon_20050103.0854-CE33
CE4	alt.religion.mormon_20050103.0854-CE34
CE5	alt.religion.mormon_20050103.0854-CE35
CE6	alt.religion.mormon_20050103.0854-CE36
CE14	alt.religion.mormon_20050103.0854-CE37
CE8	alt.religion.mormon_20050103.0854-CE38
CE9	alt.religion.mormon_20050103.0854-CE39
E32	alt.religion.mormon_20050103.0854-E1
E10	alt.religion.mormon_20050103.0854-E2
E12	alt.religion.mormon_20050103.0854-E3
E13	alt.religion.mormon_20050103.0854-E4
E14	alt.religion.mormon_20050103.0854-E5
E34	alt.religion.mormon_20050103.0854-E6
E16	alt.religion.mormon_20050103.0854-E7
