CE11	misc.legal.moderated_20050129.2225-CE1
CE12	misc.legal.moderated_20050129.2225-CE2
CE16	misc.legal.moderated_20050129.2225-CE3
CE14	misc.legal.moderated_20050129.2225-CE4
CE13	misc.legal.moderated_20050129.2225-CE5
CE15	misc.legal.moderated_20050129.2225-CE6
CE17	misc.legal.moderated_20050129.2225-CE7
CE3	misc.legal.moderated_20050129.2225-CE8
CE35	misc.legal.moderated_20050129.2225-CE9
CE19	misc.legal.moderated_20050129.2225-CE10
CE26	misc.legal.moderated_20050129.2225-CE11
CE20	misc.legal.moderated_20050129.2225-CE12
CE31	misc.legal.moderated_20050129.2225-CE13
CE21	misc.legal.moderated_20050129.2225-CE14
CE22	misc.legal.moderated_20050129.2225-CE15
CE23	misc.legal.moderated_20050129.2225-CE16
CE24	misc.legal.moderated_20050129.2225-CE17
CE25	misc.legal.moderated_20050129.2225-CE18
CE27	misc.legal.moderated_20050129.2225-CE19
CE28	misc.legal.moderated_20050129.2225-CE20
CE29	misc.legal.moderated_20050129.2225-CE21
CE18	misc.legal.moderated_20050129.2225-CE22
CE30	misc.legal.moderated_20050129.2225-CE23
CE32	misc.legal.moderated_20050129.2225-CE24
CE33	misc.legal.moderated_20050129.2225-CE25
CE34	misc.legal.moderated_20050129.2225-CE26
CE36	misc.legal.moderated_20050129.2225-CE27
CE37	misc.legal.moderated_20050129.2225-CE28
CE40	misc.legal.moderated_20050129.2225-CE29
CE41	misc.legal.moderated_20050129.2225-CE30
CE39	misc.legal.moderated_20050129.2225-CE31
CE43	misc.legal.moderated_20050129.2225-CE32
CE44	misc.legal.moderated_20050129.2225-CE33
CE1	misc.legal.moderated_20050129.2225-CE34
CE46	misc.legal.moderated_20050129.2225-CE35
CE45	misc.legal.moderated_20050129.2225-CE36
CE4	misc.legal.moderated_20050129.2225-CE37
CE2	misc.legal.moderated_20050129.2225-CE38
CE42	misc.legal.moderated_20050129.2225-CE39
CE38	misc.legal.moderated_20050129.2225-CE40
CE5	misc.legal.moderated_20050129.2225-CE41
CE6	misc.legal.moderated_20050129.2225-CE42
CE7	misc.legal.moderated_20050129.2225-CE43
CE8	misc.legal.moderated_20050129.2225-CE44
CE9	misc.legal.moderated_20050129.2225-CE45
CE10	misc.legal.moderated_20050129.2225-CE46
E10	misc.legal.moderated_20050129.2225-E1
E11	misc.legal.moderated_20050129.2225-E2
E12	misc.legal.moderated_20050129.2225-E3
E13	misc.legal.moderated_20050129.2225-E4
E14	misc.legal.moderated_20050129.2225-E5
E16	misc.legal.moderated_20050129.2225-E6
E1	misc.legal.moderated_20050129.2225-E7
E17	misc.legal.moderated_20050129.2225-E8
E18	misc.legal.moderated_20050129.2225-E9
E19	misc.legal.moderated_20050129.2225-E10
E69	misc.legal.moderated_20050129.2225-E11
E23	misc.legal.moderated_20050129.2225-E12
E70	misc.legal.moderated_20050129.2225-E13
E26	misc.legal.moderated_20050129.2225-E14
E29	misc.legal.moderated_20050129.2225-E15
E30	misc.legal.moderated_20050129.2225-E16
E31	misc.legal.moderated_20050129.2225-E17
E32	misc.legal.moderated_20050129.2225-E18
E33	misc.legal.moderated_20050129.2225-E19
E35	misc.legal.moderated_20050129.2225-E20
E36	misc.legal.moderated_20050129.2225-E21
E37	misc.legal.moderated_20050129.2225-E22
E38	misc.legal.moderated_20050129.2225-E23
E40	misc.legal.moderated_20050129.2225-E24
E42	misc.legal.moderated_20050129.2225-E25
E43	misc.legal.moderated_20050129.2225-E26
E44	misc.legal.moderated_20050129.2225-E27
E45	misc.legal.moderated_20050129.2225-E28
E46	misc.legal.moderated_20050129.2225-E29
E48	misc.legal.moderated_20050129.2225-E30
E49	misc.legal.moderated_20050129.2225-E31
