CE9	misc.taxes_20050218.1250-CE1
CE11	misc.taxes_20050218.1250-CE2
CE12	misc.taxes_20050218.1250-CE3
CE13	misc.taxes_20050218.1250-CE4
CE14	misc.taxes_20050218.1250-CE5
CE10	misc.taxes_20050218.1250-CE6
CE2	misc.taxes_20050218.1250-CE7
CE6	misc.taxes_20050218.1250-CE8
CE7	misc.taxes_20050218.1250-CE9
CE3	misc.taxes_20050218.1250-CE10
CE1	misc.taxes_20050218.1250-CE11
CE4	misc.taxes_20050218.1250-CE12
CE5	misc.taxes_20050218.1250-CE13
CE8	misc.taxes_20050218.1250-CE14
E7	misc.taxes_20050218.1250-E1
E8	misc.taxes_20050218.1250-E2
E9	misc.taxes_20050218.1250-E3
E10	misc.taxes_20050218.1250-E4
E11	misc.taxes_20050218.1250-E5
E1	misc.taxes_20050218.1250-E6
E12	misc.taxes_20050218.1250-E7
E14	misc.taxes_20050218.1250-E8
E15	misc.taxes_20050218.1250-E9
E16	misc.taxes_20050218.1250-E10
E22	misc.taxes_20050218.1250-E11
E23	misc.taxes_20050218.1250-E12
E24	misc.taxes_20050218.1250-E13
E25	misc.taxes_20050218.1250-E14
E26	misc.taxes_20050218.1250-E15
E2	misc.taxes_20050218.1250-E16
E3	misc.taxes_20050218.1250-E17
E4	misc.taxes_20050218.1250-E18
E5	misc.taxes_20050218.1250-E19
E6	misc.taxes_20050218.1250-E20
EM2	misc.taxes_20050218.1250-E6-1
EM32	misc.taxes_20050218.1250-E16-2
EM33	misc.taxes_20050218.1250-E16-3
EM34	misc.taxes_20050218.1250-E20-4
EM35	misc.taxes_20050218.1250-E16-5
EM36	misc.taxes_20050218.1250-E6-6
EM37	misc.taxes_20050218.1250-E6-7
EM38	misc.taxes_20050218.1250-E18-8
EM39	misc.taxes_20050218.1250-E16-9
EM40	misc.taxes_20050218.1250-E20-10
EM41	misc.taxes_20050218.1250-E16-11
EM42	misc.taxes_20050218.1250-E1-12
EM44	misc.taxes_20050218.1250-E16-13
EM45	misc.taxes_20050218.1250-E6-14
EM46	misc.taxes_20050218.1250-E6-15
EM48	misc.taxes_20050218.1250-E16-16
EM49	misc.taxes_20050218.1250-E6-17
EM50	misc.taxes_20050218.1250-E16-18
EM51	misc.taxes_20050218.1250-E6-19
EM53	misc.taxes_20050218.1250-E16-20
EM54	misc.taxes_20050218.1250-E16-21
EM55	misc.taxes_20050218.1250-E6-22
EM56	misc.taxes_20050218.1250-E6-23
EM57	misc.taxes_20050218.1250-E6-24
EM58	misc.taxes_20050218.1250-E20-25
EM59	misc.taxes_20050218.1250-E18-26
EM60	misc.taxes_20050218.1250-E2-27
EM61	misc.taxes_20050218.1250-E3-28
EM62	misc.taxes_20050218.1250-E4-29
EM63	misc.taxes_20050218.1250-E20-30
EM64	misc.taxes_20050218.1250-E16-31
EM66	misc.taxes_20050218.1250-E16-32
EM65	misc.taxes_20050218.1250-E20-33
EM67	misc.taxes_20050218.1250-E6-34
EM68	misc.taxes_20050218.1250-E16-35
EM69	misc.taxes_20050218.1250-E6-36
EM70	misc.taxes_20050218.1250-E5-37
EM71	misc.taxes_20050218.1250-E18-38
EM72	misc.taxes_20050218.1250-E18-39
EM73	misc.taxes_20050218.1250-E16-40
EM74	misc.taxes_20050218.1250-E16-41
