CE11	rec.travel.usa-canada_20050128.0121-CE1
CE12	rec.travel.usa-canada_20050128.0121-CE2
CE13	rec.travel.usa-canada_20050128.0121-CE3
CE14	rec.travel.usa-canada_20050128.0121-CE4
CE15	rec.travel.usa-canada_20050128.0121-CE5
CE16	rec.travel.usa-canada_20050128.0121-CE6
CE18	rec.travel.usa-canada_20050128.0121-CE7
CE19	rec.travel.usa-canada_20050128.0121-CE8
CE20	rec.travel.usa-canada_20050128.0121-CE9
CE21	rec.travel.usa-canada_20050128.0121-CE10
CE1	rec.travel.usa-canada_20050128.0121-CE11
CE36	rec.travel.usa-canada_20050128.0121-CE12
CE22	rec.travel.usa-canada_20050128.0121-CE13
CE23	rec.travel.usa-canada_20050128.0121-CE14
CE24	rec.travel.usa-canada_20050128.0121-CE15
CE25	rec.travel.usa-canada_20050128.0121-CE16
CE26	rec.travel.usa-canada_20050128.0121-CE17
CE27	rec.travel.usa-canada_20050128.0121-CE18
CE28	rec.travel.usa-canada_20050128.0121-CE19
CE29	rec.travel.usa-canada_20050128.0121-CE20
CE30	rec.travel.usa-canada_20050128.0121-CE21
CE31	rec.travel.usa-canada_20050128.0121-CE22
CE32	rec.travel.usa-canada_20050128.0121-CE23
CE33	rec.travel.usa-canada_20050128.0121-CE24
CE17	rec.travel.usa-canada_20050128.0121-CE25
CE2	rec.travel.usa-canada_20050128.0121-CE26
CE34	rec.travel.usa-canada_20050128.0121-CE27
CE3	rec.travel.usa-canada_20050128.0121-CE28
CE35	rec.travel.usa-canada_20050128.0121-CE29
CE4	rec.travel.usa-canada_20050128.0121-CE30
CE5	rec.travel.usa-canada_20050128.0121-CE31
CE6	rec.travel.usa-canada_20050128.0121-CE32
CE7	rec.travel.usa-canada_20050128.0121-CE33
CE8	rec.travel.usa-canada_20050128.0121-CE34
CE9	rec.travel.usa-canada_20050128.0121-CE35
CE10	rec.travel.usa-canada_20050128.0121-CE36
E12	rec.travel.usa-canada_20050128.0121-E1
E13	rec.travel.usa-canada_20050128.0121-E2
E14	rec.travel.usa-canada_20050128.0121-E3
E15	rec.travel.usa-canada_20050128.0121-E4
E16	rec.travel.usa-canada_20050128.0121-E5
E17	rec.travel.usa-canada_20050128.0121-E6
E20	rec.travel.usa-canada_20050128.0121-E7
E21	rec.travel.usa-canada_20050128.0121-E8
E22	rec.travel.usa-canada_20050128.0121-E9
E23	rec.travel.usa-canada_20050128.0121-E10
E1	rec.travel.usa-canada_20050128.0121-E11
E25	rec.travel.usa-canada_20050128.0121-E12
E26	rec.travel.usa-canada_20050128.0121-E13
E27	rec.travel.usa-canada_20050128.0121-E14
E28	rec.travel.usa-canada_20050128.0121-E15
E29	rec.travel.usa-canada_20050128.0121-E16
E30	rec.travel.usa-canada_20050128.0121-E17
E31	rec.travel.usa-canada_20050128.0121-E18
E32	rec.travel.usa-canada_20050128.0121-E19
E34	rec.travel.usa-canada_20050128.0121-E20
E35	rec.travel.usa-canada_20050128.0121-E21
E37	rec.travel.usa-canada_20050128.0121-E22
E38	rec.travel.usa-canada_20050128.0121-E23
E39	rec.travel.usa-canada_20050128.0121-E24
E47	rec.travel.usa-canada_20050128.0121-E25
E2	rec.travel.usa-canada_20050128.0121-E26
E52	rec.travel.usa-canada_20050128.0121-E27
E3	rec.travel.usa-canada_20050128.0121-E28
E54	rec.travel.usa-canada_20050128.0121-E29
E55	rec.travel.usa-canada_20050128.0121-E30
E4	rec.travel.usa-canada_20050128.0121-E31
E5	rec.travel.usa-canada_20050128.0121-E32
E6	rec.travel.usa-canada_20050128.0121-E33
E7	rec.travel.usa-canada_20050128.0121-E34
E8	rec.travel.usa-canada_20050128.0121-E35
E9	rec.travel.usa-canada_20050128.0121-E36
E10	rec.travel.usa-canada_20050128.0121-E37
E11	rec.travel.usa-canada_20050128.0121-E38
EM20	rec.travel.usa-canada_20050128.0121-E38-1
EM21	rec.travel.usa-canada_20050128.0121-E1-2
EM22	rec.travel.usa-canada_20050128.0121-E38-3
EM23	rec.travel.usa-canada_20050128.0121-E38-4
EM24	rec.travel.usa-canada_20050128.0121-E1-5
EM25	rec.travel.usa-canada_20050128.0121-E38-6
EM26	rec.travel.usa-canada_20050128.0121-E1-7
EM27	rec.travel.usa-canada_20050128.0121-E2-8
EM28	rec.travel.usa-canada_20050128.0121-E3-9
EM29	rec.travel.usa-canada_20050128.0121-E2-10
EM30	rec.travel.usa-canada_20050128.0121-E2-11
EM31	rec.travel.usa-canada_20050128.0121-E4-12
EM32	rec.travel.usa-canada_20050128.0121-E5-13
EM33	rec.travel.usa-canada_20050128.0121-E2-14
EM34	rec.travel.usa-canada_20050128.0121-E2-15
EM35	rec.travel.usa-canada_20050128.0121-E2-16
EM36	rec.travel.usa-canada_20050128.0121-E6-17
EM37	rec.travel.usa-canada_20050128.0121-E3-18
EM38	rec.travel.usa-canada_20050128.0121-E6-19
EM41	rec.travel.usa-canada_20050128.0121-E38-20
EM42	rec.travel.usa-canada_20050128.0121-E7-21
EM43	rec.travel.usa-canada_20050128.0121-E6-22
EM44	rec.travel.usa-canada_20050128.0121-E38-23
EM45	rec.travel.usa-canada_20050128.0121-E7-24
EM47	rec.travel.usa-canada_20050128.0121-E38-25
EM48	rec.travel.usa-canada_20050128.0121-E28-26
EM50	rec.travel.usa-canada_20050128.0121-E6-27
EM51	rec.travel.usa-canada_20050128.0121-E8-28
EM52	rec.travel.usa-canada_20050128.0121-E6-29
EM53	rec.travel.usa-canada_20050128.0121-E7-30
EM54	rec.travel.usa-canada_20050128.0121-E7-31
EM55	rec.travel.usa-canada_20050128.0121-E38-32
EM57	rec.travel.usa-canada_20050128.0121-E7-33
EM58	rec.travel.usa-canada_20050128.0121-E26-34
EM59	rec.travel.usa-canada_20050128.0121-E26-35
EM60	rec.travel.usa-canada_20050128.0121-E9-36
EM61	rec.travel.usa-canada_20050128.0121-E9-37
EM62	rec.travel.usa-canada_20050128.0121-E10-38
EM63	rec.travel.usa-canada_20050128.0121-E26-39
EM64	rec.travel.usa-canada_20050128.0121-E37-40
EM65	rec.travel.usa-canada_20050128.0121-E37-41
EM66	rec.travel.usa-canada_20050128.0121-E7-42
EM67	rec.travel.usa-canada_20050128.0121-E37-43
EM72	rec.travel.usa-canada_20050128.0121-E37-44
EM73	rec.travel.usa-canada_20050128.0121-E37-45
EM76	rec.travel.usa-canada_20050128.0121-E26-46
EM80	rec.travel.usa-canada_20050128.0121-E26-47
EM83	rec.travel.usa-canada_20050128.0121-E37-48
EM86	rec.travel.usa-canada_20050128.0121-E37-49
EM84	rec.travel.usa-canada_20050128.0121-E26-50
EM87	rec.travel.usa-canada_20050128.0121-E26-51
EM90	rec.travel.usa-canada_20050128.0121-E26-52
EM88	rec.travel.usa-canada_20050128.0121-E37-53
EM124	rec.travel.usa-canada_20050128.0121-E26-54
EM125	rec.travel.usa-canada_20050128.0121-E26-55
EM129	rec.travel.usa-canada_20050128.0121-E26-56
EM131	rec.travel.usa-canada_20050128.0121-E26-57
EM143	rec.travel.usa-canada_20050128.0121-E26-58
EM144	rec.travel.usa-canada_20050128.0121-E26-59
EM145	rec.travel.usa-canada_20050128.0121-E26-60
EM157	rec.travel.usa-canada_20050128.0121-E26-61
EM164	rec.travel.usa-canada_20050128.0121-E26-62
EM168	rec.travel.usa-canada_20050128.0121-E26-63
EM172	rec.travel.usa-canada_20050128.0121-E26-64
EM174	rec.travel.usa-canada_20050128.0121-E26-65
EM175	rec.travel.usa-canada_20050128.0121-E26-66
EM177	rec.travel.usa-canada_20050128.0121-E26-67
EM180	rec.travel.usa-canada_20050128.0121-E26-68
EM181	rec.travel.usa-canada_20050128.0121-E26-69
EM132	rec.travel.usa-canada_20050128.0121-E37-70
EM134	rec.travel.usa-canada_20050128.0121-E37-71
EM137	rec.travel.usa-canada_20050128.0121-E37-72
EM160	rec.travel.usa-canada_20050128.0121-E37-73
EM161	rec.travel.usa-canada_20050128.0121-E37-74
EM171	rec.travel.usa-canada_20050128.0121-E12-75
EM68	rec.travel.usa-canada_20050128.0121-E38-76
EM70	rec.travel.usa-canada_20050128.0121-E38-77
EM71	rec.travel.usa-canada_20050128.0121-E13-78
EM75	rec.travel.usa-canada_20050128.0121-E14-79
EM77	rec.travel.usa-canada_20050128.0121-E15-80
EM78	rec.travel.usa-canada_20050128.0121-E16-81
EM81	rec.travel.usa-canada_20050128.0121-E17-82
EM82	rec.travel.usa-canada_20050128.0121-E36-83
EM85	rec.travel.usa-canada_20050128.0121-E18-84
EM89	rec.travel.usa-canada_20050128.0121-E31-85
EM91	rec.travel.usa-canada_20050128.0121-E36-86
EM92	rec.travel.usa-canada_20050128.0121-E26-87
EM98	rec.travel.usa-canada_20050128.0121-E26-88
EM100	rec.travel.usa-canada_20050128.0121-E26-89
EM103	rec.travel.usa-canada_20050128.0121-E26-90
EM107	rec.travel.usa-canada_20050128.0121-E26-91
EM109	rec.travel.usa-canada_20050128.0121-E26-92
EM111	rec.travel.usa-canada_20050128.0121-E26-93
EM113	rec.travel.usa-canada_20050128.0121-E26-94
EM2	rec.travel.usa-canada_20050128.0121-E26-95
EM117	rec.travel.usa-canada_20050128.0121-E26-96
EM119	rec.travel.usa-canada_20050128.0121-E19-97
EM120	rec.travel.usa-canada_20050128.0121-E19-98
EM121	rec.travel.usa-canada_20050128.0121-E19-99
EM122	rec.travel.usa-canada_20050128.0121-E19-100
EM123	rec.travel.usa-canada_20050128.0121-E11-101
EM93	rec.travel.usa-canada_20050128.0121-E4-102
EM94	rec.travel.usa-canada_20050128.0121-E19-103
EM95	rec.travel.usa-canada_20050128.0121-E19-104
EM96	rec.travel.usa-canada_20050128.0121-E6-105
EM97	rec.travel.usa-canada_20050128.0121-E7-106
EM99	rec.travel.usa-canada_20050128.0121-E20-107
EM102	rec.travel.usa-canada_20050128.0121-E21-108
EM40	rec.travel.usa-canada_20050128.0121-E25-109
EM105	rec.travel.usa-canada_20050128.0121-E22-110
EM106	rec.travel.usa-canada_20050128.0121-E6-111
EM108	rec.travel.usa-canada_20050128.0121-E7-112
EM110	rec.travel.usa-canada_20050128.0121-E7-113
