CE14	soc.culture.china_20050203.0639-CE1
CE15	soc.culture.china_20050203.0639-CE2
CE2	soc.culture.china_20050203.0639-CE3
CE18	soc.culture.china_20050203.0639-CE4
CE19	soc.culture.china_20050203.0639-CE5
CE20	soc.culture.china_20050203.0639-CE6
CE21	soc.culture.china_20050203.0639-CE7
CE26	soc.culture.china_20050203.0639-CE8
CE27	soc.culture.china_20050203.0639-CE9
CE11	soc.culture.china_20050203.0639-CE10
CE28	soc.culture.china_20050203.0639-CE11
CE29	soc.culture.china_20050203.0639-CE12
CE30	soc.culture.china_20050203.0639-CE13
CE31	soc.culture.china_20050203.0639-CE14
CE32	soc.culture.china_20050203.0639-CE15
CE33	soc.culture.china_20050203.0639-CE16
CE34	soc.culture.china_20050203.0639-CE17
CE35	soc.culture.china_20050203.0639-CE18
CE37	soc.culture.china_20050203.0639-CE19
CE36	soc.culture.china_20050203.0639-CE20
CE39	soc.culture.china_20050203.0639-CE21
CE38	soc.culture.china_20050203.0639-CE22
CE16	soc.culture.china_20050203.0639-CE23
CE5	soc.culture.china_20050203.0639-CE24
CE40	soc.culture.china_20050203.0639-CE25
CE41	soc.culture.china_20050203.0639-CE26
CE42	soc.culture.china_20050203.0639-CE27
CE43	soc.culture.china_20050203.0639-CE28
CE44	soc.culture.china_20050203.0639-CE29
CE17	soc.culture.china_20050203.0639-CE30
CE22	soc.culture.china_20050203.0639-CE31
CE23	soc.culture.china_20050203.0639-CE32
CE45	soc.culture.china_20050203.0639-CE33
CE25	soc.culture.china_20050203.0639-CE34
CE46	soc.culture.china_20050203.0639-CE35
CE47	soc.culture.china_20050203.0639-CE36
CE48	soc.culture.china_20050203.0639-CE37
CE49	soc.culture.china_20050203.0639-CE38
CE50	soc.culture.china_20050203.0639-CE39
CE51	soc.culture.china_20050203.0639-CE40
CE52	soc.culture.china_20050203.0639-CE41
CE24	soc.culture.china_20050203.0639-CE42
CE4	soc.culture.china_20050203.0639-CE43
CE1	soc.culture.china_20050203.0639-CE44
CE3	soc.culture.china_20050203.0639-CE45
CE6	soc.culture.china_20050203.0639-CE46
CE7	soc.culture.china_20050203.0639-CE47
CE8	soc.culture.china_20050203.0639-CE48
CE9	soc.culture.china_20050203.0639-CE49
CE10	soc.culture.china_20050203.0639-CE50
CE12	soc.culture.china_20050203.0639-CE51
CE13	soc.culture.china_20050203.0639-CE52
E13	soc.culture.china_20050203.0639-E1
E14	soc.culture.china_20050203.0639-E2
E15	soc.culture.china_20050203.0639-E3
E16	soc.culture.china_20050203.0639-E4
E17	soc.culture.china_20050203.0639-E5
E22	soc.culture.china_20050203.0639-E6
E23	soc.culture.china_20050203.0639-E7
E24	soc.culture.china_20050203.0639-E8
E25	soc.culture.china_20050203.0639-E9
E26	soc.culture.china_20050203.0639-E10
E27	soc.culture.china_20050203.0639-E11
E28	soc.culture.china_20050203.0639-E12
E67	soc.culture.china_20050203.0639-E13
E32	soc.culture.china_20050203.0639-E14
E33	soc.culture.china_20050203.0639-E15
E35	soc.culture.china_20050203.0639-E16
E36	soc.culture.china_20050203.0639-E17
E37	soc.culture.china_20050203.0639-E18
E38	soc.culture.china_20050203.0639-E19
E1	soc.culture.china_20050203.0639-E20
E39	soc.culture.china_20050203.0639-E21
E40	soc.culture.china_20050203.0639-E22
E41	soc.culture.china_20050203.0639-E23
E42	soc.culture.china_20050203.0639-E24
E43	soc.culture.china_20050203.0639-E25
E44	soc.culture.china_20050203.0639-E26
E45	soc.culture.china_20050203.0639-E27
E46	soc.culture.china_20050203.0639-E28
E68	soc.culture.china_20050203.0639-E29
E48	soc.culture.china_20050203.0639-E30
E49	soc.culture.china_20050203.0639-E31
E50	soc.culture.china_20050203.0639-E32
E51	soc.culture.china_20050203.0639-E33
E52	soc.culture.china_20050203.0639-E34
E53	soc.culture.china_20050203.0639-E35
E54	soc.culture.china_20050203.0639-E36
E70	soc.culture.china_20050203.0639-E37
E71	soc.culture.china_20050203.0639-E38
E72	soc.culture.china_20050203.0639-E39
E55	soc.culture.china_20050203.0639-E40
E57	soc.culture.china_20050203.0639-E41
E58	soc.culture.china_20050203.0639-E42
E59	soc.culture.china_20050203.0639-E43
E60	soc.culture.china_20050203.0639-E44
E61	soc.culture.china_20050203.0639-E45
E62	soc.culture.china_20050203.0639-E46
E63	soc.culture.china_20050203.0639-E47
E64	soc.culture.china_20050203.0639-E48
E65	soc.culture.china_20050203.0639-E49
E2	soc.culture.china_20050203.0639-E50
E74	soc.culture.china_20050203.0639-E51
E76	soc.culture.china_20050203.0639-E52
E77	soc.culture.china_20050203.0639-E53
E3	soc.culture.china_20050203.0639-E54
E79	soc.culture.china_20050203.0639-E55
E80	soc.culture.china_20050203.0639-E56
E4	soc.culture.china_20050203.0639-E57
E5	soc.culture.china_20050203.0639-E58
E6	soc.culture.china_20050203.0639-E59
E7	soc.culture.china_20050203.0639-E60
E8	soc.culture.china_20050203.0639-E61
E10	soc.culture.china_20050203.0639-E62
E11	soc.culture.china_20050203.0639-E63
E12	soc.culture.china_20050203.0639-E64
EM22	soc.culture.china_20050203.0639-E1-1
EM23	soc.culture.china_20050203.0639-E2-2
EM24	soc.culture.china_20050203.0639-E3-3
EM26	soc.culture.china_20050203.0639-E4-4
EM25	soc.culture.china_20050203.0639-E5-5
EM27	soc.culture.china_20050203.0639-E50-6
EM29	soc.culture.china_20050203.0639-E2-7
EM32	soc.culture.china_20050203.0639-E6-8
EM33	soc.culture.china_20050203.0639-E7-9
EM35	soc.culture.china_20050203.0639-E8-10
EM34	soc.culture.china_20050203.0639-E9-11
EM36	soc.culture.china_20050203.0639-E10-12
