CE18	soc.culture.jewish_20050130.2105-CE1
CE23	soc.culture.jewish_20050130.2105-CE2
CE20	soc.culture.jewish_20050130.2105-CE3
CE5	soc.culture.jewish_20050130.2105-CE4
CE19	soc.culture.jewish_20050130.2105-CE5
CE11	soc.culture.jewish_20050130.2105-CE6
CE2	soc.culture.jewish_20050130.2105-CE7
CE21	soc.culture.jewish_20050130.2105-CE8
CE22	soc.culture.jewish_20050130.2105-CE9
CE24	soc.culture.jewish_20050130.2105-CE10
CE25	soc.culture.jewish_20050130.2105-CE11
CE26	soc.culture.jewish_20050130.2105-CE12
CE27	soc.culture.jewish_20050130.2105-CE13
CE28	soc.culture.jewish_20050130.2105-CE14
CE29	soc.culture.jewish_20050130.2105-CE15
CE30	soc.culture.jewish_20050130.2105-CE16
CE31	soc.culture.jewish_20050130.2105-CE17
CE32	soc.culture.jewish_20050130.2105-CE18
CE34	soc.culture.jewish_20050130.2105-CE19
CE4	soc.culture.jewish_20050130.2105-CE20
CE13	soc.culture.jewish_20050130.2105-CE21
CE15	soc.culture.jewish_20050130.2105-CE22
CE3	soc.culture.jewish_20050130.2105-CE23
CE33	soc.culture.jewish_20050130.2105-CE24
CE6	soc.culture.jewish_20050130.2105-CE25
CE7	soc.culture.jewish_20050130.2105-CE26
CE8	soc.culture.jewish_20050130.2105-CE27
CE10	soc.culture.jewish_20050130.2105-CE28
CE9	soc.culture.jewish_20050130.2105-CE29
CE12	soc.culture.jewish_20050130.2105-CE30
CE14	soc.culture.jewish_20050130.2105-CE31
CE16	soc.culture.jewish_20050130.2105-CE32
CE17	soc.culture.jewish_20050130.2105-CE33
CE1	soc.culture.jewish_20050130.2105-CE34
E17	soc.culture.jewish_20050130.2105-E1
E18	soc.culture.jewish_20050130.2105-E2
E19	soc.culture.jewish_20050130.2105-E3
E20	soc.culture.jewish_20050130.2105-E4
E22	soc.culture.jewish_20050130.2105-E5
E23	soc.culture.jewish_20050130.2105-E6
E25	soc.culture.jewish_20050130.2105-E7
E27	soc.culture.jewish_20050130.2105-E8
E28	soc.culture.jewish_20050130.2105-E9
E29	soc.culture.jewish_20050130.2105-E10
E30	soc.culture.jewish_20050130.2105-E11
E31	soc.culture.jewish_20050130.2105-E12
E32	soc.culture.jewish_20050130.2105-E13
E33	soc.culture.jewish_20050130.2105-E14
E34	soc.culture.jewish_20050130.2105-E15
E35	soc.culture.jewish_20050130.2105-E16
E37	soc.culture.jewish_20050130.2105-E17
E38	soc.culture.jewish_20050130.2105-E18
E39	soc.culture.jewish_20050130.2105-E19
E40	soc.culture.jewish_20050130.2105-E20
E41	soc.culture.jewish_20050130.2105-E21
E42	soc.culture.jewish_20050130.2105-E22
E43	soc.culture.jewish_20050130.2105-E23
E44	soc.culture.jewish_20050130.2105-E24
E49	soc.culture.jewish_20050130.2105-E25
E46	soc.culture.jewish_20050130.2105-E26
E50	soc.culture.jewish_20050130.2105-E27
E1	soc.culture.jewish_20050130.2105-E28
E52	soc.culture.jewish_20050130.2105-E29
E53	soc.culture.jewish_20050130.2105-E30
E48	soc.culture.jewish_20050130.2105-E31
E5	soc.culture.jewish_20050130.2105-E32
E6	soc.culture.jewish_20050130.2105-E33
E7	soc.culture.jewish_20050130.2105-E34
E8	soc.culture.jewish_20050130.2105-E35
E9	soc.culture.jewish_20050130.2105-E36
E10	soc.culture.jewish_20050130.2105-E37
E11	soc.culture.jewish_20050130.2105-E38
E12	soc.culture.jewish_20050130.2105-E39
E13	soc.culture.jewish_20050130.2105-E40
E15	soc.culture.jewish_20050130.2105-E41
EM17	soc.culture.jewish_20050130.2105-E2-1
EM21	soc.culture.jewish_20050130.2105-E28-2
EM22	soc.culture.jewish_20050130.2105-E4-3
EM23	soc.culture.jewish_20050130.2105-E5-4
EM20	soc.culture.jewish_20050130.2105-E6-5
EM24	soc.culture.jewish_20050130.2105-E39-6
EM27	soc.culture.jewish_20050130.2105-E7-7
EM28	soc.culture.jewish_20050130.2105-E8-8
EM26	soc.culture.jewish_20050130.2105-E9-9
EM29	soc.culture.jewish_20050130.2105-E10-10
EM30	soc.culture.jewish_20050130.2105-E3-11
EM9	soc.culture.jewish_20050130.2105-E25-12
EM31	soc.culture.jewish_20050130.2105-E11-13
EM32	soc.culture.jewish_20050130.2105-E13-14
EM33	soc.culture.jewish_20050130.2105-E28-15
EM34	soc.culture.jewish_20050130.2105-E12-16
EM35	soc.culture.jewish_20050130.2105-E14-17
EM36	soc.culture.jewish_20050130.2105-E15-18
EM37	soc.culture.jewish_20050130.2105-E12-19
EM38	soc.culture.jewish_20050130.2105-E12-20
EM39	soc.culture.jewish_20050130.2105-E28-21
EM40	soc.culture.jewish_20050130.2105-E28-22
EM41	soc.culture.jewish_20050130.2105-E16-23
EM42	soc.culture.jewish_20050130.2105-E37-24
EM44	soc.culture.jewish_20050130.2105-E17-25
EM45	soc.culture.jewish_20050130.2105-E18-26
EM46	soc.culture.jewish_20050130.2105-E19-27
EM47	soc.culture.jewish_20050130.2105-E20-28
EM48	soc.culture.jewish_20050130.2105-E21-29
EM49	soc.culture.jewish_20050130.2105-E22-30
EM51	soc.culture.jewish_20050130.2105-E28-31
EM52	soc.culture.jewish_20050130.2105-E23-32
EM53	soc.culture.jewish_20050130.2105-E24-33
EM1	soc.culture.jewish_20050130.2105-E28-34
EM55	soc.culture.jewish_20050130.2105-E33-35
EM56	soc.culture.jewish_20050130.2105-E26-36
EM57	soc.culture.jewish_20050130.2105-E3-37
EM58	soc.culture.jewish_20050130.2105-E39-38
EM60	soc.culture.jewish_20050130.2105-E38-39
EM11	soc.culture.jewish_20050130.2105-E27-40
EM59	soc.culture.jewish_20050130.2105-E39-41
EM19	soc.culture.jewish_20050130.2105-E27-42
EM12	soc.culture.jewish_20050130.2105-E39-43
EM25	soc.culture.jewish_20050130.2105-E39-44
EM5	soc.culture.jewish_20050130.2105-E29-45
EM54	soc.culture.jewish_20050130.2105-E28-46
EM43	soc.culture.jewish_20050130.2105-E34-47
EM50	soc.culture.jewish_20050130.2105-E30-48
EM7	soc.culture.jewish_20050130.2105-E31-49
EM2	soc.culture.jewish_20050130.2105-E32-50
EM3	soc.culture.jewish_20050130.2105-E33-51
EM6	soc.culture.jewish_20050130.2105-E35-52
EM4	soc.culture.jewish_20050130.2105-E36-53
EM8	soc.culture.jewish_20050130.2105-E37-54
EM10	soc.culture.jewish_20050130.2105-E38-55
EM13	soc.culture.jewish_20050130.2105-E40-56
EM14	soc.culture.jewish_20050130.2105-E28-57
EM15	soc.culture.jewish_20050130.2105-E28-58
EM16	soc.culture.jewish_20050130.2105-E41-59
EM18	soc.culture.jewish_20050130.2105-E1-60
R4	soc.culture.jewish_20050130.2105-R1
R5	soc.culture.jewish_20050130.2105-R2
R7	soc.culture.jewish_20050130.2105-R3
R8	soc.culture.jewish_20050130.2105-R4
R9	soc.culture.jewish_20050130.2105-R5
R12	soc.culture.jewish_20050130.2105-R6
R13	soc.culture.jewish_20050130.2105-R7
R1	soc.culture.jewish_20050130.2105-R8
R2	soc.culture.jewish_20050130.2105-R9
R3	soc.culture.jewish_20050130.2105-R10
R6	soc.culture.jewish_20050130.2105-R11
R10	soc.culture.jewish_20050130.2105-R12
R11	soc.culture.jewish_20050130.2105-R13
RM4	soc.culture.jewish_20050130.2105-R1-1
RM5	soc.culture.jewish_20050130.2105-R2-1
RM7	soc.culture.jewish_20050130.2105-R3-1
RM8	soc.culture.jewish_20050130.2105-R4-1
RM9	soc.culture.jewish_20050130.2105-R5-1
RM12	soc.culture.jewish_20050130.2105-R6-1
RM13	soc.culture.jewish_20050130.2105-R7-1
RM1	soc.culture.jewish_20050130.2105-R8-1
RM2	soc.culture.jewish_20050130.2105-R9-1
RM3	soc.culture.jewish_20050130.2105-R10-1
RM6	soc.culture.jewish_20050130.2105-R11-1
RM10	soc.culture.jewish_20050130.2105-R12-1
RM11	soc.culture.jewish_20050130.2105-R13-1
V1	soc.culture.jewish_20050130.2105-EV1
V2	soc.culture.jewish_20050130.2105-EV2
V3	soc.culture.jewish_20050130.2105-EV3
V4	soc.culture.jewish_20050130.2105-EV4
V5	soc.culture.jewish_20050130.2105-EV5
V6	soc.culture.jewish_20050130.2105-EV6
V7	soc.culture.jewish_20050130.2105-EV7
V8	soc.culture.jewish_20050130.2105-EV8
V9	soc.culture.jewish_20050130.2105-EV9
V10	soc.culture.jewish_20050130.2105-EV10
V11	soc.culture.jewish_20050130.2105-EV11
VM1	soc.culture.jewish_20050130.2105-EV1-1
