CE17	talk.politics.misc_20050216.1337-CE1
CE19	talk.politics.misc_20050216.1337-CE2
CE1	talk.politics.misc_20050216.1337-CE3
CE20	talk.politics.misc_20050216.1337-CE4
CE21	talk.politics.misc_20050216.1337-CE5
CE22	talk.politics.misc_20050216.1337-CE6
CE23	talk.politics.misc_20050216.1337-CE7
CE24	talk.politics.misc_20050216.1337-CE8
CE25	talk.politics.misc_20050216.1337-CE9
CE2	talk.politics.misc_20050216.1337-CE10
CE26	talk.politics.misc_20050216.1337-CE11
CE4	talk.politics.misc_20050216.1337-CE12
CE7	talk.politics.misc_20050216.1337-CE13
CE8	talk.politics.misc_20050216.1337-CE14
CE9	talk.politics.misc_20050216.1337-CE15
CE13	talk.politics.misc_20050216.1337-CE16
CE27	talk.politics.misc_20050216.1337-CE17
CE6	talk.politics.misc_20050216.1337-CE18
CE18	talk.politics.misc_20050216.1337-CE19
CE10	talk.politics.misc_20050216.1337-CE20
CE11	talk.politics.misc_20050216.1337-CE21
CE12	talk.politics.misc_20050216.1337-CE22
CE14	talk.politics.misc_20050216.1337-CE23
CE5	talk.politics.misc_20050216.1337-CE24
CE3	talk.politics.misc_20050216.1337-CE25
CE15	talk.politics.misc_20050216.1337-CE26
CE16	talk.politics.misc_20050216.1337-CE27
E18	talk.politics.misc_20050216.1337-E1
E21	talk.politics.misc_20050216.1337-E2
E22	talk.politics.misc_20050216.1337-E3
E24	talk.politics.misc_20050216.1337-E4
E27	talk.politics.misc_20050216.1337-E5
E28	talk.politics.misc_20050216.1337-E6
E29	talk.politics.misc_20050216.1337-E7
E30	talk.politics.misc_20050216.1337-E8
E31	talk.politics.misc_20050216.1337-E9
E32	talk.politics.misc_20050216.1337-E10
E33	talk.politics.misc_20050216.1337-E11
E35	talk.politics.misc_20050216.1337-E12
E36	talk.politics.misc_20050216.1337-E13
E1	talk.politics.misc_20050216.1337-E14
E38	talk.politics.misc_20050216.1337-E15
E40	talk.politics.misc_20050216.1337-E16
E41	talk.politics.misc_20050216.1337-E17
E42	talk.politics.misc_20050216.1337-E18
E43	talk.politics.misc_20050216.1337-E19
E44	talk.politics.misc_20050216.1337-E20
E47	talk.politics.misc_20050216.1337-E21
E49	talk.politics.misc_20050216.1337-E22
E2	talk.politics.misc_20050216.1337-E23
E9	talk.politics.misc_20050216.1337-E24
E10	talk.politics.misc_20050216.1337-E25
E11	talk.politics.misc_20050216.1337-E26
E12	talk.politics.misc_20050216.1337-E27
E13	talk.politics.misc_20050216.1337-E28
E14	talk.politics.misc_20050216.1337-E29
E15	talk.politics.misc_20050216.1337-E30
E16	talk.politics.misc_20050216.1337-E31
E17	talk.politics.misc_20050216.1337-E32
EM4	talk.politics.misc_20050216.1337-E14-1
EM19	talk.politics.misc_20050216.1337-E29-2
EM20	talk.politics.misc_20050216.1337-E1-3
EM22	talk.politics.misc_20050216.1337-E28-4
EM23	talk.politics.misc_20050216.1337-E2-5
EM24	talk.politics.misc_20050216.1337-E3-6
EM25	talk.politics.misc_20050216.1337-E4-7
EM28	talk.politics.misc_20050216.1337-E28-8
EM29	talk.politics.misc_20050216.1337-E5-9
EM30	talk.politics.misc_20050216.1337-E28-10
EM31	talk.politics.misc_20050216.1337-E6-11
EM32	talk.politics.misc_20050216.1337-E7-12
EM33	talk.politics.misc_20050216.1337-E7-13
EM34	talk.politics.misc_20050216.1337-E8-14
EM35	talk.politics.misc_20050216.1337-E9-15
EM36	talk.politics.misc_20050216.1337-E8-16
EM37	talk.politics.misc_20050216.1337-E8-17
EM38	talk.politics.misc_20050216.1337-E10-18
EM39	talk.politics.misc_20050216.1337-E11-19
EM40	talk.politics.misc_20050216.1337-E10-20
EM43	talk.politics.misc_20050216.1337-E12-21
EM41	talk.politics.misc_20050216.1337-E28-22
EM42	talk.politics.misc_20050216.1337-E28-23
EM44	talk.politics.misc_20050216.1337-E13-24
EM45	talk.politics.misc_20050216.1337-E28-25
EM47	talk.politics.misc_20050216.1337-E1-26
EM48	talk.politics.misc_20050216.1337-E29-27
EM2	talk.politics.misc_20050216.1337-E15-28
EM5	talk.politics.misc_20050216.1337-E16-29
EM6	talk.politics.misc_20050216.1337-E17-30
EM7	talk.politics.misc_20050216.1337-E18-31
EM12	talk.politics.misc_20050216.1337-E19-32
EM46	talk.politics.misc_20050216.1337-E20-33
EM1	talk.politics.misc_20050216.1337-E29-34
EM3	talk.politics.misc_20050216.1337-E21-35
EM27	talk.politics.misc_20050216.1337-E29-36
EM26	talk.politics.misc_20050216.1337-E29-37
EM21	talk.politics.misc_20050216.1337-E22-38
EM8	talk.politics.misc_20050216.1337-E23-39
EM9	talk.politics.misc_20050216.1337-E24-40
EM10	talk.politics.misc_20050216.1337-E25-41
EM11	talk.politics.misc_20050216.1337-E26-42
EM13	talk.politics.misc_20050216.1337-E27-43
EM14	talk.politics.misc_20050216.1337-E28-44
EM15	talk.politics.misc_20050216.1337-E30-45
EM16	talk.politics.misc_20050216.1337-E31-46
EM17	talk.politics.misc_20050216.1337-E32-47
EM18	talk.politics.misc_20050216.1337-E29-48
R4	talk.politics.misc_20050216.1337-R1
R3	talk.politics.misc_20050216.1337-R2
R4	talk.politics.misc_20050216.1337-R3
R5	talk.politics.misc_20050216.1337-R4
R6	talk.politics.misc_20050216.1337-R5
R1	talk.politics.misc_20050216.1337-R6
R2	talk.politics.misc_20050216.1337-R7
R7	talk.politics.misc_20050216.1337-R8
RM3	talk.politics.misc_20050216.1337-R2-1
RM4	talk.politics.misc_20050216.1337-R3-1
RM5	talk.politics.misc_20050216.1337-R4-1
RM6	talk.politics.misc_20050216.1337-R5-1
RM8	talk.politics.misc_20050216.1337-R3-2
RM1	talk.politics.misc_20050216.1337-R6-1
RM2	talk.politics.misc_20050216.1337-R7-1
RM7	talk.politics.misc_20050216.1337-R8-1
V1	talk.politics.misc_20050216.1337-EV1
VM1	talk.politics.misc_20050216.1337-EV1-1
Q1	talk.politics.misc_20050216.1337-T1
Q2	talk.politics.misc_20050216.1337-T2
Q4	talk.politics.misc_20050216.1337-T3
Q5	talk.politics.misc_20050216.1337-T4
Q6	talk.politics.misc_20050216.1337-T5
Q7	talk.politics.misc_20050216.1337-T6
Q8	talk.politics.misc_20050216.1337-T7
Q9	talk.politics.misc_20050216.1337-T8
Q3	talk.politics.misc_20050216.1337-T9
