CE13	alt.atheism_20041104.2428-CE1
CE14	alt.atheism_20041104.2428-CE2
CE15	alt.atheism_20041104.2428-CE3
CE16	alt.atheism_20041104.2428-CE4
CE17	alt.atheism_20041104.2428-CE5
CE18	alt.atheism_20041104.2428-CE6
CE19	alt.atheism_20041104.2428-CE7
CE20	alt.atheism_20041104.2428-CE8
CE21	alt.atheism_20041104.2428-CE9
CE22	alt.atheism_20041104.2428-CE10
CE23	alt.atheism_20041104.2428-CE11
CE24	alt.atheism_20041104.2428-CE12
CE25	alt.atheism_20041104.2428-CE13
CE26	alt.atheism_20041104.2428-CE14
CE27	alt.atheism_20041104.2428-CE15
CE28	alt.atheism_20041104.2428-CE16
CE29	alt.atheism_20041104.2428-CE17
CE31	alt.atheism_20041104.2428-CE18
CE32	alt.atheism_20041104.2428-CE19
CE33	alt.atheism_20041104.2428-CE20
CE34	alt.atheism_20041104.2428-CE21
CE35	alt.atheism_20041104.2428-CE22
CE36	alt.atheism_20041104.2428-CE23
CE37	alt.atheism_20041104.2428-CE24
CE38	alt.atheism_20041104.2428-CE25
CE39	alt.atheism_20041104.2428-CE26
CE40	alt.atheism_20041104.2428-CE27
CE1	alt.atheism_20041104.2428-CE28
CE41	alt.atheism_20041104.2428-CE29
CE42	alt.atheism_20041104.2428-CE30
CE43	alt.atheism_20041104.2428-CE31
CE44	alt.atheism_20041104.2428-CE32
CE45	alt.atheism_20041104.2428-CE33
CE46	alt.atheism_20041104.2428-CE34
CE47	alt.atheism_20041104.2428-CE35
CE48	alt.atheism_20041104.2428-CE36
CE50	alt.atheism_20041104.2428-CE37
CE51	alt.atheism_20041104.2428-CE38
CE52	alt.atheism_20041104.2428-CE39
CE53	alt.atheism_20041104.2428-CE40
CE54	alt.atheism_20041104.2428-CE41
CE55	alt.atheism_20041104.2428-CE42
CE56	alt.atheism_20041104.2428-CE43
CE57	alt.atheism_20041104.2428-CE44
CE58	alt.atheism_20041104.2428-CE45
CE59	alt.atheism_20041104.2428-CE46
CE60	alt.atheism_20041104.2428-CE47
CE61	alt.atheism_20041104.2428-CE48
CE62	alt.atheism_20041104.2428-CE49
CE63	alt.atheism_20041104.2428-CE50
CE64	alt.atheism_20041104.2428-CE51
CE65	alt.atheism_20041104.2428-CE52
CE67	alt.atheism_20041104.2428-CE53
CE68	alt.atheism_20041104.2428-CE54
CE69	alt.atheism_20041104.2428-CE55
CE70	alt.atheism_20041104.2428-CE56
CE71	alt.atheism_20041104.2428-CE57
CE72	alt.atheism_20041104.2428-CE58
CE74	alt.atheism_20041104.2428-CE59
CE2	alt.atheism_20041104.2428-CE60
CE75	alt.atheism_20041104.2428-CE61
CE76	alt.atheism_20041104.2428-CE62
CE77	alt.atheism_20041104.2428-CE63
CE3	alt.atheism_20041104.2428-CE64
CE4	alt.atheism_20041104.2428-CE65
CE5	alt.atheism_20041104.2428-CE66
CE6	alt.atheism_20041104.2428-CE67
CE7	alt.atheism_20041104.2428-CE68
CE8	alt.atheism_20041104.2428-CE69
CE9	alt.atheism_20041104.2428-CE70
CE10	alt.atheism_20041104.2428-CE71
CE11	alt.atheism_20041104.2428-CE72
CE12	alt.atheism_20041104.2428-CE73
E18	alt.atheism_20041104.2428-E1
E19	alt.atheism_20041104.2428-E2
E20	alt.atheism_20041104.2428-E3
E21	alt.atheism_20041104.2428-E4
E22	alt.atheism_20041104.2428-E5
E23	alt.atheism_20041104.2428-E6
E24	alt.atheism_20041104.2428-E7
