CE12	alt.gossip.celebrities_20050218.0826-CE1
CE13	alt.gossip.celebrities_20050218.0826-CE2
CE14	alt.gossip.celebrities_20050218.0826-CE3
CE15	alt.gossip.celebrities_20050218.0826-CE4
CE16	alt.gossip.celebrities_20050218.0826-CE5
CE17	alt.gossip.celebrities_20050218.0826-CE6
CE18	alt.gossip.celebrities_20050218.0826-CE7
CE19	alt.gossip.celebrities_20050218.0826-CE8
CE20	alt.gossip.celebrities_20050218.0826-CE9
CE21	alt.gossip.celebrities_20050218.0826-CE10
CE22	alt.gossip.celebrities_20050218.0826-CE11
CE23	alt.gossip.celebrities_20050218.0826-CE12
CE1	alt.gossip.celebrities_20050218.0826-CE13
CE24	alt.gossip.celebrities_20050218.0826-CE14
CE25	alt.gossip.celebrities_20050218.0826-CE15
CE26	alt.gossip.celebrities_20050218.0826-CE16
CE27	alt.gossip.celebrities_20050218.0826-CE17
CE28	alt.gossip.celebrities_20050218.0826-CE18
CE29	alt.gossip.celebrities_20050218.0826-CE19
CE31	alt.gossip.celebrities_20050218.0826-CE20
CE32	alt.gossip.celebrities_20050218.0826-CE21
CE33	alt.gossip.celebrities_20050218.0826-CE22
CE35	alt.gossip.celebrities_20050218.0826-CE23
CE2	alt.gossip.celebrities_20050218.0826-CE24
CE3	alt.gossip.celebrities_20050218.0826-CE25
CE4	alt.gossip.celebrities_20050218.0826-CE26
CE6	alt.gossip.celebrities_20050218.0826-CE27
CE7	alt.gossip.celebrities_20050218.0826-CE28
CE8	alt.gossip.celebrities_20050218.0826-CE29
CE9	alt.gossip.celebrities_20050218.0826-CE30
CE10	alt.gossip.celebrities_20050218.0826-CE31
E12	alt.gossip.celebrities_20050218.0826-E1
E13	alt.gossip.celebrities_20050218.0826-E2
E14	alt.gossip.celebrities_20050218.0826-E3
E15	alt.gossip.celebrities_20050218.0826-E4
E16	alt.gossip.celebrities_20050218.0826-E5
E17	alt.gossip.celebrities_20050218.0826-E6
E18	alt.gossip.celebrities_20050218.0826-E7
E19	alt.gossip.celebrities_20050218.0826-E8
E20	alt.gossip.celebrities_20050218.0826-E9
E21	alt.gossip.celebrities_20050218.0826-E10
E1	alt.gossip.celebrities_20050218.0826-E11
E22	alt.gossip.celebrities_20050218.0826-E12
E23	alt.gossip.celebrities_20050218.0826-E13
E24	alt.gossip.celebrities_20050218.0826-E14
E25	alt.gossip.celebrities_20050218.0826-E15
E26	alt.gossip.celebrities_20050218.0826-E16
E27	alt.gossip.celebrities_20050218.0826-E17
E28	alt.gossip.celebrities_20050218.0826-E18
E29	alt.gossip.celebrities_20050218.0826-E19
E30	alt.gossip.celebrities_20050218.0826-E20
E31	alt.gossip.celebrities_20050218.0826-E21
E33	alt.gossip.celebrities_20050218.0826-E22
E34	alt.gossip.celebrities_20050218.0826-E23
E35	alt.gossip.celebrities_20050218.0826-E24
E36	alt.gossip.celebrities_20050218.0826-E25
E38	alt.gossip.celebrities_20050218.0826-E26
E39	alt.gossip.celebrities_20050218.0826-E27
E2	alt.gossip.celebrities_20050218.0826-E28
E3	alt.gossip.celebrities_20050218.0826-E29
E4	alt.gossip.celebrities_20050218.0826-E30
E6	alt.gossip.celebrities_20050218.0826-E31
E7	alt.gossip.celebrities_20050218.0826-E32
E8	alt.gossip.celebrities_20050218.0826-E33
E9	alt.gossip.celebrities_20050218.0826-E34
E10	alt.gossip.celebrities_20050218.0826-E35
EM1	alt.gossip.celebrities_20050218.0826-E11-1
EM20	alt.gossip.celebrities_20050218.0826-E1-2
EM21	alt.gossip.celebrities_20050218.0826-E32-3
EM22	alt.gossip.celebrities_20050218.0826-E11-4
EM23	alt.gossip.celebrities_20050218.0826-E11-5
EM24	alt.gossip.celebrities_20050218.0826-E28-6
EM25	alt.gossip.celebrities_20050218.0826-E28-7
EM27	alt.gossip.celebrities_20050218.0826-E2-8
EM28	alt.gossip.celebrities_20050218.0826-E34-9
EM29	alt.gossip.celebrities_20050218.0826-E29-10
EM30	alt.gossip.celebrities_20050218.0826-E3-11
EM31	alt.gossip.celebrities_20050218.0826-E4-12
EM32	alt.gossip.celebrities_20050218.0826-E5-13
EM33	alt.gossip.celebrities_20050218.0826-E11-14
EM34	alt.gossip.celebrities_20050218.0826-E11-15
EM35	alt.gossip.celebrities_20050218.0826-E6-16
EM36	alt.gossip.celebrities_20050218.0826-E6-17
EM37	alt.gossip.celebrities_20050218.0826-E28-18
EM38	alt.gossip.celebrities_20050218.0826-E28-19
EM39	alt.gossip.celebrities_20050218.0826-E28-20
EM40	alt.gossip.celebrities_20050218.0826-E11-21
EM41	alt.gossip.celebrities_20050218.0826-E11-22
EM42	alt.gossip.celebrities_20050218.0826-E11-23
EM43	alt.gossip.celebrities_20050218.0826-E28-24
EM44	alt.gossip.celebrities_20050218.0826-E28-25
EM45	alt.gossip.celebrities_20050218.0826-E6-26
EM46	alt.gossip.celebrities_20050218.0826-E11-27
EM47	alt.gossip.celebrities_20050218.0826-E29-28
EM48	alt.gossip.celebrities_20050218.0826-E3-29
EM49	alt.gossip.celebrities_20050218.0826-E7-30
EM50	alt.gossip.celebrities_20050218.0826-E28-31
EM51	alt.gossip.celebrities_20050218.0826-E11-32
EM53	alt.gossip.celebrities_20050218.0826-E29-33
EM54	alt.gossip.celebrities_20050218.0826-E8-34
EM55	alt.gossip.celebrities_20050218.0826-E11-35
EM56	alt.gossip.celebrities_20050218.0826-E9-36
EM57	alt.gossip.celebrities_20050218.0826-E11-37
EM58	alt.gossip.celebrities_20050218.0826-E11-38
EM59	alt.gossip.celebrities_20050218.0826-E11-39
EM60	alt.gossip.celebrities_20050218.0826-E11-40
EM61	alt.gossip.celebrities_20050218.0826-E11-41
EM62	alt.gossip.celebrities_20050218.0826-E28-42
EM63	alt.gossip.celebrities_20050218.0826-E11-43
EM64	alt.gossip.celebrities_20050218.0826-E9-44
EM65	alt.gossip.celebrities_20050218.0826-E28-45
EM66	alt.gossip.celebrities_20050218.0826-E28-46
EM67	alt.gossip.celebrities_20050218.0826-E11-47
EM69	alt.gossip.celebrities_20050218.0826-E10-48
EM70	alt.gossip.celebrities_20050218.0826-E12-49
EM71	alt.gossip.celebrities_20050218.0826-E28-50
EM72	alt.gossip.celebrities_20050218.0826-E28-51
EM73	alt.gossip.celebrities_20050218.0826-E28-52
EM74	alt.gossip.celebrities_20050218.0826-E28-53
EM75	alt.gossip.celebrities_20050218.0826-E28-54
EM76	alt.gossip.celebrities_20050218.0826-E29-55
EM78	alt.gossip.celebrities_20050218.0826-E28-56
EM79	alt.gossip.celebrities_20050218.0826-E28-57
EM80	alt.gossip.celebrities_20050218.0826-E28-58
EM81	alt.gossip.celebrities_20050218.0826-E11-59
EM82	alt.gossip.celebrities_20050218.0826-E13-60
EM83	alt.gossip.celebrities_20050218.0826-E32-61
EM84	alt.gossip.celebrities_20050218.0826-E30-62
EM85	alt.gossip.celebrities_20050218.0826-E28-63
EM86	alt.gossip.celebrities_20050218.0826-E29-64
EM87	alt.gossip.celebrities_20050218.0826-E29-65
EM88	alt.gossip.celebrities_20050218.0826-E29-66
EM89	alt.gossip.celebrities_20050218.0826-E32-67
EM90	alt.gossip.celebrities_20050218.0826-E32-68
EM91	alt.gossip.celebrities_20050218.0826-E32-69
EM92	alt.gossip.celebrities_20050218.0826-E14-70
EM93	alt.gossip.celebrities_20050218.0826-E32-71
EM94	alt.gossip.celebrities_20050218.0826-E32-72
EM95	alt.gossip.celebrities_20050218.0826-E15-73
EM96	alt.gossip.celebrities_20050218.0826-E11-74
EM97	alt.gossip.celebrities_20050218.0826-E11-75
EM98	alt.gossip.celebrities_20050218.0826-E28-76
EM99	alt.gossip.celebrities_20050218.0826-E16-77
EM100	alt.gossip.celebrities_20050218.0826-E32-78
EM101	alt.gossip.celebrities_20050218.0826-E32-79
EM102	alt.gossip.celebrities_20050218.0826-E11-80
EM103	alt.gossip.celebrities_20050218.0826-E11-81
EM104	alt.gossip.celebrities_20050218.0826-E11-82
EM105	alt.gossip.celebrities_20050218.0826-E17-83
EM106	alt.gossip.celebrities_20050218.0826-E11-84
EM107	alt.gossip.celebrities_20050218.0826-E11-85
EM108	alt.gossip.celebrities_20050218.0826-E28-86
EM109	alt.gossip.celebrities_20050218.0826-E18-87
EM110	alt.gossip.celebrities_20050218.0826-E11-88
EM111	alt.gossip.celebrities_20050218.0826-E11-89
EM112	alt.gossip.celebrities_20050218.0826-E11-90
EM113	alt.gossip.celebrities_20050218.0826-E32-91
EM114	alt.gossip.celebrities_20050218.0826-E11-92
EM115	alt.gossip.celebrities_20050218.0826-E11-93
EM116	alt.gossip.celebrities_20050218.0826-E19-94
EM117	alt.gossip.celebrities_20050218.0826-E20-95
EM118	alt.gossip.celebrities_20050218.0826-E11-96
EM119	alt.gossip.celebrities_20050218.0826-E28-97
EM120	alt.gossip.celebrities_20050218.0826-E11-98
EM121	alt.gossip.celebrities_20050218.0826-E29-99
EM122	alt.gossip.celebrities_20050218.0826-E11-100
EM2	alt.gossip.celebrities_20050218.0826-E11-101
EM123	alt.gossip.celebrities_20050218.0826-E21-102
EM124	alt.gossip.celebrities_20050218.0826-E21-103
EM125	alt.gossip.celebrities_20050218.0826-E21-104
EM126	alt.gossip.celebrities_20050218.0826-E22-105
EM127	alt.gossip.celebrities_20050218.0826-E23-106
EM128	alt.gossip.celebrities_20050218.0826-E24-107
EM129	alt.gossip.celebrities_20050218.0826-E25-108
EM131	alt.gossip.celebrities_20050218.0826-E26-109
EM132	alt.gossip.celebrities_20050218.0826-E27-110
EM3	alt.gossip.celebrities_20050218.0826-E28-111
EM133	alt.gossip.celebrities_20050218.0826-E28-112
EM4	alt.gossip.celebrities_20050218.0826-E11-113
EM5	alt.gossip.celebrities_20050218.0826-E11-114
EM6	alt.gossip.celebrities_20050218.0826-E11-115
EM7	alt.gossip.celebrities_20050218.0826-E29-116
EM8	alt.gossip.celebrities_20050218.0826-E30-117
EM9	alt.gossip.celebrities_20050218.0826-E11-118
