CE9	alt.politics.economics_20041206.1835-CE1
CE10	alt.politics.economics_20041206.1835-CE2
CE11	alt.politics.economics_20041206.1835-CE3
CE12	alt.politics.economics_20041206.1835-CE4
CE13	alt.politics.economics_20041206.1835-CE5
CE14	alt.politics.economics_20041206.1835-CE6
CE15	alt.politics.economics_20041206.1835-CE7
CE18	alt.politics.economics_20041206.1835-CE8
CE19	alt.politics.economics_20041206.1835-CE9
CE20	alt.politics.economics_20041206.1835-CE10
CE21	alt.politics.economics_20041206.1835-CE11
CE22	alt.politics.economics_20041206.1835-CE12
CE23	alt.politics.economics_20041206.1835-CE13
CE24	alt.politics.economics_20041206.1835-CE14
CE25	alt.politics.economics_20041206.1835-CE15
CE26	alt.politics.economics_20041206.1835-CE16
CE27	alt.politics.economics_20041206.1835-CE17
CE28	alt.politics.economics_20041206.1835-CE18
CE29	alt.politics.economics_20041206.1835-CE19
CE30	alt.politics.economics_20041206.1835-CE20
CE31	alt.politics.economics_20041206.1835-CE21
CE32	alt.politics.economics_20041206.1835-CE22
CE1	alt.politics.economics_20041206.1835-CE23
CE2	alt.politics.economics_20041206.1835-CE24
CE3	alt.politics.economics_20041206.1835-CE25
CE4	alt.politics.economics_20041206.1835-CE26
CE5	alt.politics.economics_20041206.1835-CE27
CE6	alt.politics.economics_20041206.1835-CE28
CE7	alt.politics.economics_20041206.1835-CE29
CE8	alt.politics.economics_20041206.1835-CE30
E11	alt.politics.economics_20041206.1835-E1
E12	alt.politics.economics_20041206.1835-E2
E13	alt.politics.economics_20041206.1835-E3
E14	alt.politics.economics_20041206.1835-E4
E15	alt.politics.economics_20041206.1835-E5
E16	alt.politics.economics_20041206.1835-E6
E17	alt.politics.economics_20041206.1835-E7
E20	alt.politics.economics_20041206.1835-E8
E21	alt.politics.economics_20041206.1835-E9
E22	alt.politics.economics_20041206.1835-E10
E23	alt.politics.economics_20041206.1835-E11
E24	alt.politics.economics_20041206.1835-E12
E27	alt.politics.economics_20041206.1835-E13
E28	alt.politics.economics_20041206.1835-E14
E29	alt.politics.economics_20041206.1835-E15
E30	alt.politics.economics_20041206.1835-E16
E32	alt.politics.economics_20041206.1835-E17
E33	alt.politics.economics_20041206.1835-E18
E34	alt.politics.economics_20041206.1835-E19
E1	alt.politics.economics_20041206.1835-E20
E35	alt.politics.economics_20041206.1835-E21
E36	alt.politics.economics_20041206.1835-E22
E37	alt.politics.economics_20041206.1835-E23
E38	alt.politics.economics_20041206.1835-E24
E39	alt.politics.economics_20041206.1835-E25
E3	alt.politics.economics_20041206.1835-E26
E4	alt.politics.economics_20041206.1835-E27
E5	alt.politics.economics_20041206.1835-E28
E6	alt.politics.economics_20041206.1835-E29
E7	alt.politics.economics_20041206.1835-E30
E8	alt.politics.economics_20041206.1835-E31
E9	alt.politics.economics_20041206.1835-E32
E10	alt.politics.economics_20041206.1835-E33
