CE9	alt.religion.mormon_20050103.0854-CE1
CE10	alt.religion.mormon_20050103.0854-CE2
CE11	alt.religion.mormon_20050103.0854-CE3
CE12	alt.religion.mormon_20050103.0854-CE4
CE13	alt.religion.mormon_20050103.0854-CE5
CE14	alt.religion.mormon_20050103.0854-CE6
CE15	alt.religion.mormon_20050103.0854-CE7
CE16	alt.religion.mormon_20050103.0854-CE8
CE17	alt.religion.mormon_20050103.0854-CE9
CE18	alt.religion.mormon_20050103.0854-CE10
CE19	alt.religion.mormon_20050103.0854-CE11
CE20	alt.religion.mormon_20050103.0854-CE12
CE22	alt.religion.mormon_20050103.0854-CE13
CE23	alt.religion.mormon_20050103.0854-CE14
CE24	alt.religion.mormon_20050103.0854-CE15
CE25	alt.religion.mormon_20050103.0854-CE16
CE26	alt.religion.mormon_20050103.0854-CE17
CE27	alt.religion.mormon_20050103.0854-CE18
CE28	alt.religion.mormon_20050103.0854-CE19
CE1	alt.religion.mormon_20050103.0854-CE20
CE29	alt.religion.mormon_20050103.0854-CE21
CE30	alt.religion.mormon_20050103.0854-CE22
CE31	alt.religion.mormon_20050103.0854-CE23
CE32	alt.religion.mormon_20050103.0854-CE24
CE33	alt.religion.mormon_20050103.0854-CE25
CE34	alt.religion.mormon_20050103.0854-CE26
CE35	alt.religion.mormon_20050103.0854-CE27
CE36	alt.religion.mormon_20050103.0854-CE28
CE37	alt.religion.mormon_20050103.0854-CE29
CE38	alt.religion.mormon_20050103.0854-CE30
CE39	alt.religion.mormon_20050103.0854-CE31
CE40	alt.religion.mormon_20050103.0854-CE32
CE41	alt.religion.mormon_20050103.0854-CE33
CE2	alt.religion.mormon_20050103.0854-CE34
CE3	alt.religion.mormon_20050103.0854-CE35
CE4	alt.religion.mormon_20050103.0854-CE36
CE5	alt.religion.mormon_20050103.0854-CE37
CE6	alt.religion.mormon_20050103.0854-CE38
CE7	alt.religion.mormon_20050103.0854-CE39
CE8	alt.religion.mormon_20050103.0854-CE40
E9	alt.religion.mormon_20050103.0854-E1
E10	alt.religion.mormon_20050103.0854-E2
E11	alt.religion.mormon_20050103.0854-E3
E12	alt.religion.mormon_20050103.0854-E4
E13	alt.religion.mormon_20050103.0854-E5
E14	alt.religion.mormon_20050103.0854-E6
E15	alt.religion.mormon_20050103.0854-E7
E16	alt.religion.mormon_20050103.0854-E8
E17	alt.religion.mormon_20050103.0854-E9
E18	alt.religion.mormon_20050103.0854-E10
E19	alt.religion.mormon_20050103.0854-E11
E20	alt.religion.mormon_20050103.0854-E12
E21	alt.religion.mormon_20050103.0854-E13
E22	alt.religion.mormon_20050103.0854-E14
E23	alt.religion.mormon_20050103.0854-E15
E24	alt.religion.mormon_20050103.0854-E16
E25	alt.religion.mormon_20050103.0854-E17
