CE15	alt.sys.pc-clone.dell_20050226.2350-CE1
CE16	alt.sys.pc-clone.dell_20050226.2350-CE2
CE17	alt.sys.pc-clone.dell_20050226.2350-CE3
CE18	alt.sys.pc-clone.dell_20050226.2350-CE4
CE20	alt.sys.pc-clone.dell_20050226.2350-CE5
CE21	alt.sys.pc-clone.dell_20050226.2350-CE6
CE22	alt.sys.pc-clone.dell_20050226.2350-CE7
CE23	alt.sys.pc-clone.dell_20050226.2350-CE8
CE25	alt.sys.pc-clone.dell_20050226.2350-CE9
CE26	alt.sys.pc-clone.dell_20050226.2350-CE10
CE27	alt.sys.pc-clone.dell_20050226.2350-CE11
CE28	alt.sys.pc-clone.dell_20050226.2350-CE12
CE29	alt.sys.pc-clone.dell_20050226.2350-CE13
CE30	alt.sys.pc-clone.dell_20050226.2350-CE14
CE31	alt.sys.pc-clone.dell_20050226.2350-CE15
CE32	alt.sys.pc-clone.dell_20050226.2350-CE16
CE33	alt.sys.pc-clone.dell_20050226.2350-CE17
CE34	alt.sys.pc-clone.dell_20050226.2350-CE18
CE35	alt.sys.pc-clone.dell_20050226.2350-CE19
CE36	alt.sys.pc-clone.dell_20050226.2350-CE20
CE37	alt.sys.pc-clone.dell_20050226.2350-CE21
CE38	alt.sys.pc-clone.dell_20050226.2350-CE22
CE39	alt.sys.pc-clone.dell_20050226.2350-CE23
CE1	alt.sys.pc-clone.dell_20050226.2350-CE24
CE40	alt.sys.pc-clone.dell_20050226.2350-CE25
CE41	alt.sys.pc-clone.dell_20050226.2350-CE26
CE43	alt.sys.pc-clone.dell_20050226.2350-CE27
CE44	alt.sys.pc-clone.dell_20050226.2350-CE28
CE45	alt.sys.pc-clone.dell_20050226.2350-CE29
CE46	alt.sys.pc-clone.dell_20050226.2350-CE30
CE47	alt.sys.pc-clone.dell_20050226.2350-CE31
CE2	alt.sys.pc-clone.dell_20050226.2350-CE32
CE3	alt.sys.pc-clone.dell_20050226.2350-CE33
CE5	alt.sys.pc-clone.dell_20050226.2350-CE34
CE6	alt.sys.pc-clone.dell_20050226.2350-CE35
CE7	alt.sys.pc-clone.dell_20050226.2350-CE36
CE9	alt.sys.pc-clone.dell_20050226.2350-CE37
CE10	alt.sys.pc-clone.dell_20050226.2350-CE38
CE11	alt.sys.pc-clone.dell_20050226.2350-CE39
CE13	alt.sys.pc-clone.dell_20050226.2350-CE40
E17	alt.sys.pc-clone.dell_20050226.2350-E1
E18	alt.sys.pc-clone.dell_20050226.2350-E2
E19	alt.sys.pc-clone.dell_20050226.2350-E3
E20	alt.sys.pc-clone.dell_20050226.2350-E4
E22	alt.sys.pc-clone.dell_20050226.2350-E5
E23	alt.sys.pc-clone.dell_20050226.2350-E6
E24	alt.sys.pc-clone.dell_20050226.2350-E7
E25	alt.sys.pc-clone.dell_20050226.2350-E8
E27	alt.sys.pc-clone.dell_20050226.2350-E9
E29	alt.sys.pc-clone.dell_20050226.2350-E10
E30	alt.sys.pc-clone.dell_20050226.2350-E11
E31	alt.sys.pc-clone.dell_20050226.2350-E12
E32	alt.sys.pc-clone.dell_20050226.2350-E13
E33	alt.sys.pc-clone.dell_20050226.2350-E14
E34	alt.sys.pc-clone.dell_20050226.2350-E15
E35	alt.sys.pc-clone.dell_20050226.2350-E16
E36	alt.sys.pc-clone.dell_20050226.2350-E17
E37	alt.sys.pc-clone.dell_20050226.2350-E18
E1	alt.sys.pc-clone.dell_20050226.2350-E19
E38	alt.sys.pc-clone.dell_20050226.2350-E20
E39	alt.sys.pc-clone.dell_20050226.2350-E21
E40	alt.sys.pc-clone.dell_20050226.2350-E22
E41	alt.sys.pc-clone.dell_20050226.2350-E23
E42	alt.sys.pc-clone.dell_20050226.2350-E24
E43	alt.sys.pc-clone.dell_20050226.2350-E25
E44	alt.sys.pc-clone.dell_20050226.2350-E26
E45	alt.sys.pc-clone.dell_20050226.2350-E27
