CE4	misc.legal.moderated_20050129.2225-CE1
CE5	misc.legal.moderated_20050129.2225-CE2
CE6	misc.legal.moderated_20050129.2225-CE3
CE7	misc.legal.moderated_20050129.2225-CE4
CE8	misc.legal.moderated_20050129.2225-CE5
CE9	misc.legal.moderated_20050129.2225-CE6
CE10	misc.legal.moderated_20050129.2225-CE7
CE11	misc.legal.moderated_20050129.2225-CE8
CE12	misc.legal.moderated_20050129.2225-CE9
CE13	misc.legal.moderated_20050129.2225-CE10
CE14	misc.legal.moderated_20050129.2225-CE11
CE15	misc.legal.moderated_20050129.2225-CE12
CE16	misc.legal.moderated_20050129.2225-CE13
CE17	misc.legal.moderated_20050129.2225-CE14
CE19	misc.legal.moderated_20050129.2225-CE15
CE20	misc.legal.moderated_20050129.2225-CE16
CE21	misc.legal.moderated_20050129.2225-CE17
CE22	misc.legal.moderated_20050129.2225-CE18
CE23	misc.legal.moderated_20050129.2225-CE19
CE24	misc.legal.moderated_20050129.2225-CE20
CE25	misc.legal.moderated_20050129.2225-CE21
CE26	misc.legal.moderated_20050129.2225-CE22
CE27	misc.legal.moderated_20050129.2225-CE23
CE28	misc.legal.moderated_20050129.2225-CE24
CE29	misc.legal.moderated_20050129.2225-CE25
CE30	misc.legal.moderated_20050129.2225-CE26
CE31	misc.legal.moderated_20050129.2225-CE27
CE32	misc.legal.moderated_20050129.2225-CE28
CE33	misc.legal.moderated_20050129.2225-CE29
CE34	misc.legal.moderated_20050129.2225-CE30
CE35	misc.legal.moderated_20050129.2225-CE31
CE36	misc.legal.moderated_20050129.2225-CE32
CE37	misc.legal.moderated_20050129.2225-CE33
CE38	misc.legal.moderated_20050129.2225-CE34
CE39	misc.legal.moderated_20050129.2225-CE35
CE41	misc.legal.moderated_20050129.2225-CE36
CE42	misc.legal.moderated_20050129.2225-CE37
CE43	misc.legal.moderated_20050129.2225-CE38
CE44	misc.legal.moderated_20050129.2225-CE39
CE45	misc.legal.moderated_20050129.2225-CE40
CE46	misc.legal.moderated_20050129.2225-CE41
CE47	misc.legal.moderated_20050129.2225-CE42
CE48	misc.legal.moderated_20050129.2225-CE43
CE49	misc.legal.moderated_20050129.2225-CE44
CE1	misc.legal.moderated_20050129.2225-CE45
CE2	misc.legal.moderated_20050129.2225-CE46
E4	misc.legal.moderated_20050129.2225-E1
E5	misc.legal.moderated_20050129.2225-E2
E6	misc.legal.moderated_20050129.2225-E3
E7	misc.legal.moderated_20050129.2225-E4
E8	misc.legal.moderated_20050129.2225-E5
E9	misc.legal.moderated_20050129.2225-E6
E10	misc.legal.moderated_20050129.2225-E7
E11	misc.legal.moderated_20050129.2225-E8
E12	misc.legal.moderated_20050129.2225-E9
E13	misc.legal.moderated_20050129.2225-E10
E14	misc.legal.moderated_20050129.2225-E11
E15	misc.legal.moderated_20050129.2225-E12
E16	misc.legal.moderated_20050129.2225-E13
E17	misc.legal.moderated_20050129.2225-E14
E18	misc.legal.moderated_20050129.2225-E15
E19	misc.legal.moderated_20050129.2225-E16
E21	misc.legal.moderated_20050129.2225-E17
E22	misc.legal.moderated_20050129.2225-E18
E23	misc.legal.moderated_20050129.2225-E19
E24	misc.legal.moderated_20050129.2225-E20
E25	misc.legal.moderated_20050129.2225-E21
