CE9	misc.legal_20050210.0626-CE1
CE10	misc.legal_20050210.0626-CE2
CE11	misc.legal_20050210.0626-CE3
CE12	misc.legal_20050210.0626-CE4
CE13	misc.legal_20050210.0626-CE5
CE14	misc.legal_20050210.0626-CE6
CE15	misc.legal_20050210.0626-CE7
CE16	misc.legal_20050210.0626-CE8
CE17	misc.legal_20050210.0626-CE9
CE18	misc.legal_20050210.0626-CE10
CE19	misc.legal_20050210.0626-CE11
CE20	misc.legal_20050210.0626-CE12
CE21	misc.legal_20050210.0626-CE13
CE22	misc.legal_20050210.0626-CE14
CE23	misc.legal_20050210.0626-CE15
CE24	misc.legal_20050210.0626-CE16
CE25	misc.legal_20050210.0626-CE17
CE27	misc.legal_20050210.0626-CE18
CE28	misc.legal_20050210.0626-CE19
CE29	misc.legal_20050210.0626-CE20
CE30	misc.legal_20050210.0626-CE21
CE31	misc.legal_20050210.0626-CE22
CE32	misc.legal_20050210.0626-CE23
CE33	misc.legal_20050210.0626-CE24
CE34	misc.legal_20050210.0626-CE25
CE35	misc.legal_20050210.0626-CE26
CE36	misc.legal_20050210.0626-CE27
CE37	misc.legal_20050210.0626-CE28
CE38	misc.legal_20050210.0626-CE29
CE39	misc.legal_20050210.0626-CE30
CE40	misc.legal_20050210.0626-CE31
CE1	misc.legal_20050210.0626-CE32
CE41	misc.legal_20050210.0626-CE33
CE2	misc.legal_20050210.0626-CE34
CE3	misc.legal_20050210.0626-CE35
CE4	misc.legal_20050210.0626-CE36
CE5	misc.legal_20050210.0626-CE37
CE6	misc.legal_20050210.0626-CE38
CE7	misc.legal_20050210.0626-CE39
CE8	misc.legal_20050210.0626-CE40
E9	misc.legal_20050210.0626-E1
E10	misc.legal_20050210.0626-E2
E11	misc.legal_20050210.0626-E3
E12	misc.legal_20050210.0626-E4
E13	misc.legal_20050210.0626-E5
E14	misc.legal_20050210.0626-E6
E15	misc.legal_20050210.0626-E7
E16	misc.legal_20050210.0626-E8
E17	misc.legal_20050210.0626-E9
E18	misc.legal_20050210.0626-E10
