CE8	misc.taxes_20050218.1250-CE1
CE9	misc.taxes_20050218.1250-CE2
CE10	misc.taxes_20050218.1250-CE3
CE11	misc.taxes_20050218.1250-CE4
CE13	misc.taxes_20050218.1250-CE5
CE14	misc.taxes_20050218.1250-CE6
CE15	misc.taxes_20050218.1250-CE7
CE16	misc.taxes_20050218.1250-CE8
CE17	misc.taxes_20050218.1250-CE9
CE18	misc.taxes_20050218.1250-CE10
CE1	misc.taxes_20050218.1250-CE11
CE2	misc.taxes_20050218.1250-CE12
CE3	misc.taxes_20050218.1250-CE13
CE5	misc.taxes_20050218.1250-CE14
CE7	misc.taxes_20050218.1250-CE15
E9	misc.taxes_20050218.1250-E1
E10	misc.taxes_20050218.1250-E2
E11	misc.taxes_20050218.1250-E3
E12	misc.taxes_20050218.1250-E4
E13	misc.taxes_20050218.1250-E5
E14	misc.taxes_20050218.1250-E6
E15	misc.taxes_20050218.1250-E7
E17	misc.taxes_20050218.1250-E8
E18	misc.taxes_20050218.1250-E9
E19	misc.taxes_20050218.1250-E10
E20	misc.taxes_20050218.1250-E11
E21	misc.taxes_20050218.1250-E12
E22	misc.taxes_20050218.1250-E13
E23	misc.taxes_20050218.1250-E14
E1	misc.taxes_20050218.1250-E15
E24	misc.taxes_20050218.1250-E16
E2	misc.taxes_20050218.1250-E17
E3	misc.taxes_20050218.1250-E18
E5	misc.taxes_20050218.1250-E19
E6	misc.taxes_20050218.1250-E20
E8	misc.taxes_20050218.1250-E21
EM24	misc.taxes_20050218.1250-E2-1
EM25	misc.taxes_20050218.1250-E3-2
EM26	misc.taxes_20050218.1250-E4-3
EM1	misc.taxes_20050218.1250-E5-4
EM17	misc.taxes_20050218.1250-E6-5
EM27	misc.taxes_20050218.1250-E7-6
EM28	misc.taxes_20050218.1250-E17-7
EM29	misc.taxes_20050218.1250-E17-8
EM30	misc.taxes_20050218.1250-E18-9
EM31	misc.taxes_20050218.1250-E18-10
EM32	misc.taxes_20050218.1250-E7-11
EM33	misc.taxes_20050218.1250-E7-12
EM34	misc.taxes_20050218.1250-E17-13
EM35	misc.taxes_20050218.1250-E17-14
EM36	misc.taxes_20050218.1250-E7-15
EM37	misc.taxes_20050218.1250-E18-16
EM38	misc.taxes_20050218.1250-E18-17
EM39	misc.taxes_20050218.1250-E18-18
EM40	misc.taxes_20050218.1250-E20-19
EM41	misc.taxes_20050218.1250-E17-20
EM42	misc.taxes_20050218.1250-E7-21
EM43	misc.taxes_20050218.1250-E17-22
EM44	misc.taxes_20050218.1250-E8-23
EM45	misc.taxes_20050218.1250-E9-24
EM46	misc.taxes_20050218.1250-E17-25
EM47	misc.taxes_20050218.1250-E18-26
EM48	misc.taxes_20050218.1250-E18-27
EM49	misc.taxes_20050218.1250-E10-28
EM50	misc.taxes_20050218.1250-E17-29
EM51	misc.taxes_20050218.1250-E18-30
EM52	misc.taxes_20050218.1250-E17-31
EM53	misc.taxes_20050218.1250-E18-32
EM54	misc.taxes_20050218.1250-E11-33
EM55	misc.taxes_20050218.1250-E17-34
EM56	misc.taxes_20050218.1250-E17-35
EM57	misc.taxes_20050218.1250-E18-36
EM58	misc.taxes_20050218.1250-E18-37
EM59	misc.taxes_20050218.1250-E18-38
EM60	misc.taxes_20050218.1250-E7-39
EM61	misc.taxes_20050218.1250-E20-40
EM62	misc.taxes_20050218.1250-E12-41
EM63	misc.taxes_20050218.1250-E13-42
EM64	misc.taxes_20050218.1250-E14-43
EM65	misc.taxes_20050218.1250-E7-44
EM66	misc.taxes_20050218.1250-E17-45
EM67	misc.taxes_20050218.1250-E7-46
EM68	misc.taxes_20050218.1250-E17-47
EM69	misc.taxes_20050218.1250-E17-48
EM70	misc.taxes_20050218.1250-E18-49
EM71	misc.taxes_20050218.1250-E18-50
EM72	misc.taxes_20050218.1250-E16-51
EM73	misc.taxes_20050218.1250-E20-52
EM74	misc.taxes_20050218.1250-E20-53
EM75	misc.taxes_20050218.1250-E17-54
EM76	misc.taxes_20050218.1250-E17-55
EM77	misc.taxes_20050218.1250-E18-56
EM78	misc.taxes_20050218.1250-E18-57
EM79	misc.taxes_20050218.1250-E20-58
EM80	misc.taxes_20050218.1250-E18-59
EM81	misc.taxes_20050218.1250-E15-60
EM82	misc.taxes_20050218.1250-E18-61
EM2	misc.taxes_20050218.1250-E17-62
EM3	misc.taxes_20050218.1250-E18-63
EM4	misc.taxes_20050218.1250-E18-64
EM5	misc.taxes_20050218.1250-E17-65
EM6	misc.taxes_20050218.1250-E18-66
EM7	misc.taxes_20050218.1250-E17-67
EM8	misc.taxes_20050218.1250-E15-68
EM9	misc.taxes_20050218.1250-E15-69
EM10	misc.taxes_20050218.1250-E17-70
EM11	misc.taxes_20050218.1250-E18-71
EM12	misc.taxes_20050218.1250-E19-72
EM13	misc.taxes_20050218.1250-E17-73
EM14	misc.taxes_20050218.1250-E20-74
EM15	misc.taxes_20050218.1250-E18-75
EM18	misc.taxes_20050218.1250-E18-76
EM19	misc.taxes_20050218.1250-E21-77
