CE8	rec.arts.disney.parks_20041223.1041-CE1
CE9	rec.arts.disney.parks_20041223.1041-CE2
CE10	rec.arts.disney.parks_20041223.1041-CE3
CE11	rec.arts.disney.parks_20041223.1041-CE4
CE12	rec.arts.disney.parks_20041223.1041-CE5
CE13	rec.arts.disney.parks_20041223.1041-CE6
CE14	rec.arts.disney.parks_20041223.1041-CE7
CE15	rec.arts.disney.parks_20041223.1041-CE8
CE16	rec.arts.disney.parks_20041223.1041-CE9
CE17	rec.arts.disney.parks_20041223.1041-CE10
CE18	rec.arts.disney.parks_20041223.1041-CE11
CE19	rec.arts.disney.parks_20041223.1041-CE12
CE21	rec.arts.disney.parks_20041223.1041-CE13
CE22	rec.arts.disney.parks_20041223.1041-CE14
CE23	rec.arts.disney.parks_20041223.1041-CE15
CE83	rec.arts.disney.parks_20041223.1041-CE16
CE25	rec.arts.disney.parks_20041223.1041-CE17
CE26	rec.arts.disney.parks_20041223.1041-CE18
CE27	rec.arts.disney.parks_20041223.1041-CE19
CE28	rec.arts.disney.parks_20041223.1041-CE20
CE29	rec.arts.disney.parks_20041223.1041-CE21
CE30	rec.arts.disney.parks_20041223.1041-CE22
CE31	rec.arts.disney.parks_20041223.1041-CE23
CE32	rec.arts.disney.parks_20041223.1041-CE24
CE33	rec.arts.disney.parks_20041223.1041-CE25
CE34	rec.arts.disney.parks_20041223.1041-CE26
CE35	rec.arts.disney.parks_20041223.1041-CE27
CE36	rec.arts.disney.parks_20041223.1041-CE28
CE37	rec.arts.disney.parks_20041223.1041-CE29
CE38	rec.arts.disney.parks_20041223.1041-CE30
CE39	rec.arts.disney.parks_20041223.1041-CE31
CE40	rec.arts.disney.parks_20041223.1041-CE32
CE41	rec.arts.disney.parks_20041223.1041-CE33
CE42	rec.arts.disney.parks_20041223.1041-CE34
CE46	rec.arts.disney.parks_20041223.1041-CE35
CE47	rec.arts.disney.parks_20041223.1041-CE36
CE48	rec.arts.disney.parks_20041223.1041-CE37
CE49	rec.arts.disney.parks_20041223.1041-CE38
CE50	rec.arts.disney.parks_20041223.1041-CE39
CE51	rec.arts.disney.parks_20041223.1041-CE40
CE52	rec.arts.disney.parks_20041223.1041-CE41
CE53	rec.arts.disney.parks_20041223.1041-CE42
CE54	rec.arts.disney.parks_20041223.1041-CE43
CE55	rec.arts.disney.parks_20041223.1041-CE44
CE56	rec.arts.disney.parks_20041223.1041-CE45
CE57	rec.arts.disney.parks_20041223.1041-CE46
CE58	rec.arts.disney.parks_20041223.1041-CE47
CE59	rec.arts.disney.parks_20041223.1041-CE48
CE60	rec.arts.disney.parks_20041223.1041-CE49
CE61	rec.arts.disney.parks_20041223.1041-CE50
CE62	rec.arts.disney.parks_20041223.1041-CE51
CE63	rec.arts.disney.parks_20041223.1041-CE52
CE64	rec.arts.disney.parks_20041223.1041-CE53
CE65	rec.arts.disney.parks_20041223.1041-CE54
CE66	rec.arts.disney.parks_20041223.1041-CE55
CE67	rec.arts.disney.parks_20041223.1041-CE56
CE68	rec.arts.disney.parks_20041223.1041-CE57
CE69	rec.arts.disney.parks_20041223.1041-CE58
CE70	rec.arts.disney.parks_20041223.1041-CE59
CE71	rec.arts.disney.parks_20041223.1041-CE60
CE72	rec.arts.disney.parks_20041223.1041-CE61
CE73	rec.arts.disney.parks_20041223.1041-CE62
CE74	rec.arts.disney.parks_20041223.1041-CE63
CE75	rec.arts.disney.parks_20041223.1041-CE64
CE76	rec.arts.disney.parks_20041223.1041-CE65
CE77	rec.arts.disney.parks_20041223.1041-CE66
CE78	rec.arts.disney.parks_20041223.1041-CE67
CE79	rec.arts.disney.parks_20041223.1041-CE68
CE80	rec.arts.disney.parks_20041223.1041-CE69
CE81	rec.arts.disney.parks_20041223.1041-CE70
CE82	rec.arts.disney.parks_20041223.1041-CE71
CE2	rec.arts.disney.parks_20041223.1041-CE72
CE84	rec.arts.disney.parks_20041223.1041-CE73
CE85	rec.arts.disney.parks_20041223.1041-CE74
CE86	rec.arts.disney.parks_20041223.1041-CE75
CE87	rec.arts.disney.parks_20041223.1041-CE76
CE88	rec.arts.disney.parks_20041223.1041-CE77
CE89	rec.arts.disney.parks_20041223.1041-CE78
CE90	rec.arts.disney.parks_20041223.1041-CE79
CE92	rec.arts.disney.parks_20041223.1041-CE80
CE93	rec.arts.disney.parks_20041223.1041-CE81
CE138	rec.arts.disney.parks_20041223.1041-CE82
CE95	rec.arts.disney.parks_20041223.1041-CE83
CE96	rec.arts.disney.parks_20041223.1041-CE84
CE97	rec.arts.disney.parks_20041223.1041-CE85
CE98	rec.arts.disney.parks_20041223.1041-CE86
CE99	rec.arts.disney.parks_20041223.1041-CE87
CE100	rec.arts.disney.parks_20041223.1041-CE88
CE101	rec.arts.disney.parks_20041223.1041-CE89
CE102	rec.arts.disney.parks_20041223.1041-CE90
CE103	rec.arts.disney.parks_20041223.1041-CE91
CE104	rec.arts.disney.parks_20041223.1041-CE92
CE105	rec.arts.disney.parks_20041223.1041-CE93
CE106	rec.arts.disney.parks_20041223.1041-CE94
CE107	rec.arts.disney.parks_20041223.1041-CE95
CE108	rec.arts.disney.parks_20041223.1041-CE96
CE109	rec.arts.disney.parks_20041223.1041-CE97
CE110	rec.arts.disney.parks_20041223.1041-CE98
CE111	rec.arts.disney.parks_20041223.1041-CE99
CE112	rec.arts.disney.parks_20041223.1041-CE100
CE113	rec.arts.disney.parks_20041223.1041-CE101
CE114	rec.arts.disney.parks_20041223.1041-CE102
CE116	rec.arts.disney.parks_20041223.1041-CE103
CE139	rec.arts.disney.parks_20041223.1041-CE104
CE117	rec.arts.disney.parks_20041223.1041-CE105
CE118	rec.arts.disney.parks_20041223.1041-CE106
CE119	rec.arts.disney.parks_20041223.1041-CE107
CE120	rec.arts.disney.parks_20041223.1041-CE108
CE121	rec.arts.disney.parks_20041223.1041-CE109
CE122	rec.arts.disney.parks_20041223.1041-CE110
CE123	rec.arts.disney.parks_20041223.1041-CE111
CE124	rec.arts.disney.parks_20041223.1041-CE112
CE125	rec.arts.disney.parks_20041223.1041-CE113
CE126	rec.arts.disney.parks_20041223.1041-CE114
CE127	rec.arts.disney.parks_20041223.1041-CE115
CE128	rec.arts.disney.parks_20041223.1041-CE116
CE129	rec.arts.disney.parks_20041223.1041-CE117
CE130	rec.arts.disney.parks_20041223.1041-CE118
