CE11	rec.travel.europe_20050101.1800-CE1
CE12	rec.travel.europe_20050101.1800-CE2
CE13	rec.travel.europe_20050101.1800-CE3
CE14	rec.travel.europe_20050101.1800-CE4
CE15	rec.travel.europe_20050101.1800-CE5
CE1	rec.travel.europe_20050101.1800-CE6
CE16	rec.travel.europe_20050101.1800-CE7
CE17	rec.travel.europe_20050101.1800-CE8
CE18	rec.travel.europe_20050101.1800-CE9
CE20	rec.travel.europe_20050101.1800-CE10
CE21	rec.travel.europe_20050101.1800-CE11
CE24	rec.travel.europe_20050101.1800-CE12
CE25	rec.travel.europe_20050101.1800-CE13
CE26	rec.travel.europe_20050101.1800-CE14
CE27	rec.travel.europe_20050101.1800-CE15
CE28	rec.travel.europe_20050101.1800-CE16
CE29	rec.travel.europe_20050101.1800-CE17
CE30	rec.travel.europe_20050101.1800-CE18
CE31	rec.travel.europe_20050101.1800-CE19
CE32	rec.travel.europe_20050101.1800-CE20
CE33	rec.travel.europe_20050101.1800-CE21
CE34	rec.travel.europe_20050101.1800-CE22
CE35	rec.travel.europe_20050101.1800-CE23
CE36	rec.travel.europe_20050101.1800-CE24
CE37	rec.travel.europe_20050101.1800-CE25
CE38	rec.travel.europe_20050101.1800-CE26
CE39	rec.travel.europe_20050101.1800-CE27
CE40	rec.travel.europe_20050101.1800-CE28
CE41	rec.travel.europe_20050101.1800-CE29
CE42	rec.travel.europe_20050101.1800-CE30
CE43	rec.travel.europe_20050101.1800-CE31
CE44	rec.travel.europe_20050101.1800-CE32
CE45	rec.travel.europe_20050101.1800-CE33
CE46	rec.travel.europe_20050101.1800-CE34
CE47	rec.travel.europe_20050101.1800-CE35
CE48	rec.travel.europe_20050101.1800-CE36
CE49	rec.travel.europe_20050101.1800-CE37
CE50	rec.travel.europe_20050101.1800-CE38
CE51	rec.travel.europe_20050101.1800-CE39
CE52	rec.travel.europe_20050101.1800-CE40
CE53	rec.travel.europe_20050101.1800-CE41
CE54	rec.travel.europe_20050101.1800-CE42
CE55	rec.travel.europe_20050101.1800-CE43
CE2	rec.travel.europe_20050101.1800-CE44
CE56	rec.travel.europe_20050101.1800-CE45
CE57	rec.travel.europe_20050101.1800-CE46
CE58	rec.travel.europe_20050101.1800-CE47
CE59	rec.travel.europe_20050101.1800-CE48
CE60	rec.travel.europe_20050101.1800-CE49
CE61	rec.travel.europe_20050101.1800-CE50
CE62	rec.travel.europe_20050101.1800-CE51
CE63	rec.travel.europe_20050101.1800-CE52
CE64	rec.travel.europe_20050101.1800-CE53
CE65	rec.travel.europe_20050101.1800-CE54
CE66	rec.travel.europe_20050101.1800-CE55
CE67	rec.travel.europe_20050101.1800-CE56
CE68	rec.travel.europe_20050101.1800-CE57
CE69	rec.travel.europe_20050101.1800-CE58
CE71	rec.travel.europe_20050101.1800-CE59
CE72	rec.travel.europe_20050101.1800-CE60
CE73	rec.travel.europe_20050101.1800-CE61
CE74	rec.travel.europe_20050101.1800-CE62
CE75	rec.travel.europe_20050101.1800-CE63
CE76	rec.travel.europe_20050101.1800-CE64
CE77	rec.travel.europe_20050101.1800-CE65
CE78	rec.travel.europe_20050101.1800-CE66
CE79	rec.travel.europe_20050101.1800-CE67
CE3	rec.travel.europe_20050101.1800-CE68
CE81	rec.travel.europe_20050101.1800-CE69
CE4	rec.travel.europe_20050101.1800-CE70
CE5	rec.travel.europe_20050101.1800-CE71
CE6	rec.travel.europe_20050101.1800-CE72
CE7	rec.travel.europe_20050101.1800-CE73
CE8	rec.travel.europe_20050101.1800-CE74
CE9	rec.travel.europe_20050101.1800-CE75
CE10	rec.travel.europe_20050101.1800-CE76
E13	rec.travel.europe_20050101.1800-E1
E14	rec.travel.europe_20050101.1800-E2
E101	rec.travel.europe_20050101.1800-E3
E1	rec.travel.europe_20050101.1800-E4
E15	rec.travel.europe_20050101.1800-E5
E16	rec.travel.europe_20050101.1800-E6
E17	rec.travel.europe_20050101.1800-E7
E18	rec.travel.europe_20050101.1800-E8
E19	rec.travel.europe_20050101.1800-E9
E20	rec.travel.europe_20050101.1800-E10
E21	rec.travel.europe_20050101.1800-E11
E22	rec.travel.europe_20050101.1800-E12
E23	rec.travel.europe_20050101.1800-E13
E25	rec.travel.europe_20050101.1800-E14
E26	rec.travel.europe_20050101.1800-E15
