CE12	sci.physics_20041204.0640-CE1
CE13	sci.physics_20041204.0640-CE2
CE14	sci.physics_20041204.0640-CE3
CE15	sci.physics_20041204.0640-CE4
CE16	sci.physics_20041204.0640-CE5
CE17	sci.physics_20041204.0640-CE6
CE18	sci.physics_20041204.0640-CE7
CE19	sci.physics_20041204.0640-CE8
CE21	sci.physics_20041204.0640-CE9
CE22	sci.physics_20041204.0640-CE10
CE23	sci.physics_20041204.0640-CE11
CE24	sci.physics_20041204.0640-CE12
CE26	sci.physics_20041204.0640-CE13
CE27	sci.physics_20041204.0640-CE14
CE28	sci.physics_20041204.0640-CE15
CE29	sci.physics_20041204.0640-CE16
CE30	sci.physics_20041204.0640-CE17
CE31	sci.physics_20041204.0640-CE18
CE32	sci.physics_20041204.0640-CE19
CE33	sci.physics_20041204.0640-CE20
CE34	sci.physics_20041204.0640-CE21
CE35	sci.physics_20041204.0640-CE22
CE36	sci.physics_20041204.0640-CE23
CE37	sci.physics_20041204.0640-CE24
CE38	sci.physics_20041204.0640-CE25
CE39	sci.physics_20041204.0640-CE26
CE40	sci.physics_20041204.0640-CE27
CE41	sci.physics_20041204.0640-CE28
CE1	sci.physics_20041204.0640-CE29
CE42	sci.physics_20041204.0640-CE30
CE43	sci.physics_20041204.0640-CE31
CE44	sci.physics_20041204.0640-CE32
CE45	sci.physics_20041204.0640-CE33
CE46	sci.physics_20041204.0640-CE34
CE47	sci.physics_20041204.0640-CE35
CE48	sci.physics_20041204.0640-CE36
CE49	sci.physics_20041204.0640-CE37
CE50	sci.physics_20041204.0640-CE38
CE51	sci.physics_20041204.0640-CE39
CE52	sci.physics_20041204.0640-CE40
CE53	sci.physics_20041204.0640-CE41
CE54	sci.physics_20041204.0640-CE42
CE55	sci.physics_20041204.0640-CE43
CE56	sci.physics_20041204.0640-CE44
CE57	sci.physics_20041204.0640-CE45
CE2	sci.physics_20041204.0640-CE46
CE3	sci.physics_20041204.0640-CE47
CE4	sci.physics_20041204.0640-CE48
CE5	sci.physics_20041204.0640-CE49
CE6	sci.physics_20041204.0640-CE50
CE7	sci.physics_20041204.0640-CE51
CE8	sci.physics_20041204.0640-CE52
CE9	sci.physics_20041204.0640-CE53
CE10	sci.physics_20041204.0640-CE54
CE11	sci.physics_20041204.0640-CE55
E12	sci.physics_20041204.0640-E1
E13	sci.physics_20041204.0640-E2
E14	sci.physics_20041204.0640-E3
E15	sci.physics_20041204.0640-E4
E16	sci.physics_20041204.0640-E5
