CE8	soc.culture.china_20050220.2415-CE1
CE10	soc.culture.china_20050220.2415-CE2
CE11	soc.culture.china_20050220.2415-CE3
CE12	soc.culture.china_20050220.2415-CE4
CE13	soc.culture.china_20050220.2415-CE5
CE14	soc.culture.china_20050220.2415-CE6
CE15	soc.culture.china_20050220.2415-CE7
CE17	soc.culture.china_20050220.2415-CE8
CE19	soc.culture.china_20050220.2415-CE9
CE1	soc.culture.china_20050220.2415-CE10
CE20	soc.culture.china_20050220.2415-CE11
CE21	soc.culture.china_20050220.2415-CE12
CE2	soc.culture.china_20050220.2415-CE13
CE22	soc.culture.china_20050220.2415-CE14
CE23	soc.culture.china_20050220.2415-CE15
CE24	soc.culture.china_20050220.2415-CE16
CE25	soc.culture.china_20050220.2415-CE17
CE26	soc.culture.china_20050220.2415-CE18
CE3	soc.culture.china_20050220.2415-CE19
CE35	soc.culture.china_20050220.2415-CE20
CE36	soc.culture.china_20050220.2415-CE21
CE37	soc.culture.china_20050220.2415-CE22
CE4	soc.culture.china_20050220.2415-CE23
CE5	soc.culture.china_20050220.2415-CE24
CE6	soc.culture.china_20050220.2415-CE25
CE7	soc.culture.china_20050220.2415-CE26
E14	soc.culture.china_20050220.2415-E1
E16	soc.culture.china_20050220.2415-E2
E17	soc.culture.china_20050220.2415-E3
E18	soc.culture.china_20050220.2415-E4
E19	soc.culture.china_20050220.2415-E5
E20	soc.culture.china_20050220.2415-E6
E21	soc.culture.china_20050220.2415-E7
E22	soc.culture.china_20050220.2415-E8
E23	soc.culture.china_20050220.2415-E9
E25	soc.culture.china_20050220.2415-E10
E26	soc.culture.china_20050220.2415-E11
E27	soc.culture.china_20050220.2415-E12
E29	soc.culture.china_20050220.2415-E13
E1	soc.culture.china_20050220.2415-E14
E31	soc.culture.china_20050220.2415-E15
E32	soc.culture.china_20050220.2415-E16
E38	soc.culture.china_20050220.2415-E17
E39	soc.culture.china_20050220.2415-E18
E2	soc.culture.china_20050220.2415-E19
E51	soc.culture.china_20050220.2415-E20
E52	soc.culture.china_20050220.2415-E21
E3	soc.culture.china_20050220.2415-E22
E67	soc.culture.china_20050220.2415-E23
E68	soc.culture.china_20050220.2415-E24
E69	soc.culture.china_20050220.2415-E25
E70	soc.culture.china_20050220.2415-E26
E71	soc.culture.china_20050220.2415-E27
E4	soc.culture.china_20050220.2415-E28
E91	soc.culture.china_20050220.2415-E29
E92	soc.culture.china_20050220.2415-E30
E94	soc.culture.china_20050220.2415-E31
E98	soc.culture.china_20050220.2415-E32
E5	soc.culture.china_20050220.2415-E33
E6	soc.culture.china_20050220.2415-E34
E7	soc.culture.china_20050220.2415-E35
E8	soc.culture.china_20050220.2415-E36
E9	soc.culture.china_20050220.2415-E37
E10	soc.culture.china_20050220.2415-E38
E11	soc.culture.china_20050220.2415-E39
E12	soc.culture.china_20050220.2415-E40
E13	soc.culture.china_20050220.2415-E41
EM1	soc.culture.china_20050220.2415-E19-1
EM22	soc.culture.china_20050220.2415-E2-2
EM23	soc.culture.china_20050220.2415-E3-3
EM24	soc.culture.china_20050220.2415-E14-4
EM25	soc.culture.china_20050220.2415-E4-5
EM26	soc.culture.china_20050220.2415-E14-6
EM27	soc.culture.china_20050220.2415-E14-7
EM28	soc.culture.china_20050220.2415-E6-8
EM29	soc.culture.china_20050220.2415-E5-9
EM30	soc.culture.china_20050220.2415-E14-10
EM31	soc.culture.china_20050220.2415-E14-11
