CE12	soc.history.what-if_20050129.1404-CE1
CE14	soc.history.what-if_20050129.1404-CE2
CE15	soc.history.what-if_20050129.1404-CE3
CE16	soc.history.what-if_20050129.1404-CE4
CE17	soc.history.what-if_20050129.1404-CE5
CE19	soc.history.what-if_20050129.1404-CE6
CE20	soc.history.what-if_20050129.1404-CE7
CE21	soc.history.what-if_20050129.1404-CE8
CE22	soc.history.what-if_20050129.1404-CE9
CE23	soc.history.what-if_20050129.1404-CE10
CE24	soc.history.what-if_20050129.1404-CE11
CE25	soc.history.what-if_20050129.1404-CE12
CE27	soc.history.what-if_20050129.1404-CE13
CE28	soc.history.what-if_20050129.1404-CE14
CE29	soc.history.what-if_20050129.1404-CE15
CE30	soc.history.what-if_20050129.1404-CE16
CE32	soc.history.what-if_20050129.1404-CE17
CE1	soc.history.what-if_20050129.1404-CE18
CE33	soc.history.what-if_20050129.1404-CE19
CE34	soc.history.what-if_20050129.1404-CE20
CE35	soc.history.what-if_20050129.1404-CE21
CE36	soc.history.what-if_20050129.1404-CE22
CE37	soc.history.what-if_20050129.1404-CE23
CE39	soc.history.what-if_20050129.1404-CE24
CE40	soc.history.what-if_20050129.1404-CE25
CE41	soc.history.what-if_20050129.1404-CE26
CE2	soc.history.what-if_20050129.1404-CE27
CE3	soc.history.what-if_20050129.1404-CE28
CE4	soc.history.what-if_20050129.1404-CE29
CE5	soc.history.what-if_20050129.1404-CE30
CE6	soc.history.what-if_20050129.1404-CE31
CE7	soc.history.what-if_20050129.1404-CE32
CE8	soc.history.what-if_20050129.1404-CE33
CE9	soc.history.what-if_20050129.1404-CE34
CE10	soc.history.what-if_20050129.1404-CE35
CE11	soc.history.what-if_20050129.1404-CE36
E12	soc.history.what-if_20050129.1404-E1
E13	soc.history.what-if_20050129.1404-E2
E15	soc.history.what-if_20050129.1404-E3
E16	soc.history.what-if_20050129.1404-E4
E17	soc.history.what-if_20050129.1404-E5
E18	soc.history.what-if_20050129.1404-E6
E20	soc.history.what-if_20050129.1404-E7
E21	soc.history.what-if_20050129.1404-E8
E22	soc.history.what-if_20050129.1404-E9
E23	soc.history.what-if_20050129.1404-E10
E24	soc.history.what-if_20050129.1404-E11
E25	soc.history.what-if_20050129.1404-E12
E26	soc.history.what-if_20050129.1404-E13
E27	soc.history.what-if_20050129.1404-E14
E28	soc.history.what-if_20050129.1404-E15
E30	soc.history.what-if_20050129.1404-E16
E1	soc.history.what-if_20050129.1404-E17
E31	soc.history.what-if_20050129.1404-E18
E32	soc.history.what-if_20050129.1404-E19
E33	soc.history.what-if_20050129.1404-E20
E34	soc.history.what-if_20050129.1404-E21
E35	soc.history.what-if_20050129.1404-E22
E36	soc.history.what-if_20050129.1404-E23
E37	soc.history.what-if_20050129.1404-E24
E39	soc.history.what-if_20050129.1404-E25
E40	soc.history.what-if_20050129.1404-E26
E41	soc.history.what-if_20050129.1404-E27
E42	soc.history.what-if_20050129.1404-E28
E43	soc.history.what-if_20050129.1404-E29
E44	soc.history.what-if_20050129.1404-E30
E45	soc.history.what-if_20050129.1404-E31
E47	soc.history.what-if_20050129.1404-E32
E49	soc.history.what-if_20050129.1404-E33
E50	soc.history.what-if_20050129.1404-E34
E52	soc.history.what-if_20050129.1404-E35
E53	soc.history.what-if_20050129.1404-E36
E54	soc.history.what-if_20050129.1404-E37
E2	soc.history.what-if_20050129.1404-E38
E3	soc.history.what-if_20050129.1404-E39
E4	soc.history.what-if_20050129.1404-E40
E5	soc.history.what-if_20050129.1404-E41
E6	soc.history.what-if_20050129.1404-E42
E7	soc.history.what-if_20050129.1404-E43
E8	soc.history.what-if_20050129.1404-E44
E9	soc.history.what-if_20050129.1404-E45
E10	soc.history.what-if_20050129.1404-E46
E11	soc.history.what-if_20050129.1404-E47
EM1	soc.history.what-if_20050129.1404-E17-1
EM21	soc.history.what-if_20050129.1404-E42-2
EM22	soc.history.what-if_20050129.1404-E40-3
EM23	soc.history.what-if_20050129.1404-E39-4
EM24	soc.history.what-if_20050129.1404-E39-5
EM25	soc.history.what-if_20050129.1404-E2-6
EM26	soc.history.what-if_20050129.1404-E38-7
EM27	soc.history.what-if_20050129.1404-E47-8
EM29	soc.history.what-if_20050129.1404-E3-9
EM30	soc.history.what-if_20050129.1404-E4-10
EM31	soc.history.what-if_20050129.1404-E5-11
EM32	soc.history.what-if_20050129.1404-E6-12
EM33	soc.history.what-if_20050129.1404-E38-13
EM36	soc.history.what-if_20050129.1404-E7-14
EM37	soc.history.what-if_20050129.1404-E8-15
EM38	soc.history.what-if_20050129.1404-E9-16
EM39	soc.history.what-if_20050129.1404-E9-17
EM40	soc.history.what-if_20050129.1404-E38-18
EM41	soc.history.what-if_20050129.1404-E10-19
EM42	soc.history.what-if_20050129.1404-E6-20
EM43	soc.history.what-if_20050129.1404-E5-21
EM45	soc.history.what-if_20050129.1404-E4-22
EM47	soc.history.what-if_20050129.1404-E11-23
EM48	soc.history.what-if_20050129.1404-E11-24
EM49	soc.history.what-if_20050129.1404-E38-25
EM50	soc.history.what-if_20050129.1404-E38-26
EM51	soc.history.what-if_20050129.1404-E38-27
EM52	soc.history.what-if_20050129.1404-E38-28
EM53	soc.history.what-if_20050129.1404-E38-29
EM54	soc.history.what-if_20050129.1404-E47-30
EM55	soc.history.what-if_20050129.1404-E12-31
EM56	soc.history.what-if_20050129.1404-E38-32
EM57	soc.history.what-if_20050129.1404-E13-33
EM58	soc.history.what-if_20050129.1404-E14-34
EM59	soc.history.what-if_20050129.1404-E15-35
EM62	soc.history.what-if_20050129.1404-E16-36
EM64	soc.history.what-if_20050129.1404-E47-37
EM65	soc.history.what-if_20050129.1404-E38-38
EM66	soc.history.what-if_20050129.1404-E18-39
EM67	soc.history.what-if_20050129.1404-E19-40
EM68	soc.history.what-if_20050129.1404-E20-41
EM69	soc.history.what-if_20050129.1404-E18-42
EM70	soc.history.what-if_20050129.1404-E21-43
EM71	soc.history.what-if_20050129.1404-E21-44
EM73	soc.history.what-if_20050129.1404-E14-45
EM74	soc.history.what-if_20050129.1404-E22-46
EM75	soc.history.what-if_20050129.1404-E40-47
EM76	soc.history.what-if_20050129.1404-E14-48
EM77	soc.history.what-if_20050129.1404-E40-49
EM78	soc.history.what-if_20050129.1404-E1-50
EM79	soc.history.what-if_20050129.1404-E40-51
EM80	soc.history.what-if_20050129.1404-E23-52
EM81	soc.history.what-if_20050129.1404-E24-53
EM82	soc.history.what-if_20050129.1404-E40-54
EM84	soc.history.what-if_20050129.1404-E25-55
EM86	soc.history.what-if_20050129.1404-E40-56
EM87	soc.history.what-if_20050129.1404-E40-57
EM89	soc.history.what-if_20050129.1404-E42-58
EM90	soc.history.what-if_20050129.1404-E44-59
EM91	soc.history.what-if_20050129.1404-E26-60
EM92	soc.history.what-if_20050129.1404-E26-61
EM93	soc.history.what-if_20050129.1404-E27-62
EM94	soc.history.what-if_20050129.1404-E28-63
EM95	soc.history.what-if_20050129.1404-E29-64
EM97	soc.history.what-if_20050129.1404-E21-65
EM98	soc.history.what-if_20050129.1404-E26-66
EM100	soc.history.what-if_20050129.1404-E47-67
EM101	soc.history.what-if_20050129.1404-E30-68
EM102	soc.history.what-if_20050129.1404-E31-69
EM103	soc.history.what-if_20050129.1404-E32-70
EM104	soc.history.what-if_20050129.1404-E33-71
EM105	soc.history.what-if_20050129.1404-E29-72
EM106	soc.history.what-if_20050129.1404-E29-73
EM107	soc.history.what-if_20050129.1404-E26-74
EM108	soc.history.what-if_20050129.1404-E21-75
EM109	soc.history.what-if_20050129.1404-E26-76
EM110	soc.history.what-if_20050129.1404-E29-77
EM111	soc.history.what-if_20050129.1404-E34-78
EM112	soc.history.what-if_20050129.1404-E21-79
EM2	soc.history.what-if_20050129.1404-E38-80
EM113	soc.history.what-if_20050129.1404-E38-81
EM114	soc.history.what-if_20050129.1404-E40-82
EM115	soc.history.what-if_20050129.1404-E38-83
EM116	soc.history.what-if_20050129.1404-E13-84
EM118	soc.history.what-if_20050129.1404-E35-85
EM119	soc.history.what-if_20050129.1404-E36-86
EM120	soc.history.what-if_20050129.1404-E38-87
EM121	soc.history.what-if_20050129.1404-E37-88
EM122	soc.history.what-if_20050129.1404-E47-89
EM3	soc.history.what-if_20050129.1404-E39-90
EM4	soc.history.what-if_20050129.1404-E40-91
EM5	soc.history.what-if_20050129.1404-E41-92
EM6	soc.history.what-if_20050129.1404-E42-93
EM7	soc.history.what-if_20050129.1404-E43-94
EM8	soc.history.what-if_20050129.1404-E44-95
EM9	soc.history.what-if_20050129.1404-E38-96
EM10	soc.history.what-if_20050129.1404-E38-97
EM11	soc.history.what-if_20050129.1404-E40-98
EM13	soc.history.what-if_20050129.1404-E45-99
EM14	soc.history.what-if_20050129.1404-E40-100
EM15	soc.history.what-if_20050129.1404-E46-101
EM16	soc.history.what-if_20050129.1404-E38-102
EM17	soc.history.what-if_20050129.1404-E47-103
EM19	soc.history.what-if_20050129.1404-E39-104
EM20	soc.history.what-if_20050129.1404-E39-105
R1	soc.history.what-if_20050129.1404-R1
R2	soc.history.what-if_20050129.1404-R2
R5	soc.history.what-if_20050129.1404-R3
R6	soc.history.what-if_20050129.1404-R4
R8	soc.history.what-if_20050129.1404-R5
R9	soc.history.what-if_20050129.1404-R6
R10	soc.history.what-if_20050129.1404-R7
R11	soc.history.what-if_20050129.1404-R8
RM1	soc.history.what-if_20050129.1404-R1-1
RM2	soc.history.what-if_20050129.1404-R2-1
RM5	soc.history.what-if_20050129.1404-R3-1
RM6	soc.history.what-if_20050129.1404-R4-1
RM8	soc.history.what-if_20050129.1404-R5-1
RM9	soc.history.what-if_20050129.1404-R6-1
RM11	soc.history.what-if_20050129.1404-R7-1
RM12	soc.history.what-if_20050129.1404-R8-1
V1	soc.history.what-if_20050129.1404-EV1
V2	soc.history.what-if_20050129.1404-EV2
V3	soc.history.what-if_20050129.1404-EV3
V4	soc.history.what-if_20050129.1404-EV4
VM1	soc.history.what-if_20050129.1404-EV1-1
VM2	soc.history.what-if_20050129.1404-EV2-1
VM3	soc.history.what-if_20050129.1404-EV3-1
VM4	soc.history.what-if_20050129.1404-EV4-1
Q1	soc.history.what-if_20050129.1404-T1
Q2	soc.history.what-if_20050129.1404-T2
