CE10	uk.media_20050117.1826-CE1
CE11	uk.media_20050117.1826-CE2
CE12	uk.media_20050117.1826-CE3
CE13	uk.media_20050117.1826-CE4
CE14	uk.media_20050117.1826-CE5
CE15	uk.media_20050117.1826-CE6
CE16	uk.media_20050117.1826-CE7
CE17	uk.media_20050117.1826-CE8
CE18	uk.media_20050117.1826-CE9
CE19	uk.media_20050117.1826-CE10
CE20	uk.media_20050117.1826-CE11
CE21	uk.media_20050117.1826-CE12
CE22	uk.media_20050117.1826-CE13
CE23	uk.media_20050117.1826-CE14
CE24	uk.media_20050117.1826-CE15
CE25	uk.media_20050117.1826-CE16
CE26	uk.media_20050117.1826-CE17
CE1	uk.media_20050117.1826-CE18
CE2	uk.media_20050117.1826-CE19
CE3	uk.media_20050117.1826-CE20
CE4	uk.media_20050117.1826-CE21
CE5	uk.media_20050117.1826-CE22
CE6	uk.media_20050117.1826-CE23
CE8	uk.media_20050117.1826-CE24
CE9	uk.media_20050117.1826-CE25
E12	uk.media_20050117.1826-E1
E13	uk.media_20050117.1826-E2
E14	uk.media_20050117.1826-E3
E15	uk.media_20050117.1826-E4
E16	uk.media_20050117.1826-E5
E17	uk.media_20050117.1826-E6
E18	uk.media_20050117.1826-E7
E19	uk.media_20050117.1826-E8
E20	uk.media_20050117.1826-E9
E21	uk.media_20050117.1826-E10
E22	uk.media_20050117.1826-E11
E23	uk.media_20050117.1826-E12
E24	uk.media_20050117.1826-E13
E25	uk.media_20050117.1826-E14
E26	uk.media_20050117.1826-E15
E27	uk.media_20050117.1826-E16
E1	uk.media_20050117.1826-E17
E28	uk.media_20050117.1826-E18
E29	uk.media_20050117.1826-E19
E30	uk.media_20050117.1826-E20
E31	uk.media_20050117.1826-E21
E32	uk.media_20050117.1826-E22
E34	uk.media_20050117.1826-E23
E2	uk.media_20050117.1826-E24
E3	uk.media_20050117.1826-E25
E4	uk.media_20050117.1826-E26
E5	uk.media_20050117.1826-E27
E6	uk.media_20050117.1826-E28
E7	uk.media_20050117.1826-E29
E10	uk.media_20050117.1826-E30
E11	uk.media_20050117.1826-E31
EM1	uk.media_20050117.1826-E17-1
EM19	uk.media_20050117.1826-E2-2
EM20	uk.media_20050117.1826-E17-3
EM21	uk.media_20050117.1826-E17-4
