CE12	Austin-Grad-Community_20050212.2454-CE1
CE13	Austin-Grad-Community_20050212.2454-CE2
CE14	Austin-Grad-Community_20050212.2454-CE3
CE15	Austin-Grad-Community_20050212.2454-CE4
CE17	Austin-Grad-Community_20050212.2454-CE5
CE18	Austin-Grad-Community_20050212.2454-CE6
CE19	Austin-Grad-Community_20050212.2454-CE7
CE20	Austin-Grad-Community_20050212.2454-CE8
CE21	Austin-Grad-Community_20050212.2454-CE9
CE22	Austin-Grad-Community_20050212.2454-CE10
CE24	Austin-Grad-Community_20050212.2454-CE11
CE25	Austin-Grad-Community_20050212.2454-CE12
CE26	Austin-Grad-Community_20050212.2454-CE13
CE1	Austin-Grad-Community_20050212.2454-CE14
CE2	Austin-Grad-Community_20050212.2454-CE15
CE3	Austin-Grad-Community_20050212.2454-CE16
CE4	Austin-Grad-Community_20050212.2454-CE17
CE5	Austin-Grad-Community_20050212.2454-CE18
CE7	Austin-Grad-Community_20050212.2454-CE19
CE8	Austin-Grad-Community_20050212.2454-CE20
CE9	Austin-Grad-Community_20050212.2454-CE21
E13	Austin-Grad-Community_20050212.2454-E1
E14	Austin-Grad-Community_20050212.2454-E2
E17	Austin-Grad-Community_20050212.2454-E3
E19	Austin-Grad-Community_20050212.2454-E4
E20	Austin-Grad-Community_20050212.2454-E5
E21	Austin-Grad-Community_20050212.2454-E6
E22	Austin-Grad-Community_20050212.2454-E7
E23	Austin-Grad-Community_20050212.2454-E8
E25	Austin-Grad-Community_20050212.2454-E9
E26	Austin-Grad-Community_20050212.2454-E10
E27	Austin-Grad-Community_20050212.2454-E11
E29	Austin-Grad-Community_20050212.2454-E12
E30	Austin-Grad-Community_20050212.2454-E13
E31	Austin-Grad-Community_20050212.2454-E14
E32	Austin-Grad-Community_20050212.2454-E15
E33	Austin-Grad-Community_20050212.2454-E16
E34	Austin-Grad-Community_20050212.2454-E17
E1	Austin-Grad-Community_20050212.2454-E18
E35	Austin-Grad-Community_20050212.2454-E19
E36	Austin-Grad-Community_20050212.2454-E20
E37	Austin-Grad-Community_20050212.2454-E21
E39	Austin-Grad-Community_20050212.2454-E22
E40	Austin-Grad-Community_20050212.2454-E23
E41	Austin-Grad-Community_20050212.2454-E24
E42	Austin-Grad-Community_20050212.2454-E25
E43	Austin-Grad-Community_20050212.2454-E26
E2	Austin-Grad-Community_20050212.2454-E27
E3	Austin-Grad-Community_20050212.2454-E28
E4	Austin-Grad-Community_20050212.2454-E29
E5	Austin-Grad-Community_20050212.2454-E30
E7	Austin-Grad-Community_20050212.2454-E31
E8	Austin-Grad-Community_20050212.2454-E32
