CE12	alt.books.tom-clancy_20050130.1848-CE1
CE14	alt.books.tom-clancy_20050130.1848-CE2
CE15	alt.books.tom-clancy_20050130.1848-CE3
CE27	alt.books.tom-clancy_20050130.1848-CE4
CE35	alt.books.tom-clancy_20050130.1848-CE5
CE36	alt.books.tom-clancy_20050130.1848-CE6
CE38	alt.books.tom-clancy_20050130.1848-CE7
CE40	alt.books.tom-clancy_20050130.1848-CE8
CE41	alt.books.tom-clancy_20050130.1848-CE9
CE42	alt.books.tom-clancy_20050130.1848-CE10
CE43	alt.books.tom-clancy_20050130.1848-CE11
CE44	alt.books.tom-clancy_20050130.1848-CE12
CE1	alt.books.tom-clancy_20050130.1848-CE13
CE45	alt.books.tom-clancy_20050130.1848-CE14
CE46	alt.books.tom-clancy_20050130.1848-CE15
CE47	alt.books.tom-clancy_20050130.1848-CE16
CE48	alt.books.tom-clancy_20050130.1848-CE17
CE49	alt.books.tom-clancy_20050130.1848-CE18
CE50	alt.books.tom-clancy_20050130.1848-CE19
CE52	alt.books.tom-clancy_20050130.1848-CE20
CE53	alt.books.tom-clancy_20050130.1848-CE21
CE54	alt.books.tom-clancy_20050130.1848-CE22
CE55	alt.books.tom-clancy_20050130.1848-CE23
CE56	alt.books.tom-clancy_20050130.1848-CE24
CE57	alt.books.tom-clancy_20050130.1848-CE25
CE58	alt.books.tom-clancy_20050130.1848-CE26
CE59	alt.books.tom-clancy_20050130.1848-CE27
CE60	alt.books.tom-clancy_20050130.1848-CE28
CE61	alt.books.tom-clancy_20050130.1848-CE29
CE62	alt.books.tom-clancy_20050130.1848-CE30
CE63	alt.books.tom-clancy_20050130.1848-CE31
CE64	alt.books.tom-clancy_20050130.1848-CE32
CE65	alt.books.tom-clancy_20050130.1848-CE33
CE66	alt.books.tom-clancy_20050130.1848-CE34
CE67	alt.books.tom-clancy_20050130.1848-CE35
CE68	alt.books.tom-clancy_20050130.1848-CE36
CE70	alt.books.tom-clancy_20050130.1848-CE37
CE71	alt.books.tom-clancy_20050130.1848-CE38
CE72	alt.books.tom-clancy_20050130.1848-CE39
CE73	alt.books.tom-clancy_20050130.1848-CE40
CE74	alt.books.tom-clancy_20050130.1848-CE41
CE75	alt.books.tom-clancy_20050130.1848-CE42
CE76	alt.books.tom-clancy_20050130.1848-CE43
CE77	alt.books.tom-clancy_20050130.1848-CE44
CE78	alt.books.tom-clancy_20050130.1848-CE45
CE79	alt.books.tom-clancy_20050130.1848-CE46
CE80	alt.books.tom-clancy_20050130.1848-CE47
CE81	alt.books.tom-clancy_20050130.1848-CE48
CE82	alt.books.tom-clancy_20050130.1848-CE49
CE83	alt.books.tom-clancy_20050130.1848-CE50
CE84	alt.books.tom-clancy_20050130.1848-CE51
CE88	alt.books.tom-clancy_20050130.1848-CE52
CE89	alt.books.tom-clancy_20050130.1848-CE53
