CE9	alt.corel_20041228.0503-CE1
CE10	alt.corel_20041228.0503-CE2
CE11	alt.corel_20041228.0503-CE3
CE12	alt.corel_20041228.0503-CE4
CE13	alt.corel_20041228.0503-CE5
CE14	alt.corel_20041228.0503-CE6
CE15	alt.corel_20041228.0503-CE7
CE16	alt.corel_20041228.0503-CE8
CE17	alt.corel_20041228.0503-CE9
CE18	alt.corel_20041228.0503-CE10
CE19	alt.corel_20041228.0503-CE11
CE20	alt.corel_20041228.0503-CE12
CE21	alt.corel_20041228.0503-CE13
CE22	alt.corel_20041228.0503-CE14
CE23	alt.corel_20041228.0503-CE15
CE25	alt.corel_20041228.0503-CE16
CE26	alt.corel_20041228.0503-CE17
CE27	alt.corel_20041228.0503-CE18
CE28	alt.corel_20041228.0503-CE19
CE29	alt.corel_20041228.0503-CE20
CE30	alt.corel_20041228.0503-CE21
CE31	alt.corel_20041228.0503-CE22
CE32	alt.corel_20041228.0503-CE23
CE1	alt.corel_20041228.0503-CE24
CE33	alt.corel_20041228.0503-CE25
CE34	alt.corel_20041228.0503-CE26
CE35	alt.corel_20041228.0503-CE27
CE36	alt.corel_20041228.0503-CE28
CE37	alt.corel_20041228.0503-CE29
CE38	alt.corel_20041228.0503-CE30
CE39	alt.corel_20041228.0503-CE31
CE40	alt.corel_20041228.0503-CE32
CE41	alt.corel_20041228.0503-CE33
CE42	alt.corel_20041228.0503-CE34
CE43	alt.corel_20041228.0503-CE35
CE44	alt.corel_20041228.0503-CE36
CE45	alt.corel_20041228.0503-CE37
CE46	alt.corel_20041228.0503-CE38
CE47	alt.corel_20041228.0503-CE39
CE48	alt.corel_20041228.0503-CE40
CE49	alt.corel_20041228.0503-CE41
CE50	alt.corel_20041228.0503-CE42
CE51	alt.corel_20041228.0503-CE43
CE52	alt.corel_20041228.0503-CE44
CE53	alt.corel_20041228.0503-CE45
CE54	alt.corel_20041228.0503-CE46
CE2	alt.corel_20041228.0503-CE47
CE3	alt.corel_20041228.0503-CE48
CE4	alt.corel_20041228.0503-CE49
CE5	alt.corel_20041228.0503-CE50
CE6	alt.corel_20041228.0503-CE51
CE7	alt.corel_20041228.0503-CE52
CE8	alt.corel_20041228.0503-CE53
E13	alt.corel_20041228.0503-E1
E14	alt.corel_20041228.0503-E2
E15	alt.corel_20041228.0503-E3
E16	alt.corel_20041228.0503-E4
E17	alt.corel_20041228.0503-E5
E18	alt.corel_20041228.0503-E6
E19	alt.corel_20041228.0503-E7
E20	alt.corel_20041228.0503-E8
E21	alt.corel_20041228.0503-E9
E22	alt.corel_20041228.0503-E10
E23	alt.corel_20041228.0503-E11
E24	alt.corel_20041228.0503-E12
E25	alt.corel_20041228.0503-E13
E26	alt.corel_20041228.0503-E14
E27	alt.corel_20041228.0503-E15
E28	alt.corel_20041228.0503-E16
E29	alt.corel_20041228.0503-E17
E31	alt.corel_20041228.0503-E18
E32	alt.corel_20041228.0503-E19
E34	alt.corel_20041228.0503-E20
E35	alt.corel_20041228.0503-E21
E36	alt.corel_20041228.0503-E22
E1	alt.corel_20041228.0503-E23
E37	alt.corel_20041228.0503-E24
E38	alt.corel_20041228.0503-E25
E39	alt.corel_20041228.0503-E26
E40	alt.corel_20041228.0503-E27
E42	alt.corel_20041228.0503-E28
E43	alt.corel_20041228.0503-E29
E44	alt.corel_20041228.0503-E30
E45	alt.corel_20041228.0503-E31
E46	alt.corel_20041228.0503-E32
E47	alt.corel_20041228.0503-E33
E48	alt.corel_20041228.0503-E34
E49	alt.corel_20041228.0503-E35
E50	alt.corel_20041228.0503-E36
E51	alt.corel_20041228.0503-E37
E52	alt.corel_20041228.0503-E38
E53	alt.corel_20041228.0503-E39
E54	alt.corel_20041228.0503-E40
E55	alt.corel_20041228.0503-E41
E56	alt.corel_20041228.0503-E42
E58	alt.corel_20041228.0503-E43
E59	alt.corel_20041228.0503-E44
E60	alt.corel_20041228.0503-E45
E62	alt.corel_20041228.0503-E46
E63	alt.corel_20041228.0503-E47
E64	alt.corel_20041228.0503-E48
E65	alt.corel_20041228.0503-E49
E66	alt.corel_20041228.0503-E50
E68	alt.corel_20041228.0503-E51
E69	alt.corel_20041228.0503-E52
E70	alt.corel_20041228.0503-E53
E71	alt.corel_20041228.0503-E54
E72	alt.corel_20041228.0503-E55
E73	alt.corel_20041228.0503-E56
E74	alt.corel_20041228.0503-E57
E2	alt.corel_20041228.0503-E58
E4	alt.corel_20041228.0503-E59
E5	alt.corel_20041228.0503-E60
E6	alt.corel_20041228.0503-E61
E7	alt.corel_20041228.0503-E62
E8	alt.corel_20041228.0503-E63
E9	alt.corel_20041228.0503-E64
E10	alt.corel_20041228.0503-E65
E11	alt.corel_20041228.0503-E66
E12	alt.corel_20041228.0503-E67
EM1	alt.corel_20041228.0503-E23-1
EM21	alt.corel_20041228.0503-E58-2
EM22	alt.corel_20041228.0503-E58-3
EM23	alt.corel_20041228.0503-E58-4
EM24	alt.corel_20041228.0503-E2-5
EM25	alt.corel_20041228.0503-E3-6
EM26	alt.corel_20041228.0503-E4-7
EM27	alt.corel_20041228.0503-E5-8
EM28	alt.corel_20041228.0503-E58-9
EM29	alt.corel_20041228.0503-E7-10
EM30	alt.corel_20041228.0503-E64-11
EM31	alt.corel_20041228.0503-E8-12
EM32	alt.corel_20041228.0503-E58-13
EM33	alt.corel_20041228.0503-E9-14
EM34	alt.corel_20041228.0503-E60-15
EM35	alt.corel_20041228.0503-E58-16
EM36	alt.corel_20041228.0503-E58-17
EM37	alt.corel_20041228.0503-E1-18
EM38	alt.corel_20041228.0503-E10-19
EM39	alt.corel_20041228.0503-E11-20
EM40	alt.corel_20041228.0503-E12-21
EM41	alt.corel_20041228.0503-E13-22
EM42	alt.corel_20041228.0503-E10-23
EM43	alt.corel_20041228.0503-E14-24
EM44	alt.corel_20041228.0503-E15-25
EM45	alt.corel_20041228.0503-E62-26
EM46	alt.corel_20041228.0503-E64-27
EM47	alt.corel_20041228.0503-E16-28
EM48	alt.corel_20041228.0503-E17-29
EM49	alt.corel_20041228.0503-E18-30
EM50	alt.corel_20041228.0503-E19-31
EM51	alt.corel_20041228.0503-E13-32
EM53	alt.corel_20041228.0503-E64-33
EM54	alt.corel_20041228.0503-E20-34
EM55	alt.corel_20041228.0503-E1-35
EM52	alt.corel_20041228.0503-E1-36
EM56	alt.corel_20041228.0503-E21-37
EM57	alt.corel_20041228.0503-E22-38
EM58	alt.corel_20041228.0503-E24-39
EM59	alt.corel_20041228.0503-E25-40
EM60	alt.corel_20041228.0503-E26-41
EM61	alt.corel_20041228.0503-E27-42
EM62	alt.corel_20041228.0503-E6-43
EM63	alt.corel_20041228.0503-E1-44
EM64	alt.corel_20041228.0503-E13-45
EM65	alt.corel_20041228.0503-E28-46
EM66	alt.corel_20041228.0503-E62-47
EM67	alt.corel_20041228.0503-E29-48
EM68	alt.corel_20041228.0503-E13-49
EM69	alt.corel_20041228.0503-E13-50
EM70	alt.corel_20041228.0503-E13-51
EM71	alt.corel_20041228.0503-E13-52
EM72	alt.corel_20041228.0503-E60-53
EM73	alt.corel_20041228.0503-E64-54
EM74	alt.corel_20041228.0503-E30-55
EM75	alt.corel_20041228.0503-E62-56
EM76	alt.corel_20041228.0503-E64-57
EM77	alt.corel_20041228.0503-E64-58
EM78	alt.corel_20041228.0503-E64-59
EM79	alt.corel_20041228.0503-E64-60
EM80	alt.corel_20041228.0503-E31-61
EM81	alt.corel_20041228.0503-E58-62
EM82	alt.corel_20041228.0503-E32-63
EM83	alt.corel_20041228.0503-E13-64
