CE13	alt.politics_20050124.0640-CE1
CE14	alt.politics_20050124.0640-CE2
CE15	alt.politics_20050124.0640-CE3
CE16	alt.politics_20050124.0640-CE4
CE17	alt.politics_20050124.0640-CE5
CE18	alt.politics_20050124.0640-CE6
CE19	alt.politics_20050124.0640-CE7
CE20	alt.politics_20050124.0640-CE8
CE21	alt.politics_20050124.0640-CE9
CE22	alt.politics_20050124.0640-CE10
CE24	alt.politics_20050124.0640-CE11
CE25	alt.politics_20050124.0640-CE12
CE26	alt.politics_20050124.0640-CE13
CE27	alt.politics_20050124.0640-CE14
CE29	alt.politics_20050124.0640-CE15
CE30	alt.politics_20050124.0640-CE16
CE32	alt.politics_20050124.0640-CE17
CE33	alt.politics_20050124.0640-CE18
CE34	alt.politics_20050124.0640-CE19
CE35	alt.politics_20050124.0640-CE20
CE36	alt.politics_20050124.0640-CE21
CE37	alt.politics_20050124.0640-CE22
CE38	alt.politics_20050124.0640-CE23
CE39	alt.politics_20050124.0640-CE24
CE40	alt.politics_20050124.0640-CE25
CE41	alt.politics_20050124.0640-CE26
CE42	alt.politics_20050124.0640-CE27
CE43	alt.politics_20050124.0640-CE28
CE44	alt.politics_20050124.0640-CE29
CE45	alt.politics_20050124.0640-CE30
CE46	alt.politics_20050124.0640-CE31
CE47	alt.politics_20050124.0640-CE32
CE48	alt.politics_20050124.0640-CE33
CE49	alt.politics_20050124.0640-CE34
CE1	alt.politics_20050124.0640-CE35
CE50	alt.politics_20050124.0640-CE36
CE51	alt.politics_20050124.0640-CE37
CE52	alt.politics_20050124.0640-CE38
CE2	alt.politics_20050124.0640-CE39
CE3	alt.politics_20050124.0640-CE40
CE4	alt.politics_20050124.0640-CE41
CE6	alt.politics_20050124.0640-CE42
CE7	alt.politics_20050124.0640-CE43
CE8	alt.politics_20050124.0640-CE44
CE9	alt.politics_20050124.0640-CE45
CE10	alt.politics_20050124.0640-CE46
CE11	alt.politics_20050124.0640-CE47
CE12	alt.politics_20050124.0640-CE48
E16	alt.politics_20050124.0640-E1
E17	alt.politics_20050124.0640-E2
E19	alt.politics_20050124.0640-E3
E20	alt.politics_20050124.0640-E4
E21	alt.politics_20050124.0640-E5
E22	alt.politics_20050124.0640-E6
E23	alt.politics_20050124.0640-E7
E24	alt.politics_20050124.0640-E8
E25	alt.politics_20050124.0640-E9
E27	alt.politics_20050124.0640-E10
E28	alt.politics_20050124.0640-E11
E29	alt.politics_20050124.0640-E12
E30	alt.politics_20050124.0640-E13
E32	alt.politics_20050124.0640-E14
E33	alt.politics_20050124.0640-E15
E35	alt.politics_20050124.0640-E16
E36	alt.politics_20050124.0640-E17
E37	alt.politics_20050124.0640-E18
E38	alt.politics_20050124.0640-E19
E39	alt.politics_20050124.0640-E20
E40	alt.politics_20050124.0640-E21
E41	alt.politics_20050124.0640-E22
E42	alt.politics_20050124.0640-E23
E44	alt.politics_20050124.0640-E24
E1	alt.politics_20050124.0640-E25
E45	alt.politics_20050124.0640-E26
E46	alt.politics_20050124.0640-E27
E47	alt.politics_20050124.0640-E28
E48	alt.politics_20050124.0640-E29
E49	alt.politics_20050124.0640-E30
E50	alt.politics_20050124.0640-E31
E51	alt.politics_20050124.0640-E32
E52	alt.politics_20050124.0640-E33
E53	alt.politics_20050124.0640-E34
E55	alt.politics_20050124.0640-E35
E57	alt.politics_20050124.0640-E36
E59	alt.politics_20050124.0640-E37
E60	alt.politics_20050124.0640-E38
E61	alt.politics_20050124.0640-E39
E2	alt.politics_20050124.0640-E40
E3	alt.politics_20050124.0640-E41
E5	alt.politics_20050124.0640-E42
E7	alt.politics_20050124.0640-E43
E8	alt.politics_20050124.0640-E44
E9	alt.politics_20050124.0640-E45
E10	alt.politics_20050124.0640-E46
E11	alt.politics_20050124.0640-E47
E12	alt.politics_20050124.0640-E48
E13	alt.politics_20050124.0640-E49
E14	alt.politics_20050124.0640-E50
E15	alt.politics_20050124.0640-E51
EM1	alt.politics_20050124.0640-E25-1
EM18	alt.politics_20050124.0640-E1-2
EM19	alt.politics_20050124.0640-E2-3
EM20	alt.politics_20050124.0640-E3-4
EM21	alt.politics_20050124.0640-E4-5
EM22	alt.politics_20050124.0640-E4-6
EM23	alt.politics_20050124.0640-E4-7
EM24	alt.politics_20050124.0640-E47-8
EM25	alt.politics_20050124.0640-E5-9
EM26	alt.politics_20050124.0640-E6-10
EM27	alt.politics_20050124.0640-E7-11
EM28	alt.politics_20050124.0640-E8-12
EM29	alt.politics_20050124.0640-E9-13
EM31	alt.politics_20050124.0640-E10-14
EM32	alt.politics_20050124.0640-E11-15
EM33	alt.politics_20050124.0640-E12-16
EM34	alt.politics_20050124.0640-E13-17
EM36	alt.politics_20050124.0640-E14-18
EM37	alt.politics_20050124.0640-E15-19
EM39	alt.politics_20050124.0640-E16-20
EM40	alt.politics_20050124.0640-E17-21
EM41	alt.politics_20050124.0640-E18-22
EM42	alt.politics_20050124.0640-E19-23
EM43	alt.politics_20050124.0640-E47-24
EM44	alt.politics_20050124.0640-E6-25
EM45	alt.politics_20050124.0640-E6-26
EM46	alt.politics_20050124.0640-E20-27
EM47	alt.politics_20050124.0640-E21-28
EM48	alt.politics_20050124.0640-E22-29
EM49	alt.politics_20050124.0640-E23-30
EM50	alt.politics_20050124.0640-E24-31
EM51	alt.politics_20050124.0640-E23-32
EM52	alt.politics_20050124.0640-E26-33
EM53	alt.politics_20050124.0640-E17-34
EM54	alt.politics_20050124.0640-E27-35
EM55	alt.politics_20050124.0640-E28-36
EM56	alt.politics_20050124.0640-E29-37
EM57	alt.politics_20050124.0640-E30-38
EM58	alt.politics_20050124.0640-E27-39
EM59	alt.politics_20050124.0640-E31-40
EM60	alt.politics_20050124.0640-E31-41
EM61	alt.politics_20050124.0640-E32-42
EM63	alt.politics_20050124.0640-E33-43
EM64	alt.politics_20050124.0640-E46-44
EM65	alt.politics_20050124.0640-E34-45
EM66	alt.politics_20050124.0640-E34-46
EM67	alt.politics_20050124.0640-E33-47
EM68	alt.politics_20050124.0640-E35-48
EM69	alt.politics_20050124.0640-E36-49
EM70	alt.politics_20050124.0640-E37-50
EM71	alt.politics_20050124.0640-E38-51
EM72	alt.politics_20050124.0640-E39-52
EM73	alt.politics_20050124.0640-E40-53
EM74	alt.politics_20050124.0640-E21-54
EM75	alt.politics_20050124.0640-E40-55
EM76	alt.politics_20050124.0640-E21-56
EM2	alt.politics_20050124.0640-E40-57
EM3	alt.politics_20050124.0640-E41-58
EM4	alt.politics_20050124.0640-E42-59
EM6	alt.politics_20050124.0640-E44-60
EM7	alt.politics_20050124.0640-E45-61
EM8	alt.politics_20050124.0640-E46-62
EM9	alt.politics_20050124.0640-E47-63
EM10	alt.politics_20050124.0640-E45-64
EM11	alt.politics_20050124.0640-E43-65
EM13	alt.politics_20050124.0640-E48-66
EM14	alt.politics_20050124.0640-E49-67
EM15	alt.politics_20050124.0640-E50-68
EM16	alt.politics_20050124.0640-E47-69
EM17	alt.politics_20050124.0640-E51-70
R1	alt.politics_20050124.0640-R1
