CE11	alt.vacation.las-vegas_20050109.0133-CE1
CE12	alt.vacation.las-vegas_20050109.0133-CE2
CE14	alt.vacation.las-vegas_20050109.0133-CE3
CE15	alt.vacation.las-vegas_20050109.0133-CE4
CE17	alt.vacation.las-vegas_20050109.0133-CE5
CE18	alt.vacation.las-vegas_20050109.0133-CE6
CE19	alt.vacation.las-vegas_20050109.0133-CE7
CE20	alt.vacation.las-vegas_20050109.0133-CE8
CE21	alt.vacation.las-vegas_20050109.0133-CE9
CE22	alt.vacation.las-vegas_20050109.0133-CE10
CE23	alt.vacation.las-vegas_20050109.0133-CE11
CE24	alt.vacation.las-vegas_20050109.0133-CE12
CE25	alt.vacation.las-vegas_20050109.0133-CE13
CE26	alt.vacation.las-vegas_20050109.0133-CE14
CE27	alt.vacation.las-vegas_20050109.0133-CE15
CE28	alt.vacation.las-vegas_20050109.0133-CE16
CE29	alt.vacation.las-vegas_20050109.0133-CE17
CE30	alt.vacation.las-vegas_20050109.0133-CE18
CE31	alt.vacation.las-vegas_20050109.0133-CE19
CE32	alt.vacation.las-vegas_20050109.0133-CE20
CE33	alt.vacation.las-vegas_20050109.0133-CE21
CE34	alt.vacation.las-vegas_20050109.0133-CE22
CE35	alt.vacation.las-vegas_20050109.0133-CE23
CE36	alt.vacation.las-vegas_20050109.0133-CE24
CE37	alt.vacation.las-vegas_20050109.0133-CE25
CE38	alt.vacation.las-vegas_20050109.0133-CE26
CE39	alt.vacation.las-vegas_20050109.0133-CE27
CE40	alt.vacation.las-vegas_20050109.0133-CE28
CE41	alt.vacation.las-vegas_20050109.0133-CE29
CE42	alt.vacation.las-vegas_20050109.0133-CE30
CE1	alt.vacation.las-vegas_20050109.0133-CE31
CE43	alt.vacation.las-vegas_20050109.0133-CE32
CE45	alt.vacation.las-vegas_20050109.0133-CE33
CE46	alt.vacation.las-vegas_20050109.0133-CE34
CE48	alt.vacation.las-vegas_20050109.0133-CE35
CE49	alt.vacation.las-vegas_20050109.0133-CE36
CE50	alt.vacation.las-vegas_20050109.0133-CE37
CE51	alt.vacation.las-vegas_20050109.0133-CE38
CE53	alt.vacation.las-vegas_20050109.0133-CE39
CE54	alt.vacation.las-vegas_20050109.0133-CE40
CE55	alt.vacation.las-vegas_20050109.0133-CE41
CE56	alt.vacation.las-vegas_20050109.0133-CE42
CE57	alt.vacation.las-vegas_20050109.0133-CE43
CE58	alt.vacation.las-vegas_20050109.0133-CE44
CE59	alt.vacation.las-vegas_20050109.0133-CE45
CE60	alt.vacation.las-vegas_20050109.0133-CE46
CE62	alt.vacation.las-vegas_20050109.0133-CE47
CE2	alt.vacation.las-vegas_20050109.0133-CE48
CE3	alt.vacation.las-vegas_20050109.0133-CE49
CE4	alt.vacation.las-vegas_20050109.0133-CE50
CE5	alt.vacation.las-vegas_20050109.0133-CE51
CE6	alt.vacation.las-vegas_20050109.0133-CE52
CE7	alt.vacation.las-vegas_20050109.0133-CE53
