CE11	aus.cars_20041206.0903-CE1
CE12	aus.cars_20041206.0903-CE2
CE13	aus.cars_20041206.0903-CE3
CE14	aus.cars_20041206.0903-CE4
CE15	aus.cars_20041206.0903-CE5
CE16	aus.cars_20041206.0903-CE6
CE17	aus.cars_20041206.0903-CE7
CE18	aus.cars_20041206.0903-CE8
CE19	aus.cars_20041206.0903-CE9
CE20	aus.cars_20041206.0903-CE10
CE21	aus.cars_20041206.0903-CE11
CE22	aus.cars_20041206.0903-CE12
CE23	aus.cars_20041206.0903-CE13
CE24	aus.cars_20041206.0903-CE14
CE25	aus.cars_20041206.0903-CE15
CE26	aus.cars_20041206.0903-CE16
CE27	aus.cars_20041206.0903-CE17
CE28	aus.cars_20041206.0903-CE18
CE29	aus.cars_20041206.0903-CE19
CE30	aus.cars_20041206.0903-CE20
CE33	aus.cars_20041206.0903-CE21
CE34	aus.cars_20041206.0903-CE22
CE35	aus.cars_20041206.0903-CE23
CE1	aus.cars_20041206.0903-CE24
CE36	aus.cars_20041206.0903-CE25
CE37	aus.cars_20041206.0903-CE26
CE38	aus.cars_20041206.0903-CE27
CE39	aus.cars_20041206.0903-CE28
CE40	aus.cars_20041206.0903-CE29
CE41	aus.cars_20041206.0903-CE30
CE42	aus.cars_20041206.0903-CE31
CE43	aus.cars_20041206.0903-CE32
CE44	aus.cars_20041206.0903-CE33
CE45	aus.cars_20041206.0903-CE34
CE46	aus.cars_20041206.0903-CE35
CE47	aus.cars_20041206.0903-CE36
CE48	aus.cars_20041206.0903-CE37
CE49	aus.cars_20041206.0903-CE38
CE50	aus.cars_20041206.0903-CE39
CE51	aus.cars_20041206.0903-CE40
CE52	aus.cars_20041206.0903-CE41
CE53	aus.cars_20041206.0903-CE42
CE54	aus.cars_20041206.0903-CE43
CE55	aus.cars_20041206.0903-CE44
CE56	aus.cars_20041206.0903-CE45
CE2	aus.cars_20041206.0903-CE46
CE3	aus.cars_20041206.0903-CE47
CE4	aus.cars_20041206.0903-CE48
CE5	aus.cars_20041206.0903-CE49
CE6	aus.cars_20041206.0903-CE50
CE7	aus.cars_20041206.0903-CE51
CE8	aus.cars_20041206.0903-CE52
CE9	aus.cars_20041206.0903-CE53
CE10	aus.cars_20041206.0903-CE54
E11	aus.cars_20041206.0903-E1
E12	aus.cars_20041206.0903-E2
E13	aus.cars_20041206.0903-E3
E14	aus.cars_20041206.0903-E4
E15	aus.cars_20041206.0903-E5
E16	aus.cars_20041206.0903-E6
E17	aus.cars_20041206.0903-E7
E18	aus.cars_20041206.0903-E8
E19	aus.cars_20041206.0903-E9
