CE11	marcellapr_20050211.2013-CE1
CE12	marcellapr_20050211.2013-CE2
CE13	marcellapr_20050211.2013-CE3
CE14	marcellapr_20050211.2013-CE4
CE15	marcellapr_20050211.2013-CE5
CE16	marcellapr_20050211.2013-CE6
CE17	marcellapr_20050211.2013-CE7
CE18	marcellapr_20050211.2013-CE8
CE19	marcellapr_20050211.2013-CE9
CE20	marcellapr_20050211.2013-CE10
CE21	marcellapr_20050211.2013-CE11
CE22	marcellapr_20050211.2013-CE12
CE23	marcellapr_20050211.2013-CE13
CE24	marcellapr_20050211.2013-CE14
CE25	marcellapr_20050211.2013-CE15
CE27	marcellapr_20050211.2013-CE16
CE28	marcellapr_20050211.2013-CE17
CE30	marcellapr_20050211.2013-CE18
CE2	marcellapr_20050211.2013-CE19
CE3	marcellapr_20050211.2013-CE20
CE4	marcellapr_20050211.2013-CE21
CE5	marcellapr_20050211.2013-CE22
CE6	marcellapr_20050211.2013-CE23
CE26	marcellapr_20050211.2013-CE24
CE7	marcellapr_20050211.2013-CE25
CE8	marcellapr_20050211.2013-CE26
CE10	marcellapr_20050211.2013-CE27
E11	marcellapr_20050211.2013-E1
E12	marcellapr_20050211.2013-E2
E13	marcellapr_20050211.2013-E3
E14	marcellapr_20050211.2013-E4
E16	marcellapr_20050211.2013-E5
E17	marcellapr_20050211.2013-E6
E18	marcellapr_20050211.2013-E7
E19	marcellapr_20050211.2013-E8
E20	marcellapr_20050211.2013-E9
E21	marcellapr_20050211.2013-E10
E22	marcellapr_20050211.2013-E11
E23	marcellapr_20050211.2013-E12
E24	marcellapr_20050211.2013-E13
E25	marcellapr_20050211.2013-E14
E26	marcellapr_20050211.2013-E15
E30	marcellapr_20050211.2013-E16
E27	marcellapr_20050211.2013-E17
E29	marcellapr_20050211.2013-E18
E28	marcellapr_20050211.2013-E19
E31	marcellapr_20050211.2013-E20
E34	marcellapr_20050211.2013-E21
E2	marcellapr_20050211.2013-E22
E3	marcellapr_20050211.2013-E23
E4	marcellapr_20050211.2013-E24
E5	marcellapr_20050211.2013-E25
E6	marcellapr_20050211.2013-E26
E7	marcellapr_20050211.2013-E27
E8	marcellapr_20050211.2013-E28
E10	marcellapr_20050211.2013-E29
EM72	marcellapr_20050211.2013-E18-1
EM21	marcellapr_20050211.2013-E29-2
EM22	marcellapr_20050211.2013-E27-3
EM23	marcellapr_20050211.2013-E27-4
EM24	marcellapr_20050211.2013-E1-5
EM25	marcellapr_20050211.2013-E25-6
EM26	marcellapr_20050211.2013-E23-7
EM27	marcellapr_20050211.2013-E23-8
EM28	marcellapr_20050211.2013-E23-9
EM29	marcellapr_20050211.2013-E2-10
EM30	marcellapr_20050211.2013-E22-11
EM31	marcellapr_20050211.2013-E3-12
