CE14	rec.travel.cruises_20050216.1636-CE1
CE15	rec.travel.cruises_20050216.1636-CE2
CE16	rec.travel.cruises_20050216.1636-CE3
CE17	rec.travel.cruises_20050216.1636-CE4
CE18	rec.travel.cruises_20050216.1636-CE5
CE19	rec.travel.cruises_20050216.1636-CE6
CE20	rec.travel.cruises_20050216.1636-CE7
CE21	rec.travel.cruises_20050216.1636-CE8
CE22	rec.travel.cruises_20050216.1636-CE9
CE23	rec.travel.cruises_20050216.1636-CE10
CE24	rec.travel.cruises_20050216.1636-CE11
CE25	rec.travel.cruises_20050216.1636-CE12
CE26	rec.travel.cruises_20050216.1636-CE13
CE27	rec.travel.cruises_20050216.1636-CE14
CE28	rec.travel.cruises_20050216.1636-CE15
CE29	rec.travel.cruises_20050216.1636-CE16
CE30	rec.travel.cruises_20050216.1636-CE17
CE31	rec.travel.cruises_20050216.1636-CE18
CE32	rec.travel.cruises_20050216.1636-CE19
CE34	rec.travel.cruises_20050216.1636-CE20
CE35	rec.travel.cruises_20050216.1636-CE21
CE36	rec.travel.cruises_20050216.1636-CE22
CE37	rec.travel.cruises_20050216.1636-CE23
CE38	rec.travel.cruises_20050216.1636-CE24
CE1	rec.travel.cruises_20050216.1636-CE25
CE39	rec.travel.cruises_20050216.1636-CE26
CE40	rec.travel.cruises_20050216.1636-CE27
CE41	rec.travel.cruises_20050216.1636-CE28
CE42	rec.travel.cruises_20050216.1636-CE29
CE43	rec.travel.cruises_20050216.1636-CE30
CE3	rec.travel.cruises_20050216.1636-CE31
CE4	rec.travel.cruises_20050216.1636-CE32
CE5	rec.travel.cruises_20050216.1636-CE33
CE6	rec.travel.cruises_20050216.1636-CE34
CE7	rec.travel.cruises_20050216.1636-CE35
CE8	rec.travel.cruises_20050216.1636-CE36
CE9	rec.travel.cruises_20050216.1636-CE37
CE10	rec.travel.cruises_20050216.1636-CE38
CE11	rec.travel.cruises_20050216.1636-CE39
CE12	rec.travel.cruises_20050216.1636-CE40
E16	rec.travel.cruises_20050216.1636-E1
E17	rec.travel.cruises_20050216.1636-E2
E18	rec.travel.cruises_20050216.1636-E3
E19	rec.travel.cruises_20050216.1636-E4
E20	rec.travel.cruises_20050216.1636-E5
E21	rec.travel.cruises_20050216.1636-E6
E22	rec.travel.cruises_20050216.1636-E7
E23	rec.travel.cruises_20050216.1636-E8
E24	rec.travel.cruises_20050216.1636-E9
E25	rec.travel.cruises_20050216.1636-E10
E26	rec.travel.cruises_20050216.1636-E11
E27	rec.travel.cruises_20050216.1636-E12
E28	rec.travel.cruises_20050216.1636-E13
E29	rec.travel.cruises_20050216.1636-E14
E30	rec.travel.cruises_20050216.1636-E15
E31	rec.travel.cruises_20050216.1636-E16
E32	rec.travel.cruises_20050216.1636-E17
E33	rec.travel.cruises_20050216.1636-E18
E34	rec.travel.cruises_20050216.1636-E19
E35	rec.travel.cruises_20050216.1636-E20
E36	rec.travel.cruises_20050216.1636-E21
E37	rec.travel.cruises_20050216.1636-E22
E38	rec.travel.cruises_20050216.1636-E23
E1	rec.travel.cruises_20050216.1636-E24
E39	rec.travel.cruises_20050216.1636-E25
E40	rec.travel.cruises_20050216.1636-E26
E42	rec.travel.cruises_20050216.1636-E27
E43	rec.travel.cruises_20050216.1636-E28
E44	rec.travel.cruises_20050216.1636-E29
E46	rec.travel.cruises_20050216.1636-E30
E47	rec.travel.cruises_20050216.1636-E31
E48	rec.travel.cruises_20050216.1636-E32
E49	rec.travel.cruises_20050216.1636-E33
E50	rec.travel.cruises_20050216.1636-E34
E51	rec.travel.cruises_20050216.1636-E35
E53	rec.travel.cruises_20050216.1636-E36
E54	rec.travel.cruises_20050216.1636-E37
E55	rec.travel.cruises_20050216.1636-E38
E56	rec.travel.cruises_20050216.1636-E39
E3	rec.travel.cruises_20050216.1636-E40
E4	rec.travel.cruises_20050216.1636-E41
E5	rec.travel.cruises_20050216.1636-E42
E6	rec.travel.cruises_20050216.1636-E43
E7	rec.travel.cruises_20050216.1636-E44
E8	rec.travel.cruises_20050216.1636-E45
E9	rec.travel.cruises_20050216.1636-E46
E10	rec.travel.cruises_20050216.1636-E47
E12	rec.travel.cruises_20050216.1636-E48
E13	rec.travel.cruises_20050216.1636-E49
EM1	rec.travel.cruises_20050216.1636-E24-1
EM18	rec.travel.cruises_20050216.1636-E1-2
EM19	rec.travel.cruises_20050216.1636-E2-3
EM20	rec.travel.cruises_20050216.1636-E3-4
EM21	rec.travel.cruises_20050216.1636-E4-5
EM22	rec.travel.cruises_20050216.1636-E5-6
EM23	rec.travel.cruises_20050216.1636-E6-7
EM24	rec.travel.cruises_20050216.1636-E8-8
EM25	rec.travel.cruises_20050216.1636-E9-9
EM26	rec.travel.cruises_20050216.1636-E49-10
EM27	rec.travel.cruises_20050216.1636-E7-11
EM28	rec.travel.cruises_20050216.1636-E10-12
EM29	rec.travel.cruises_20050216.1636-E11-13
EM30	rec.travel.cruises_20050216.1636-E11-14
EM31	rec.travel.cruises_20050216.1636-E47-15
EM32	rec.travel.cruises_20050216.1636-E47-16
EM33	rec.travel.cruises_20050216.1636-E42-17
EM34	rec.travel.cruises_20050216.1636-E12-18
EM35	rec.travel.cruises_20050216.1636-E13-19
EM36	rec.travel.cruises_20050216.1636-E47-20
EM38	rec.travel.cruises_20050216.1636-E24-21
EM39	rec.travel.cruises_20050216.1636-E14-22
EM40	rec.travel.cruises_20050216.1636-E14-23
EM41	rec.travel.cruises_20050216.1636-E15-24
EM42	rec.travel.cruises_20050216.1636-E15-25
EM43	rec.travel.cruises_20050216.1636-E16-26
EM44	rec.travel.cruises_20050216.1636-E17-27
EM46	rec.travel.cruises_20050216.1636-E18-28
EM47	rec.travel.cruises_20050216.1636-E19-29
EM48	rec.travel.cruises_20050216.1636-E20-30
EM49	rec.travel.cruises_20050216.1636-E14-31
EM50	rec.travel.cruises_20050216.1636-E21-32
EM52	rec.travel.cruises_20050216.1636-E21-33
