CE11	rec.travel.usa-canada_20050128.0121-CE1
CE12	rec.travel.usa-canada_20050128.0121-CE2
CE13	rec.travel.usa-canada_20050128.0121-CE3
CE14	rec.travel.usa-canada_20050128.0121-CE4
CE15	rec.travel.usa-canada_20050128.0121-CE5
CE16	rec.travel.usa-canada_20050128.0121-CE6
CE17	rec.travel.usa-canada_20050128.0121-CE7
CE18	rec.travel.usa-canada_20050128.0121-CE8
CE19	rec.travel.usa-canada_20050128.0121-CE9
CE20	rec.travel.usa-canada_20050128.0121-CE10
CE21	rec.travel.usa-canada_20050128.0121-CE11
CE22	rec.travel.usa-canada_20050128.0121-CE12
CE1	rec.travel.usa-canada_20050128.0121-CE13
CE23	rec.travel.usa-canada_20050128.0121-CE14
CE24	rec.travel.usa-canada_20050128.0121-CE15
CE25	rec.travel.usa-canada_20050128.0121-CE16
CE26	rec.travel.usa-canada_20050128.0121-CE17
CE27	rec.travel.usa-canada_20050128.0121-CE18
CE28	rec.travel.usa-canada_20050128.0121-CE19
CE29	rec.travel.usa-canada_20050128.0121-CE20
CE30	rec.travel.usa-canada_20050128.0121-CE21
CE31	rec.travel.usa-canada_20050128.0121-CE22
CE32	rec.travel.usa-canada_20050128.0121-CE23
CE33	rec.travel.usa-canada_20050128.0121-CE24
CE35	rec.travel.usa-canada_20050128.0121-CE25
CE36	rec.travel.usa-canada_20050128.0121-CE26
CE37	rec.travel.usa-canada_20050128.0121-CE27
CE38	rec.travel.usa-canada_20050128.0121-CE28
CE39	rec.travel.usa-canada_20050128.0121-CE29
CE40	rec.travel.usa-canada_20050128.0121-CE30
CE41	rec.travel.usa-canada_20050128.0121-CE31
CE42	rec.travel.usa-canada_20050128.0121-CE32
CE2	rec.travel.usa-canada_20050128.0121-CE33
CE3	rec.travel.usa-canada_20050128.0121-CE34
CE4	rec.travel.usa-canada_20050128.0121-CE35
CE5	rec.travel.usa-canada_20050128.0121-CE36
CE6	rec.travel.usa-canada_20050128.0121-CE37
CE7	rec.travel.usa-canada_20050128.0121-CE38
CE8	rec.travel.usa-canada_20050128.0121-CE39
CE9	rec.travel.usa-canada_20050128.0121-CE40
CE10	rec.travel.usa-canada_20050128.0121-CE41
E12	rec.travel.usa-canada_20050128.0121-E1
E13	rec.travel.usa-canada_20050128.0121-E2
E14	rec.travel.usa-canada_20050128.0121-E3
E15	rec.travel.usa-canada_20050128.0121-E4
E16	rec.travel.usa-canada_20050128.0121-E5
E17	rec.travel.usa-canada_20050128.0121-E6
E18	rec.travel.usa-canada_20050128.0121-E7
E19	rec.travel.usa-canada_20050128.0121-E8
E20	rec.travel.usa-canada_20050128.0121-E9
E21	rec.travel.usa-canada_20050128.0121-E10
E22	rec.travel.usa-canada_20050128.0121-E11
E23	rec.travel.usa-canada_20050128.0121-E12
E1	rec.travel.usa-canada_20050128.0121-E13
E24	rec.travel.usa-canada_20050128.0121-E14
E25	rec.travel.usa-canada_20050128.0121-E15
E26	rec.travel.usa-canada_20050128.0121-E16
E27	rec.travel.usa-canada_20050128.0121-E17
E28	rec.travel.usa-canada_20050128.0121-E18
E29	rec.travel.usa-canada_20050128.0121-E19
E30	rec.travel.usa-canada_20050128.0121-E20
E31	rec.travel.usa-canada_20050128.0121-E21
E32	rec.travel.usa-canada_20050128.0121-E22
E33	rec.travel.usa-canada_20050128.0121-E23
E34	rec.travel.usa-canada_20050128.0121-E24
E35	rec.travel.usa-canada_20050128.0121-E25
E37	rec.travel.usa-canada_20050128.0121-E26
E38	rec.travel.usa-canada_20050128.0121-E27
E39	rec.travel.usa-canada_20050128.0121-E28
E40	rec.travel.usa-canada_20050128.0121-E29
E41	rec.travel.usa-canada_20050128.0121-E30
E2	rec.travel.usa-canada_20050128.0121-E31
E42	rec.travel.usa-canada_20050128.0121-E32
E43	rec.travel.usa-canada_20050128.0121-E33
E44	rec.travel.usa-canada_20050128.0121-E34
E3	rec.travel.usa-canada_20050128.0121-E35
E4	rec.travel.usa-canada_20050128.0121-E36
E5	rec.travel.usa-canada_20050128.0121-E37
E6	rec.travel.usa-canada_20050128.0121-E38
E7	rec.travel.usa-canada_20050128.0121-E39
E8	rec.travel.usa-canada_20050128.0121-E40
E9	rec.travel.usa-canada_20050128.0121-E41
E10	rec.travel.usa-canada_20050128.0121-E42
E11	rec.travel.usa-canada_20050128.0121-E43
EM1	rec.travel.usa-canada_20050128.0121-E13-1
EM21	rec.travel.usa-canada_20050128.0121-E43-2
EM22	rec.travel.usa-canada_20050128.0121-E1-3
EM23	rec.travel.usa-canada_20050128.0121-E43-4
EM24	rec.travel.usa-canada_20050128.0121-E43-5
EM25	rec.travel.usa-canada_20050128.0121-E1-6
EM26	rec.travel.usa-canada_20050128.0121-E43-7
EM27	rec.travel.usa-canada_20050128.0121-E1-8
EM28	rec.travel.usa-canada_20050128.0121-E2-9
EM29	rec.travel.usa-canada_20050128.0121-E3-10
EM30	rec.travel.usa-canada_20050128.0121-E2-11
EM31	rec.travel.usa-canada_20050128.0121-E2-12
EM32	rec.travel.usa-canada_20050128.0121-E4-13
EM33	rec.travel.usa-canada_20050128.0121-E5-14
EM34	rec.travel.usa-canada_20050128.0121-E2-15
EM35	rec.travel.usa-canada_20050128.0121-E2-16
EM36	rec.travel.usa-canada_20050128.0121-E2-17
EM37	rec.travel.usa-canada_20050128.0121-E6-18
EM38	rec.travel.usa-canada_20050128.0121-E3-19
EM39	rec.travel.usa-canada_20050128.0121-E6-20
EM41	rec.travel.usa-canada_20050128.0121-E8-21
EM42	rec.travel.usa-canada_20050128.0121-E43-22
EM43	rec.travel.usa-canada_20050128.0121-E9-23
EM44	rec.travel.usa-canada_20050128.0121-E6-24
EM45	rec.travel.usa-canada_20050128.0121-E43-25
EM46	rec.travel.usa-canada_20050128.0121-E9-26
EM47	rec.travel.usa-canada_20050128.0121-E1-27
EM48	rec.travel.usa-canada_20050128.0121-E43-28
EM49	rec.travel.usa-canada_20050128.0121-E35-29
EM50	rec.travel.usa-canada_20050128.0121-E6-30
EM51	rec.travel.usa-canada_20050128.0121-E10-31
EM53	rec.travel.usa-canada_20050128.0121-E6-32
EM54	rec.travel.usa-canada_20050128.0121-E9-33
EM55	rec.travel.usa-canada_20050128.0121-E9-34
EM56	rec.travel.usa-canada_20050128.0121-E43-35
EM57	rec.travel.usa-canada_20050128.0121-E9-36
EM58	rec.travel.usa-canada_20050128.0121-E31-37
EM59	rec.travel.usa-canada_20050128.0121-E31-38
EM60	rec.travel.usa-canada_20050128.0121-E11-39
EM61	rec.travel.usa-canada_20050128.0121-E11-40
EM62	rec.travel.usa-canada_20050128.0121-E12-41
EM63	rec.travel.usa-canada_20050128.0121-E31-42
EM64	rec.travel.usa-canada_20050128.0121-E42-43
EM65	rec.travel.usa-canada_20050128.0121-E42-44
EM66	rec.travel.usa-canada_20050128.0121-E9-45
EM67	rec.travel.usa-canada_20050128.0121-E42-46
EM68	rec.travel.usa-canada_20050128.0121-E42-47
EM69	rec.travel.usa-canada_20050128.0121-E42-48
EM70	rec.travel.usa-canada_20050128.0121-E14-49
EM71	rec.travel.usa-canada_20050128.0121-E31-50
EM72	rec.travel.usa-canada_20050128.0121-E31-51
EM73	rec.travel.usa-canada_20050128.0121-E42-52
EM74	rec.travel.usa-canada_20050128.0121-E42-53
EM75	rec.travel.usa-canada_20050128.0121-E31-54
EM76	rec.travel.usa-canada_20050128.0121-E31-55
EM77	rec.travel.usa-canada_20050128.0121-E31-56
EM78	rec.travel.usa-canada_20050128.0121-E42-57
EM79	rec.travel.usa-canada_20050128.0121-E31-58
EM80	rec.travel.usa-canada_20050128.0121-E31-59
EM81	rec.travel.usa-canada_20050128.0121-E31-60
EM82	rec.travel.usa-canada_20050128.0121-E31-61
EM83	rec.travel.usa-canada_20050128.0121-E31-62
EM84	rec.travel.usa-canada_20050128.0121-E31-63
EM85	rec.travel.usa-canada_20050128.0121-E31-64
EM86	rec.travel.usa-canada_20050128.0121-E31-65
EM87	rec.travel.usa-canada_20050128.0121-E31-66
EM88	rec.travel.usa-canada_20050128.0121-E31-67
EM89	rec.travel.usa-canada_20050128.0121-E31-68
EM90	rec.travel.usa-canada_20050128.0121-E31-69
EM91	rec.travel.usa-canada_20050128.0121-E31-70
EM92	rec.travel.usa-canada_20050128.0121-E31-71
EM93	rec.travel.usa-canada_20050128.0121-E31-72
EM94	rec.travel.usa-canada_20050128.0121-E31-73
EM95	rec.travel.usa-canada_20050128.0121-E42-74
EM96	rec.travel.usa-canada_20050128.0121-E42-75
EM97	rec.travel.usa-canada_20050128.0121-E42-76
EM98	rec.travel.usa-canada_20050128.0121-E42-77
EM100	rec.travel.usa-canada_20050128.0121-E42-78
EM101	rec.travel.usa-canada_20050128.0121-E15-79
EM102	rec.travel.usa-canada_20050128.0121-E43-80
EM103	rec.travel.usa-canada_20050128.0121-E1-81
EM104	rec.travel.usa-canada_20050128.0121-E43-82
EM105	rec.travel.usa-canada_20050128.0121-E16-83
EM106	rec.travel.usa-canada_20050128.0121-E17-84
EM107	rec.travel.usa-canada_20050128.0121-E18-85
EM108	rec.travel.usa-canada_20050128.0121-E19-86
EM109	rec.travel.usa-canada_20050128.0121-E20-87
EM110	rec.travel.usa-canada_20050128.0121-E41-88
EM111	rec.travel.usa-canada_20050128.0121-E21-89
EM112	rec.travel.usa-canada_20050128.0121-E36-90
EM113	rec.travel.usa-canada_20050128.0121-E41-91
EM114	rec.travel.usa-canada_20050128.0121-E31-92
EM115	rec.travel.usa-canada_20050128.0121-E31-93
EM116	rec.travel.usa-canada_20050128.0121-E31-94
EM117	rec.travel.usa-canada_20050128.0121-E42-95
EM118	rec.travel.usa-canada_20050128.0121-E31-96
EM119	rec.travel.usa-canada_20050128.0121-E31-97
EM120	rec.travel.usa-canada_20050128.0121-E31-98
EM121	rec.travel.usa-canada_20050128.0121-E31-99
EM122	rec.travel.usa-canada_20050128.0121-E31-100
EM2	rec.travel.usa-canada_20050128.0121-E31-101
EM124	rec.travel.usa-canada_20050128.0121-E31-102
EM125	rec.travel.usa-canada_20050128.0121-E22-103
EM126	rec.travel.usa-canada_20050128.0121-E22-104
