CE12	soc.culture.hmong_20050210.1130-CE1
CE13	soc.culture.hmong_20050210.1130-CE2
CE14	soc.culture.hmong_20050210.1130-CE3
CE15	soc.culture.hmong_20050210.1130-CE4
CE16	soc.culture.hmong_20050210.1130-CE5
CE18	soc.culture.hmong_20050210.1130-CE6
CE19	soc.culture.hmong_20050210.1130-CE7
CE20	soc.culture.hmong_20050210.1130-CE8
CE21	soc.culture.hmong_20050210.1130-CE9
CE22	soc.culture.hmong_20050210.1130-CE10
CE23	soc.culture.hmong_20050210.1130-CE11
CE24	soc.culture.hmong_20050210.1130-CE12
CE25	soc.culture.hmong_20050210.1130-CE13
CE26	soc.culture.hmong_20050210.1130-CE14
CE27	soc.culture.hmong_20050210.1130-CE15
CE28	soc.culture.hmong_20050210.1130-CE16
CE29	soc.culture.hmong_20050210.1130-CE17
CE30	soc.culture.hmong_20050210.1130-CE18
CE32	soc.culture.hmong_20050210.1130-CE19
CE1	soc.culture.hmong_20050210.1130-CE20
CE33	soc.culture.hmong_20050210.1130-CE21
CE34	soc.culture.hmong_20050210.1130-CE22
CE35	soc.culture.hmong_20050210.1130-CE23
CE36	soc.culture.hmong_20050210.1130-CE24
CE37	soc.culture.hmong_20050210.1130-CE25
CE38	soc.culture.hmong_20050210.1130-CE26
CE39	soc.culture.hmong_20050210.1130-CE27
CE40	soc.culture.hmong_20050210.1130-CE28
CE41	soc.culture.hmong_20050210.1130-CE29
CE42	soc.culture.hmong_20050210.1130-CE30
CE43	soc.culture.hmong_20050210.1130-CE31
CE44	soc.culture.hmong_20050210.1130-CE32
CE45	soc.culture.hmong_20050210.1130-CE33
CE47	soc.culture.hmong_20050210.1130-CE34
CE48	soc.culture.hmong_20050210.1130-CE35
CE49	soc.culture.hmong_20050210.1130-CE36
CE50	soc.culture.hmong_20050210.1130-CE37
CE51	soc.culture.hmong_20050210.1130-CE38
CE52	soc.culture.hmong_20050210.1130-CE39
CE53	soc.culture.hmong_20050210.1130-CE40
CE54	soc.culture.hmong_20050210.1130-CE41
CE55	soc.culture.hmong_20050210.1130-CE42
CE2	soc.culture.hmong_20050210.1130-CE43
CE4	soc.culture.hmong_20050210.1130-CE44
CE17	soc.culture.hmong_20050210.1130-CE45
CE6	soc.culture.hmong_20050210.1130-CE46
CE7	soc.culture.hmong_20050210.1130-CE47
CE8	soc.culture.hmong_20050210.1130-CE48
CE9	soc.culture.hmong_20050210.1130-CE49
CE10	soc.culture.hmong_20050210.1130-CE50
CE11	soc.culture.hmong_20050210.1130-CE51
E13	soc.culture.hmong_20050210.1130-E1
E14	soc.culture.hmong_20050210.1130-E2
