CE10	soc.culture.iraq_20050211.0445-CE1
CE11	soc.culture.iraq_20050211.0445-CE2
CE12	soc.culture.iraq_20050211.0445-CE3
CE13	soc.culture.iraq_20050211.0445-CE4
CE14	soc.culture.iraq_20050211.0445-CE5
CE15	soc.culture.iraq_20050211.0445-CE6
CE16	soc.culture.iraq_20050211.0445-CE7
CE17	soc.culture.iraq_20050211.0445-CE8
CE18	soc.culture.iraq_20050211.0445-CE9
CE19	soc.culture.iraq_20050211.0445-CE10
CE20	soc.culture.iraq_20050211.0445-CE11
CE21	soc.culture.iraq_20050211.0445-CE12
CE22	soc.culture.iraq_20050211.0445-CE13
CE23	soc.culture.iraq_20050211.0445-CE14
CE24	soc.culture.iraq_20050211.0445-CE15
CE25	soc.culture.iraq_20050211.0445-CE16
CE1	soc.culture.iraq_20050211.0445-CE17
CE26	soc.culture.iraq_20050211.0445-CE18
CE27	soc.culture.iraq_20050211.0445-CE19
CE28	soc.culture.iraq_20050211.0445-CE20
CE29	soc.culture.iraq_20050211.0445-CE21
CE30	soc.culture.iraq_20050211.0445-CE22
CE31	soc.culture.iraq_20050211.0445-CE23
CE32	soc.culture.iraq_20050211.0445-CE24
CE33	soc.culture.iraq_20050211.0445-CE25
CE34	soc.culture.iraq_20050211.0445-CE26
CE35	soc.culture.iraq_20050211.0445-CE27
CE36	soc.culture.iraq_20050211.0445-CE28
CE37	soc.culture.iraq_20050211.0445-CE29
CE38	soc.culture.iraq_20050211.0445-CE30
CE39	soc.culture.iraq_20050211.0445-CE31
CE40	soc.culture.iraq_20050211.0445-CE32
CE2	soc.culture.iraq_20050211.0445-CE33
CE41	soc.culture.iraq_20050211.0445-CE34
CE3	soc.culture.iraq_20050211.0445-CE35
CE4	soc.culture.iraq_20050211.0445-CE36
CE5	soc.culture.iraq_20050211.0445-CE37
CE6	soc.culture.iraq_20050211.0445-CE38
CE7	soc.culture.iraq_20050211.0445-CE39
CE8	soc.culture.iraq_20050211.0445-CE40
CE9	soc.culture.iraq_20050211.0445-CE41
E12	soc.culture.iraq_20050211.0445-E1
E14	soc.culture.iraq_20050211.0445-E2
E15	soc.culture.iraq_20050211.0445-E3
E16	soc.culture.iraq_20050211.0445-E4
E17	soc.culture.iraq_20050211.0445-E5
E18	soc.culture.iraq_20050211.0445-E6
E19	soc.culture.iraq_20050211.0445-E7
E20	soc.culture.iraq_20050211.0445-E8
E21	soc.culture.iraq_20050211.0445-E9
E22	soc.culture.iraq_20050211.0445-E10
E23	soc.culture.iraq_20050211.0445-E11
E24	soc.culture.iraq_20050211.0445-E12
E25	soc.culture.iraq_20050211.0445-E13
E26	soc.culture.iraq_20050211.0445-E14
E27	soc.culture.iraq_20050211.0445-E15
E1	soc.culture.iraq_20050211.0445-E16
E28	soc.culture.iraq_20050211.0445-E17
E29	soc.culture.iraq_20050211.0445-E18
E30	soc.culture.iraq_20050211.0445-E19
E31	soc.culture.iraq_20050211.0445-E20
E32	soc.culture.iraq_20050211.0445-E21
E33	soc.culture.iraq_20050211.0445-E22
E34	soc.culture.iraq_20050211.0445-E23
E35	soc.culture.iraq_20050211.0445-E24
E36	soc.culture.iraq_20050211.0445-E25
E37	soc.culture.iraq_20050211.0445-E26
E38	soc.culture.iraq_20050211.0445-E27
E39	soc.culture.iraq_20050211.0445-E28
E40	soc.culture.iraq_20050211.0445-E29
E41	soc.culture.iraq_20050211.0445-E30
E42	soc.culture.iraq_20050211.0445-E31
E44	soc.culture.iraq_20050211.0445-E32
E46	soc.culture.iraq_20050211.0445-E33
E47	soc.culture.iraq_20050211.0445-E34
E48	soc.culture.iraq_20050211.0445-E35
E49	soc.culture.iraq_20050211.0445-E36
E50	soc.culture.iraq_20050211.0445-E37
E51	soc.culture.iraq_20050211.0445-E38
E52	soc.culture.iraq_20050211.0445-E39
E53	soc.culture.iraq_20050211.0445-E40
E55	soc.culture.iraq_20050211.0445-E41
E56	soc.culture.iraq_20050211.0445-E42
E2	soc.culture.iraq_20050211.0445-E43
E57	soc.culture.iraq_20050211.0445-E44
E3	soc.culture.iraq_20050211.0445-E45
E4	soc.culture.iraq_20050211.0445-E46
E5	soc.culture.iraq_20050211.0445-E47
E6	soc.culture.iraq_20050211.0445-E48
E7	soc.culture.iraq_20050211.0445-E49
E8	soc.culture.iraq_20050211.0445-E50
E9	soc.culture.iraq_20050211.0445-E51
E10	soc.culture.iraq_20050211.0445-E52
E11	soc.culture.iraq_20050211.0445-E53
EM1	soc.culture.iraq_20050211.0445-E16-1
EM20	soc.culture.iraq_20050211.0445-E1-2
EM21	soc.culture.iraq_20050211.0445-E43-3
EM22	soc.culture.iraq_20050211.0445-E50-4
EM23	soc.culture.iraq_20050211.0445-E2-5
EM24	soc.culture.iraq_20050211.0445-E3-6
EM25	soc.culture.iraq_20050211.0445-E50-7
EM26	soc.culture.iraq_20050211.0445-E4-8
EM27	soc.culture.iraq_20050211.0445-E43-9
EM28	soc.culture.iraq_20050211.0445-E49-10
EM29	soc.culture.iraq_20050211.0445-E43-11
EM30	soc.culture.iraq_20050211.0445-E49-12
EM31	soc.culture.iraq_20050211.0445-E43-13
EM32	soc.culture.iraq_20050211.0445-E50-14
EM33	soc.culture.iraq_20050211.0445-E5-15
EM34	soc.culture.iraq_20050211.0445-E6-16
EM35	soc.culture.iraq_20050211.0445-E6-17
EM36	soc.culture.iraq_20050211.0445-E7-18
EM37	soc.culture.iraq_20050211.0445-E4-19
EM38	soc.culture.iraq_20050211.0445-E50-20
EM39	soc.culture.iraq_20050211.0445-E49-21
EM40	soc.culture.iraq_20050211.0445-E49-22
EM41	soc.culture.iraq_20050211.0445-E49-23
EM42	soc.culture.iraq_20050211.0445-E50-24
EM43	soc.culture.iraq_20050211.0445-E50-25
EM44	soc.culture.iraq_20050211.0445-E43-26
EM45	soc.culture.iraq_20050211.0445-E8-27
EM46	soc.culture.iraq_20050211.0445-E9-28
EM47	soc.culture.iraq_20050211.0445-E10-29
EM48	soc.culture.iraq_20050211.0445-E50-30
EM49	soc.culture.iraq_20050211.0445-E50-31
EM50	soc.culture.iraq_20050211.0445-E11-32
EM51	soc.culture.iraq_20050211.0445-E16-33
EM52	soc.culture.iraq_20050211.0445-E43-34
EM53	soc.culture.iraq_20050211.0445-E16-35
EM54	soc.culture.iraq_20050211.0445-E49-36
EM55	soc.culture.iraq_20050211.0445-E49-37
EM56	soc.culture.iraq_20050211.0445-E12-38
EM57	soc.culture.iraq_20050211.0445-E49-39
EM58	soc.culture.iraq_20050211.0445-E43-40
EM59	soc.culture.iraq_20050211.0445-E43-41
EM60	soc.culture.iraq_20050211.0445-E50-42
EM61	soc.culture.iraq_20050211.0445-E53-43
EM62	soc.culture.iraq_20050211.0445-E13-44
EM63	soc.culture.iraq_20050211.0445-E14-45
EM64	soc.culture.iraq_20050211.0445-E14-46
EM65	soc.culture.iraq_20050211.0445-E43-47
EM66	soc.culture.iraq_20050211.0445-E43-48
EM67	soc.culture.iraq_20050211.0445-E15-49
EM68	soc.culture.iraq_20050211.0445-E14-50
EM69	soc.culture.iraq_20050211.0445-E14-51
EM70	soc.culture.iraq_20050211.0445-E50-52
EM71	soc.culture.iraq_20050211.0445-E17-53
EM72	soc.culture.iraq_20050211.0445-E50-54
EM73	soc.culture.iraq_20050211.0445-E49-55
EM74	soc.culture.iraq_20050211.0445-E18-56
EM75	soc.culture.iraq_20050211.0445-E19-57
EM76	soc.culture.iraq_20050211.0445-E4-58
EM77	soc.culture.iraq_20050211.0445-E4-59
EM78	soc.culture.iraq_20050211.0445-E20-60
EM79	soc.culture.iraq_20050211.0445-E43-61
EM80	soc.culture.iraq_20050211.0445-E21-62
EM81	soc.culture.iraq_20050211.0445-E50-63
EM82	soc.culture.iraq_20050211.0445-E49-64
EM83	soc.culture.iraq_20050211.0445-E52-65
EM84	soc.culture.iraq_20050211.0445-E22-66
EM85	soc.culture.iraq_20050211.0445-E23-67
EM86	soc.culture.iraq_20050211.0445-E23-68
EM87	soc.culture.iraq_20050211.0445-E49-69
EM88	soc.culture.iraq_20050211.0445-E24-70
EM89	soc.culture.iraq_20050211.0445-E50-71
EM90	soc.culture.iraq_20050211.0445-E25-72
EM91	soc.culture.iraq_20050211.0445-E26-73
EM92	soc.culture.iraq_20050211.0445-E50-74
EM93	soc.culture.iraq_20050211.0445-E50-75
EM94	soc.culture.iraq_20050211.0445-E49-76
EM95	soc.culture.iraq_20050211.0445-E27-77
EM96	soc.culture.iraq_20050211.0445-E28-78
EM97	soc.culture.iraq_20050211.0445-E29-79
EM98	soc.culture.iraq_20050211.0445-E29-80
EM99	soc.culture.iraq_20050211.0445-E30-81
EM100	soc.culture.iraq_20050211.0445-E50-82
EM101	soc.culture.iraq_20050211.0445-E31-83
EM102	soc.culture.iraq_20050211.0445-E32-84
EM103	soc.culture.iraq_20050211.0445-E33-85
EM104	soc.culture.iraq_20050211.0445-E34-86
EM105	soc.culture.iraq_20050211.0445-E49-87
EM106	soc.culture.iraq_20050211.0445-E31-88
EM107	soc.culture.iraq_20050211.0445-E50-89
EM108	soc.culture.iraq_20050211.0445-E35-90
EM2	soc.culture.iraq_20050211.0445-E43-91
EM109	soc.culture.iraq_20050211.0445-E36-92
EM110	soc.culture.iraq_20050211.0445-E37-93
EM111	soc.culture.iraq_20050211.0445-E38-94
EM112	soc.culture.iraq_20050211.0445-E43-95
EM113	soc.culture.iraq_20050211.0445-E39-96
EM114	soc.culture.iraq_20050211.0445-E43-97
EM115	soc.culture.iraq_20050211.0445-E40-98
EM116	soc.culture.iraq_20050211.0445-E40-99
EM117	soc.culture.iraq_20050211.0445-E53-100
EM118	soc.culture.iraq_20050211.0445-E53-101
EM119	soc.culture.iraq_20050211.0445-E41-102
EM120	soc.culture.iraq_20050211.0445-E42-103
EM121	soc.culture.iraq_20050211.0445-E49-104
EM122	soc.culture.iraq_20050211.0445-E44-105
EM3	soc.culture.iraq_20050211.0445-E45-106
EM4	soc.culture.iraq_20050211.0445-E43-107
EM5	soc.culture.iraq_20050211.0445-E43-108
EM6	soc.culture.iraq_20050211.0445-E46-109
EM7	soc.culture.iraq_20050211.0445-E46-110
EM8	soc.culture.iraq_20050211.0445-E47-111
EM9	soc.culture.iraq_20050211.0445-E48-112
EM10	soc.culture.iraq_20050211.0445-E43-113
EM11	soc.culture.iraq_20050211.0445-E43-114
EM12	soc.culture.iraq_20050211.0445-E49-115
EM13	soc.culture.iraq_20050211.0445-E51-116
EM14	soc.culture.iraq_20050211.0445-E52-117
EM15	soc.culture.iraq_20050211.0445-E49-118
EM16	soc.culture.iraq_20050211.0445-E49-119
EM17	soc.culture.iraq_20050211.0445-E53-120
EM19	soc.culture.iraq_20050211.0445-E43-121
R1	soc.culture.iraq_20050211.0445-R1
R2	soc.culture.iraq_20050211.0445-R2
R3	soc.culture.iraq_20050211.0445-R3
R4	soc.culture.iraq_20050211.0445-R4
R5	soc.culture.iraq_20050211.0445-R5
R6	soc.culture.iraq_20050211.0445-R6
R7	soc.culture.iraq_20050211.0445-R7
R8	soc.culture.iraq_20050211.0445-R8
RM1	soc.culture.iraq_20050211.0445-R1-1
RM2	soc.culture.iraq_20050211.0445-R2-1
RM3	soc.culture.iraq_20050211.0445-R3-1
RM4	soc.culture.iraq_20050211.0445-R4-1
RM5	soc.culture.iraq_20050211.0445-R5-1
RM6	soc.culture.iraq_20050211.0445-R6-1
RM7	soc.culture.iraq_20050211.0445-R7-1
RM8	soc.culture.iraq_20050211.0445-R8-1
V1	soc.culture.iraq_20050211.0445-EV1
V3	soc.culture.iraq_20050211.0445-EV2
V4	soc.culture.iraq_20050211.0445-EV3
V6	soc.culture.iraq_20050211.0445-EV4
V9	soc.culture.iraq_20050211.0445-EV5
V11	soc.culture.iraq_20050211.0445-EV6
V12	soc.culture.iraq_20050211.0445-EV7
V14	soc.culture.iraq_20050211.0445-EV8
V17	soc.culture.iraq_20050211.0445-EV9
V18	soc.culture.iraq_20050211.0445-EV10
VM1	soc.culture.iraq_20050211.0445-EV1-1
VM3	soc.culture.iraq_20050211.0445-EV2-1
VM6	soc.culture.iraq_20050211.0445-EV2-2
VM7	soc.culture.iraq_20050211.0445-EV2-3
VM8	soc.culture.iraq_20050211.0445-EV3-1
VM9	soc.culture.iraq_20050211.0445-EV4-1
VM10	soc.culture.iraq_20050211.0445-EV2-4
VM11	soc.culture.iraq_20050211.0445-EV2-5
VM12	soc.culture.iraq_20050211.0445-EV2-6
VM15	soc.culture.iraq_20050211.0445-EV5-1
VM14	soc.culture.iraq_20050211.0445-EV5-2
VM13	soc.culture.iraq_20050211.0445-EV6-1
VM16	soc.culture.iraq_20050211.0445-EV7-1
VM18	soc.culture.iraq_20050211.0445-EV8-1
VM19	soc.culture.iraq_20050211.0445-EV2-7
VM20	soc.culture.iraq_20050211.0445-EV2-8
VM21	soc.culture.iraq_20050211.0445-EV2-9
VM22	soc.culture.iraq_20050211.0445-EV2-10
VM23	soc.culture.iraq_20050211.0445-EV9-1
VM24	soc.culture.iraq_20050211.0445-EV10-1
VM25	soc.culture.iraq_20050211.0445-EV2-11
Q1	soc.culture.iraq_20050211.0445-T1
Q2	soc.culture.iraq_20050211.0445-T2
Q3	soc.culture.iraq_20050211.0445-T3
Q5	soc.culture.iraq_20050211.0445-T4
Q6	soc.culture.iraq_20050211.0445-T5
Q7	soc.culture.iraq_20050211.0445-T6
Q8	soc.culture.iraq_20050211.0445-T7
Q9	soc.culture.iraq_20050211.0445-T8
Q10	soc.culture.iraq_20050211.0445-T9
Q11	soc.culture.iraq_20050211.0445-V1
Q12	soc.culture.iraq_20050211.0445-V2
QM11	soc.culture.iraq_20050211.0445-V1-1
QM12	soc.culture.iraq_20050211.0445-V2-1
