CE14	soc.culture.jewish_20050130.2105-CE1
CE15	soc.culture.jewish_20050130.2105-CE2
CE16	soc.culture.jewish_20050130.2105-CE3
CE17	soc.culture.jewish_20050130.2105-CE4
CE18	soc.culture.jewish_20050130.2105-CE5
CE19	soc.culture.jewish_20050130.2105-CE6
CE20	soc.culture.jewish_20050130.2105-CE7
CE21	soc.culture.jewish_20050130.2105-CE8
CE22	soc.culture.jewish_20050130.2105-CE9
CE23	soc.culture.jewish_20050130.2105-CE10
CE24	soc.culture.jewish_20050130.2105-CE11
CE25	soc.culture.jewish_20050130.2105-CE12
CE26	soc.culture.jewish_20050130.2105-CE13
CE27	soc.culture.jewish_20050130.2105-CE14
CE28	soc.culture.jewish_20050130.2105-CE15
CE29	soc.culture.jewish_20050130.2105-CE16
CE30	soc.culture.jewish_20050130.2105-CE17
CE31	soc.culture.jewish_20050130.2105-CE18
CE32	soc.culture.jewish_20050130.2105-CE19
CE33	soc.culture.jewish_20050130.2105-CE20
CE34	soc.culture.jewish_20050130.2105-CE21
CE1	soc.culture.jewish_20050130.2105-CE22
CE4	soc.culture.jewish_20050130.2105-CE23
CE5	soc.culture.jewish_20050130.2105-CE24
CE6	soc.culture.jewish_20050130.2105-CE25
CE7	soc.culture.jewish_20050130.2105-CE26
CE8	soc.culture.jewish_20050130.2105-CE27
CE9	soc.culture.jewish_20050130.2105-CE28
CE10	soc.culture.jewish_20050130.2105-CE29
CE11	soc.culture.jewish_20050130.2105-CE30
CE12	soc.culture.jewish_20050130.2105-CE31
CE13	soc.culture.jewish_20050130.2105-CE32
E17	soc.culture.jewish_20050130.2105-E1
E18	soc.culture.jewish_20050130.2105-E2
E19	soc.culture.jewish_20050130.2105-E3
E20	soc.culture.jewish_20050130.2105-E4
E21	soc.culture.jewish_20050130.2105-E5
E22	soc.culture.jewish_20050130.2105-E6
E23	soc.culture.jewish_20050130.2105-E7
E24	soc.culture.jewish_20050130.2105-E8
E25	soc.culture.jewish_20050130.2105-E9
E27	soc.culture.jewish_20050130.2105-E10
E28	soc.culture.jewish_20050130.2105-E11
E29	soc.culture.jewish_20050130.2105-E12
E30	soc.culture.jewish_20050130.2105-E13
E31	soc.culture.jewish_20050130.2105-E14
E32	soc.culture.jewish_20050130.2105-E15
E33	soc.culture.jewish_20050130.2105-E16
E34	soc.culture.jewish_20050130.2105-E17
E35	soc.culture.jewish_20050130.2105-E18
E36	soc.culture.jewish_20050130.2105-E19
E37	soc.culture.jewish_20050130.2105-E20
E38	soc.culture.jewish_20050130.2105-E21
E39	soc.culture.jewish_20050130.2105-E22
E40	soc.culture.jewish_20050130.2105-E23
E41	soc.culture.jewish_20050130.2105-E24
E42	soc.culture.jewish_20050130.2105-E25
E43	soc.culture.jewish_20050130.2105-E26
