CE14	talk.politics.misc_20050216.1337-CE1
CE15	talk.politics.misc_20050216.1337-CE2
CE16	talk.politics.misc_20050216.1337-CE3
CE17	talk.politics.misc_20050216.1337-CE4
CE18	talk.politics.misc_20050216.1337-CE5
CE19	talk.politics.misc_20050216.1337-CE6
CE20	talk.politics.misc_20050216.1337-CE7
CE21	talk.politics.misc_20050216.1337-CE8
CE22	talk.politics.misc_20050216.1337-CE9
CE23	talk.politics.misc_20050216.1337-CE10
CE24	talk.politics.misc_20050216.1337-CE11
CE25	talk.politics.misc_20050216.1337-CE12
CE26	talk.politics.misc_20050216.1337-CE13
CE27	talk.politics.misc_20050216.1337-CE14
CE28	talk.politics.misc_20050216.1337-CE15
CE1	talk.politics.misc_20050216.1337-CE16
CE2	talk.politics.misc_20050216.1337-CE17
CE3	talk.politics.misc_20050216.1337-CE18
CE5	talk.politics.misc_20050216.1337-CE19
CE6	talk.politics.misc_20050216.1337-CE20
CE7	talk.politics.misc_20050216.1337-CE21
CE8	talk.politics.misc_20050216.1337-CE22
CE9	talk.politics.misc_20050216.1337-CE23
CE10	talk.politics.misc_20050216.1337-CE24
CE11	talk.politics.misc_20050216.1337-CE25
CE12	talk.politics.misc_20050216.1337-CE26
CE13	talk.politics.misc_20050216.1337-CE27
E18	talk.politics.misc_20050216.1337-E1
E19	talk.politics.misc_20050216.1337-E2
E20	talk.politics.misc_20050216.1337-E3
E21	talk.politics.misc_20050216.1337-E4
E22	talk.politics.misc_20050216.1337-E5
E24	talk.politics.misc_20050216.1337-E6
E25	talk.politics.misc_20050216.1337-E7
E26	talk.politics.misc_20050216.1337-E8
E27	talk.politics.misc_20050216.1337-E9
E28	talk.politics.misc_20050216.1337-E10
E29	talk.politics.misc_20050216.1337-E11
E30	talk.politics.misc_20050216.1337-E12
E31	talk.politics.misc_20050216.1337-E13
E32	talk.politics.misc_20050216.1337-E14
E33	talk.politics.misc_20050216.1337-E15
E35	talk.politics.misc_20050216.1337-E16
E36	talk.politics.misc_20050216.1337-E17
E1	talk.politics.misc_20050216.1337-E18
E2	talk.politics.misc_20050216.1337-E19
E3	talk.politics.misc_20050216.1337-E20
E4	talk.politics.misc_20050216.1337-E21
E8	talk.politics.misc_20050216.1337-E22
E9	talk.politics.misc_20050216.1337-E23
E10	talk.politics.misc_20050216.1337-E24
E11	talk.politics.misc_20050216.1337-E25
E12	talk.politics.misc_20050216.1337-E26
E13	talk.politics.misc_20050216.1337-E27
E14	talk.politics.misc_20050216.1337-E28
E15	talk.politics.misc_20050216.1337-E29
E16	talk.politics.misc_20050216.1337-E30
E17	talk.politics.misc_20050216.1337-E31
EM1	talk.politics.misc_20050216.1337-E18-1
EM16	talk.politics.misc_20050216.1337-E28-2
EM17	talk.politics.misc_20050216.1337-E1-3
EM18	talk.politics.misc_20050216.1337-E2-4
EM19	talk.politics.misc_20050216.1337-E3-5
EM20	talk.politics.misc_20050216.1337-E27-6
EM21	talk.politics.misc_20050216.1337-E4-7
EM22	talk.politics.misc_20050216.1337-E5-8
EM23	talk.politics.misc_20050216.1337-E6-9
EM24	talk.politics.misc_20050216.1337-E7-10
EM25	talk.politics.misc_20050216.1337-E7-11
EM26	talk.politics.misc_20050216.1337-E27-12
