CE12	uk.gay-lesbian-bi_20050127.0311-CE1
CE14	uk.gay-lesbian-bi_20050127.0311-CE2
CE15	uk.gay-lesbian-bi_20050127.0311-CE3
CE16	uk.gay-lesbian-bi_20050127.0311-CE4
CE17	uk.gay-lesbian-bi_20050127.0311-CE5
CE18	uk.gay-lesbian-bi_20050127.0311-CE6
CE19	uk.gay-lesbian-bi_20050127.0311-CE7
CE20	uk.gay-lesbian-bi_20050127.0311-CE8
CE21	uk.gay-lesbian-bi_20050127.0311-CE9
CE23	uk.gay-lesbian-bi_20050127.0311-CE10
CE25	uk.gay-lesbian-bi_20050127.0311-CE11
CE26	uk.gay-lesbian-bi_20050127.0311-CE12
CE27	uk.gay-lesbian-bi_20050127.0311-CE13
CE28	uk.gay-lesbian-bi_20050127.0311-CE14
CE29	uk.gay-lesbian-bi_20050127.0311-CE15
CE30	uk.gay-lesbian-bi_20050127.0311-CE16
CE31	uk.gay-lesbian-bi_20050127.0311-CE17
CE32	uk.gay-lesbian-bi_20050127.0311-CE18
CE33	uk.gay-lesbian-bi_20050127.0311-CE19
CE34	uk.gay-lesbian-bi_20050127.0311-CE20
CE35	uk.gay-lesbian-bi_20050127.0311-CE21
CE36	uk.gay-lesbian-bi_20050127.0311-CE22
CE37	uk.gay-lesbian-bi_20050127.0311-CE23
CE38	uk.gay-lesbian-bi_20050127.0311-CE24
CE39	uk.gay-lesbian-bi_20050127.0311-CE25
CE40	uk.gay-lesbian-bi_20050127.0311-CE26
CE41	uk.gay-lesbian-bi_20050127.0311-CE27
CE42	uk.gay-lesbian-bi_20050127.0311-CE28
CE43	uk.gay-lesbian-bi_20050127.0311-CE29
CE44	uk.gay-lesbian-bi_20050127.0311-CE30
CE45	uk.gay-lesbian-bi_20050127.0311-CE31
CE46	uk.gay-lesbian-bi_20050127.0311-CE32
CE47	uk.gay-lesbian-bi_20050127.0311-CE33
CE48	uk.gay-lesbian-bi_20050127.0311-CE34
CE49	uk.gay-lesbian-bi_20050127.0311-CE35
CE50	uk.gay-lesbian-bi_20050127.0311-CE36
CE52	uk.gay-lesbian-bi_20050127.0311-CE37
CE53	uk.gay-lesbian-bi_20050127.0311-CE38
CE54	uk.gay-lesbian-bi_20050127.0311-CE39
CE55	uk.gay-lesbian-bi_20050127.0311-CE40
CE56	uk.gay-lesbian-bi_20050127.0311-CE41
CE57	uk.gay-lesbian-bi_20050127.0311-CE42
CE58	uk.gay-lesbian-bi_20050127.0311-CE43
CE1	uk.gay-lesbian-bi_20050127.0311-CE44
CE60	uk.gay-lesbian-bi_20050127.0311-CE45
CE62	uk.gay-lesbian-bi_20050127.0311-CE46
CE63	uk.gay-lesbian-bi_20050127.0311-CE47
CE2	uk.gay-lesbian-bi_20050127.0311-CE48
CE3	uk.gay-lesbian-bi_20050127.0311-CE49
CE4	uk.gay-lesbian-bi_20050127.0311-CE50
CE5	uk.gay-lesbian-bi_20050127.0311-CE51
CE6	uk.gay-lesbian-bi_20050127.0311-CE52
CE7	uk.gay-lesbian-bi_20050127.0311-CE53
CE8	uk.gay-lesbian-bi_20050127.0311-CE54
CE9	uk.gay-lesbian-bi_20050127.0311-CE55
CE11	uk.gay-lesbian-bi_20050127.0311-CE56
E13	uk.gay-lesbian-bi_20050127.0311-E1
E15	uk.gay-lesbian-bi_20050127.0311-E2
E16	uk.gay-lesbian-bi_20050127.0311-E3
E17	uk.gay-lesbian-bi_20050127.0311-E4
E18	uk.gay-lesbian-bi_20050127.0311-E5
E19	uk.gay-lesbian-bi_20050127.0311-E6
E20	uk.gay-lesbian-bi_20050127.0311-E7
E21	uk.gay-lesbian-bi_20050127.0311-E8
E22	uk.gay-lesbian-bi_20050127.0311-E9
E24	uk.gay-lesbian-bi_20050127.0311-E10
E26	uk.gay-lesbian-bi_20050127.0311-E11
E27	uk.gay-lesbian-bi_20050127.0311-E12
E28	uk.gay-lesbian-bi_20050127.0311-E13
E29	uk.gay-lesbian-bi_20050127.0311-E14
E30	uk.gay-lesbian-bi_20050127.0311-E15
E31	uk.gay-lesbian-bi_20050127.0311-E16
E32	uk.gay-lesbian-bi_20050127.0311-E17
E33	uk.gay-lesbian-bi_20050127.0311-E18
E34	uk.gay-lesbian-bi_20050127.0311-E19
E35	uk.gay-lesbian-bi_20050127.0311-E20
E36	uk.gay-lesbian-bi_20050127.0311-E21
E37	uk.gay-lesbian-bi_20050127.0311-E22
E38	uk.gay-lesbian-bi_20050127.0311-E23
E39	uk.gay-lesbian-bi_20050127.0311-E24
E40	uk.gay-lesbian-bi_20050127.0311-E25
E41	uk.gay-lesbian-bi_20050127.0311-E26
E42	uk.gay-lesbian-bi_20050127.0311-E27
E43	uk.gay-lesbian-bi_20050127.0311-E28
E44	uk.gay-lesbian-bi_20050127.0311-E29
E45	uk.gay-lesbian-bi_20050127.0311-E30
E46	uk.gay-lesbian-bi_20050127.0311-E31
E47	uk.gay-lesbian-bi_20050127.0311-E32
E48	uk.gay-lesbian-bi_20050127.0311-E33
E49	uk.gay-lesbian-bi_20050127.0311-E34
E50	uk.gay-lesbian-bi_20050127.0311-E35
E51	uk.gay-lesbian-bi_20050127.0311-E36
E52	uk.gay-lesbian-bi_20050127.0311-E37
E53	uk.gay-lesbian-bi_20050127.0311-E38
E57	uk.gay-lesbian-bi_20050127.0311-E39
E58	uk.gay-lesbian-bi_20050127.0311-E40
E1	uk.gay-lesbian-bi_20050127.0311-E41
