CE12	alt.atheism_20041104.2428-CE1
CE19	alt.atheism_20041104.2428-CE2
CE20	alt.atheism_20041104.2428-CE3
CE21	alt.atheism_20041104.2428-CE4
CE22	alt.atheism_20041104.2428-CE5
CE9	alt.atheism_20041104.2428-CE6
CE23	alt.atheism_20041104.2428-CE7
CE24	alt.atheism_20041104.2428-CE8
CE25	alt.atheism_20041104.2428-CE9
CE17	alt.atheism_20041104.2428-CE10
CE26	alt.atheism_20041104.2428-CE11
CE27	alt.atheism_20041104.2428-CE12
CE1	alt.atheism_20041104.2428-CE13
CE30	alt.atheism_20041104.2428-CE14
CE29	alt.atheism_20041104.2428-CE15
CE31	alt.atheism_20041104.2428-CE16
CE33	alt.atheism_20041104.2428-CE17
CE32	alt.atheism_20041104.2428-CE18
CE36	alt.atheism_20041104.2428-CE19
CE6	alt.atheism_20041104.2428-CE20
CE68	alt.atheism_20041104.2428-CE21
CE38	alt.atheism_20041104.2428-CE22
CE40	alt.atheism_20041104.2428-CE23
CE43	alt.atheism_20041104.2428-CE24
CE44	alt.atheism_20041104.2428-CE25
CE45	alt.atheism_20041104.2428-CE26
CE4	alt.atheism_20041104.2428-CE27
CE46	alt.atheism_20041104.2428-CE28
CE67	alt.atheism_20041104.2428-CE29
CE47	alt.atheism_20041104.2428-CE30
CE3	alt.atheism_20041104.2428-CE31
CE50	alt.atheism_20041104.2428-CE32
CE59	alt.atheism_20041104.2428-CE33
CE52	alt.atheism_20041104.2428-CE34
CE58	alt.atheism_20041104.2428-CE35
CE62	alt.atheism_20041104.2428-CE36
CE63	alt.atheism_20041104.2428-CE37
CE64	alt.atheism_20041104.2428-CE38
CE65	alt.atheism_20041104.2428-CE39
CE61	alt.atheism_20041104.2428-CE40
CE60	alt.atheism_20041104.2428-CE41
CE66	alt.atheism_20041104.2428-CE42
CE69	alt.atheism_20041104.2428-CE43
CE70	alt.atheism_20041104.2428-CE44
CE71	alt.atheism_20041104.2428-CE45
CE72	alt.atheism_20041104.2428-CE46
CE73	alt.atheism_20041104.2428-CE47
CE74	alt.atheism_20041104.2428-CE48
CE51	alt.atheism_20041104.2428-CE49
CE35	alt.atheism_20041104.2428-CE50
CE75	alt.atheism_20041104.2428-CE51
CE34	alt.atheism_20041104.2428-CE52
CE76	alt.atheism_20041104.2428-CE53
CE49	alt.atheism_20041104.2428-CE54
CE77	alt.atheism_20041104.2428-CE55
CE10	alt.atheism_20041104.2428-CE56
CE48	alt.atheism_20041104.2428-CE57
CE28	alt.atheism_20041104.2428-CE58
CE37	alt.atheism_20041104.2428-CE59
CE39	alt.atheism_20041104.2428-CE60
CE42	alt.atheism_20041104.2428-CE61
CE53	alt.atheism_20041104.2428-CE62
CE54	alt.atheism_20041104.2428-CE63
CE55	alt.atheism_20041104.2428-CE64
CE56	alt.atheism_20041104.2428-CE65
CE57	alt.atheism_20041104.2428-CE66
CE41	alt.atheism_20041104.2428-CE67
CE78	alt.atheism_20041104.2428-CE68
CE7	alt.atheism_20041104.2428-CE69
CE8	alt.atheism_20041104.2428-CE70
CE2	alt.atheism_20041104.2428-CE71
CE13	alt.atheism_20041104.2428-CE72
CE14	alt.atheism_20041104.2428-CE73
CE15	alt.atheism_20041104.2428-CE74
CE11	alt.atheism_20041104.2428-CE75
CE18	alt.atheism_20041104.2428-CE76
CE16	alt.atheism_20041104.2428-CE77
E19	alt.atheism_20041104.2428-E1
E20	alt.atheism_20041104.2428-E2
E21	alt.atheism_20041104.2428-E3
E22	alt.atheism_20041104.2428-E4
E23	alt.atheism_20041104.2428-E5
E26	alt.atheism_20041104.2428-E6
E27	alt.atheism_20041104.2428-E7
E29	alt.atheism_20041104.2428-E8
E30	alt.atheism_20041104.2428-E9
E137	alt.atheism_20041104.2428-E10
E32	alt.atheism_20041104.2428-E11
E33	alt.atheism_20041104.2428-E12
E139	alt.atheism_20041104.2428-E13
E39	alt.atheism_20041104.2428-E14
E40	alt.atheism_20041104.2428-E15
E41	alt.atheism_20041104.2428-E16
E42	alt.atheism_20041104.2428-E17
