CE16	alt.books.tom-clancy_20050130.1848-CE1
CE18	alt.books.tom-clancy_20050130.1848-CE2
CE17	alt.books.tom-clancy_20050130.1848-CE3
CE47	alt.books.tom-clancy_20050130.1848-CE4
CE42	alt.books.tom-clancy_20050130.1848-CE5
CE19	alt.books.tom-clancy_20050130.1848-CE6
CE20	alt.books.tom-clancy_20050130.1848-CE7
CE21	alt.books.tom-clancy_20050130.1848-CE8
CE22	alt.books.tom-clancy_20050130.1848-CE9
CE23	alt.books.tom-clancy_20050130.1848-CE10
CE24	alt.books.tom-clancy_20050130.1848-CE11
CE6	alt.books.tom-clancy_20050130.1848-CE12
CE25	alt.books.tom-clancy_20050130.1848-CE13
CE26	alt.books.tom-clancy_20050130.1848-CE14
CE27	alt.books.tom-clancy_20050130.1848-CE15
CE28	alt.books.tom-clancy_20050130.1848-CE16
CE29	alt.books.tom-clancy_20050130.1848-CE17
CE40	alt.books.tom-clancy_20050130.1848-CE18
CE36	alt.books.tom-clancy_20050130.1848-CE19
CE37	alt.books.tom-clancy_20050130.1848-CE20
CE30	alt.books.tom-clancy_20050130.1848-CE21
CE31	alt.books.tom-clancy_20050130.1848-CE22
CE32	alt.books.tom-clancy_20050130.1848-CE23
CE33	alt.books.tom-clancy_20050130.1848-CE24
CE4	alt.books.tom-clancy_20050130.1848-CE25
CE34	alt.books.tom-clancy_20050130.1848-CE26
CE5	alt.books.tom-clancy_20050130.1848-CE27
CE38	alt.books.tom-clancy_20050130.1848-CE28
CE39	alt.books.tom-clancy_20050130.1848-CE29
CE41	alt.books.tom-clancy_20050130.1848-CE30
CE43	alt.books.tom-clancy_20050130.1848-CE31
CE44	alt.books.tom-clancy_20050130.1848-CE32
CE45	alt.books.tom-clancy_20050130.1848-CE33
CE46	alt.books.tom-clancy_20050130.1848-CE34
CE48	alt.books.tom-clancy_20050130.1848-CE35
CE49	alt.books.tom-clancy_20050130.1848-CE36
CE50	alt.books.tom-clancy_20050130.1848-CE37
CE51	alt.books.tom-clancy_20050130.1848-CE38
CE52	alt.books.tom-clancy_20050130.1848-CE39
CE53	alt.books.tom-clancy_20050130.1848-CE40
CE54	alt.books.tom-clancy_20050130.1848-CE41
CE2	alt.books.tom-clancy_20050130.1848-CE42
CE1	alt.books.tom-clancy_20050130.1848-CE43
CE35	alt.books.tom-clancy_20050130.1848-CE44
CE7	alt.books.tom-clancy_20050130.1848-CE45
CE8	alt.books.tom-clancy_20050130.1848-CE46
CE9	alt.books.tom-clancy_20050130.1848-CE47
CE3	alt.books.tom-clancy_20050130.1848-CE48
CE10	alt.books.tom-clancy_20050130.1848-CE49
CE11	alt.books.tom-clancy_20050130.1848-CE50
CE12	alt.books.tom-clancy_20050130.1848-CE51
CE13	alt.books.tom-clancy_20050130.1848-CE52
CE14	alt.books.tom-clancy_20050130.1848-CE53
CE15	alt.books.tom-clancy_20050130.1848-CE54
E16	alt.books.tom-clancy_20050130.1848-E1
E18	alt.books.tom-clancy_20050130.1848-E2
E19	alt.books.tom-clancy_20050130.1848-E3
E119	alt.books.tom-clancy_20050130.1848-E4
E32	alt.books.tom-clancy_20050130.1848-E5
E1	alt.books.tom-clancy_20050130.1848-E6
E42	alt.books.tom-clancy_20050130.1848-E7
E43	alt.books.tom-clancy_20050130.1848-E8
E48	alt.books.tom-clancy_20050130.1848-E9
E50	alt.books.tom-clancy_20050130.1848-E10
E51	alt.books.tom-clancy_20050130.1848-E11
E52	alt.books.tom-clancy_20050130.1848-E12
E53	alt.books.tom-clancy_20050130.1848-E13
E54	alt.books.tom-clancy_20050130.1848-E14
E55	alt.books.tom-clancy_20050130.1848-E15
E57	alt.books.tom-clancy_20050130.1848-E16
E58	alt.books.tom-clancy_20050130.1848-E17
E59	alt.books.tom-clancy_20050130.1848-E18
E61	alt.books.tom-clancy_20050130.1848-E19
E62	alt.books.tom-clancy_20050130.1848-E20
E63	alt.books.tom-clancy_20050130.1848-E21
E68	alt.books.tom-clancy_20050130.1848-E22
E71	alt.books.tom-clancy_20050130.1848-E23
E72	alt.books.tom-clancy_20050130.1848-E24
E73	alt.books.tom-clancy_20050130.1848-E25
E74	alt.books.tom-clancy_20050130.1848-E26
E75	alt.books.tom-clancy_20050130.1848-E27
E76	alt.books.tom-clancy_20050130.1848-E28
E77	alt.books.tom-clancy_20050130.1848-E29
E78	alt.books.tom-clancy_20050130.1848-E30
E79	alt.books.tom-clancy_20050130.1848-E31
E80	alt.books.tom-clancy_20050130.1848-E32
E2	alt.books.tom-clancy_20050130.1848-E33
E81	alt.books.tom-clancy_20050130.1848-E34
E83	alt.books.tom-clancy_20050130.1848-E35
E86	alt.books.tom-clancy_20050130.1848-E36
E87	alt.books.tom-clancy_20050130.1848-E37
E89	alt.books.tom-clancy_20050130.1848-E38
E91	alt.books.tom-clancy_20050130.1848-E39
E92	alt.books.tom-clancy_20050130.1848-E40
E93	alt.books.tom-clancy_20050130.1848-E41
E94	alt.books.tom-clancy_20050130.1848-E42
E95	alt.books.tom-clancy_20050130.1848-E43
E96	alt.books.tom-clancy_20050130.1848-E44
E97	alt.books.tom-clancy_20050130.1848-E45
E98	alt.books.tom-clancy_20050130.1848-E46
E99	alt.books.tom-clancy_20050130.1848-E47
E100	alt.books.tom-clancy_20050130.1848-E48
E102	alt.books.tom-clancy_20050130.1848-E49
E103	alt.books.tom-clancy_20050130.1848-E50
E104	alt.books.tom-clancy_20050130.1848-E51
E105	alt.books.tom-clancy_20050130.1848-E52
E111	alt.books.tom-clancy_20050130.1848-E53
E113	alt.books.tom-clancy_20050130.1848-E54
E114	alt.books.tom-clancy_20050130.1848-E55
E115	alt.books.tom-clancy_20050130.1848-E56
E3	alt.books.tom-clancy_20050130.1848-E57
E116	alt.books.tom-clancy_20050130.1848-E58
E4	alt.books.tom-clancy_20050130.1848-E59
E5	alt.books.tom-clancy_20050130.1848-E60
E6	alt.books.tom-clancy_20050130.1848-E61
E8	alt.books.tom-clancy_20050130.1848-E62
E9	alt.books.tom-clancy_20050130.1848-E63
E10	alt.books.tom-clancy_20050130.1848-E64
